Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.78,-29.3,-0.041
-0.78,-19.6,-0.041
-0.59,-18.8,-0.031
-0.59,-10,-0.031
-0.39,-9.2,-0.021
-0.39,-2.2,-0.021
-0.2,-1.3,-0.01
-0.2,-0.4,-0.01
-0.2,6.5,-0.01
-0,7.4,-0
-0,13.5,-0
0.19,14.4,0.01
0.19,21.4,0.01
0.39,22.3,0.02
0.39,21.4,0.02
0.39,27.5,0.02
0.58,28.4,0.031
0.58,35.4,0.031
0.78,36.2,0.041
0.78,40.6,0.041
0.98,41.5,0.051
0.98,42.3,0.051
0.98,31.9,0.051
0.78,31,0.041
0.78,20.5,0.041
0.58,19.7,0.031
0.58,10.9,0.031
0.39,10,0.02
0.39,3.1,0.02
0.19,2.2,0.01
0.19,-4.8,0.01
-0,-5.7,-0
-0,-12.7,-0
-0.2,-13.5,-0.01
-0.2,-20.5,-0.01
-0.39,-21.4,-0.021
-0.39,-20.5,-0.021
-0.39,-27.5,-0.021
-0.59,-28.4,-0.031
-0.59,-35.4,-0.031
-0.78,-36.2,-0.041
-0.78,-42.4,-0.041
-0.98,-43.2,-0.051
-0.98,-45.9,-0.051
-0.98,-31,-0.051
-0.78,-30.1,-0.041
-0.78,-19.6,-0.041
-0.59,-18.8,-0.031
-0.59,-10,-0.031
-0.39,-9.2,-0.021
-0.39,-2.2,-0.021
-0.26,-1.4,-0.014
-0.24,-0.5,-0.013
-0.2,5.7,-0.01
-0,6.5,-0
-0,13.5,-0
0.19,14.4,0.01
0.19,21.4,0.01
0.39,22.3,0.02
0.39,21.4,0.02
0.39,27.5,0.02
0.58,28.4,0.031
0.58,34.5,0.031
0.78,35.4,0.041
0.78,41.5,0.041
0.98,42.3,0.051
0.98,43.2,0.051
0.98,32.7,0.051
0.78,31.9,0.041
0.78,21.4,0.041
0.58,20.5,0.031
0.58,11.8,0.031
0.39,10.9,0.02
0.39,3.9,0.02
0.19,3.1,0.01
0.19,-4.8,0.01
-0,-5.7,-0
-0,-11.8,-0
-0.2,-12.7,-0.01
-0.2,-19.6,-0.01
-0.39,-20.5,-0.021
-0.39,-27.5,-0.021
-0.59,-28.4,-0.031
-0.59,-34.5,-0.031
-0.78,-35.4,-0.041
-0.78,-41.5,-0.041
-0.98,-42.4,-0.051
-0.98,-45.9,-0.051
-0.98,-31,-0.051
-0.78,-30.1,-0.041
-0.78,-19.6,-0.041
-0.59,-18.8,-0.031
-0.59,-10,-0.031
-0.39,-9.2,-0.021
-0.39,-2.2,-0.021
-0.3,-1.4,-0.016
-0.29,-0.7,-0.015
NaN,NaN,NaN
-0.2,-0.4,-0.01
-0.2,5.7,-0.01
-0,6.5,-0
-0,13.5,-0
0.19,14.4,0.01
0.19,20.5,0.01
0.39,21.4,0.02
0.39,20.5,0.02
0.39,27.5,0.02
0.58,28.4,0.031
0.58,34.5,0.031
0.78,35.4,0.041
0.78,41.5,0.041
0.98,42.3,0.051
0.98,45.9,0.051
1.17,46.7,0.062
1.17,47.6,0.062
1.37,48.5,0.072
1.37,50.2,0.072
1.56,49.3,0.082
1.56,46.7,0.082
1.37,45.9,0.072
1.37,34.5,0.072
1.17,33.6,0.062
1.17,24.9,0.062
0.98,24,0.051
0.98,17.9,0.051
0.78,17,0.041
0.78,10,0.041
0.58,9.2,0.031
0.58,3.1,0.031
0.39,2.2,0.02
0.39,-3.9,0.02
0.19,-4.8,0.01
0.19,-10.9,0.01
-0,-11.8,-0
-0,-17.9,-0
-0.2,-18.8,-0.01
-0.2,-24.9,-0.01
-0.39,-25.8,-0.021
-0.39,-31.9,-0.021
-0.59,-32.8,-0.031
-0.59,-38.9,-0.031
-0.78,-39.8,-0.041
-0.78,-45,-0.041
-0.98,-45.9,-0.051
-0.98,-49.4,-0.051
-1.37,-51.1,-0.072
-1.37,-52.8,-0.072
-1.56,-53.7,-0.082
-1.56,-45,-0.082
-1.37,-44.1,-0.072
-1.37,-34.5,-0.072
