Test unit,WS1.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
3.01,37.9,0.227
3.01,36.1,0.227
2.85,34.2,0.215
2.76,31.7,0.209
2.43,27.8,0.184
2.27,25.6,0.171
2.02,22.2,0.152
1.86,19.6,0.14
1.69,16.7,0.128
1.61,14.3,0.121
1.36,11.4,0.103
1.2,8.9,0.09
1.03,6.6,0.078
0.95,4.2,0.072
0.78,2.2,0.059
0.78,1.6,0.059
0.7,-0.2,0.053
0.62,-2.2,0.047
0.37,-4.8,0.028
0.29,-6.9,0.022
0.12,-9.5,0.009
-0.04,-11.7,-0.003
-0.21,-14.7,-0.016
-0.29,-17,-0.022
-0.37,-19.1,-0.028
-0.54,-21.1,-0.04
-0.62,-23.6,-0.047
-0.87,-26.5,-0.065
-0.95,-28.1,-0.072
-1.03,-30.6,-0.078
-1.2,-32.6,-0.09
-1.36,-35.3,-0.103
-1.53,-37.9,-0.115
-1.69,-40.2,-0.128
-1.86,-42,-0.14
-2.02,-44,-0.152
-2.19,-46.1,-0.165
-2.27,-47.7,-0.171
-2.43,-49.7,-0.184
-2.68,-52.4,-0.202
-2.76,-53.6,-0.209
-2.93,-55.3,-0.221
-3.18,-58,-0.24
-3.34,-59.1,-0.252
-3.42,-61.3,-0.258
-3.59,-62.8,-0.271
-3.67,-64.8,-0.277
-3.92,-66.3,-0.296
-4.08,-67.7,-0.308
-4.25,-69.8,-0.321
-4.41,-70.3,-0.333
-4.66,-71.8,-0.352
-4.66,-72.7,-0.352
-5.07,-75.7,-0.383
NaN,NaN,NaN
-7.3,-81.4,-0.551
-7.3,-80.3,-0.551
-7.13,-79.9,-0.538
-6.89,-79.3,-0.52
-6.56,-78.3,-0.495
-6.06,-77.1,-0.457
-5.98,-76.2,-0.451
-5.65,-75.1,-0.426
-5.32,-71.5,-0.401
-5.15,-70.1,-0.389
-4.99,-68.3,-0.377
-4.82,-66.3,-0.364
-4.66,-63.8,-0.352
-4.49,-61.9,-0.339
-4.25,-59.7,-0.321
-4.25,-57.6,-0.321
-4,-55.3,-0.302
-3.92,-52.9,-0.296
-3.75,-50.9,-0.283
-3.59,-48.4,-0.271
-3.51,-46.5,-0.265
-3.26,-43.9,-0.246
-3.18,-41.7,-0.24
-3.01,-39.4,-0.227
-2.85,-37,-0.215
-2.68,-34.4,-0.202
-2.52,-32.1,-0.19
-2.35,-29.7,-0.177
-2.27,-27.4,-0.171
-2.1,-24.3,-0.159
-1.94,-22.3,-0.146
-1.86,-19.9,-0.14
-1.69,-17.6,-0.128
-1.69,-15.2,-0.128
-1.44,-13.2,-0.109
-1.2,-10.3,-0.09
-1.11,-8.2,-0.084
-1.03,-5.7,-0.078
-0.95,-3.4,-0.072
-0.78,-1.3,-0.059
-0.62,0.4,-0.047
-0.62,2.7,-0.047
-0.45,4.2,-0.034
-0.29,6.3,-0.022
-0.21,8.6,-0.016
-0.04,11.4,-0.003
0.12,14.6,0.009
0.37,17.5,0.028
0.54,19.9,0.04
0.62,22.2,0.047
0.78,24.3,0.059
0.95,26.6,0.072
1.11,28.8,0.084
1.11,29.4,0.084
1.28,31.7,0.096
1.44,34.1,0.109
1.61,36.1,0.121
1.69,38.2,0.128
1.86,40.5,0.14
2.1,42.6,0.159
2.27,44.3,0.171
2.35,46.8,0.177
2.52,48.7,0.19
2.76,51.5,0.209
2.93,53.5,0.221
3.09,55.3,0.233
3.26,56.7,0.246
3.42,59.1,0.258
3.59,60.8,0.271
3.84,62.9,0.289
4,64.5,0.302
4.08,66,0.308
4.25,68,0.321
4.49,68.9,0.339
4.66,70.4,0.352
4.91,71.2,0.37
4.99,71.2,0.377
5.24,72.7,0.395
5.4,73.3,0.408
5.57,73.8,0.42
5.73,74.5,0.433
5.98,74.7,0.451
6.06,75,0.457
6.31,75.3,0.476
6.56,76.5,0.495
6.64,76.8,0.501
6.89,77.1,0.52
7.05,77.4,0.532
7.05,77.7,0.532
7.38,78.3,0.557
7.79,78.6,0.588
8.21,79.4,0.619
8.37,79.4,0.632
8.62,79.7,0.65
8.37,78.3,0.632
8.21,77.9,0.619
7.79,77.1,0.588
7.55,76.2,0.57
7.3,75.9,0.551
7.13,75,0.538
6.89,74.5,0.52
6.72,73.8,0.507
6.39,73,0.482
6.31,72.4,0.476
6.14,70.9,0.464
6.06,69.3,0.457
5.81,67.7,0.439
5.65,65.7,0.426
5.4,63.8,0.408
5.4,61.6,0.408
5.24,59.4,0.395
5.07,57.9,0.383
4.91,55.3,0.37
4.74,51.8,0.358
4.66,50.9,0.352
4.41,48.7,0.333
4.25,46.1,0.321
4.08,44.3,0.308
4,42,0.302
3.84,39.9,0.289
3.75,37.9,0.283
3.59,36.1,0.271
3.42,34.6,0.258
3.42,33.2,0.258
3.18,28.8,0.24
2.93,25.7,0.221
2.68,22.5,0.202
2.6,20.2,0.196
2.43,17.5,0.184
2.27,14.3,0.171
2.1,11.7,0.159
1.94,9.2,0.146
1.77,6.9,0.134
1.61,3.9,0.121
1.53,1.9,0.115
1.44,1.6,0.109
1.44,1.3,0.109
1.36,-0.5,0.103
1.28,-1.9,0.096
1.11,-4.3,0.084
0.04,-6.3,0.003
0.95,-9.1,0.072
0.87,-12.6,0.065
0.62,-14.3,0.047
0.37,-17.3,0.028
0.29,-19.9,0.022
0.21,-22.3,0.016
0.04,-24,0.003
-0.12,-27.4,-0.009
-0.29,-29.7,-0.022
-0.37,-31.4,-0.028
-0.54,-34.1,-0.04
-0.7,-36.2,-0.053
-0.87,-39.1,-0.065
-0.95,-41,-0.072
-1.11,-43.6,-0.084
-1.28,-45.8,-0.096
-1.44,-48.3,-0.109
-1.61,-49.7,-0.121
-1.69,-52.1,-0.128
-1.86,-53.6,-0.14
-2.1,-55.6,-0.159
-2.27,-57.6,-0.171
-2.35,-59.1,-0.177
-2.52,-60.9,-0.19
-2.76,-62.9,-0.209
-2.85,-64.5,-0.215
-3.01,-66.3,-0.227
-3.18,-68,-0.24
-3.34,-69.2,-0.252
-3.42,-70.3,-0.258
-4,-74.5,-0.302
-4.08,-75.4,-0.308
-4.16,-76.5,-0.314
-4.33,-77.4,-0.327
-4.66,-78.6,-0.352
-4.74,-79.6,-0.358
-4.91,-80.2,-0.37
-5.07,-80.3,-0.383
-5.32,-80.9,-0.401
-5.4,-81.4,-0.408
-5.65,-81.5,-0.426
-5.9,-81.8,-0.445
-6.06,-82.2,-0.457
-6.23,-82.2,-0.47
-6.39,-82.8,-0.482
-6.64,-83.1,-0.501
-6.8,-83.2,-0.514
-6.89,-83.2,-0.52
-7.13,-83.7,-0.538
-7.13,-83.2,-0.538
NaN,NaN,NaN
-9.44,-86.9,-0.713
-9.44,-86.6,-0.713
-9.28,-86.3,-0.7
-9.11,-85.7,-0.688
-8.95,-85.7,-0.675
-8.7,-85,-0.657
-8.54,-84.4,-0.644
-8.21,-84,-0.619
-8.04,-84,-0.607
-7.79,-83.2,-0.588
-7.55,-83.1,-0.57
-7.22,-82.5,-0.545
-6.89,-82.2,-0.52
-6.8,-81.5,-0.514
-6.72,-81.4,-0.507
-6.39,-80.6,-0.482
-6.31,-80.6,-0.476
-5.98,-80.3,-0.451
-5.81,-79.9,-0.439
-5.65,-79.3,-0.426
-5.4,-78.6,-0.408
-5.24,-78.3,-0.395
-5.07,-77.4,-0.383
-4.82,-76.5,-0.364
-4.74,-75.4,-0.358
-4.49,-73.9,-0.339
-4.33,-72.4,-0.327
-4.25,-70.7,-0.321
-4.08,-69.2,-0.308
-3.84,-67.4,-0.289
-3.67,-65.7,-0.277
-3.59,-63.2,-0.271
-3.34,-60.9,-0.252
-3.26,-59.4,-0.246
-3.01,-57.3,-0.227
-2.85,-55,-0.215
-2.76,-53.6,-0.209
-2.52,-51.2,-0.19
-2.43,-48.7,-0.184
-2.27,-46.8,-0.171
-2.1,-44.3,-0.159
-2.02,-42,-0.152
-1.86,-39.4,-0.14
-1.69,-37.3,-0.128
-1.53,-34.7,-0.115
-1.28,-32.3,-0.096
-1.11,-27.7,-0.084
-0.95,-25.2,-0.072
-0.78,-20.8,-0.059
-0.62,-20.2,-0.047
-0.54,-17.6,-0.04
-0.37,-15.2,-0.028
-0.29,-12.9,-0.022
-0.04,-10.8,-0.003
0.04,-8.2,0.003
0.12,-17.9,0.009
0.21,-3.7,0.016
0.29,-1.8,0.022
0.45,0.1,0.034
0.54,0.7,0.04
0.54,1.3,0.04
0.7,2.7,0.053
0.78,5.1,0.059
0.95,7.6,0.072
1.03,9.8,0.078
1.2,12.7,0.09
1.36,14.6,0.103
1.44,17.2,0.109
1.61,20.2,0.121
1.69,22.2,0.128
1.94,24.9,0.146
2.02,27.2,0.152
2.1,27.8,0.159
2.27,30,0.171
2.35,32.3,0.177
2.52,34.2,0.19
2.85,38.5,0.215
3.01,40.8,0.227
3.18,43.4,0.24
3.34,45.5,0.252
3.51,47.5,0.265
3.59,49.7,0.271
3.84,51.5,0.289
4.08,53.8,0.308
4.16,56.1,0.314
4.41,57.9,0.333
4.58,59.7,0.345
4.66,62,0.352
4.91,63.5,0.37
5.07,65.7,0.383
5.15,67,0.389
5.32,68.3,0.401
5.4,68.3,0.408
5.73,72.7,0.433
5.98,73.8,0.451
6.06,74.7,0.457
6.23,75.9,0.47
6.39,76.8,0.482
6.56,77.4,0.495
6.72,77.9,0.507
6.97,78.3,0.526
7.05,78.6,0.532
7.3,79.1,0.551
7.46,79.1,0.563
7.63,79.7,0.576
8.04,79.7,0.607
8.21,80.6,0.619
8.37,80.3,0.632
8.87,80.9,0.669
9.2,81.2,0.694
9.36,81.5,0.706
9.61,81.8,0.725
9.77,82.2,0.738
10.02,82.2,0.756
10.19,82.3,0.769
10.35,82.2,0.781
10.52,82.3,0.794
10.68,82.3,0.806
10.85,82.8,0.819
11.09,83.1,0.837
11.09,82.3,0.837
10.85,82.8,0.819
10.68,81.2,0.806
10.43,80.6,0.787
10.27,80.6,0.775
9.94,80.3,0.75
9.77,80,0.738
9.69,79.7,0.731
9.44,79.7,0.713
9.2,79.1,0.694
9.03,79.1,0.682
8.78,78.9,0.663
8.45,77.7,0.638
8.29,76.8,0.626
8.04,75.6,0.607
7.88,74.5,0.594
7.79,72.7,0.588
7.55,70.6,0.57
7.38,68.9,0.557
7.3,67,0.551
7.13,64.9,0.538
6.89,62.9,0.52
6.72,61.3,0.507
6.56,59.1,0.495
6.47,57.1,0.489
6.14,52.3,0.464
6.06,50,0.457
5.81,48.3,0.439
5.73,45.5,0.433
5.57,43.1,0.42
5.32,40.2,0.401
5.32,38.7,0.401
5.15,36.4,0.389
5.07,34.9,0.383
4.91,33.2,0.37
4.74,31.7,0.358
4.66,27.2,0.352
4.41,24.6,0.333
4.25,21.6,0.321
4.08,18.7,0.308
3.84,15.6,0.289
3.75,13.3,0.283
3.51,9.8,0.265
3.42,7.6,0.258
3.26,4.8,0.246
3.09,2.7,0.233
3.01,1,0.227
2.93,1,0.221
2.93,-1.3,0.221
2.76,-3.4,0.209
2.68,-6.6,0.202
2.52,-8.8,0.19
2.35,-11.4,0.177
2.27,-13.5,0.171
2.1,-15.2,0.159
2.02,-17.9,0.152
1.69,-22.5,0.128
1.61,-24.6,0.121
1.36,-28.1,0.103
1.28,-39.9,0.096
1.11,-33.8,0.084
0.95,-36.2,0.072
0.87,-38.2,0.065
0.7,-41,0.053
0.54,-43.2,0.04
0.37,-45.1,0.028
0.21,-46.8,0.016
0.04,-49.2,0.003
-0.12,-51.8,-0.009
-0.29,-53.2,-0.022
-0.37,-54.7,-0.028
-0.54,-56.8,-0.04
-0.78,-58.8,-0.059
-0.95,-60.9,-0.072
-1.03,-62.2,-0.078
-1.2,-64.1,-0.09
-1.28,-64.8,-0.096
-1.53,-66.9,-0.115
-1.69,-68,-0.128
-1.86,-69.5,-0.14
-2.02,-71.3,-0.152
-2.19,-72.1,-0.165
-2.35,-73.6,-0.177
-2.52,-75.4,-0.19
-2.68,-76.8,-0.202
