Test unit,T1-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.01,-3.8,-0.001
0,-2.5,0
0,-4.4,0
0,-2.5,0
0,-3.8,0
0,-2.5,0
0,-3.8,0
0,-2.8,0
-0.09,-10,-0.007
-0.1,-11.3,-0.008
-0.11,-11.6,-0.009
-0.47,-30.7,-0.038
-0.48,-33.2,-0.039
-0.57,-38.2,-0.045
-0.64,-42.9,-0.051
-0.73,-46.3,-0.058
-0.8,-48.8,-0.064
-0.87,-51.3,-0.069
-0.92,-52.9,-0.074
-0.97,-54.5,-0.078
-1.02,-55.4,-0.081
-1.05,-56.4,-0.084
-1.07,-57.3,-0.086
-1.09,-57.3,-0.087
-1.09,-56.4,-0.087
-1.07,-54.2,-0.086
-1.05,-53.2,-0.084
-1.02,-50.7,-0.081
-0.99,-48.8,-0.079
-0.93,-45.7,-0.075
-0.89,-42.3,-0.071
-0.82,-38.5,-0.066
-0.75,-34.4,-0.06
-0.67,-30.1,-0.054
-0.59,-25.7,-0.047
-0.5,-20.3,-0.04
-0.42,-15,-0.033
-0.36,-11.9,-0.029
-0.34,-11.6,-0.027
-0.34,-11,-0.027
0,5.6,0
0.07,14.4,0.006
0.18,20.3,0.015
0.28,26,0.022
0.37,31.6,0.03
0.46,36.9,0.037
0.56,41,0.045
0.64,44.8,0.051
0.72,47.6,0.057
0.79,49.5,0.063
0.86,50.7,0.069
0.91,51.7,0.073
0.96,50.7,0.077
1.01,48.5,0.081
1.03,47.9,0.082
1.06,47.6,0.085
1.07,47.6,0.086
1.08,47,0.087
1.08,45.7,0.087
1.06,40.4,0.085
1.04,39.4,0.083
1.01,37.6,0.081
0.96,35.1,0.077
0.92,32.2,0.074
0.87,28.8,0.069
0.81,25,0.065
0.74,21,0.059
0.65,16.3,0.052
0.58,11.9,0.046
0.49,7.2,0.039
0.4,1.9,0.032
0.31,-3.1,0.025
0.21,-8.5,0.017
0.15,-11.3,0.012
0.14,-11.6,0.011
0.13,-11.9,0.01
-0.02,-17.2,-0.002
-0.01,-16,-0.001
-0.01,-15.7,-0.001
0,-16,0
-0.01,-16.3,-0.001
0,-16.3,0
-0.01,-16,-0.001
-0.01,-15.7,-0.001
0,-15.7,0
-0.01,-15.7,-0.001
0,-15.7,0
-0.01,-15.7,-0.001
-0.01,-15.3,-0.001
-0.1,-22.5,-0.008
-0.19,-28.2,-0.015
-0.29,-32.9,-0.023
-0.39,-37.6,-0.031
-0.48,-41.3,-0.039
-0.57,-45.1,-0.045
-0.65,-48.5,-0.052
-0.73,-51,-0.058
-0.8,-54.2,-0.064
-0.87,-56.4,-0.069
-0.92,-58.2,-0.074
-0.97,-59.8,-0.078
-1.02,-60.7,-0.081
-1.05,-61.4,-0.084
-1.07,-62,-0.086
-1.09,-62,-0.087
-1.09,-61,-0.087
-1.08,-58.9,-0.087
-1.06,-57.6,-0.085
-1.03,-56,-0.082
-0.99,-54.2,-0.079
-0.94,-51.7,-0.075
-0.89,-48.8,-0.071
-0.82,-46,-0.066
-0.75,-41.9,-0.06
-0.67,-38.2,-0.054
-0.59,-33.8,-0.047
-0.5,-29.1,-0.04
-0.42,-24.1,-0.033
-0.32,-18.8,-0.026
-0.22,-14.1,-0.018
-0.18,-11.9,-0.015
-0.17,-11.9,-0.014
-0.03,-2.5,-0.003
0.16,5.9,0.013
0.28,13.5,0.022
0.37,18.2,0.03
0.46,22.9,0.037
0.55,27.5,0.044
0.63,31.6,0.051
0.72,35.4,0.057
0.79,38.8,0.063
0.86,41,0.069
0.91,42.6,0.073
0.96,44.1,0.077
1,44.8,0.08
1.04,45.7,0.083
1.06,46.3,0.085
1.07,46.3,0.086
1.08,46,0.087
1.08,45.1,0.087
1.06,39.4,0.085
1.04,37.9,0.083
1.01,36,0.081
0.96,33.8,0.077
0.93,31,0.075
0.87,27.5,0.069
0.8,23.8,0.064
0.74,20,0.059
0.66,15.3,0.053
0.58,11,0.046
0.49,5.9,0.039
0.41,1.3,0.033
0.31,-3.8,0.025
0.21,-8.8,0.017
0.16,-11.3,0.013
0.16,-11.6,0.013
0.14,-12.8,0.011
-0.02,-16.9,-0.002
0,-16,0
0,-16.9,0
0,-15.7,0
0,-16,0
-0.05,-20.3,-0.004
-0.15,-26.3,-0.012
-0.25,-31,-0.02
-0.35,-35.7,-0.028
-0.44,-39.8,-0.035
-0.54,-43.5,-0.043
-0.62,-46.6,-0.05
-0.71,-49.5,-0.057
-0.77,-52.3,-0.062
-0.85,-54.8,-0.068
-0.9,-56.7,-0.072
-0.95,-58.2,-0.076
-1.01,-58.9,-0.081
-1.04,-59.2,-0.083
-1.07,-59.5,-0.086
-1.08,-59.8,-0.087
-1.09,-59.2,-0.087
-1.09,-58.9,-0.087
-1.08,-56.4,-0.087
-1.06,-55.1,-0.085
-1.04,-53.8,-0.083
-1,-52,-0.08
-0.95,-49.8,-0.076
-0.9,-47.3,-0.072
-0.85,-44.1,-0.068
-0.77,-40.7,-0.062
-0.7,-36.6,-0.056
-0.62,-32.6,-0.05
-0.54,-27.9,-0.043
-0.44,-23.2,-0.035
-0.35,-18.8,-0.028
-0.26,-14.1,-0.021
-0.21,-11.9,-0.017
-0.2,-11.6,-0.016
-0.01,-0.6,-0.001
0.14,5.9,0.011
0.25,13.1,0.02
0.34,18.2,0.027
0.43,22.9,0.034
0.52,27.2,0.042
0.61,31.6,0.049
0.69,35.1,0.055
0.76,38.5,0.061
0.84,41,0.067
0.89,42.3,0.071
0.94,43.2,0.075
0.99,44.5,0.079
1.03,45.4,0.082
1.06,46,0.085
1.08,46,0.087
1.08,42.3,0.087
1.05,38.8,0.084
1.02,36.9,0.081
0.99,34.7,0.079
0.94,31.9,0.075
0.89,28.8,0.071
0.84,25.4,0.067
0.76,21.6,0.061
0.69,17.2,0.055
0.61,12.8,0.049
0.52,8.1,0.042
0.43,3.1,0.034
0.33,-1.6,0.027
0.25,-6.6,0.02
0.16,-11,0.013
0.15,-11.6,0.012
0.14,-11.9,0.011
-0.07,-20.7,-0.006
-0.01,-15.7,-0.001
0,-15.7,0
0,-16,0
-0.01,-16,-0.001
-0.01,-16.3,-0.001
0,-16,0
0,-15.7,0
-0.01,-15.7,-0.001
-0.01,-16,-0.001
0,-15.7,0
-0.01,-15.7,-0.001
-0.14,-24.7,-0.011
-0.29,-31.6,-0.023
-0.43,-38.2,-0.034
-0.58,-44.1,-0.046
-0.72,-48.8,-0.057
-0.84,-52.6,-0.067
-0.97,-56,-0.078
-1.07,-58.9,-0.086
-1.19,-61.7,-0.095
-1.28,-63.9,-0.103
-1.37,-65.4,-0.11
-1.43,-67,-0.115
-1.5,-67.9,-0.12
-1.54,-68.9,-0.123
-1.58,-69.5,-0.127
-1.6,-67.6,-0.128
-1.62,-69.2,-0.129
-1.61,-67.3,-0.128
-1.58,-66.1,-0.127
-1.55,-64.5,-0.124
-1.5,-62.6,-0.12
-1.45,-60.1,-0.116
-1.37,-57.3,-0.11
-1.3,-53.2,-0.104
-1.2,-48.8,-0.096
-1.09,-43.8,-0.087
-0.99,-38.8,-0.079
-0.87,-33.5,-0.069
-0.73,-27.5,-0.058
-0.6,-20.7,-0.048
-0.46,-14.1,-0.037
-0.41,-11.6,-0.033
-0.4,-11.6,-0.032
0.06,7.8,0.005
0.14,16,0.011
0.28,22.9,0.022
0.43,29.7,0.034
0.57,35.7,0.045
0.71,39.4,0.057
0.84,40.7,0.067
0.95,43.5,0.076
1.07,47,0.086
1.18,49.8,0.094
1.26,51.7,0.101
1.36,53.2,0.109
1.42,54.2,0.114
1.49,55.4,0.119
1.53,55.4,0.122
