Test unit,E6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.12,-7.1,0.01
0.11,-8.4,0.01
0.11,-9.4,0.01
0.1,-10.4,0.009
0.09,-11.3,0.007
0.09,-12.4,0.007
0.07,-13.4,0.006
0.08,-14.4,0.007
0.06,-15.3,0.005
0.04,-16.2,0.004
0.04,-17.2,0.003
0.03,-18.2,0.003
0.02,-19.3,0.002
0.01,-20.2,0.001
0.02,-21.3,0.002
-0,-22.2,-0
-0.01,-23.2,-0.001
-0.02,-24.2,-0.002
-0.03,-25.2,-0.003
-0.04,-26.2,-0.003
-0.06,-25.3,-0.005
-0.05,-26.5,-0.004
-0.05,-27.5,-0.004
-0.05,-26.6,-0.004
-0.06,-25.5,-0.005
-0.05,-26.6,-0.004
-0.04,-27.6,-0.004
-0.05,-26.6,-0.004
-0.05,-25.6,-0.005
-0.05,-24.5,-0.005
-0.06,-23.5,-0.005
-0.07,-22.4,-0.006
-0.07,-21.4,-0.006
-0.07,-20.3,-0.006
-0.07,-19.2,-0.006
-0.07,-18,-0.006
-0.06,-17,-0.005
-0.06,-15.9,-0.005
-0.06,-14.8,-0.005
-0.04,-13.8,-0.004
-0.05,-12.8,-0.004
-0.05,-11.8,-0.004
-0.04,-10.8,-0.003
-0.03,-9.8,-0.003
-0.02,-8.7,-0.002
-0.02,-7.7,-0.002
-0,-6.7,-0
0,-5.7,0
0,-4.7,0
0.01,-3.6,0.001
0.02,-2.6,0.002
0.02,-1.6,0.002
0.03,-0.6,0.003
0.06,0.3,0.005
0.05,1.5,0.004
0.06,2.8,0.005
0.06,3.9,0.006
0.07,5,0.006
0.08,6.2,0.007
0.09,7.3,0.007
0.09,8.4,0.008
0.1,9.4,0.009
0.1,10.8,0.009
0.12,11.7,0.01
0.12,12.7,0.011
0.13,13.7,0.011
0.14,14.7,0.012
0.15,15.8,0.013
0.15,16.9,0.013
0.16,17.9,0.014
0.16,19,0.014
0.16,20.1,0.014
0.17,21.2,0.015
0.18,22.2,0.016
0.18,23.2,0.016
0.2,24.2,0.018
0.21,25.3,0.018
0.21,26.5,0.018
0.21,27.6,0.019
0.22,28.6,0.019
0.22,29.8,0.019
0.23,30.8,0.02
0.24,29.7,0.021
0.25,30.9,0.022
0.26,31.9,0.022
0.26,33,0.023
0.27,34,0.023
0.28,34.9,0.024
0.28,35.9,0.025
0.28,37.1,0.025
0.29,38.3,0.025
0.3,37.1,0.026
0.3,38.3,0.026
0.31,39.2,0.027
0.33,40.1,0.029
0.33,41.2,0.029
0.33,42.4,0.028
0.34,43.3,0.029
0.35,44.3,0.03
0.36,45.2,0.031
0.35,46.2,0.031
0.37,47.1,0.032
0.38,48.3,0.033
0.39,49.3,0.034
0.39,48.2,0.034
0.39,47.2,0.034
0.4,48.3,0.035
0.4,49.5,0.035
0.41,50.5,0.036
0.42,49.4,0.036
0.42,48.3,0.037
0.42,49.3,0.036
0.43,50.4,0.037
0.45,49.5,0.039
0.45,48.5,0.039
0.44,49.5,0.038
0.44,48.4,0.038
0.44,47.4,0.039
0.45,46.3,0.039
0.45,45.3,0.039
0.44,44.2,0.038
0.44,45.4,0.038
0.43,46.5,0.038
0.43,47.6,0.037
0.44,48.6,0.038
0.45,47.2,0.039
0.45,45.8,0.039
0.45,44.4,0.039
0.44,43.2,0.038
0.43,42,0.038
0.43,40.9,0.037
0.43,39.8,0.037
0.44,38.8,0.038
0.41,37.9,0.035
0.4,36.8,0.035
0.4,35.8,0.035
0.4,34.8,0.035
0.39,33.7,0.034
0.38,32.6,0.033
0.39,31.5,0.034
0.37,30.7,0.032
0.36,29.7,0.031
0.35,28.6,0.03
0.34,27.4,0.029
0.34,26.3,0.03
0.33,25.4,0.029
0.33,24.4,0.028
0.34,23.3,0.029
0.32,22.2,0.028
0.3,21.3,0.026
0.28,20.4,0.025
0.28,19.3,0.024
0.27,18.4,0.023
0.26,17.3,0.023
0.26,16.2,0.022
0.25,15.2,0.022
0.25,14.2,0.022
0.26,13,0.023
0.25,12.1,0.021
0.23,11.1,0.02
0.22,10.2,0.02
0.22,9,0.019
0.21,8,0.019
0.2,7,0.018
0.2,6,0.018
0.19,4.9,0.017
0.21,3.9,0.018
0.19,2.9,0.017
0.18,2,0.016
0.17,1,0.015
0.16,0.1,0.014
0.15,-0.9,0.013
0.16,-2,0.014
0.15,-3,0.013
0.14,-4.4,0.012
0.13,-5.7,0.012
0.12,-7.1,0.011
0.11,-8.4,0.01
0.11,-9.5,0.01
0.1,-10.6,0.009
0.09,-11.6,0.008
0.08,-12.6,0.007
0.07,-13.7,0.006
0.08,-14.7,0.007
0.06,-15.6,0.005
0.04,-16.5,0.004
0.04,-17.5,0.003
0.03,-18.5,0.002
0.02,-19.5,0.002
0.02,-20.6,0.002
0.02,-21.6,0.002
0.01,-22.5,0.001
0.01,-23.6,0.001
0,-24.6,0
-0,-25.6,-0
-0.03,-26.5,-0.002
-0.04,-27.5,-0.003
-0.06,-28.3,-0.005
-0.06,-27.3,-0.005
-0.04,-26.3,-0.003
-0.05,-25.4,-0.005
-0.06,-24.3,-0.006
-0.06,-23.3,-0.006
-0.06,-22.2,-0.005
-0.05,-21.2,-0.005
-0.04,-20.2,-0.003
-0.03,-19.2,-0.003
-0.04,-18.1,-0.003
-0.03,-17.1,-0.003
-0.03,-16.1,-0.002
-0.02,-15.1,-0.002
-0,-14.1,-0
-0,-13.1,-0
-0.01,-12,-0.001
-0.01,-10.9,-0.001
-0.01,-9.9,-0.001
