Test unit,test 8
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.75,-34.5,-0.05
-0.63,-32.8,-0.042
-0.63,-24.1,-0.042
-0.5,-23.3,-0.034
-0.5,-15.5,-0.034
-0.38,-14.7,-0.025
-0.38,-8.6,-0.025
-0.25,-7.8,-0.017
-0.25,-2.6,-0.017
-0.13,-1.7,-0.008
-0.13,-0,-0.008
NaN,NaN,NaN
-0.13,-0,-0.008
-0.13,2.6,-0.008
0,3.5,0
0,8.6,0
0.13,9.5,0.008
0.13,12.9,0.008
0.25,13.8,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,22.4,0.025
0.5,23.3,0.034
0.5,26.7,0.034
0.63,27.6,0.042
0.63,31,0.042
0.75,31.9,0.05
0.75,34.5,0.05
0.75,23.3,0.05
0.63,22.4,0.042
0.63,15.5,0.042
0.5,14.7,0.034
0.5,9.5,0.034
0.38,8.6,0.025
0.38,2.6,0.025
0.25,1.7,0.017
0.25,-2.6,0.017
0.13,-3.5,0.008
0.13,-8.6,0.008
0,-9.5,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-19,-0.008
-0.25,-19.8,-0.017
-0.25,-24.1,-0.017
-0.38,-25,-0.025
-0.38,-29.3,-0.025
-0.5,-30.2,-0.034
-0.5,-33.6,-0.034
-0.63,-34.5,-0.042
-0.63,-37.9,-0.042
-0.75,-38.8,-0.05
-0.75,-34.5,-0.05
-0.63,-33.6,-0.042
-0.63,-24.1,-0.042
-0.5,-23.3,-0.034
-0.5,-16.4,-0.034
-0.38,-15.5,-0.025
-0.38,-8.6,-0.025
-0.25,-7.8,-0.017
-0.25,-3.5,-0.017
-0.13,-2.6,-0.008
-0.13,-0,-0.008
NaN,NaN,NaN
-0.13,-0,-0.008
-0.13,2.6,-0.008
0,3.5,0
0,8.6,0
0.13,9.5,0.008
0.13,12.9,0.008
0.25,13.8,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,22.4,0.025
0.5,23.3,0.034
0.5,26.7,0.034
0.63,27.6,0.042
0.63,31.9,0.042
0.75,32.8,0.05
0.75,35.3,0.05
0.88,36.2,0.059
0.88,37.9,0.059
1,38.8,0.067
1,39.7,0.067
1,28.5,0.067
0.88,27.6,0.059
0.88,21.6,0.059
0.75,20.7,0.05
0.75,15.5,0.05
0.63,14.7,0.042
0.63,9.5,0.042
0.5,8.6,0.034
0.5,4.3,0.034
0.38,3.5,0.025
0.38,-0.9,0.025
0.25,-1.7,0.017
0.25,-6,0.017
0.13,-6.9,0.008
0.13,-10.4,0.008
0,-11.2,0
0,-15.5,0
-0.13,-16.4,-0.008
-0.13,-20.7,-0.008
-0.25,-21.6,-0.017
-0.25,-25.9,-0.017
-0.38,-26.7,-0.025
-0.38,-31,-0.025
-0.5,-31.9,-0.034
-0.5,-35.3,-0.034
-0.63,-36.2,-0.042
-0.63,-39.7,-0.042
-0.75,-40.5,-0.05
-0.75,-42.2,-0.05
-1.01,-44,-0.067
-0.88,-44,-0.059
-1.01,-39.7,-0.067
-0.88,-38.8,-0.059
-0.88,-30.2,-0.059
-0.75,-29.3,-0.05
-0.75,-22.4,-0.05
-0.63,-21.6,-0.042
-0.63,-15.5,-0.042
-0.5,-14.7,-0.034
-0.5,-10.4,-0.034
-0.38,-9.5,-0.025
-0.38,-4.3,-0.025
-0.25,-3.5,-0.017
-0.25,-0,-0.017
NaN,NaN,NaN
-0.13,0.9,-0.008
-0.13,5.2,-0.008
0,6,0
0,10.4,0
0.13,11.2,0.008
0.13,13.8,0.008
0.25,14.7,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,22.4,0.025
0.5,23.3,0.034
0.5,26.7,0.034
0.63,27.6,0.042
0.63,30.2,0.042
0.75,31,0.05
0.75,34.5,0.05
0.88,35.3,0.059
0.88,37.9,0.059
1,38.8,0.067
1,40.5,0.067
1,30.2,0.067
0.88,29.3,0.059
0.88,23.3,0.059
0.75,22.4,0.05
0.75,16.4,0.05
0.63,15.5,0.042
0.63,10.4,0.042
0.5,9.5,0.034
0.5,5.2,0.034
0.38,4.3,0.025
0.38,-0,0.025
0.25,-0.9,0.017
0.25,-4.3,0.017
0.13,-5.2,0.008
0.13,-9.5,0.008
0,-10.4,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-19,-0.008
-0.25,-19.8,-0.017
-0.25,-22.4,-0.017
-0.38,-23.3,-0.025
-0.38,-27.6,-0.025
-0.5,-28.5,-0.034
-0.5,-32.8,-0.034
-0.63,-33.6,-0.042
-0.63,-37.1,-0.042
-0.75,-37.9,-0.05
-0.75,-41.4,-0.05
-0.88,-42.2,-0.059
-0.88,-44,-0.059
-1.01,-44.8,-0.067
-1.01,-40.5,-0.067
-0.88,-38.8,-0.059
-0.88,-31,-0.059
-0.75,-30.2,-0.05
-0.75,-23.3,-0.05
-0.63,-22.4,-0.042
-0.63,-15.5,-0.042
-0.5,-14.7,-0.034
-0.5,-9.5,-0.034
-0.38,-8.6,-0.025
-0.38,-4.3,-0.025
-0.25,-3.5,-0.017
-0.25,-0,-0.017
NaN,NaN,NaN
-0.13,0.9,-0.008
-0.13,5.2,-0.008
0,6,0
0,9.5,0
0.13,10.4,0.008
0.13,14.7,0.008
0.25,15.5,0.017
0.25,14.7,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,22.4,0.025
0.5,23.3,0.034
0.5,26.7,0.034
0.63,27.6,0.042
0.63,30.2,0.042
0.75,31,0.05
0.75,34.5,0.05
0.88,35.3,0.059
0.88,37.9,0.059
1,38.8,0.067
1,41.4,0.067
1,30.2,0.067
0.88,29.3,0.059
0.88,23.3,0.059
0.75,22.4,0.05
0.75,16.4,0.05
0.63,15.5,0.042
0.63,11.2,0.042
0.5,10.4,0.034
0.5,5.2,0.034
0.38,4.3,0.025
0.38,0.9,0.025
0.25,-0,0.017
0.25,-4.3,0.017
0.13,-5.2,0.008
0.13,-8.6,0.008
0,-9.5,0
0,-12.9,0
-0.13,-13.8,-0.008
-0.13,-18.1,-0.008
-0.25,-19,-0.017
-0.25,-22.4,-0.017
-0.38,-23.3,-0.025
-0.38,-26.7,-0.025
-0.5,-27.6,-0.034
-0.5,-31.9,-0.034
-0.63,-32.8,-0.042
-0.63,-36.2,-0.042
-0.75,-37.1,-0.05
-0.75,-40.5,-0.05
-0.88,-41.4,-0.059
-0.88,-44.8,-0.059
-1.01,-44,-0.067
-1.01,-40.5,-0.067
-0.88,-39.7,-0.059
-0.88,-31,-0.059
-0.75,-30.2,-0.05
-0.75,-23.3,-0.05
-0.63,-22.4,-0.042
-0.63,-16.4,-0.042
-0.5,-15.5,-0.034
-0.5,-10.4,-0.034
-0.38,-9.5,-0.025
-0.38,-4.3,-0.025
-0.25,-3.5,-0.017
-0.25,-0,-0.017
NaN,NaN,NaN
-0.13,0.9,-0.008
-0.13,5.2,-0.008
0,6,0
0,9.5,0
0.13,10.4,0.008
0.13,13.8,0.008
0.25,14.7,0.017
0.25,18.1,0.017
0.38,19,0.025
0.38,22.4,0.025
0.5,23.3,0.034
0.5,26.7,0.034
0.63,27.6,0.042
0.63,30.2,0.042
0.75,31,0.05
0.75,34.5,0.05
0.88,35.3,0.059
0.88,38.8,0.059
1,39.7,0.067
1,42.2,0.067
1.26,44,0.084
1.26,45.7,0.084
1.38,46.6,0.092
1.51,47.4,0.1
1.51,38.8,0.1
1.38,37.9,0.092
1.38,31.9,0.092
1.26,31,0.084
1.26,25.9,0.084
1.13,25,0.075
1.13,20.7,0.075
1,19.8,0.067
1,16.4,0.067
0.88,15.5,0.059
0.88,11.2,0.059
0.75,10.4,0.05
0.75,7.8,0.05
0.63,6.9,0.042
0.63,3.5,0.042
0.5,2.6,0.034
0.5,-0.9,0.034
0.38,-1.7,0.025
0.38,-4.3,0.025
0.25,-5.2,0.017
0.25,-8.6,0.017
0.13,-9.5,0.008
0.13,-12.9,0.008
0,-13.8,0
0,-17.2,0
-0.13,-18.1,-0.008
-0.13,-21.6,-0.008
-0.25,-22.4,-0.017
-0.25,-25.9,-0.017
-0.38,-26.7,-0.025
-0.38,-31,-0.025
-0.5,-31.9,-0.034
-0.5,-35.3,-0.034
-0.63,-36.2,-0.042
-0.63,-39.7,-0.042
-0.75,-40.5,-0.05
-0.75,-44,-0.05
-0.88,-44.8,-0.059
-0.88,-46.6,-0.059
-1.01,-47.4,-0.067
-1.01,-49.1,-0.067
-1.26,-50.9,-0.084
-1.26,-51.7,-0.084
-1.38,-52.6,-0.092
-1.38,-53.4,-0.092
-1.51,-52.6,-0.1
-1.51,-50,-0.1
-1.38,-49.1,-0.092
-1.38,-39.7,-0.092
-1.26,-38.8,-0.084
-1.26,-32.8,-0.084
-1.13,-31.9,-0.075
-1.13,-27.6,-0.075
-1.01,-26.7,-0.067
-1.01,-21.6,-0.067
-0.88,-20.7,-0.059
-0.88,-16.4,-0.059
-0.75,-15.5,-0.05
-0.75,-11.2,-0.05
-0.63,-10.4,-0.042
-0.63,-6.9,-0.042
-0.5,-6,-0.034
-0.5,-2.6,-0.034
-0.38,-1.7,-0.025
-0.38,-0,-0.025
NaN,NaN,NaN
-0.38,-0,-0.025
-0.38,1.7,-0.025
-0.25,2.6,-0.017
-0.25,5.2,-0.017
-0.13,6,-0.008
-0.13,8.6,-0.008
0,9.5,0
0,12.9,0
0.13,13.8,0.008
0.13,12.9,0.008
0.13,16.4,0.008
0.25,17.2,0.017
0.25,19.8,0.017
0.38,20.7,0.025
0.38,23.3,0.025
0.5,24.1,0.034
0.5,26.7,0.034
0.63,27.6,0.042
0.63,30.2,0.042
0.75,31,0.05
0.75,32.8,0.05
0.88,33.6,0.059
0.88,36.2,0.059
1,37.1,0.067
1,39.7,0.067
1.13,40.5,0.075
1.13,42.2,0.075
1.26,43.1,0.084
1.26,45.7,0.084
1.38,46.6,0.092
1.38,47.4,0.092
1.51,48.3,0.1
1.51,49.1,0.1
1.51,40.5,0.1
1.38,39.7,0.092
1.38,33.6,0.092
1.26,32.8,0.084
1.26,27.6,0.084
1.13,26.7,0.075
1.13,22.4,0.075
1,21.6,0.067
1,17.2,0.067
0.88,16.4,0.059
0.88,12.9,0.059
0.75,12.1,0.05
0.75,9.5,0.05
0.63,8.6,0.042
0.63,5.2,0.042
0.5,4.3,0.034
0.5,1.7,0.034
0.38,0.9,0.025
0.38,-2.6,0.025
0.25,-3.5,0.017
0.25,-6,0.017
0.13,-6.9,0.008
0.13,-10.4,0.008
0,-11.2,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-18.1,-0.008
-0.25,-19,-0.017
-0.25,-22.4,-0.017
-0.38,-23.3,-0.025
-0.38,-25.9,-0.025
-0.5,-26.7,-0.034
-0.5,-30.2,-0.034
-0.63,-31,-0.042
-0.63,-33.6,-0.042
-0.75,-34.5,-0.05
-0.75,-37.9,-0.05
-0.88,-38.8,-0.059
-0.88,-41.4,-0.059
-1.01,-42.2,-0.067
-1.01,-44.8,-0.067
-1.13,-45.7,-0.075
-1.13,-48.3,-0.075
-1.26,-49.1,-0.084
-1.26,-51.7,-0.084
-1.51,-53.4,-0.1
-1.38,-53.4,-0.092
-1.51,-50.9,-0.1
-1.38,-49.1,-0.092
-1.38,-41.4,-0.092
-1.26,-40.5,-0.084
-1.26,-33.6,-0.084
-1.13,-32.8,-0.075
-1.13,-27.6,-0.075
-1.01,-26.7,-0.067
-1.01,-21.6,-0.067
-0.88,-20.7,-0.059
-0.88,-16.4,-0.059
-0.75,-15.5,-0.05
-0.75,-11.2,-0.05
-0.63,-10.4,-0.042
-0.63,-6.9,-0.042
-0.5,-6,-0.034
-0.5,-2.6,-0.034
-0.38,-1.7,-0.025
-0.38,-0,-0.025
NaN,NaN,NaN
-0.38,-0,-0.025
-0.38,1.7,-0.025
-0.25,2.6,-0.017
-0.25,5.2,-0.017
-0.13,6,-0.008
-0.13,8.6,-0.008
0,9.5,0
0,12.9,0
0.13,12.1,0.008
0.13,16.4,0.008
0.25,17.2,0.017
0.25,19,0.017
0.38,19.8,0.025
0.38,23.3,0.025
0.5,24.1,0.034
0.5,25.9,0.034
0.63,26.7,0.042
0.63,29.3,0.042
0.75,30.2,0.05
0.75,32.8,0.05
0.88,33.6,0.059
0.88,35.3,0.059
1,36.2,0.067
1,38.8,0.067
1.13,39.7,0.075
1.13,42.2,0.075
1.26,43.1,0.084
1.26,45.7,0.084
1.38,46.6,0.092
1.38,48.3,0.092
1.51,49.1,0.1
1.51,50,0.1
1.51,38.8,0.1
1.38,37.9,0.092
1.38,31.9,0.092
1.26,31,0.084
1.26,25.9,0.084
1.13,25,0.075
1.13,20.7,0.075
1,19.8,0.067
1,16.4,0.067
0.88,15.5,0.059
0.88,12.1,0.059
0.75,11.2,0.05
0.75,7.8,0.05
0.63,6.9,0.042
0.63,4.3,0.042
0.5,3.5,0.034
0.5,-0,0.034
0.38,-0.9,0.025
0.38,-3.5,0.025
0.25,-4.3,0.017
0.25,-6.9,0.017
0.13,-7.8,0.008
0.13,-10.4,0.008
0,-11.2,0
0,-14.7,0
-0.13,-15.5,-0.008
-0.13,-18.1,-0.008
-0.25,-19,-0.017
-0.25,-22.4,-0.017
-0.38,-23.3,-0.025
-0.38,-25.9,-0.025
-0.5,-26.7,-0.034
-0.5,-30.2,-0.034
-0.63,-31,-0.042
-0.63,-33.6,-0.042
-0.75,-34.5,-0.05
-0.75,-37.9,-0.05
-0.88,-38.8,-0.059
-0.88,-41.4,-0.059
-1.01,-42.2,-0.067
-1.01,-45.7,-0.067
-1.13,-46.6,-0.075
-1.13,-49.1,-0.075
-1.26,-50,-0.084
-1.26,-52.6,-0.084
-1.38,-53.4,-0.092
-1.38,-55.2,-0.092
-1.51,-54.3,-0.1
-1.51,-49.1,-0.1
-1.38,-50,-0.092
-1.38,-38.8,-0.092
-1.26,-37.9,-0.084
-1.26,-31,-0.084
-1.13,-30.2,-0.075
-1.13,-25,-0.075
-1.01,-24.1,-0.067
-1.01,-19.8,-0.067
-0.88,-19,-0.059
-0.88,-14.7,-0.059
-0.75,-13.8,-0.05
-0.75,-9.5,-0.05
-0.63,-8.6,-0.042
-0.63,-5.2,-0.042
-0.5,-4.3,-0.034
-0.5,-0.9,-0.034
-0.38,-0,-0.025
NaN,NaN,NaN
-0.38,-0,-0.025
-0.38,2.6,-0.025
-0.25,3.5,-0.017
-0.25,6,-0.017
-0.13,6.9,-0.008
-0.13,9.5,-0.008
0,10.4,0
0,12.9,0
0.13,13.8,0.008
0.13,16.4,0.008
0.25,17.2,0.017
0.25,19.8,0.017
0.38,20.7,0.025
0.38,23.3,0.025
0.5,24.1,0.034
