Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.35,2.2,0.023
0.35,0.3,0.023
0.21,-0.3,0.014
0.21,-2.2,0.014
0.07,-2.8,0.005
0.07,-5.3,0.005
-0.07,-6,-0.005
-0.07,-7.8,-0.005
-0.21,-8.5,-0.014
-0.21,-10.3,-0.014
-0.35,-11,-0.024
-0.35,-12.2,-0.024
-0.49,-12.9,-0.033
-0.49,-14.7,-0.033
-0.64,-15.4,-0.042
-0.64,-17.2,-0.042
-0.78,-17.9,-0.052
-0.78,-19.8,-0.052
-0.92,-20.4,-0.061
-0.92,-21.6,-0.061
-1.06,-22.3,-0.07
-1.06,-24.1,-0.07
-1.2,-24.8,-0.08
-1.2,-26,-0.08
-1.34,-26.7,-0.089
-1.34,-27.9,-0.089
-1.48,-28.5,-0.099
-1.48,-24.1,-0.099
-1.34,-23.5,-0.089
-1.34,-19.8,-0.089
-1.2,-19.1,-0.08
-1.2,-16,-0.08
-1.06,-15.4,-0.07
-1.06,-12.9,-0.07
-0.92,-12.2,-0.061
-0.92,-9.7,-0.061
-0.78,-9.1,-0.052
-0.78,-7.2,-0.052
-0.64,-6.6,-0.042
-0.64,-4.1,-0.042
-0.49,-3.4,-0.033
-0.49,-1.6,-0.033
-0.35,-0.9,-0.024
-0.35,0.3,-0.024
NaN,NaN,NaN
-0.21,0.9,-0.014
-0.21,3.4,-0.014
-0.07,4.1,-0.005
-0.07,6,-0.005
0.07,6.6,0.005
0.07,8.5,0.005
0.21,9.1,0.014
0.21,11,0.014
0.35,11.6,0.023
0.35,14.1,0.023
0.49,14.7,0.033
0.49,16.6,0.033
0.63,17.2,0.042
0.63,18.5,0.042
0.77,19.1,0.052
0.77,21,0.052
0.92,21.6,0.061
0.92,23.5,0.061
1.06,24.1,0.07
1.06,25.4,0.07
1.2,26,0.08
1.2,27.9,0.08
1.34,28.5,0.089
1.34,30.4,0.089
1.48,31,0.099
1.48,32.3,0.099
1.48,24.1,0.099
1.34,23.5,0.089
1.34,19.7,0.089
1.2,19.1,0.08
1.2,16,0.08
1.06,15.4,0.07
1.06,13.5,0.07
0.92,12.8,0.061
0.92,10.3,0.061
0.77,9.7,0.052
0.77,7.8,0.052
0.63,7.2,0.042
0.63,5.3,0.042
0.49,4.7,0.033
0.49,2.2,0.033
0.35,1.6,0.023
0.35,-0.3,0.023
0.21,-0.9,0.014
0.21,-2.8,0.014
0.07,-3.4,0.005
0.07,-5.3,0.005
-0.07,-6,-0.005
-0.07,-7.8,-0.005
-0.21,-8.5,-0.014
-0.21,-10.3,-0.014
-0.35,-11,-0.024
-0.35,-12.9,-0.024
-0.49,-13.5,-0.033
-0.49,-14.7,-0.033
-0.64,-15.4,-0.042
-0.64,-17.2,-0.042
-0.78,-17.9,-0.052
-0.78,-19.1,-0.052
-0.92,-19.8,-0.061
-0.92,-21.6,-0.061
-1.06,-22.3,-0.07
-1.06,-24.1,-0.07
-1.2,-24.8,-0.08
-1.2,-26,-0.08
-1.34,-26.7,-0.089
-1.34,-28.5,-0.089
-1.48,-29.2,-0.099
-1.48,-22.9,-0.099
-1.34,-22.3,-0.089
-1.34,-19.1,-0.089
-1.2,-18.5,-0.08
-1.2,-15.4,-0.08
