Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.49,-10.3,-0.033
-0.49,-6.6,-0.033
-0.35,-6,-0.024
-0.35,-2.8,-0.024
-0.21,-2.2,-0.014
-0.21,-0.3,-0.014
NaN,NaN,NaN
-0.21,0.3,-0.014
-0.21,0.9,-0.014
-0.07,1.6,-0.005
-0.07,4.7,-0.005
0.07,5.3,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,14.7,0.023
0.49,15.4,0.033
0.49,18.5,0.033
0.63,19.1,0.042
0.63,21.6,0.042
0.77,22.3,0.052
0.77,23.5,0.052
0.77,16.6,0.052
0.63,16,0.042
0.63,12.2,0.042
0.49,11.6,0.033
0.49,7.8,0.033
0.35,7.2,0.023
0.35,4.1,0.023
0.21,3.4,0.014
0.21,0.3,0.014
0.07,-0.3,0.005
0.07,-3.4,0.005
-0.07,-4.1,-0.005
-0.07,-6.6,-0.005
-0.21,-7.2,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-13.5,-0.024
-0.49,-14.1,-0.033
-0.49,-16.6,-0.033
-0.64,-17.2,-0.042
-0.64,-19.1,-0.042
-0.78,-18.5,-0.052
-0.78,-16.6,-0.052
-0.64,-16,-0.042
-0.64,-11,-0.042
-0.49,-10.3,-0.033
-0.49,-6.6,-0.033
-0.35,-6,-0.024
-0.35,-2.8,-0.024
-0.21,-2.2,-0.014
-0.21,-0.3,-0.014
NaN,NaN,NaN
-0.07,0.9,-0.005
-0.07,4.1,-0.005
0.07,4.7,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,14.7,0.023
0.49,15.4,0.033
0.49,17.9,0.033
0.63,18.5,0.042
0.63,21.6,0.042
0.77,22.3,0.052
0.77,24.1,0.052
0.92,24.8,0.061
0.92,26,0.061
1.06,26.6,0.07
1.06,21,0.07
0.92,20.4,0.061
0.92,16.6,0.061
0.77,16,0.052
0.77,12.8,0.052
0.63,12.2,0.042
0.63,8.5,0.042
0.49,7.8,0.033
0.49,5.3,0.033
0.35,4.7,0.023
0.35,1.6,0.023
0.21,0.9,0.014
0.21,-1.6,0.014
0.07,-2.2,0.005
0.07,-4.7,0.005
-0.07,-5.3,-0.005
-0.07,-7.8,-0.005
-0.21,-8.5,-0.014
-0.21,-11,-0.014
-0.35,-11.6,-0.024
-0.35,-14.1,-0.024
-0.49,-14.7,-0.033
-0.49,-17.2,-0.033
-0.64,-17.9,-0.042
-0.64,-19.8,-0.042
-0.78,-20.4,-0.052
-0.78,-21.6,-0.052
-0.92,-22.3,-0.061
-0.92,-22.9,-0.061
-0.92,-16,-0.061
-0.78,-15.4,-0.052
-0.78,-11.6,-0.052
-0.64,-11,-0.042
-0.64,-7.8,-0.042
-0.49,-7.2,-0.033
-0.49,-4.1,-0.033
-0.35,-3.4,-0.024
-0.35,-0.9,-0.024
-0.21,-0.3,-0.014
NaN,NaN,NaN
-0.21,0.3,-0.014
-0.21,2.2,-0.014
-0.07,2.8,-0.005
-0.07,5.3,-0.005
0.07,6,0.005
0.07,8.5,0.005
0.21,9.1,0.014
0.21,11,0.014
0.35,11.6,0.023
0.35,14.1,0.023
0.49,14.7,0.033
0.49,17.2,0.033
0.63,17.9,0.042
0.63,20.4,0.042
0.77,21,0.052
0.77,22.9,0.052
0.92,23.5,0.061
0.92,25.4,0.061
1.06,26,0.07
1.06,26.6,0.07
1.06,21,0.07
0.92,20.4,0.061
0.92,16.6,0.061
0.77,16,0.052
0.77,12.8,0.052
0.63,12.2,0.042
0.63,9.1,0.042
0.49,8.5,0.033
0.49,5.3,0.033
0.35,4.7,0.023
0.35,2.2,0.023
0.21,1.6,0.014
0.21,-0.9,0.014
0.07,-1.6,0.005
0.07,-4.1,0.005
-0.07,-4.7,-0.005
-0.07,-7.2,-0.005
-0.21,-7.8,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-12.9,-0.024
-0.49,-13.5,-0.033
-0.49,-16,-0.033
-0.64,-16.6,-0.042
-0.64,-18.5,-0.042
-0.78,-19.1,-0.052
-0.78,-21,-0.052
-0.92,-21.6,-0.061
-0.92,-22.9,-0.061
-0.92,-15.4,-0.061
-0.78,-14.7,-0.052
-0.78,-11.6,-0.052
-0.64,-11,-0.042
-0.64,-7.8,-0.042
-0.49,-7.2,-0.033
-0.49,-4.1,-0.033
-0.35,-3.4,-0.024
-0.35,-0.9,-0.024
-0.21,-0.3,-0.014
NaN,NaN,NaN
-0.21,0.3,-0.014
-0.21,2.2,-0.014
-0.07,2.8,-0.005
-0.07,5.3,-0.005
0.07,6,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11,0.014
0.35,11.6,0.023
0.35,14.1,0.023
0.49,14.7,0.033
0.49,17.2,0.033
0.63,17.9,0.042
0.63,19.7,0.042
0.77,20.4,0.052
0.77,22.9,0.052
0.92,23.5,0.061
0.92,25.4,0.061
1.06,26,0.07
1.06,26.6,0.07
1.06,21,0.07
0.92,20.4,0.061
0.92,17.2,0.061
0.77,16.6,0.052
0.77,12.8,0.052
0.63,12.2,0.042
0.63,9.1,0.042
0.49,8.5,0.033
0.49,5.3,0.033
0.35,4.7,0.023
0.35,2.2,0.023
0.21,1.6,0.014
0.21,-0.9,0.014
0.07,-1.6,0.005
0.07,-4.1,0.005
-0.07,-4.7,-0.005
-0.07,-6.6,-0.005
-0.21,-7.2,-0.014
-0.21,-9.7,-0.014
-0.35,-10.3,-0.024
-0.35,-12.9,-0.024
-0.49,-13.5,-0.033
-0.49,-15.4,-0.033
-0.64,-16,-0.042
-0.64,-18.5,-0.042
-0.78,-19.1,-0.052
-0.78,-21,-0.052
-0.92,-21.6,-0.061
-0.92,-22.3,-0.061
-0.92,-16,-0.061
-0.78,-15.4,-0.052
-0.78,-11.6,-0.052
-0.64,-11,-0.042
-0.64,-7.8,-0.042
-0.49,-7.2,-0.033
-0.49,-4.1,-0.033
-0.35,-3.4,-0.024
-0.35,-0.9,-0.024
-0.21,-0.3,-0.014
-0.21,0.3,-0.014
NaN,NaN,NaN
-0.21,0.3,-0.014
-0.21,2.2,-0.014
-0.07,2.8,-0.005
-0.07,4.7,-0.005
0.07,5.3,0.005
0.07,7.8,0.005
0.21,8.5,0.014
0.21,11,0.014
0.35,11.6,0.023
0.35,14.1,0.023
0.49,14.7,0.033
0.49,17.2,0.033
0.63,17.9,0.042
0.63,20.4,0.042
0.77,21,0.052
0.77,22.9,0.052
0.92,23.5,0.061
0.92,25.4,0.061
1.06,26,0.07
1.06,27.9,0.07
1.2,28.5,0.08
1.2,29.8,0.08
1.48,31,0.099
1.48,31.7,0.099
1.48,24.1,0.099
1.34,23.5,0.089
1.34,20.4,0.089
1.2,19.7,0.08
1.2,16.6,0.08
1.06,16,0.07
1.06,13.5,0.07
0.92,12.8,0.061
0.92,11,0.061
0.77,10.3,0.052
0.77,7.8,0.052
0.63,7.2,0.042
0.63,4.7,0.042
0.49,4.1,0.033
0.49,2.2,0.033
0.35,1.6,0.023
0.35,-0.9,0.023
0.21,-1.6,0.014
0.21,-3.4,0.014
0.07,-4.1,0.005
0.07,-6.6,0.005
-0.07,-7.2,-0.005
-0.07,-9.1,-0.005
-0.21,-9.7,-0.014
-0.21,-11.6,-0.014
-0.35,-12.2,-0.024
-0.35,-14.1,-0.024
-0.49,-14.7,-0.033
-0.49,-16.6,-0.033
-0.64,-17.2,-0.042
-0.64,-19.8,-0.042
-0.78,-20.4,-0.052
-0.78,-21.6,-0.052
-0.92,-22.3,-0.061
-0.92,-24.1,-0.061
-1.2,-25.4,-0.08
-1.2,-27.3,-0.08
-1.48,-28.5,-0.099
-1.34,-28.5,-0.089
-1.48,-23.5,-0.099
-1.34,-22.9,-0.089
-1.34,-19.8,-0.089
-1.2,-19.1,-0.08
-1.2,-16,-0.08
-1.06,-15.4,-0.07
-1.06,-12.2,-0.07
-0.92,-11.6,-0.061
-0.92,-9.7,-0.061
-0.78,-9.1,-0.052
-0.78,-6.6,-0.052
-0.64,-6,-0.042
-0.64,-4.1,-0.042
-0.49,-3.4,-0.033
-0.49,-1.6,-0.033
-0.35,-0.9,-0.024
-0.35,0.3,-0.024
NaN,NaN,NaN
-0.21,0.9,-0.014
-0.21,3.4,-0.014
-0.07,4.1,-0.005
-0.07,6,-0.005
0.07,6.6,0.005
0.07,9.1,0.005
0.21,9.7,0.014
0.21,11.6,0.014
0.35,12.2,0.023
0.35,14.1,0.023
0.49,14.7,0.033
0.49,16.6,0.033
0.63,17.2,0.042
0.63,19.1,0.042
0.77,19.7,0.052
0.77,21.6,0.052
0.92,22.3,0.061
0.92,23.5,0.061
1.06,24.1,0.07
1.06,26,0.07
1.2,26.6,0.08
1.2,28.5,0.08
1.34,29.2,0.089
1.34,30.4,0.089
1.48,31,0.099
1.48,32.3,0.099
1.48,24.8,0.099
1.34,24.1,0.089
1.34,21,0.089
1.2,20.4,0.08
1.2,17.2,0.08
1.06,16.6,0.07
1.06,14.1,0.07
0.92,13.5,0.061
0.92,11,0.061
0.77,10.3,0.052
0.77,8.5,0.052
0.63,7.8,0.042
0.63,6,0.042
0.49,5.3,0.033
0.49,2.8,0.033
