Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.15,-25.6,0.011
0.14,-26.7,0.011
0.13,-27.9,0.01
0.12,-28.8,0.01
0.12,-30.2,0.009
0.11,-31.2,0.009
0.11,-32,0.009
0.11,-32.5,0.008
0.1,-33.4,0.008
0.1,-34.6,0.008
0.09,-35.8,0.007
0.09,-36.7,0.007
0.09,-37.5,0.007
0.08,-38.2,0.007
0.08,-39,0.006
0.09,-39.7,0.007
0.09,-40.8,0.007
0.08,-41.9,0.006
0.07,-43.1,0.005
0.06,-44.1,0.005
0.05,-44.7,0.004
0.05,-45.1,0.004
0.05,-45.4,0.004
0.05,-46.4,0.004
0.05,-47.6,0.004
0.05,-48.6,0.004
0.04,-49.7,0.003
0.04,-50.6,0.003
0.03,-51.5,0.003
0.03,-52.3,0.002
0.02,-53,0.002
0.02,-53.2,0.002
0.03,-53.6,0.002
0.02,-54.2,0.002
0.01,-54.7,0.001
0,-55,0
0,-55.9,0
-0.01,-57.2,-0.001
-0.01,-58.2,-0.001
-0.01,-59.1,-0.001
-0.01,-60.1,-0.001
-0.02,-60.4,-0.001
-0.02,-61.1,-0.001
-0.02,-62.2,-0.002
-0.03,-62.8,-0.002
-0.03,-63,-0.002
-0.03,-62.9,-0.002
-0.03,-63.6,-0.003
-0.03,-64.6,-0.002
-0.02,-64.8,-0.002
-0.03,-65,-0.002
-0.04,-66,-0.003
-0.05,-66.6,-0.004
-0.05,-67.2,-0.004
-0.06,-68,-0.005
-0.06,-68,-0.005
-0.06,-68.9,-0.005
-0.07,-69.4,-0.005
-0.07,-70,-0.005
-0.08,-70.4,-0.006
-0.08,-70.7,-0.006
-0.08,-71.6,-0.006
-0.09,-71.9,-0.007
-0.09,-72.5,-0.007
-0.1,-73,-0.008
-0.09,-72.9,-0.007
-0.08,-73.2,-0.006
-0.09,-74.2,-0.007
-0.1,-74.3,-0.008
-0.11,-74,-0.008
-0.11,-73.7,-0.009
-0.11,-74,-0.009
-0.11,-75.5,-0.009
-0.12,-77,-0.01
-0.13,-77.3,-0.01
-0.13,-77,-0.01
-0.13,-76.5,-0.01
-0.13,-75.9,-0.01
-0.13,-75.1,-0.01
-0.13,-75,-0.01
-0.13,-76,-0.01
-0.13,-77.9,-0.01
-0.12,-78.9,-0.009
-0.13,-79,-0.01
-0.13,-78.6,-0.011
-0.14,-78.2,-0.011
-0.14,-78.2,-0.011
-0.15,-79,-0.012
-0.15,-80.3,-0.012
-0.15,-81,-0.012
-0.16,-81.5,-0.012
-0.16,-81.4,-0.012
-0.16,-81,-0.012
-0.16,-79.9,-0.013
-0.16,-79.2,-0.013
-0.16,-79.3,-0.013
-0.16,-79.7,-0.013
-0.16,-80.3,-0.013
-0.16,-81.6,-0.012
-0.15,-82,-0.012
-0.16,-81.7,-0.012
-0.16,-81.3,-0.013
-0.17,-81.1,-0.013
-0.17,-81.3,-0.013
-0.18,-82.2,-0.014
-0.18,-83.1,-0.014
-0.18,-83.3,-0.014
-0.18,-83.1,-0.014
-0.18,-82.3,-0.014
-0.19,-80.5,-0.015
-0.19,-79.1,-0.015
-0.19,-78.8,-0.015
-0.19,-78.8,-0.015
-0.19,-78.9,-0.015
-0.19,-78.9,-0.015
-0.18,-78.7,-0.014
-0.18,-77.9,-0.014
-0.19,-77.3,-0.015
-0.19,-77,-0.015
-0.2,-77.2,-0.016
-0.2,-78,-0.015
-0.2,-79,-0.015
-0.19,-79.7,-0.015
-0.19,-79.5,-0.015
-0.19,-79.4,-0.015
-0.19,-79.3,-0.015
-0.19,-79.1,-0.015
-0.19,-78.7,-0.015
-0.19,-78.5,-0.015
-0.19,-78.2,-0.015
-0.19,-78.1,-0.015
-0.19,-77.3,-0.015
-0.18,-76.2,-0.014
-0.19,-75.1,-0.015
-0.2,-73.9,-0.016
-0.2,-72.8,-0.016
-0.21,-71.5,-0.016
-0.21,-70.3,-0.017
-0.21,-69.1,-0.017
-0.22,-67.9,-0.017
-0.22,-66.2,-0.017
-0.22,-64.2,-0.018
-0.23,-62.5,-0.018
-0.23,-61.5,-0.018
-0.23,-60,-0.018
-0.24,-58.3,-0.019
-0.24,-56.4,-0.019
-0.25,-53.7,-0.019
-0.24,-50.8,-0.019
-0.22,-48.6,-0.017
-0.22,-47.5,-0.017
-0.23,-46.9,-0.018
-0.24,-46.3,-0.019
-0.24,-46,-0.019
-0.24,-45.5,-0.019
-0.24,-44.8,-0.019
-0.23,-44,-0.018
-0.23,-43.2,-0.018
-0.24,-42.6,-0.019
-0.23,-42.5,-0.018
-0.23,-41.6,-0.018
-0.23,-40.3,-0.018
-0.23,-39.2,-0.018
-0.22,-38.4,-0.018
-0.23,-37.7,-0.018
-0.22,-37.4,-0.017
-0.21,-36.9,-0.016
-0.21,-36.2,-0.017
-0.22,-35.1,-0.018
-0.22,-33.7,-0.018
-0.22,-32.2,-0.017
-0.22,-31.2,-0.017
-0.21,-30.3,-0.017
-0.21,-29.9,-0.017
-0.21,-29.6,-0.017
-0.21,-28.7,-0.016
-0.2,-27.9,-0.016
-0.2,-27.1,-0.016
-0.2,-26,-0.015
-0.19,-24.9,-0.015
-0.19,-23.7,-0.015
-0.18,-22.6,-0.015
-0.17,-21.6,-0.013
-0.17,-20.8,-0.013
-0.17,-19.8,-0.014
-0.17,-18.8,-0.014
-0.18,-17.9,-0.014
-0.18,-16.7,-0.014
-0.17,-15.6,-0.013
-0.17,-14.6,-0.013
-0.17,-13.4,-0.013
-0.16,-12.4,-0.013
-0.16,-11.5,-0.013
-0.16,-10.5,-0.012
-0.15,-9.5,-0.012
-0.15,-8.5,-0.012
-0.15,-7.3,-0.012
-0.15,-6.3,-0.011
-0.14,-5.2,-0.011
-0.12,-4,-0.01
-0.12,-2.8,-0.01
-0.13,-1.9,-0.01
-0.13,-1.1,-0.011
-0.14,-0.8,-0.011
-0.14,-0.5,-0.011
-0.13,-0.3,-0.01
-0.14,-0.2,-0.011
-0.13,0,-0.01
-0.13,0.5,-0.01
-0.12,1.3,-0.01
-0.12,2.4,-0.01
-0.12,4.6,-0.009
-0.12,8.3,-0.01
-0.12,11.9,-0.01
-0.12,14.7,-0.009
-0.11,16.9,-0.008
-0.09,18.2,-0.007
-0.09,18.5,-0.007
-0.1,18.8,-0.008
-0.1,19.1,-0.008
-0.1,19.9,-0.008
-0.09,21.1,-0.007
-0.08,22.6,-0.007
-0.08,24.2,-0.006
-0.07,25.6,-0.006
-0.07,26.6,-0.005
-0.06,27.8,-0.005
-0.06,28.9,-0.004
-0.05,30,-0.004
-0.04,31.1,-0.003
-0.04,32,-0.003
-0.04,33,-0.003
-0.02,34.1,-0.002
-0.02,35,-0.001
-0.02,35.8,-0.002
-0.03,36.6,-0.003
-0.04,37.5,-0.003
-0.03,38.9,-0.003
-0.03,40.3,-0.002
-0.02,41.6,-0.002
-0.02,42.8,-0.002
-0.02,43.7,-0.001
-0.01,44.4,-0.001
-0.01,45.5,-0.001
-0.01,46.9,-0.001
-0,48.4,-0
-0,49.3,-0
-0,50.2,-0
0,50.9,0
0.02,52,0.002
0.03,52.8,0.002
