Test unit,T2-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.63,38.8,0.051
0.56,33.8,0.045
0.47,29.1,0.038
0.41,23.5,0.033
0.36,21.6,0.029
0.21,10.6,0.017
0.14,5.3,0.011
0.04,-1.3,0.003
-0.04,-7.5,-0.003
-0.13,-13.8,-0.01
-0.22,-20,-0.018
-0.3,-26,-0.024
-0.39,-31.6,-0.031
-0.47,-36.9,-0.038
-0.55,-41,-0.044
-0.62,-44.8,-0.05
-0.69,-47.6,-0.055
-0.74,-49.8,-0.059
-0.79,-51,-0.063
-0.84,-52.3,-0.067
-0.88,-52.9,-0.07
-0.91,-53.8,-0.073
-0.93,-54.2,-0.075
-0.94,-54.2,-0.075
-0.94,-47.9,-0.075
-0.92,-46.6,-0.074
-0.85,-42.6,-0.068
-0.81,-40.4,-0.065
-0.75,-36.9,-0.06
-0.7,-33.8,-0.056
-0.64,-28.8,-0.051
-0.57,-24.7,-0.045
-0.49,-19.7,-0.039
-0.42,-14.7,-0.033
-0.33,-9.4,-0.027
-0.25,-3.4,-0.02
-0.16,1.9,-0.013
-0.07,7.5,-0.006
0.01,13.8,0.001
0.04,12.5,0.003
0.02,9.7,0.002
0.02,12.5,0.002
0.03,13.1,0.003
0.03,11,0.003
0.02,9.4,0.002
0.02,12.5,0.002
0.05,16,0.004
0.14,21.6,0.011
0.19,25.4,0.015
0.33,33.5,0.027
0.42,39.1,0.033
0.5,43.8,0.04
0.58,48.2,0.046
0.64,52.6,0.051
0.71,56.4,0.057
0.77,59.5,0.062
0.82,62.6,0.066
0.87,64.5,0.069
0.92,66.7,0.074
0.94,67.9,0.075
0.97,69.2,0.078
0.99,69.5,0.079
1,69.8,0.08
1.01,68.9,0.081
1,64.2,0.08
0.97,62,0.078
0.94,60.1,0.075
0.92,58.2,0.074
0.87,55.4,0.069
0.82,52.3,0.066
0.77,48.8,0.062
0.71,44.8,0.057
0.64,40.7,0.051
0.57,36,0.045
0.49,31.3,0.039
0.42,26.3,0.033
0.35,22.5,0.028
0.22,13.8,0.018
0.15,8.8,0.012
0.05,2.8,0.004
-0.03,-3.1,-0.003
-0.12,-8.8,-0.009
-0.2,-14.7,-0.016
-0.29,-19.7,-0.023
-0.37,-25.7,-0.03
-0.46,-29.7,-0.037
-0.54,-33.8,-0.043
-0.61,-37.9,-0.049
-0.67,-41,-0.054
-0.74,-43.8,-0.059
-0.78,-46,-0.063
-0.84,-48.2,-0.067
-0.88,-49.8,-0.07
-0.91,-51.3,-0.073
-0.93,-52.3,-0.075
-0.94,-52.3,-0.075
-0.94,-52.6,-0.075
-0.95,-51.3,-0.076
-0.94,-46.6,-0.075
-0.92,-44.8,-0.074
-0.89,-43.2,-0.071
-0.86,-41.3,-0.069
-0.81,-38.8,-0.065
-0.77,-36,-0.062
-0.72,-32.9,-0.057
-0.65,-28.8,-0.052
-0.58,-24.1,-0.046
-0.51,-19.7,-0.041
-0.44,-14.7,-0.035
-0.35,-9.7,-0.028
-0.27,-4.1,-0.021
-0.18,1.3,-0.015
-0.09,7.2,-0.007
0,12.8,0
0.03,13.1,0.003
0.01,9.7,0.001
0.01,9.7,0.001
0.02,12.5,0.002
0.02,13.5,0.002
0.02,9.7,0.002
0.02,12.5,0.002
0.13,21.3,0.01
0.16,23.2,0.013
0.31,32.6,0.025
0.4,37.6,0.032
0.48,42.9,0.039
0.56,47,0.045
0.62,51,0.05
0.7,54.8,0.056
0.75,58.2,0.06
0.82,61.4,0.066
0.87,63.6,0.069
0.91,65.7,0.073
0.94,67.9,0.075
0.96,68.6,0.077
1,69.5,0.08
1,69.8,0.08
1.01,69.5,0.081
