Test unit,E4
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.18,-35.2,-0.016
-0.19,-34.2,-0.017
-0.19,-33,-0.017
-0.19,-31.8,-0.016
-0.17,-30.7,-0.015
-0.17,-29.4,-0.014
-0.15,-28.2,-0.013
-0.13,-27.3,-0.011
-0.14,-26.1,-0.012
-0.13,-24.7,-0.011
-0.12,-23.6,-0.01
-0.1,-22.7,-0.009
-0.1,-21.4,-0.009
-0.09,-20.3,-0.008
-0.06,-19.6,-0.005
-0.07,-18.3,-0.006
-0.06,-17.2,-0.005
-0.05,-16.1,-0.004
-0.03,-15,-0.003
-0.02,-13.9,-0.002
-0.01,-12.7,-0.001
0.01,-11.7,0.001
0.03,-10.8,0.003
0.03,-9.6,0.003
0.04,-8.5,0.003
0.05,-7.4,0.004
0.06,-6.4,0.005
0.07,-5.3,0.006
0.08,-4.2,0.007
0.09,-3.2,0.008
0.1,-2.2,0.009
0.12,-1.2,0.01
0.12,-0.1,0.011
0.14,1,0.012
0.15,2.3,0.013
0.16,3.5,0.014
0.17,5,0.015
0.18,6,0.016
0.19,7.3,0.017
0.21,8.3,0.018
0.22,9.3,0.02
0.26,9.7,0.022
0.25,10.8,0.022
0.26,11.9,0.022
0.26,13.1,0.023
0.27,14.1,0.024
0.28,15.1,0.025
0.3,16.1,0.026
0.31,17.2,0.027
0.33,18.3,0.029
0.35,18.9,0.031
0.35,20.1,0.031
0.36,21.1,0.032
0.38,22.1,0.033
0.4,23.1,0.034
0.41,24.1,0.036
0.43,25,0.037
0.44,26,0.039
0.47,26.6,0.041
0.47,27.7,0.041
0.49,28.7,0.042
0.5,29.7,0.044
0.53,30.5,0.046
0.56,30.7,0.049
0.56,31.8,0.049
0.58,32.7,0.05
0.6,33.4,0.052
0.63,33.4,0.055
0.64,34.6,0.056
0.67,34.2,0.058
0.69,33.3,0.06
0.7,32.2,0.061
0.7,31,0.061
0.69,30,0.06
0.68,31.2,0.06
0.69,30.1,0.06
0.7,28.8,0.061
0.69,27.8,0.06
0.67,26.6,0.059
0.65,25.7,0.057
0.65,24.5,0.056
0.64,23.4,0.056
0.64,22.3,0.056
0.62,21.3,0.054
0.61,20.4,0.053
0.6,19.1,0.053
0.59,18.1,0.051
0.58,16.9,0.05
0.57,15.7,0.05
0.57,14.6,0.049
0.55,13.6,0.047
0.53,12.6,0.046
0.52,11.5,0.045
0.51,10.4,0.044
0.5,9.3,0.043
0.49,8.3,0.043
0.49,7.2,0.042
0.5,6,0.043
0.48,5.3,0.041
0.46,4.2,0.04
0.44,3.2,0.039
0.43,2.2,0.038
0.42,1.2,0.037
0.41,0.1,0.036
0.41,-1,0.035
0.39,-1.8,0.034
0.38,-3,0.033
0.37,-4,0.032
0.36,-5.1,0.032
0.35,-6.3,0.031
0.34,-7.5,0.029
0.33,-8.7,0.028
0.31,-9.9,0.027
0.3,-10.9,0.026
0.28,-11.8,0.024
0.28,-13,0.024
0.26,-14.1,0.023
0.24,-15,0.021
0.23,-15.9,0.02
0.22,-17,0.019
0.21,-18,0.018
0.2,-19,0.017
0.18,-20.1,0.016
0.17,-21.2,0.015
0.17,-22.3,0.015
0.15,-23.2,0.013
0.13,-24.1,0.012
0.12,-25.2,0.011
0.11,-26.3,0.01
0.1,-27.4,0.008
0.08,-28.4,0.007
0.07,-29.4,0.006
0.07,-30.6,0.006
0.05,-31.7,0.005
0.03,-32.5,0.003
0.01,-33.3,0.001
-0,-34.3,-0
-0.02,-35.3,-0.002
-0.03,-36.3,-0.003
-0.04,-37.5,-0.004
-0.07,-38.2,-0.006
-0.09,-39.1,-0.008
-0.11,-39.8,-0.01
-0.13,-40.7,-0.011
-0.15,-41.5,-0.013
-0.17,-42.3,-0.015
-0.2,-43,-0.017
-0.19,-41.7,-0.017
-0.19,-40.5,-0.016
-0.19,-39.4,-0.017
-0.16,-38.8,-0.014
-0.17,-40,-0.015
-0.18,-41.2,-0.016
-0.19,-42.2,-0.017
-0.19,-41,-0.017
-0.19,-39.8,-0.017
-0.19,-38.7,-0.017
-0.19,-37.6,-0.016
-0.16,-36.9,-0.014
-0.17,-38.1,-0.015
-0.18,-39.2,-0.015
-0.18,-38,-0.016
-0.18,-36.6,-0.016
-0.18,-35.2,-0.015
-0.16,-34.1,-0.014
-0.14,-33.5,-0.012
-0.13,-32.3,-0.011
-0.13,-31,-0.012
-0.13,-29.9,-0.011
-0.12,-28.8,-0.01
-0.11,-27.7,-0.009
-0.09,-26.6,-0.008
-0.07,-25.8,-0.006
-0.06,-24.6,-0.006
-0.06,-23.5,-0.005
-0.05,-22.4,-0.004
