Test unit,CS01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-9.63,-92.2,-0.507
-7.15,-94.2,-0.376
-5.92,-92,-0.311
-4.69,-87.5,-0.247
-3.46,-80.4,-0.182
-2.23,-67.3,-0.118
-1.63,-56.2,-0.086
-1.12,-41.4,-0.059
0,0,0
0,0,0
1.03,37.3,0.054
1.69,47.3,0.089
2.19,55.6,0.115
3.27,68,0.172
4.37,76.1,0.23
5.52,81.3,0.291
6.72,83.7,0.354
9.17,85.5,0.483
11.37,48.7,0.598
