Test unit,WS2.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-16.37,-28.9,-0.862
-13.4,-30.4,-0.705
-10.85,-41,-0.571
-8.37,-40.2,-0.441
-5.81,-36.7,-0.306
-3.67,-24.2,-0.193
-1.69,-12.4,-0.089
0,0,0
0,0,0
2.25,16.4,0.119
4.42,29.4,0.233
6.98,34.7,0.367
9.05,37.4,0.476
11.92,28.9,0.627
16.54,35.8,0.87
