Test unit,CS02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.09,-12.1,-0.004
-0.1,-12.3,-0.004
-0.1,-12.6,-0.004
-0.1,-12.9,-0.004
-0.11,-13.1,-0.004
-0.11,-13.3,-0.005
-0.12,-13.6,-0.005
-0.12,-13.8,-0.005
-0.12,-14.1,-0.005
-0.13,-14.3,-0.005
-0.13,-14.6,-0.005
-0.14,-14.8,-0.005
-0.14,-15,-0.006
-0.15,-15.3,-0.006
-0.16,-15.5,-0.006
-0.17,-15.7,-0.007
-0.17,-16,-0.007
-0.18,-16.2,-0.007
-0.19,-16.4,-0.007
-0.19,-16.7,-0.008
-0.2,-16.9,-0.008
-0.21,-17.1,-0.008
-0.21,-17.3,-0.008
-0.22,-17.5,-0.009
-0.22,-17.7,-0.009
-0.23,-17.9,-0.009
-0.23,-18.1,-0.009
-0.24,-18.3,-0.01
-0.25,-18.5,-0.01
-0.25,-18.8,-0.01
-0.26,-18.9,-0.01
-0.26,-19.1,-0.01
-0.27,-19.3,-0.011
-0.27,-19.5,-0.011
-0.28,-19.7,-0.011
-0.29,-19.9,-0.011
-0.29,-20,-0.012
-0.3,-20.2,-0.012
-0.3,-20.4,-0.012
-0.31,-20.6,-0.012
-0.32,-20.8,-0.013
-0.32,-21,-0.013
-0.33,-21.1,-0.013
-0.33,-21.3,-0.013
-0.34,-21.5,-0.014
-0.35,-21.7,-0.014
-0.35,-21.9,-0.014
-0.36,-22.1,-0.014
-0.36,-22.3,-0.015
-0.37,-22.4,-0.015
-0.38,-22.6,-0.015
-0.38,-22.8,-0.015
-0.39,-23,-0.016
-0.4,-23.2,-0.016
-0.4,-23.2,-0.016
-0.4,-23,-0.016
-0.4,-22.6,-0.016
-0.4,-22.1,-0.016
-0.4,-21.6,-0.016
-0.4,-21.3,-0.016
-0.39,-20.9,-0.016
-0.39,-20.6,-0.016
-0.38,-20.3,-0.015
-0.37,-20,-0.015
-0.37,-19.7,-0.015
-0.36,-19.3,-0.014
-0.35,-19,-0.014
-0.35,-18.7,-0.014
-0.34,-18.4,-0.014
-0.33,-18,-0.013
-0.33,-17.7,-0.013
-0.32,-17.4,-0.013
-0.31,-17,-0.013
-0.31,-16.7,-0.012
-0.3,-16.3,-0.012
-0.29,-16,-0.012
-0.29,-15.6,-0.012
-0.28,-15.3,-0.011
-0.28,-15,-0.011
-0.27,-14.7,-0.011
-0.27,-14.4,-0.011
-0.26,-14.1,-0.01
-0.26,-13.8,-0.01
-0.25,-13.5,-0.01
-0.25,-13.2,-0.01
-0.24,-12.9,-0.01
-0.24,-12.6,-0.009
-0.23,-12.3,-0.009
-0.23,-12,-0.009
-0.22,-11.7,-0.009
-0.21,-11.4,-0.008
-0.21,-11.1,-0.008
-0.2,-10.9,-0.008
-0.19,-10.6,-0.008
-0.19,-10.3,-0.008
-0.18,-10,-0.007
-0.17,-9.7,-0.007
-0.17,-9.4,-0.007
-0.16,-9.1,-0.006
-0.15,-8.8,-0.006
-0.15,-8.6,-0.006
-0.14,-8.3,-0.006
-0.13,-8,-0.005
-0.13,-7.7,-0.005
-0.12,-7.5,-0.005
-0.12,-7.2,-0.005
-0.12,-6.9,-0.005
-0.11,-6.7,-0.004
-0.11,-6.5,-0.004
-0.1,-6.2,-0.004
-0.1,-6,-0.004
-0.09,-5.8,-0.004
-0.09,-5.5,-0.004
-0.08,-5.3,-0.003
-0.08,-5.1,-0.003
-0.07,-4.9,-0.003
-0.07,-4.7,-0.003
-0.06,-4.5,-0.002
-0.06,-4.3,-0.002
-0.05,-4.1,-0.002
-0.05,-4,-0.002
-0.04,-3.8,-0.001
-0.03,-3.7,-0.001
-0.02,-3.5,-0.001
-0.01,-3.4,-0.001
-0.01,-3.3,-0
-0,-3.2,-0
0,-3.1,0
0.01,-3,0
0.01,-2.8,0.001
0.02,-2.6,0.001
0.02,-2.5,0.001
0.03,-2.3,0.001
0.03,-2.1,0.001
0.03,-1.9,0.001
0.04,-1.7,0.002
0.04,-1.5,0.002
0.05,-1.3,0.002
0.05,-1.1,0.002
0.06,-0.9,0.002
0.06,-0.7,0.002
0.06,-0.6,0.003
0.07,-0.4,0.003
0.07,-0.2,0.003
0.07,-0.1,0.003
0.08,0.1,0.003
0.08,0.3,0.003
0.09,0.4,0.003
0.09,0.6,0.004
0.09,0.7,0.004
0.1,0.8,0.004
0.1,1,0.004
0.11,1.1,0.004
0.11,1.2,0.004
0.11,1.3,0.004
0.11,1.4,0.004
0.11,1.5,0.004
0.12,1.6,0.005
0.12,1.7,0.005
0.12,1.8,0.005
0.13,2,0.005
0.13,2.1,0.005
0.13,2.2,0.005
0.13,2.3,0.005
0.14,2.5,0.005
0.14,2.6,0.006
0.14,2.8,0.006
0.15,2.9,0.006
0.15,3.1,0.006
0.15,3.3,0.006
0.16,3.5,0.006
0.16,3.7,0.007
0.17,4,0.007
0.17,4.2,0.007
0.17,4.5,0.007
0.18,4.7,0.007
0.18,5,0.007
0.19,5.2,0.007
0.19,5.5,0.008
0.2,5.7,0.008
0.21,6,0.008
0.21,6.3,0.008
0.22,6.5,0.009
0.22,6.8,0.009
0.23,7,0.009
0.23,7.3,0.009
0.24,7.6,0.009
0.24,7.9,0.01
0.25,8.2,0.01
0.25,8.4,0.01
0.26,8.7,0.01
0.26,8.9,0.011
0.27,9.2,0.011
0.28,9.4,0.011
0.28,9.7,0.011
0.29,9.9,0.011
0.29,10.2,0.012
0.3,10.5,0.012
0.3,10.7,0.012
0.31,11,0.012
0.31,11.2,0.013
0.32,11.5,0.013
0.33,11.7,0.013
0.33,12,0.013
0.34,12.3,0.013
0.34,12.5,0.014
0.35,12.8,0.014
0.35,13,0.014
0.36,13.3,0.014
0.36,13.5,0.014
0.37,13.7,0.015
0.37,14,0.015
0.38,14.2,0.015
0.39,14.5,0.015
0.39,14.7,0.016
0.4,14.9,0.016
0.4,15.2,0.016
0.41,15.4,0.016
0.42,15.6,0.017
0.42,15.9,0.017
0.43,16.1,0.017
0.43,16.3,0.017
0.44,16.5,0.018
0.44,16.7,0.018
0.45,17,0.018
0.46,17.2,0.018
0.46,17.4,0.019
0.47,17.7,0.019
0.48,17.9,0.019
0.48,18.1,0.019
0.49,18.4,0.02
0.5,18.6,0.02
0.5,18.8,0.02
0.51,19,0.02
0.51,19.2,0.021
0.52,19.5,0.021
0.53,19.7,0.021
0.53,19.8,0.021
0.54,20,0.022
0.54,20.2,0.022
0.55,20.4,0.022
0.55,20.6,0.022
0.56,20.8,0.022
0.57,21,0.023
0.57,21.3,0.023
0.58,21.4,0.023
0.58,21.5,0.023
0.58,21.4,0.023
0.59,21.1,0.023
0.59,20.8,0.023
0.58,20.4,0.023
0.58,20.1,0.023
0.57,19.7,0.023
0.57,19.4,0.023
0.56,19.1,0.023
0.56,18.7,0.022
0.55,18.4,0.022
0.55,18.1,0.022
0.54,17.8,0.022
0.53,17.5,0.021
0.53,17.2,0.021
0.52,16.9,0.021
0.51,16.6,0.021
0.51,16.3,0.02
0.5,16,0.02
0.5,15.6,0.02
0.49,15.3,0.02
0.49,15,0.019
0.48,14.7,0.019
0.47,14.4,0.019
0.47,14.1,0.019
0.46,13.8,0.018
0.45,13.5,0.018
0.45,13.2,0.018
0.44,13,0.018
0.44,12.7,0.017
0.43,12.4,0.017
0.42,12.1,0.017
0.42,11.8,0.017
0.41,11.5,0.016
0.41,11.3,0.016
0.4,11,0.016
0.39,10.7,0.016
0.39,10.4,0.016
0.38,10.1,0.015
0.38,9.8,0.015
0.37,9.5,0.015
0.37,9.1,0.015
0.36,8.8,0.014
0.35,8.5,0.014
0.35,8.2,0.014
0.34,7.9,0.014
0.34,7.7,0.013
0.33,7.4,0.013
0.33,7.1,0.013
0.32,6.8,0.013
0.32,6.6,0.013
0.31,6.3,0.012
0.31,6.1,0.012
0.3,5.8,0.012
0.3,5.5,0.012
0.29,5.2,0.012
0.29,5,0.011
0.28,4.7,0.011
0.28,4.4,0.011
0.27,4.2,0.011
0.26,3.9,0.011
0.26,3.6,0.01
0.25,3.3,0.01
0.25,3.1,0.01
0.24,2.8,0.01
0.24,2.6,0.01
0.23,2.3,0.009
0.23,2.1,0.009
0.23,1.9,0.009
0.22,1.7,0.009
0.22,1.6,0.009
0.22,1.4,0.009
0.22,1.3,0.009
0.21,1.1,0.008
0.21,1,0.008
0.21,0.9,0.008
0.2,0.8,0.008
0.2,0.7,0.008
0.2,0.6,0.008
0.2,0.5,0.008
0.2,0.4,0.008
0.19,0.3,0.008
0.19,0.2,0.008
0.19,0.1,0.008
0.19,-0,0.008
0.19,-0.1,0.007
0.18,-0.3,0.007
0.18,-0.4,0.007
0.18,-0.6,0.007
0.17,-0.7,0.007
0.17,-0.9,0.007
0.17,-1.1,0.007
0.17,-1.2,0.007
0.16,-1.4,0.007
0.16,-1.6,0.006
0.15,-1.8,0.006
0.15,-1.9,0.006
0.14,-2.1,0.006
0.14,-2.3,0.006
0.13,-2.5,0.005
0.13,-2.7,0.005
0.13,-2.9,0.005
0.12,-3.1,0.005
0.12,-3.3,0.005
0.12,-3.5,0.005
0.11,-3.7,0.004
0.1,-3.9,0.004
0.1,-4,0.004
0.09,-4.2,0.004
0.09,-4.3,0.003
0.08,-4.4,0.003
0.07,-4.6,0.003
0.07,-4.7,0.003
0.06,-4.8,0.002
0.06,-5,0.002
0.05,-5.2,0.002
0.05,-5.3,0.002
0.04,-5.5,0.002
0.04,-5.7,0.001
0.03,-5.9,0.001
0.03,-6.1,0.001
0.02,-6.3,0.001
0.02,-6.5,0.001
0.01,-6.7,0.001
0.01,-6.9,0
0,-7.1,0
-0,-7.4,-0
-0.01,-7.6,-0
-0.01,-7.8,-0.001
-0.02,-8.1,-0.001
-0.03,-8.3,-0.001
-0.04,-8.5,-0.001
-0.04,-8.8,-0.002
-0.05,-9,-0.002
-0.06,-9.2,-0.002
-0.06,-9.5,-0.003
-0.07,-9.7,-0.003
-0.08,-10,-0.003
-0.08,-10.2,-0.003
-0.09,-10.5,-0.004
-0.09,-10.7,-0.004
