Test unit,C6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.03,-16.7,-0.002
-0.04,-18.8,-0.003
-0.06,-20.6,-0.004
-0.07,-22.5,-0.005
-0.08,-24.5,-0.006
-0.08,-26.4,-0.006
-0.09,-28.2,-0.006
-0.11,-30,-0.008
-0.12,-31.8,-0.009
-0.12,-33.6,-0.009
-0.12,-35.5,-0.009
-0.12,-37.3,-0.009
-0.12,-39.1,-0.009
-0.13,-41.1,-0.01
-0.12,-43,-0.009
-0.15,-44.7,-0.011
-0.16,-46.5,-0.012
-0.17,-48.4,-0.013
-0.18,-50.2,-0.014
-0.19,-52.1,-0.014
-0.2,-53.9,-0.015
-0.21,-55.8,-0.016
-0.21,-57.7,-0.016
-0.23,-59.4,-0.017
-0.24,-61.2,-0.018
-0.25,-63,-0.019
-0.27,-64.9,-0.02
-0.28,-66.8,-0.021
-0.29,-68.6,-0.022
-0.31,-70.5,-0.023
-0.31,-72.2,-0.023
-0.31,-74.1,-0.023
-0.32,-75.7,-0.024
-0.32,-77.5,-0.024
-0.33,-75.6,-0.025
-0.34,-73.7,-0.025
-0.33,-71.7,-0.025
-0.34,-69.9,-0.025
-0.34,-68,-0.025
-0.34,-66.1,-0.025
-0.34,-64.2,-0.025
-0.34,-62.3,-0.025
-0.33,-60.5,-0.025
-0.33,-58.5,-0.025
-0.32,-56.7,-0.024
-0.32,-54.8,-0.024
-0.31,-52.9,-0.023
-0.3,-51,-0.022
-0.29,-49.2,-0.022
-0.28,-47.3,-0.021
-0.27,-45.4,-0.02
-0.26,-43.6,-0.019
-0.24,-41.8,-0.018
-0.23,-39.9,-0.017
-0.23,-38.1,-0.017
-0.23,-36.2,-0.017
-0.22,-34.2,-0.017
-0.21,-32.4,-0.016
-0.2,-30.4,-0.015
-0.2,-28.6,-0.015
-0.18,-26.6,-0.014
-0.18,-24.8,-0.013
-0.15,-23,-0.011
-0.15,-21,-0.011
-0.15,-19.2,-0.011
-0.14,-17.3,-0.011
-0.13,-15.5,-0.01
-0.13,-13.5,-0.01
-0.13,-11.7,-0.01
-0.14,-9.9,-0.01
-0.14,-8.1,-0.01
-0.13,-6.3,-0.009
-0.13,-4.4,-0.009
-0.11,-2.6,-0.009
-0.1,-0.8,-0.008
-0.09,1.3,-0.007
-0.08,3.1,-0.006
-0.07,4.9,-0.005
-0.05,6.7,-0.003
-0.05,8.6,-0.004
-0.04,10.6,-0.003
-0.03,12.5,-0.002
-0.01,14.6,-0.001
0,16.9,0
0.01,18.7,0.001
0.02,20.6,0.002
0.04,22.4,0.003
0.05,24.2,0.004
0.07,26.2,0.005
0.08,28,0.006
0.08,30,0.006
0.1,31.9,0.007
0.1,33.8,0.008
0.12,35.8,0.009
0.12,37.5,0.009
0.12,39.5,0.009
0.13,41.4,0.01
0.15,43.1,0.011
0.15,45,0.011
0.16,46.9,0.012
0.17,48.8,0.013
0.18,50.7,0.013
0.2,52.3,0.015
0.2,54.2,0.015
0.21,56.1,0.015
0.22,57.9,0.016
0.23,59.6,0.017
0.25,61.3,0.019
0.26,63.1,0.019
0.28,64.9,0.02
0.31,63.4,0.023
0.3,61.5,0.022
0.29,59.6,0.022
0.29,57.7,0.021
0.28,55.8,0.021
0.29,53.9,0.022
0.27,52,0.02
0.25,50,0.019
0.25,48.1,0.018
0.24,46.3,0.018
0.25,44.4,0.019
0.23,42.7,0.017
0.21,40.7,0.016
0.2,38.8,0.015
0.19,36.8,0.014
0.19,35,0.014
0.17,33.1,0.013
0.17,31,0.013
0.16,29.1,0.012
0.15,27.3,0.011
0.14,25.3,0.01
0.14,23.5,0.01
0.13,21.5,0.009
0.12,19.6,0.009
0.12,17.7,0.009
0.11,15.9,0.008
0.11,13.9,0.008
0.09,12.1,0.007
0.08,10.3,0.006
0.07,8.4,0.005
0.06,6.5,0.005
0.05,4.7,0.004
0.06,2.9,0.005
0.05,0.9,0.004
0.04,-0.8,0.003
0.02,-2.6,0.002
0.01,-4.7,0
0,-6.5,0
-0.01,-8.5,-0
-0.01,-10.4,-0.001
-0.02,-12.5,-0.001
-0.02,-14.5,-0.001
-0.02,-16.3,-0.002
-0.03,-18.2,-0.002
-0.04,-20,-0.003
-0.06,-21.7,-0.004
-0.07,-23.6,-0.005
-0.09,-25.5,-0.007
-0.1,-27.3,-0.007
-0.11,-29.2,-0.008
-0.12,-31.1,-0.009
-0.13,-32.9,-0.009
-0.13,-34.8,-0.009
-0.14,-36.7,-0.01
-0.16,-38.4,-0.012
-0.16,-40.3,-0.012
-0.17,-42.3,-0.013
-0.17,-44.3,-0.013
-0.18,-46.1,-0.013
-0.17,-47.9,-0.013
-0.17,-49.8,-0.013
-0.16,-51.7,-0.012
-0.19,-53.4,-0.014
-0.2,-55.2,-0.015
-0.21,-57,-0.015
-0.21,-58.8,-0.016
-0.22,-60.7,-0.017
-0.23,-62.5,-0.017
-0.24,-64.5,-0.017
-0.26,-66.3,-0.019
-0.26,-68.1,-0.019
-0.27,-69.9,-0.02
-0.28,-71.7,-0.021
-0.29,-73.6,-0.022
-0.31,-75.3,-0.023
-0.32,-77.1,-0.024
-0.32,-75.3,-0.023
-0.34,-73.5,-0.025
-0.34,-71.5,-0.025
-0.34,-69.6,-0.025
-0.32,-67.8,-0.024
-0.34,-66,-0.025
-0.33,-64.2,-0.024
-0.32,-62.3,-0.024
-0.3,-60.5,-0.022
-0.29,-58.5,-0.022
-0.3,-56.7,-0.022
-0.29,-54.8,-0.021
-0.28,-52.8,-0.02
-0.27,-51,-0.02
-0.26,-49.2,-0.019
-0.25,-47.3,-0.018
-0.23,-45.3,-0.017
-0.23,-43.3,-0.017
-0.23,-41.5,-0.017
-0.22,-39.6,-0.017
