Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.81,39.7,0.032
0.81,39.4,0.032
0.8,39.1,0.032
0.8,38.7,0.032
0.8,38.3,0.032
0.79,37.9,0.032
0.79,37.5,0.031
0.78,37,0.031
0.78,36.6,0.031
0.77,36.2,0.031
0.77,35.9,0.031
0.76,35.6,0.031
0.76,35.3,0.03
0.76,34.9,0.03
0.75,34.7,0.03
0.75,34.3,0.03
0.75,34,0.03
0.74,33.7,0.03
0.74,33.4,0.03
0.74,33.1,0.029
0.73,32.8,0.029
0.73,32.4,0.029
0.73,32.1,0.029
0.72,31.7,0.029
0.71,31.3,0.029
0.71,30.9,0.028
0.71,30.6,0.028
0.7,30.2,0.028
0.7,29.9,0.028
0.69,29.5,0.028
0.69,29.2,0.028
0.69,28.7,0.027
0.68,28.4,0.027
0.68,28,0.027
0.67,27.7,0.027
0.67,27.3,0.027
0.66,27,0.027
0.66,26.6,0.026
0.65,26.3,0.026
0.65,25.9,0.026
0.64,25.5,0.026
0.64,25.2,0.026
0.63,24.8,0.025
0.63,24.5,0.025
0.63,24.1,0.025
0.62,23.8,0.025
0.62,23.5,0.025
0.61,23.2,0.024
0.61,22.9,0.024
0.6,22.5,0.024
0.6,22.2,0.024
0.59,21.9,0.024
0.59,21.6,0.024
0.59,21.3,0.023
0.58,21,0.023
0.57,20.7,0.023
0.57,20.4,0.023
0.57,20,0.023
0.56,19.7,0.022
0.56,19.4,0.022
0.55,19.1,0.022
0.54,18.8,0.022
0.54,18.5,0.022
0.53,18.2,0.021
0.53,17.9,0.021
0.52,17.5,0.021
0.52,17.3,0.021
0.51,16.9,0.021
0.51,16.6,0.02
0.5,16.3,0.02
0.49,15.9,0.02
0.49,15.6,0.02
0.48,15.3,0.019
0.48,15,0.019
0.47,14.7,0.019
0.47,14.4,0.019
0.47,14,0.019
0.46,13.7,0.018
0.46,13.3,0.018
0.45,13,0.018
0.45,12.6,0.018
0.44,12.3,0.018
0.44,11.9,0.017
0.43,11.6,0.017
0.43,11.2,0.017
0.42,10.9,0.017
0.42,10.5,0.017
0.41,10.2,0.016
0.41,9.9,0.016
0.4,9.5,0.016
0.39,9.1,0.016
0.39,8.8,0.016
0.38,8.4,0.015
0.38,8.1,0.015
0.37,7.7,0.015
0.37,7.4,0.015
0.36,7,0.015
0.36,6.7,0.014
0.35,6.2,0.014
0.35,5.9,0.014
0.34,5.5,0.014
0.34,5.2,0.014
0.33,4.8,0.013
0.33,4.5,0.013
0.32,4.1,0.013
0.32,3.8,0.013
0.31,3.4,0.012
0.31,3.1,0.012
0.3,2.7,0.012
0.3,2.4,0.012
0.29,2,0.012
0.29,1.7,0.012
0.28,1.4,0.011
0.28,1.2,0.011
0.28,0.9,0.011
0.28,0.8,0.011
0.27,0.6,0.011
0.27,0.5,0.011
0.27,0.3,0.011
0.27,0.2,0.011
0.26,0.1,0.011
0.26,-0,0.011
0.26,-0.2,0.01
0.26,-0.3,0.01
0.26,-0.4,0.01
0.26,-0.4,0.01
0.26,-0.5,0.01
0.26,-0.6,0.01
0.25,-0.7,0.01
0.25,-0.8,0.01
0.25,-0.9,0.01
0.25,-1,0.01
0.25,-1.2,0.01
0.25,-1.3,0.01
0.24,-1.4,0.01
0.24,-1.6,0.01
0.24,-1.8,0.01
0.24,-2.1,0.009
0.23,-2.3,0.009
0.23,-2.6,0.009
0.23,-2.9,0.009
0.22,-3.1,0.009
0.22,-3.4,0.009
0.21,-3.6,0.009
0.21,-3.9,0.008
0.21,-4.1,0.008
0.2,-4.4,0.008
0.2,-4.5,0.008
0.19,-4.8,0.008
0.18,-4.9,0.007
0.18,-5.1,0.007
0.17,-5.3,0.007
0.17,-5.5,0.007
0.16,-5.7,0.007
0.16,-5.8,0.006
0.15,-6.1,0.006
0.14,-6.2,0.006
0.14,-6.5,0.006
0.14,-6.7,0.005
0.13,-6.9,0.005
0.13,-7.1,0.005
0.12,-7.4,0.005
0.11,-7.6,0.005
0.11,-7.9,0.004
0.1,-8.2,0.004
0.09,-8.5,0.004
0.09,-8.7,0.003
0.08,-9.1,0.003
0.08,-9.4,0.003
0.07,-9.7,0.003
0.07,-10,0.003
0.06,-10.4,0.003
0.06,-10.7,0.002
0.05,-11,0.002
0.04,-11.3,0.002
0.04,-11.7,0.002
0.03,-11.9,0.001
0.03,-12.3,0.001
0.02,-12.6,0.001
0.02,-12.9,0.001
0.01,-13.2,0
0.01,-13.6,0
0,-13.9,0
-0,-14.4,-0
-0.01,-14.7,-0
-0.02,-15.1,-0.001
-0.02,-15.4,-0.001
-0.03,-15.8,-0.001
-0.03,-16.2,-0.001
-0.04,-16.6,-0.002
-0.05,-16.9,-0.002
-0.05,-17.3,-0.002
-0.06,-17.7,-0.002
-0.06,-18.1,-0.002
-0.07,-18.5,-0.003
-0.07,-18.9,-0.003
-0.08,-19.2,-0.003
-0.09,-19.6,-0.003
-0.09,-20,-0.004
-0.1,-20.4,-0.004
-0.1,-20.7,-0.004
-0.11,-21.1,-0.004
-0.11,-21.5,-0.004
-0.12,-22,-0.005
-0.12,-22.4,-0.005
-0.13,-22.8,-0.005
-0.13,-23.2,-0.005
-0.14,-23.7,-0.006
-0.15,-24,-0.006
-0.15,-24.4,-0.006
-0.16,-24.8,-0.006
-0.16,-25.1,-0.006
-0.17,-25.5,-0.007
-0.17,-25.9,-0.007
-0.18,-26.2,-0.007
-0.19,-26.6,-0.007
-0.19,-26.9,-0.008
-0.2,-27.3,-0.008
-0.21,-27.7,-0.008
-0.21,-28.1,-0.009
-0.22,-28.5,-0.009
-0.23,-28.9,-0.009
-0.24,-29.3,-0.009
-0.24,-29.7,-0.01
-0.25,-30,-0.01
-0.25,-30.4,-0.01
-0.26,-30.7,-0.01
-0.26,-31.1,-0.011
-0.27,-31.5,-0.011
-0.28,-32,-0.011
-0.28,-32.4,-0.011
-0.29,-32.9,-0.011
-0.29,-33.3,-0.012
-0.3,-33.7,-0.012
-0.3,-34.1,-0.012
-0.31,-34.6,-0.012
-0.32,-35,-0.013
-0.32,-35.5,-0.013
-0.33,-35.9,-0.013
-0.33,-36.3,-0.013
-0.34,-36.7,-0.014
-0.35,-37,-0.014
-0.35,-37.4,-0.014
-0.36,-37.8,-0.014
-0.36,-38.2,-0.015
-0.37,-38.6,-0.015
-0.38,-39.1,-0.015
-0.38,-39.4,-0.015
-0.39,-39.9,-0.015
-0.39,-40.2,-0.016
-0.4,-40.6,-0.016
-0.41,-41,-0.016
-0.41,-41.4,-0.017
-0.42,-41.8,-0.017
-0.42,-42.2,-0.017
-0.43,-42.5,-0.017
-0.44,-42.9,-0.017
-0.44,-43.3,-0.018
-0.44,-43.6,-0.018
-0.45,-44,-0.018
-0.45,-44.4,-0.018
-0.46,-44.8,-0.018
-0.47,-45.2,-0.019
-0.47,-45.5,-0.019
-0.48,-45.9,-0.019
-0.48,-46.3,-0.019
-0.49,-46.7,-0.02
-0.5,-47,-0.02
-0.5,-47.5,-0.02
-0.51,-47.8,-0.02
-0.51,-48.2,-0.02
-0.52,-48.6,-0.021
-0.52,-49.1,-0.021
-0.53,-49.5,-0.021
-0.54,-49.9,-0.021
-0.54,-50.3,-0.022
-0.55,-50.7,-0.022
-0.55,-51,-0.022
-0.56,-51.5,-0.022
-0.57,-51.8,-0.023
-0.57,-52.3,-0.023
-0.58,-52.6,-0.023
-0.58,-53,-0.023
-0.59,-53.4,-0.024
-0.59,-53.8,-0.024
-0.6,-54.1,-0.024
-0.61,-54.4,-0.024
-0.61,-54.8,-0.025
-0.62,-55.2,-0.025
-0.63,-55.5,-0.025
-0.63,-55.9,-0.025
-0.64,-56.3,-0.025
-0.64,-56.7,-0.026
-0.65,-57.1,-0.026
-0.66,-57.5,-0.026
-0.66,-57.8,-0.027
-0.67,-58.3,-0.027
-0.68,-58.6,-0.027
-0.68,-59,-0.027
-0.69,-59.4,-0.028
-0.7,-59.8,-0.028
-0.7,-60.2,-0.028
-0.71,-60.6,-0.028
-0.72,-60.9,-0.029
-0.72,-61.3,-0.029
-0.73,-61.7,-0.029
-0.73,-62.1,-0.029
-0.74,-62.5,-0.03
-0.75,-62.9,-0.03
-0.75,-63.4,-0.03
-0.76,-63.8,-0.03
-0.77,-64.2,-0.031
-0.77,-64.6,-0.031
-0.78,-65,-0.031
-0.79,-65.4,-0.031
-0.79,-65.8,-0.032
-0.8,-66.2,-0.032
-0.8,-66.6,-0.032
-0.81,-67,-0.032
-0.81,-67.3,-0.033
-0.82,-67.8,-0.033
-0.82,-68.1,-0.033
-0.83,-68.6,-0.033
-0.84,-69,-0.033
-0.84,-69.4,-0.034
-0.85,-69.8,-0.034
-0.86,-70.2,-0.034
-0.86,-70.6,-0.035
-0.87,-70.9,-0.035
-0.87,-71.4,-0.035
-0.88,-71.8,-0.035
-0.88,-72.3,-0.035
-0.89,-72.7,-0.036
-0.89,-73.2,-0.036
-0.9,-73.5,-0.036
-0.91,-73.9,-0.036
-0.91,-74.2,-0.037
-0.92,-74.6,-0.037
-0.93,-75,-0.037
-0.93,-75.4,-0.037
-0.94,-75.9,-0.038
-0.94,-76.3,-0.038
-0.95,-76.7,-0.038
-0.96,-77.1,-0.038
-0.96,-77.5,-0.039
-0.97,-77.9,-0.039
-0.98,-78.2,-0.039
-0.98,-78.6,-0.039
-0.99,-78.9,-0.04
-1,-79.3,-0.04
-1,-79.6,-0.04
