Fh_pos [kN],u_pos [mm],Fh_neg [kN],u_neg [mm]
0,0,0,0
1.563,0.027192751,-13.65,-0.33729706
2.868,0.051177343,-19.57,-0.369973126
3.968,0.069144011,-20.47,-0.406254464
4.966,0.099493808,-21.33,-0.435906337
5.867,0.138144886,-22.17,-0.472927852
6.678,0.168400829,-22.99,-0.505369663
7.468,0.186887678,-23.79,-0.540271839
8.207,0.223000833,-24.57,-0.582750889
7.918,0.223124146,-25.35,-0.616104228
7.756,0.225020768,-23.87,-0.631876989
7.656,0.225829322,-29.28,-0.640699058
7.584,0.226973131,-30.05,-0.678110577
7.528,0.230319609,-30.78,-0.721433164
8.831,0.259316418,-31.51,-0.75180078
9.676,0.289794075,-32.21,-0.788889804
10.45,0.322719289,-32.92,-0.831144869
11.19,0.354578327,-33.57,-0.866597144
11.92,0.38710735,-34.25,-0.894261626
12.62,0.424744744,-34.88,-0.937240299
11.13,0.436502182,-35.49,-0.974830812
13.27,0.444766496,-36.1,-1.016483801
14.85,0.448206046,-36.68,-1.050310206
15.66,0.487138897,-37.28,-1.098836131
16.43,0.516531846,-37.86,-1.143449302
17.14,0.544896779,-38.43,-1.179066259
17.8,0.585142668,-39,-1.207045819
18.43,0.617340368,-39.54,-1.246176454
19.04,0.655934898,-39.78,-1.289388551
19.65,0.69182389,-37.71,-1.297827668
20.23,0.732911774,-42.67,-1.31192052
20.8,0.76800579,-43.8,-1.392537083
20.99,0.787683481,-44.85,-1.479550632
19.98,0.792416384,-45.85,-1.554507129
19.41,0.797216461,-46.79,-1.651242587
21.83,0.803277681,-47.62,-1.738661714
20.85,0.81268236,-48.45,-1.820649647
22.12,0.819358792,-49.22,-1.90936395
22.84,0.853241662,-49.85,-1.995416653
23.5,0.886649873,-47.22,-2.01647304
24.15,0.917488755,-47.54,-2.02576057
24.78,0.952977715,-51,-2.064479867
25.42,0.989798306,-51.79,-2.153553206
26,1.029067335,-52.55,-2.23817881
26.59,1.066663352,-53.19,-2.331186857
27.14,1.098883738,-53.81,-2.417750568
27.66,1.141308512,-54.38,-2.508527794
28.19,1.174618223,-54.9,-2.601597463
28.72,1.218861609,-55.34,-2.690546965
29.26,1.25387998,-54.53,-2.737807638
29.79,1.293027625,-52.34,-2.755085655
30.34,1.327431449,-52.19,-2.755790938
30.87,1.364590796,-51.89,-2.775533411
31.39,1.405789927,-54.73,-2.887818267
31.93,1.435243526,-55.32,-3.024767577
32.44,1.474739903,-55.82,-3.168605912
32.93,1.515294168,-56.23,-3.312770969
33.01,1.530382045,-56.58,-3.442637396
31.76,1.545511304,-56.35,-3.531237643
31.83,1.548659467,-52.69,-3.560953473
35.85,1.560566566,-55.16,-3.608773392
37.09,1.62725229,-52.25,-3.658148226
38.29,1.701640575,-52.34,-3.660993194
39.42,1.775979512,-54.04,-3.754453483
40.49,1.849907554,-54.45,-3.94449106
41.52,1.927538621,-54.76,-4.13518747
42.45,2.006812889,-55.02,-4.326834627
43.37,2.092767811,-54.39,-4.46392188
44.25,2.168373507,-52.9,-4.468038172
45.09,2.243158962,-49.77,-4.538346863
42.5,2.276995333,-49.6,-4.544987773
46.33,2.279476378,-51.38,-4.617696788
44.73,2.30670832,-51.79,-4.857817575
48.72,2.379962832,-52.13,-5.109775013
49.56,2.463163012,-52.36,-5.348730087
50.33,2.542542364,-52.55,-5.594578062
51.05,2.623656083,-52.69,-5.839812335
51.71,2.702448404,-52.52,-6.083982385
52.35,2.790281286,-49.3,-6.104723833
52.92,2.874873019,-46.69,-6.11185622
53.47,2.961966229,-47.02,-6.405797131
53.74,3.021472117,-47.21,-6.69957109
51.15,3.043885817,-47.39,-6.988763091
52.1,3.066949584,-47.54,-7.290858541
52.07,3.072930286,-47.02,-7.496601339
55.3,3.121797727,-43.92,-7.516860296
56.04,3.243974615,-43.89,-7.52098997
56.55,3.373866162,-29.85,-7.74634904
57.05,3.507933349,,
57.48,3.632417937,,
57.8,3.768495164,,
55.09,3.874764106,,
56,3.914761131,,
52.71,3.948575626,,
54.31,4.093309989,,
54.68,4.279832309,,
54.98,4.460904457,,
55.25,4.642251437,,
54.06,4.699544771,,
52.1,4.729612228,,
49.99,4.928140635,,
50.43,5.161385982,,
50.62,5.398899067,,
50.82,5.635477033,,
50.84,5.869645971,,
50.86,6.115483098,,
50.15,6.279633126,,
47.15,6.332368158,,
46.41,6.431435501,,
42.99,6.470639085,,
42.76,6.571227185,,
42.79,6.872103525,,
42.9,7.171922429,,
43.01,7.474955223,,
42.86,7.77521669,,
42.82,8.084368385,,
41.9,8.234768478,,
39.23,8.278564219,,
37.45,8.455601899,,
36.77,8.618878582,,
33.82,8.661439071,,
33.12,8.798118783,,
33.25,9.157923494,,
33.35,9.524518195,,
33.31,9.885693961,,
33.37,10.24988863,,
33.4,10.61931433,,
33.35,10.98614915,,
30.47,11.03904622,,
30.32,11.04096225,,
23.21,11.21850612,,
18.8,11.50023132,,
20.06,11.80674307,,
20.62,12.07686311,,
17.16,12.15085953,,
