load_step_names,image_names,Fh,u,Fv_total,Fv_s,Fv_n,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0003,-48.26,-2.64633509883081,-122.87,-54.21,-68.66,-3.418,-2.863,0.2276,-2.405,0.1022,-0.00224,-0.01271,-0.03788,0.1022,-0.2662,0.0278,0.3081,0.09323,0.1698
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0004,-45.19,-2.52695638645707,-123,-54.79,-68.21,-3.244,-2.753,0.1139,-2.365,0.103,-0.00222,-0.01361,-0.03661,0.1038,-0.2661,0.02842,0.3089,0.09373,0.1692
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0005,-42.35,-2.4132516387298,-122.92,-55.16,-67.76,-3.066,-2.633,0.00283,-2.325,0.1044,-0.00192,-0.015,-0.0354,0.1053,-0.2661,0.02911,0.3098,0.09441,0.1683
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0006,-39.59,-2.28997612029545,-122.99,-55.63,-67.36,-2.902,-2.511,-0.1035,-2.286,0.1063,-0.00114,-0.01621,-0.03409,0.1066,-0.2661,0.02997,0.311,0.09546,0.1676
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0007,-36.96,-2.17651563595202,-122.95,-55.98,-66.97,-2.743,-2.389,-0.208,-2.247,0.1084,-0.00021,-0.01757,-0.03322,0.107,-0.2667,0.03084,0.3119,0.09633,0.1667
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0008,-34.41,-2.06127409554798,-122.96,-56.38,-66.58,-2.596,-2.272,-0.3101,-2.208,0.1104,0.00068,-0.01924,-0.03292,0.1065,-0.2675,0.03149,0.3126,0.09691,0.1654
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0009,-31.95,-1.94273817761869,-122.82,-56.61,-66.21,-2.454,-2.156,-0.4097,-2.168,0.1127,0.00205,-0.02052,-0.03275,0.1057,-0.2682,0.0324,0.3135,0.09779,0.1642
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0010,-29.52,-1.81997850766919,-122.68,-56.85,-65.83,-2.303,-2.031,-0.5037,-2.128,0.115,0.00347,-0.02151,-0.03259,0.1044,-0.2688,0.03331,0.3146,0.09878,0.1628
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0011,-27.01,-1.70951984125505,-122.97,-57.51,-65.46,-2.161,-1.912,-0.5902,-2.092,0.117,0.00478,-0.02274,-0.03272,0.1016,-0.2695,0.03385,0.3155,0.09955,0.161
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0012,-24.69,-1.58979157837626,-122.7,-57.57,-65.13,-2.02,-1.793,-0.6564,-2.05,0.1191,0.00623,-0.02363,-0.03276,0.09763,-0.2701,0.03437,0.3162,0.1001,0.159
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0013,-22.24,-1.47178314681061,-122.95,-58.19,-64.76,-1.882,-1.675,-0.738,-2.013,0.1207,0.00735,-0.02471,-0.03283,0.09261,-0.2707,0.03439,0.3166,0.1006,0.1568
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0014,-19.88,-1.35955589883081,-122.87,-58.48,-64.39,-1.745,-1.559,-0.8177,-1.973,0.1223,0.00867,-0.02546,-0.03272,0.08774,-0.2712,0.03453,0.317,0.1009,0.1543
