Test unit,RS4,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.308361349,-12.63,-0.019272584
-0.282406655,-10.63,-0.017650416
-0.248444782,-8.948,-0.015527799
-0.223341872,-7.43,-0.013958867
-0.187036347,-6.057,-0.011689772
-0.161423884,-4.816,-0.010088993
-0.136273169,-3.62,-0.008517073
-0.108190454,-2.495,-0.006761903
-0.075243696,-1.417,-0.004702731
-0.050809895,-0.3628,-0.003175618
-0.026642752,0.6505,-0.001665172
0.002458155,1.6,0.000153635
0.023099872,2.333,0.001443742
0.040345743,3.208,0.002521609
0.070874097,4.123,0.004429631
0.097487331,5.046,0.006092958
0.125632112,5.979,0.007852007
0.15751634,6.905,0.009844771
0.180882595,7.817,0.011305162
0.211932565,8.738,0.013245785
0.238565796,9.655,0.014910362
0.272151971,10.57,0.017009498
0.313765758,11.51,0.01961036
0.342472829,12.42,0.021404552
0.371918613,13.29,0.023244913
0.405419684,14.1,0.02533873
0.432177665,14.78,0.027011104
0.444766496,13.27,0.027797906
0.444034616,13.32,0.027752164
0.435939119,13.43,0.027246195
0.436021465,13.83,0.027251342
0.438825141,13.77,0.027426571
0.424768745,11.8,0.026548047
0.388146343,10.28,0.024259146
0.359253919,8.905,0.02245337
0.328630303,7.67,0.020539394
0.297826066,6.401,0.018614129
0.262771445,5.189,0.016423215
0.236417578,3.98,0.014776099
0.203839931,2.879,0.012739996
0.176216232,1.866,0.011013514
0.146806943,0.9273,0.009175434
0.123037551,-0.00938,0.007689847
0.09513075,-0.9396,0.005945672
0.078477673,-1.818,0.004904855
0.05353395,-2.634,0.003345872
0.030253084,-3.504,0.001890818
0.001288192,-4.515,8.0512E-05
-0.02345731,-5.572,-0.001466082
-0.047478719,-6.65,-0.00296742
-0.081475089,-7.723,-0.005092193
-0.112002493,-8.765,-0.007000156
-0.14511238,-9.821,-0.009069524
-0.167457511,-10.9,-0.010466094
-0.201264757,-12.02,-0.012579047
-0.233279558,-13.15,-0.014579972
-0.259433099,-14.3,-0.016214569
-0.294714212,-15.43,-0.018419638
-0.304683029,-15.41,-0.019042689
-0.320066712,-14.52,-0.02000417
-0.31868391,-14.54,-0.019917744
-0.308197714,-13.85,-0.019262357
-0.27676937,-11.93,-0.017298086
-0.252387205,-10.15,-0.0157742
-0.215336674,-8.503,-0.013458542
-0.191997772,-7.03,-0.011999861
-0.14862129,-5.707,-0.009288831
-0.118488466,-4.441,-0.007405529
-0.098654526,-3.279,-0.006165908
-0.062169967,-2.169,-0.003885623
-0.040588322,-1.103,-0.00253677
-0.005038976,-0.06823,-0.000314936
0.012655197,0.9453,0.00079095
0.03583843,1.781,0.002239902
0.058586063,2.616,0.003661629
0.08138546,3.497,0.005086591
0.116179755,4.406,0.007261235
0.132680117,5.324,0.008292507
0.165293368,6.245,0.010330836
0.193373911,7.183,0.012085869
0.229458599,8.104,0.014341162
0.252116305,9.069,0.015757269
0.285653365,10.03,0.017853335
0.323642843,11.03,0.020227678
0.351928868,12.01,0.021995554
0.383048419,13.01,0.023940526
0.418408226,13.97,0.026150514
0.448206046,14.85,0.028012878
0.487138897,15.66,0.030446181
0.516531846,16.43,0.03228324
0.544896779,17.14,0.034056049
0.585142668,17.8,0.036571417
0.617340368,18.43,0.038583773
0.655934898,19.04,0.040995931
0.69182389,19.65,0.043238993
0.732911774,20.23,0.045806986
0.76800579,20.8,0.048000362
0.787683481,20.99,0.049230218
0.792416384,19.98,0.049526024
0.797216461,19.41,0.049826029
0.770261461,17.81,0.048141341
0.725027447,16.37,0.045314215
0.690521428,15.18,0.043157589
0.66462539,14,0.041539087
0.626469494,12.85,0.039154343
0.593709498,11.8,0.037106844
0.565603451,10.74,0.035350216
0.531866857,9.663,0.033241679
0.491549096,8.639,0.030721819
0.46894477,7.619,0.029309048
0.438485595,6.584,0.02740535
0.408080047,5.539,0.025505003
0.374204798,4.524,0.0233878
0.335605512,3.517,0.020975345
0.307011309,2.586,0.019188207
0.282466596,1.687,0.017654162
0.253213825,0.8435,0.015825864
0.229579643,-0.00547,0.014348728
0.197079283,-0.8529,0.012317455
0.17109478,-1.686,0.010693424
0.147651115,-2.444,0.009228195
0.123545211,-3.196,0.007721576
0.097372436,-4.139,0.006085777
0.067329121,-5.157,0.00420807
0.037798855,-6.149,0.002362428
0.007357388,-7.11,0.000459837
-0.02076379,-8.093,-0.001297737
-0.051069839,-9.091,-0.003191865
-0.084676081,-10.11,-0.005292255
-0.109131709,-11.17,-0.006820732
-0.138267231,-12.24,-0.008641702
-0.174232739,-13.33,-0.010889546
-0.212608524,-14.45,-0.013288033
-0.240728129,-15.57,-0.015045508
-0.267227275,-16.64,-0.016701705
-0.310221941,-17.65,-0.019388871
-0.329758774,-18.63,-0.020609923
-0.369973126,-19.57,-0.02312332
-0.406254464,-20.47,-0.025390904
-0.435906337,-21.33,-0.027244146
-0.472927852,-22.17,-0.029557991
-0.505369663,-22.99,-0.031585604
-0.540271839,-23.79,-0.03376699
-0.582750889,-24.57,-0.036421931
-0.616104228,-25.35,-0.038506514
-0.631876989,-23.87,-0.039492312
-0.603018121,-22.5,-0.037688633
-0.576077088,-20.59,-0.036004818
-0.538783293,-18.88,-0.033673956
-0.511329443,-17.34,-0.03195809
-0.475799045,-15.91,-0.02973744
-0.443200273,-14.48,-0.027700017
-0.413306125,-13.05,-0.025831633
-0.386024045,-11.74,-0.024126503
-0.358550054,-10.52,-0.022409378
-0.320600865,-9.298,-0.020037554
-0.28101348,-8.17,-0.017563343
-0.261572185,-7.068,-0.016348262
-0.228994634,-6.019,-0.014312165
-0.19724909,-4.968,-0.012328068
-0.168856892,-3.936,-0.010553556
-0.145501334,-2.962,-0.009093833
-0.105583645,-2.022,-0.006598978
-0.075353503,-1.111,-0.004709594
-0.047152956,-0.2206,-0.00294706
-0.025464508,0.6589,-0.001591532
0.003790978,1.516,0.000236936
0.025487728,2.216,0.001592983
0.055783402,2.936,0.003486463
0.080186406,3.757,0.00501165
0.100314164,4.553,0.006269635
0.130106866,5.39,0.008131679
0.165832054,6.22,0.010364503
0.190333877,7.07,0.011895867
0.231519474,7.909,0.014469967
0.259537353,8.757,0.016221085
0.297176059,9.592,0.018573504
0.318332037,10.44,0.019895752
0.356342141,11.28,0.022271384
0.381933861,12.13,0.023870866
0.41693097,12.97,0.026058186
0.459928625,13.83,0.028745539
0.494178988,14.72,0.030886187
0.515898596,15.58,0.032243662
0.554989893,16.4,0.034686868
0.586179273,17.21,0.036636205
0.620223936,18.02,0.038763996
0.661213343,18.8,0.041325834
0.691227897,19.6,0.043201744
0.72684218,20.38,0.045427636
0.769066686,21.12,0.048066668
0.803277681,21.83,0.050204855
0.81268236,20.85,0.050792648
0.804157026,19.81,0.050259814
0.759435967,18.4,0.047464748
0.735362357,17.02,0.045960147
0.695366304,15.87,0.043460394
0.671796783,14.71,0.041987299
0.63598653,13.6,0.039749158
0.597680097,12.51,0.037355006
0.568316741,11.44,0.035519796
0.528698705,10.41,0.033043669
0.501605858,9.4,0.031350366
0.473535679,8.398,0.02959598
0.441777051,7.387,0.027611066
0.405661758,6.371,0.02535386
0.37460763,5.345,0.023412977
0.34433821,4.364,0.021521138
0.310508058,3.424,0.019406754
0.285959158,2.513,0.017872447
0.245703616,1.661,0.015356476
0.218935056,0.8299,0.013683441
0.195032014,0.02109,0.012189501
0.163022999,-0.8237,0.010188937
0.141722315,-1.639,0.008857645
0.113969988,-2.384,0.007123124
0.093274389,-3.13,0.005829649
0.069310455,-4.071,0.004331903
0.028346702,-4.989,0.001771669
0.005423953,-5.891,0.000338997
-0.02100228,-6.847,-0.001312643
-0.049243537,-7.781,-0.003077721
-0.082842441,-8.735,-0.005177653
-0.108648163,-9.706,-0.00679051
-0.148364062,-10.69,-0.009272754
-0.172822855,-11.7,-0.010801428
-0.208878474,-12.73,-0.013054905
-0.238210003,-13.79,-0.014888125
-0.272198879,-14.87,-0.01701243
-0.308722965,-15.96,-0.019295185
-0.335314085,-17.03,-0.02095713
-0.36949816,-18.13,-0.023093635
-0.405141589,-19.21,-0.025321349
-0.431574723,-20.27,-0.02697342
-0.462268516,-21.35,-0.028891782
-0.497206067,-22.4,-0.031075379
-0.534137513,-23.45,-0.033383595
-0.565966943,-24.44,-0.035372934
-0.601493781,-25.41,-0.037593361
-0.614032858,-24.22,-0.038377054
-0.607413233,-24.19,-0.037963327
-0.587668905,-23.1,-0.036729307
-0.554086329,-21.12,-0.034630396
-0.5226481,-19.45,-0.032665506
-0.494977762,-17.89,-0.03093611
-0.462129462,-16.4,-0.028883091
-0.427264757,-14.89,-0.026704047
-0.409181144,-13.56,-0.025573822
-0.371500424,-12.21,-0.023218777
-0.331917744,-10.97,-0.020744859
-0.309858675,-9.784,-0.019366167
-0.269113367,-8.54,-0.016819585
-0.246845278,-7.474,-0.01542783
-0.211657431,-6.432,-0.013228589
-0.184619327,-5.308,-0.011538708
-0.148191841,-4.285,-0.00926199
-0.114857467,-3.336,-0.007178592
-0.091216594,-2.345,-0.005701037
-0.052051787,-1.38,-0.003253237
-0.030387548,-0.5292,-0.001899222
-0.007270859,0.3206,-0.000454429
0.020954607,1.189,0.001309663
0.048136854,1.992,0.003008553
0.068252812,2.671,0.004265801
0.098356385,3.452,0.006147274
0.133187545,4.294,0.008324222
0.157948889,5.144,0.009871806
0.190310613,5.926,0.011894413
0.22044141,6.82,0.013777588
0.256703382,7.661,0.016043961
0.283494945,8.501,0.017718434
0.313451891,9.329,0.019590743
0.345059044,10.17,0.02156619
0.380432405,11.02,0.023777025
0.408360466,11.87,0.025522529
0.443663716,12.75,0.027728982
0.475470287,13.63,0.029716893
0.510232935,14.56,0.031889558
0.53792195,15.42,0.033620122
0.569965868,16.27,0.035622867
0.605027918,17.13,0.037814245
0.641313307,17.98,0.040082082
0.674721244,18.84,0.042170078
0.715002325,19.69,0.044687645
0.743135625,20.55,0.046445977
0.772544402,21.36,0.048284025
0.819358792,22.12,0.051209924
0.853241662,22.84,0.053327604
0.886649873,23.5,0.055415617
0.917488755,24.15,0.057343047
0.952977715,24.78,0.059561107
0.989798306,25.42,0.061862394
1.029067335,26,0.064316708
1.066663352,26.59,0.066666459
1.098883738,27.14,0.068680234
1.141308512,27.66,0.071331782
1.174618223,28.19,0.073413639
1.218861609,28.72,0.076178851
1.25387998,29.26,0.078367499
1.293027625,29.79,0.080814227
1.327431449,30.34,0.082964466
1.364590796,30.87,0.085286925
1.405789927,31.39,0.08786187
1.435243526,31.93,0.08970272
1.474739903,32.44,0.092171244
1.515294168,32.93,0.094705886
1.530382045,33.01,0.095648878
1.545511304,31.76,0.096594456
1.548659467,31.83,0.096791217
1.544086507,31.02,0.096505407
1.512036926,29.81,0.094502308
1.482563518,28.35,0.09266022
1.453697519,27.2,0.090856095
1.405865704,25.97,0.087866606
1.37667941,24.77,0.086042463
1.346221696,23.84,0.084138856
1.305866397,22.78,0.08161665
1.278691161,21.71,0.079918198
1.242996766,20.77,0.077687298
1.208715314,19.85,0.075544707
1.175154743,18.81,0.073447171
1.149146449,17.86,0.071821653
1.11127455,17.05,0.069454659
1.081944903,16.08,0.067621556
