ID,Reference,Reference nb,Test unit name,Cyclic / Monotonic,Cycles,Lab / In-situ,Stone masonry typology,Joints,Leaves,Stone,H [mm],L [mm],t [mm],H0 [mm],H0/H,fc [MPa],Type of compression test,Epc [MPa],Ecompr [MPa],Edyn [MPa],hb [mm],lb [mm],"fc,b [MPa]",Eb [MPa],"fc,m  [MPa]",Em [MPa],"?0,pc [MPa]","?0,tot /fc",dcr [%],Vcr [kN],"dmax,+ [%]","Vmax,+ [kN]","dmax,- [%]","Vmax,- [kN]","dc,+ [%]","dc,- [%]","dy,+ [%]","dy,- [%]","du,+ [%]","Vu,+ [kN]","du,- [%]","Vu,- [kN]","Kel,+ [kN/mm]","Kel,- [kN/mm]","Keff,+ [kN/mm]","Keff,- [kN/mm]",?+,?-,From test report: Failure type,Failure type,HC,IT,SU,SJ,DU,QM,REL,IQMvert,IQMip,IQMoop,LMTvert [mm],HLVDT,"?0,tot [MPa]",Ntot [kN],Availability of F-? curve,Unretrofitted / Retrofitted,Comment,Drift at which the photo was taken [%],Drift at which the crack map was taken [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Silva et al. (2014),2,C7,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,4.28,1,NaN,4966,NaN,NaN,NaN,149,67500,3.6,4600,1.25,0.298,0.32,185.90,1.02,200.0,1.06,217.2,1.54,1.61,0.10,0.11,1.37,192.0,1.61,202.9,251.4,267.1,146.3,142.3,14.09,15.21,"F, R",1,NR,R,NR,NR,PR,PR,R,2,3.5,4,1130,NaN,1.274,637.0,1,1,unretrofitted counterpart: C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Silva et al. (2014),2,C8,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,4.28,1,NaN,4966,NaN,NaN,NaN,149,67500,3.6,4600,2,0.473,0.25,246.40,0.48,255.9,0.33,263.8,1.05,0.49,0.08,0.08,1.05,239.0,0.49,245.9,289.5,317.4,229.8,240.4,13.64,6.51,"F, S, TC",0.5,NR,R,PR,NR,NR,PR,R,3,4,4.5,1120,NaN,2.024,1012.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Silva et al. (2014),2,E1,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,2.41,1,NaN,2959,NaN,NaN,NaN,149,67500,3.6,4600,0.5,0.216,0.22,28.00,0.40,28.5,NaN,NaN,NaN,NaN,NaN,NaN,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TC,1,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.520,137.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Silva et al. (2014),2,E2,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,2.41,1,NaN,2959,NaN,NaN,NaN,149,67500,3.6,4600,1,0.423,0.22,61.90,0.35,59.9,0.53,75.6,0.62,0.75,0.11,0.10,0.52,55.8,0.75,72.4,54.8,91.9,44.4,63.3,4.72,7.57,F,1,NR,NR,NR,NR,NR,PR,R,0.3,0.45,0.5,1120,NaN,1.020,269.3,1,0,retrofitted counterpart: E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Silva et al. (2014),2,E3,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,2.41,1,NaN,2959,NaN,NaN,NaN,149,67500,3.6,4600,0.75,0.320,0.23,49.20,0.38,48.7,0.39,58.2,0.83,0.67,0.09,0.08,0.67,46.1,0.67,55.4,116.5,106.8,42.9,64.1,7.14,8.92,F,1,NR,NR,NR,NR,NR,PR,R,1,1.5,1,1100,NaN,0.770,203.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Silva et al. (2014),2,E4,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,2.41,1,NaN,2959,NaN,NaN,NaN,149,67500,3.6,4600,1.25,0.527,0.19,68.00,0.38,63.4,0.28,83.0,0.65,0.57,0.12,0.06,0.51,60.2,0.57,79.2,88.6,161.6,43.3,111.8,4.25,9.26,F,1,NR,NR,NR,NR,PR,PR,R,1,1.5,1,1180,NaN,1.270,335.3,1,0,retrofitted counterpart: E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Silva et al. (2014),2,E5,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,4.87,1,NaN,5125,NaN,NaN,NaN,149,67500,3.6,4600,1.25,0.261,0.34,93.50,0.69,99.2,0.94,108.5,1.52,1.52,0.15,0.12,1.35,94.4,1.52,102.1,103.6,93.3,55.8,77.1,9.16,13.18,"F, R",1,NR,R,PR,NR,PR,PR,R,3.5,4.5,5,1130,NaN,1.270,335.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Silva et al. (2014),2,E6,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,4.87,1,NaN,5125,NaN,NaN,NaN,149,67500,3.6,4600,1,0.209,0.42,80.70,1.49,86.1,1.24,92.6,1.73,1.66,0.11,0.08,1.73,81.7,1.66,88.2,157.9,223.6,65.1,96.4,15.86,20.83,"F, R",1,NR,R,NR,NR,PR,R,R,3.5,4.5,4.5,1090,NaN,1.020,269.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Silva et al. (2014),2,E7,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,4.87,1,NaN,5125,NaN,NaN,NaN,149,67500,3.6,4600,1.5,0.312,0.28,94.00,0.56,107.9,0.42,98.8,1.22,1.12,0.10,0.12,0.99,103.1,1.11,92.3,166.0,133.2,87.9,69.7,9.67,9.64,"F, R, TC",1,NR,R,NR,NR,PR,R,R,3.5,4.5,4.5,1080,NaN,1.520,401.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Silva et al. (2014),2,E8,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1000,800,330,1150,1.15,4.87,1,NaN,5125,NaN,NaN,NaN,149,67500,3.6,4600,2,0.415,0.29,108.10,0.35,86.9,0.46,146.1,0.5,0.74,0.13,0.22,0.50,81.9,0.74,138.8,56.8,79.6,54.9,55.7,3.89,3.40,"R, TC",1,NR,R,NR,NR,PR,R,R,3.5,4.5,4.5,1110,NaN,2.020,533.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mazzon (2010),3,R2,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1221,1463,320,1321,1.08,6.88,1,4057,3471,NaN,NaN,NaN,197,64340,3.7,6130,1,0.149,0.10,151.00,0.40,190.4,0.64,188.1,1.01,1.03,0.04,0.11,0.92,179.8,0.95,176.9,328.6,208.6,330.0,125.8,21.47,8.55,S,0,PR,PR,R,PR,PR,R,R,8,7,6.5,1080,1271,1.024,479.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mazzon (2010),3,S2,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1370,1453,325,1470,1.07,7.72,1,2738,4379,NaN,NaN,NaN,197,64340,3.7,6130,2,0.263,0.16,221.00,0.48,254.3,0.29,266.5,0.8,0.73,0.12,0.06,0.80,242.8,0.72,245.2,374.6,343.3,145.9,304.1,6.83,12.72,S,0,PR,PR,R,PR,PR,R,R,8,7,6.5,1160,1420,2.027,957.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Mazzon (2010),3,R4,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1236,913,320,1336,1.08,6.88,1,5513,3471,NaN,NaN,NaN,197,64340,3.7,6130,1,0.149,0.30,71.00,1.31,82.3,1.31,79.4,2.32,1.90,0.08,0.12,1.93,80.3,1.90,76.1,119.3,87.1,75.8,48.1,23.42,15.46,"F, R",1,PR,PR,R,PR,NR,R,R,7.5,6.5,6,1080,1286,1.025,299.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mazzon (2010),3,S4,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1275,923,331,1375,1.08,7.72,1,6708,4379,NaN,NaN,NaN,197,64340,3.7,6130,1,0.133,0.28,75.00,0.43,84.9,0.95,91.6,1.71,1.61,0.12,0.23,1.71,82.9,1.57,86.8,78.0,106.8,50.5,29.0,13.84,6.93,"F, R",1,PR,PR,R,PR,PR,R,R,8,7,6.5,1230,1325,1.026,313.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mazzon (2010),3,R5,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1381,930,321,1481,1.07,6.88,1,4640,3471,NaN,NaN,NaN,197,64340,3.7,6130,2,0.295,0.26,108.00,0.61,121.6,0.45,125.4,0.86,0.89,0.17,0.10,0.83,115.3,0.78,115.7,117.8,145.0,47.7,82.3,4.92,7.91,S,0,PR,PR,R,PR,PR,R,R,8,7,6.5,1140,1431,2.028,605.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mazzon (2010),3,S5,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1381,929,328,1481,1.07,7.72,1,4323,4379,NaN,NaN,NaN,197,64340,3.7,6130,2,0.263,0.28,110.00,0.48,129.0,0.54,115.6,0.77,0.77,0.15,0.15,0.77,122.0,0.77,108.3,96.5,91.4,55.5,50.9,5.04,5.17,S,0,PR,PR,R,R,PR,R,R,8.5,8,7,1130,1431,2.028,617.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Magenes et al. (2010),4,CS00,Cyclic,3,Laboratory,C,Hydraulic lime mortar,2,Calcareous sandstone,2500,1250,320,1250,0.50,3.28,1,NaN,2550,NaN,125,250,170,NaN,1.78,NaN,0.2,0.076,NaN,NaN,0.75,44.9,0.40,49.6,1.88,2.00,0.04,0.05,1.88,44.0,2.00,47.3,984.7,21.3,41.2,35.2,43.95,37.23,R,1,R,PR,R,R,PR,R,PR,6.65,5.95,5.6,1210,NaN,0.250,100.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Magenes et al. (2010),4,CS01,Cyclic,3,Laboratory,C,Hydraulic lime mortar,2,Calcareous sandstone,2500,1250,320,1250,0.50,3.28,1,NaN,2550,NaN,100,250,171,NaN,1.78,NaN,0.5,0.168,NaN,NaN,0.36,85.6,0.28,94.3,0.41,0.38,0.14,0.12,0.41,81.1,0.38,89.7,28.1,34.8,23.4,30.7,2.93,3.29,S,0,R,PR,R,R,PR,R,PR,6.65,5.95,5.6,1210,NaN,0.550,220.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Magenes et al. (2010),4,CS02,Cyclic,3,Laboratory,C,Hydraulic lime mortar,2,Calcareous sandstone,2500,1250,320,1250,0.50,3.28,1,NaN,2550,NaN,100,250,172,NaN,1.78,NaN,0.2,0.076,NaN,NaN,0.40,45.5,0.38,47.4,0.77,0.74,0.06,0.05,0.77,43.2,0.74,45.0,37.0,63.3,27.1,38.4,12.05,15.77,"F, S",0.5,R,PR,R,R,PR,R,PR,6.65,5.95,5.6,1210,NaN,0.250,100.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Magenes et al. (2010),4,CT01,Cyclic,3,Laboratory,C,Hydraulic lime mortar,2,Calcareous sandstone,2500,2500,320,1250,0.50,3.28,1,NaN,2550,NaN,100,250,173,NaN,1.78,NaN,0.5,0.168,NaN,NaN,0.24,233.4,0.19,223.8,0.46,0.46,0.11,0.09,0.46,216.6,0.37,202.5,86.7,94.9,77.6,93.0,4.17,4.29,S,0,R,NR,R,R,PR,R,R,8.5,7.5,6.5,1270,NaN,0.550,440.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Magenes et al. (2010),4,CT02,Cyclic,3,Laboratory,C,Hydraulic lime mortar,2,Calcareous sandstone,2500,2500,320,1250,0.50,3.28,1,NaN,2550,NaN,100,250,174,NaN,1.78,NaN,0.2,0.076,NaN,NaN,0.15,136.7,0.14,153.1,0.56,0.57,0.09,0.07,0.45,127.4,0.48,135.8,56.9,138.5,59.3,73.8,5.22,6.51,S,0,R,NR,R,R,PR,R,R,8.5,7.5,6.5,1270,NaN,0.250,200.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Almeida et al. (2012),5,PG1,Cyclic,3,Laboratory (existing walls),E,Air lime mortar,1,Granite,2500,1600,400,2600,1.04,3.22,1,300,360,NaN,300,700,60,26000,1,NaN,0.8,0.264,0.19,75.50,0.46,105.6,0.52,112.5,0.67,0.95,0.26,0.27,0.67,98.3,0.95,105.0,34.2,47.6,14.3,15.1,2.55,3.55,"S, TC",0.5,,,,,,,,,,,0,NaN,0.850,544.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Almeida et al. (2012),5,PG2,Cyclic,3,Laboratory (existing walls),E,Air lime mortar,1,Granite,2500,1600,400,2600,1.04,3.22,1,140,360,NaN,300,700,60,26000,1,NaN,0.4,0.140,0.25,47.90,0.83,68.6,0.80,71.7,0.83,0.81,0.21,0.47,0.83,61.5,0.81,69.5,27.3,13.1,11.5,5.7,4.03,1.71,"F, S",0.5,,,,,,,,,,,0,NaN,0.450,288.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Borri et al. (2001),6,B-T-04-OR,Monotonic,0,In-situ,A,Air lime mortar,2,Calcareous,900,900,480,450,0.50,NaN,NaN,NaN,1118,NaN,NaN,NaN,57.5,NaN,NaN,NaN,0.309,#VALUE!,NaN,NaN,0.50,89.5,NaN,NaN,0.62,NaN,0.22,NaN,0.62,87.5,NaN,NaN,202.7,NaN,44.8,NaN,2.87,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.327,141.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Borri et al. (2001),6,V-T-07-IN,Monotonic,0,In-situ,A,Air lime mortar,2,Calcareous,900,900,480,450,0.50,NaN,NaN,NaN,1703,NaN,NaN,NaN,57.5,NaN,NaN,NaN,0.3,#VALUE!,NaN,NaN,NaN,100.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.318,137.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Borri et al. (2001),6,P-T-15-OR,Monotonic,0,In-situ,A,Air lime mortar,2,Calcareous + 30% sponge travertine,900,900,480,450,0.50,NaN,NaN,NaN,550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,#VALUE!,NaN,NaN,0.84,73.4,NaN,NaN,1.5,NaN,0.35,NaN,1.50,69.9,NaN,NaN,137.8,NaN,22.0,NaN,4.25,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.318,137.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Borri et al. (2012),7,TC-01-F-OR,Monotonic,0,In-situ,A,Air lime mortar,2,Calcareous,910,860,480,455,0.50,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,0.147,#VALUE!,NaN,NaN,NaN,34.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.165,68.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Borri et al. (2012),7,TC-02-F-OR,Monotonic,0,In-situ,A,Air lime mortar,2,Calcareous,900,863,480,450,0.50,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,0.184,#VALUE!,NaN,NaN,NaN,37.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.202,83.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Borri et al. (2012),7,TC-05-F-OR,Monotonic,0,In-situ,A,Air lime mortar,2,Calcareous,900,900,480,450,0.50,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,0.183,#VALUE!,NaN,NaN,NaN,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.201,86.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Borri et al. (2012),7,TC-04-B-OR,Monotonic,0,In-situ,A,Air lime mortar,2,"Calcareous, brick courses 120 cm",915,880,480,457.5,0.50,NaN,NaN,NaN,NaN,NaN,NaN,300,NaN,NaN,NaN,NaN,0.308,#VALUE!,NaN,NaN,NaN,88.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.326,137.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Borri et al. (2012),7,TC-07-V-IN,Monotonic,0,In-situ,A,Air lime mortar,2,"Calcareous, brick courses 120 cm",915,930,480,457.5,0.50,NaN,NaN,NaN,NaN,NaN,NaN,300,NaN,NaN,NaN,NaN,0.287,#VALUE!,NaN,NaN,NaN,100.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.305,136.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Borri et al. (2012),7,TC-15-P-OR,Monotonic,0,In-situ,A,Air lime mortar,2,"Limestone, sponge travertine",910,880,480,455,0.50,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,0.122,#VALUE!,NaN,NaN,NaN,74.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.140,59.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Corradi et al. (2014),8,TC-16-U-OR,Monotonic,0,In-situ,A,Air lime mortar,2,"Limestone, sponge travertine",910,890,480,455,0.50,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,0.1,#VALUE!,NaN,NaN,NaN,36.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.118,50.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
