load_step_names,image_names,Fh,u,Fv_total,Fv_s,Fv_n,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0002,-0.6427,NaN,-13.82,-7.512,-6.308,0.0013,-0.00974,0.00603,0.00081,-0.00091,-0.00017,-0.00029,0.00069,-0.00051,-0.00071,-0,-0.00096,-0.00159,-0.00059
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0003,-0.7271,NaN,-13.491,-7.26,-6.231,0.00114,-0.00943,0.0059,0.00063,-0.00094,-0.00019,-0.00032,0.00056,-0.00047,-0.00076,-0,-0.00104,-0.00167,-0.0006
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0004,-0.4872,NaN,-8.586,-4.866,-3.72,0.00115,-0.0135,0.02252,0.00702,-0.00088,-0.00017,-0.00025,0.00327,-0.00047,-0.0007,-0,-0.00113,-0.0016,-0.00057
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0005,-0.4086,NaN,-3.92,-2.462,-1.458,0.00084,-0.01829,0.04627,0.02097,-0.00093,-0.00032,-0.00033,0.00454,-0.0005,-0.00125,-0,-0.00182,-0.00161,-0.00062
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0006,-0.7854,NaN,-3.222,-1.708,-1.514,0.00091,-0.02072,0.0365,0.04748,-0.00089,-0.00031,-0.0003,0.0026,-0.00056,-0.002,-0,-0.00255,-0.00172,-0.0006
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0007,-1.01,NaN,-7.355,-3.629,-3.726,0.00114,-0.01761,0.0197,0.04746,-0.0009,-0.00029,-0.00027,-0.00012,-0.00046,-0.00207,-0,-0.00209,-0.00161,-0.00055
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0008,-1.049,NaN,-8.121,-3.995,-4.126,0.0012,-0.01865,0.01444,0.04138,-0.00092,-0.00029,-0.00026,-0.0008,-0.00045,-0.00207,-0,-0.00197,-0.0017,-0.00059
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0009,-0.7174,NaN,-8.124,-4.065,-4.059,0.00087,-0.01105,0.00739,0.04081,-0.00089,-0.00029,-0.00028,-0.0005,-0.0005,-0.00216,-0,-0.00193,-0.00166,-0.00059
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0010,-0.6458,NaN,-8.014,-3.986,-4.028,0.00074,-0.00642,0.00208,0.04087,-0.00092,-0.0003,-0.00031,-0.00045,-0.00045,-0.0021,-0,-0.00191,-0.00166,-0.00056
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0011,-0.2438,NaN,-8.223,-4.137,-4.086,0.00053,0.00965,-0.01516,0.05523,-0.00092,-0.0003,-0.00034,-0.00047,-0.00056,-0.00212,-0,-0.00196,-0.00168,-0.00061
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0012,0.01172,NaN,-8.126,-4.036,-4.09,0.00101,0.03183,-0.03764,0.07675,-0.00088,-0.00027,-0.00034,-0.00049,-0.0009,-0.00209,-0,-0.00203,-0.00173,-0.00061
RS6_LS00_to_LS01,LS00_to_LS01_RS6_0013,-0.1271,NaN,-10.327,-6.336,-3.991,-0.02734,-0.00849,0.02845,0.01657,-0.00088,-0.00029,-0.0003,0.00153,-0.0009,-0.00207,-0,-0.00136,-0.0017,-0.00059
