Test unit,E7
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.34,52.2,0.03
0.34,50.8,0.03
0.35,49.4,0.031
0.36,48.1,0.031
0.36,46.8,0.031
0.35,45.6,0.03
0.34,44.4,0.03
0.34,45.7,0.029
0.33,47.3,0.028
0.32,49.1,0.028
0.33,51,0.029
0.34,52.8,0.03
0.36,54.2,0.031
0.39,55.2,0.034
0.39,53.9,0.034
0.38,52.1,0.033
0.38,50.4,0.033
0.38,49,0.033
0.37,47.9,0.032
0.36,49.1,0.031
0.35,50.4,0.031
0.35,51.4,0.031
0.36,52.7,0.031
0.37,54.2,0.032
0.38,55.2,0.033
0.39,56.1,0.034
0.4,54.6,0.034
0.4,53.3,0.035
0.4,52,0.035
0.4,51,0.035
0.39,50,0.034
0.4,51.5,0.035
0.4,53.1,0.035
0.41,54.6,0.036
0.41,55.8,0.036
0.41,54.6,0.036
0.41,53.4,0.036
0.41,52.3,0.036
0.42,53.6,0.036
0.42,55,0.036
0.42,56.1,0.037
0.43,54.9,0.037
0.45,54,0.039
0.45,52.7,0.039
0.45,51.6,0.039
0.42,50.9,0.037
0.43,52,0.037
0.43,53.2,0.037
0.42,54.3,0.037
0.43,53.1,0.037
0.43,52,0.037
0.44,51,0.038
0.43,49.8,0.037
0.42,48.7,0.037
0.41,47.7,0.036
0.42,46.5,0.036
0.41,45.4,0.036
0.39,44.6,0.034
0.39,43.5,0.034
0.38,42.4,0.033
0.37,41.4,0.032
0.37,40.1,0.032
0.37,39.1,0.032
0.36,38,0.031
0.35,36.9,0.03
0.33,36.1,0.029
0.33,35.1,0.029
0.32,34.1,0.028
0.32,33.1,0.028
0.31,32.1,0.027
0.31,31,0.027
0.32,30,0.028
0.3,29.3,0.026
0.28,28.3,0.025
0.27,27.4,0.024
0.27,26.3,0.023
0.26,25.3,0.022
0.25,24.3,0.022
0.24,23.3,0.021
0.23,22.2,0.02
0.22,21.1,0.019
0.23,20.1,0.02
0.22,19.1,0.019
0.21,18.1,0.018
0.19,17.3,0.017
0.19,16.3,0.016
0.18,15.3,0.016
0.17,14.3,0.015
0.17,13.2,0.015
0.16,12,0.014
0.16,11,0.014
0.15,10,0.013
0.15,8.8,0.013
0.15,7.6,0.013
0.15,6.6,0.013
0.13,5.5,0.012
0.11,4.5,0.01
0.1,3.5,0.008
0.09,2.6,0.008
0.08,1.5,0.007
0.07,0.5,0.006
0.07,-0.5,0.006
0.06,-1.5,0.005
0.05,-2.5,0.004
0.04,-3.5,0.003
0.05,-4.6,0.004
0.03,-5.4,0.002
0.01,-6.2,0.001
0,-7.3,0
0,-8.2,0
-0.01,-9.3,-0.001
-0.02,-10.3,-0.001
-0.02,-11.3,-0.002
-0.03,-12.5,-0.003
-0.04,-13.7,-0.004
-0.04,-14.8,-0.004
-0.06,-15.6,-0.005
-0.08,-16.3,-0.007
-0.09,-17.4,-0.008
-0.09,-18.4,-0.008
-0.1,-19.6,-0.009
-0.11,-20.7,-0.01
-0.12,-21.7,-0.01
-0.13,-22.7,-0.011
-0.14,-23.7,-0.012
-0.16,-24.7,-0.014
-0.17,-25.6,-0.015
-0.17,-26.5,-0.015
-0.18,-27.5,-0.015
-0.18,-28.5,-0.015
-0.18,-29.4,-0.016
-0.2,-30.1,-0.017
-0.21,-31.1,-0.018
-0.22,-32.1,-0.019
-0.24,-32.8,-0.021
-0.24,-32,-0.021
-0.24,-31,-0.021
-0.25,-30,-0.022
-0.25,-28.9,-0.021
-0.25,-27.9,-0.022
-0.25,-26.8,-0.022
-0.25,-25.7,-0.022
-0.25,-24.7,-0.021
-0.25,-23.7,-0.022
-0.23,-22.9,-0.02
-0.23,-21.9,-0.02
-0.24,-20.8,-0.021
-0.23,-19.9,-0.02
-0.23,-18.8,-0.02
-0.22,-17.8,-0.019
-0.21,-16.7,-0.018
-0.2,-15.6,-0.018
-0.2,-14.7,-0.017
-0.18,-13.7,-0.016
-0.19,-12.7,-0.017
-0.19,-11.7,-0.016
-0.18,-10.6,-0.015
-0.17,-9.5,-0.015
-0.16,-8.6,-0.014
-0.15,-7.6,-0.013
-0.12,-6.9,-0.011
-0.13,-5.8,-0.012
-0.13,-4.7,-0.011
-0.12,-3.6,-0.01
-0.12,-2.2,-0.01
-0.1,-1.1,-0.009
-0.09,0,-0.008
-0.08,0.9,-0.007
-0.08,1.9,-0.007
-0.07,2.9,-0.006
-0.07,3.9,-0.006
-0.06,4.9,-0.005
-0.04,5.7,-0.003
-0.03,6.7,-0.002
-0.03,7.8,-0.003
-0.04,9,-0.003
-0.03,10.1,-0.002
-0.02,11.1,-0.001
-0.01,12.1,-0.001
-0,13.1,-0
0,14.3,0
0.01,15.3,0.001
0.02,16.3,0.001
0.02,17.3,0.002
0.05,18.2,0.004
0.05,19.2,0.005
0.05,20.4,0.005
0.05,21.4,0.005
0.06,22.5,0.005
0.07,23.5,0.006
0.07,24.5,0.006
0.08,25.5,0.007
0.08,26.7,0.007
0.09,27.6,0.008
0.11,28.7,0.009
0.12,29.7,0.01
0.14,30.5,0.012
0.14,31.7,0.012
0.14,32.7,0.012
0.15,33.8,0.013
0.16,34.7,0.014
0.17,35.7,0.015
0.18,36.8,0.016
0.19,37.7,0.016
0.2,38.8,0.017
0.22,39.9,0.019
0.24,40.5,0.021
0.24,41.6,0.021
0.24,42.7,0.021
0.25,43.7,0.022
0.26,44.6,0.023
0.27,45.6,0.023
0.28,46.7,0.024
0.29,47.6,0.025
0.31,48.2,0.027
0.31,49.3,0.027
0.32,50.2,0.028
0.34,51.2,0.03
0.36,52.2,0.031
0.37,53.2,0.032
0.39,54.1,0.034
0.4,55.1,0.035
0.4,54.1,0.035
0.4,52.9,0.035
0.41,51.8,0.035
0.41,52.9,0.036
0.41,54.3,0.035
0.41,55.6,0.036
0.42,56.6,0.036
0.42,57.2,0.037
0.43,55.8,0.037
0.45,54.3,0.039
0.47,53,0.041
0.46,51.9,0.04
0.43,53,0.038
0.43,54.1,0.037
0.42,55.4,0.036
0.41,56.5,0.036
0.43,57.6,0.037
0.44,56.7,0.038
0.44,55.5,0.039
0.45,54.2,0.039
0.45,53.1,0.039
0.46,54,0.04
0.45,55.2,0.039
0.44,56.2,0.038
0.44,57.3,0.038
0.45,56,0.039
0.46,54.6,0.04
0.46,53.4,0.04
0.45,52.4,0.039
0.45,51.3,0.039
0.44,52.3,0.038
0.43,53.4,0.038
0.43,54.6,0.038
0.44,55.7,0.038
0.45,56.6,0.039
0.45,55.4,0.039
0.45,54.2,0.039
0.45,53,0.039
0.45,51.8,0.039
0.44,50.5,0.039
0.44,49.4,0.038
0.43,50.4,0.037
0.42,51.8,0.037
0.42,52.8,0.036
0.43,53.9,0.037
0.43,52.8,0.038
0.44,51.3,0.038
0.44,50.1,0.038
0.44,49,0.038
0.44,47.8,0.038
0.43,47,0.037
0.42,46,0.037
0.41,45,0.036
0.41,43.9,0.035
0.39,43,0.034
0.41,41.9,0.035
0.4,40.9,0.034
0.38,40,0.033
0.36,39.1,0.032
0.35,38.2,0.03
0.34,37,0.03
0.33,36.1,0.029
0.32,35.1,0.028
0.32,34,0.028
0.32,33,0.028
0.31,31.9,0.027
0.28,31.3,0.025
0.28,29.9,0.024
0.27,28.8,0.024
0.26,27.9,0.023
0.26,26.7,0.022
0.25,25.6,0.022
0.24,24.7,0.021
0.25,23.6,0.022
0.24,22.6,0.021
0.23,21.7,0.02
0.21,20.5,0.018
0.2,19.5,0.017
0.19,18.6,0.016
0.18,17.5,0.016
0.17,16.5,0.015
0.17,15.5,0.015
0.16,14.5,0.014
0.15,13.5,0.013
0.16,12.5,0.014
0.15,11.6,0.013
0.13,10.6,0.011
0.12,9.5,0.011
0.12,8.3,0.01
0.11,7.1,0.01
0.11,5.8,0.009
0.1,4.7,0.008
0.08,3.8,0.007
0.08,2.8,0.007
0.07,1.7,0.006
0.06,0.6,0.005
0.06,-0.4,0.005
0.06,-1.5,0.005
0.05,-2.4,0.004
0.03,-3.3,0.003
0.02,-4.3,0.002
0.01,-5.4,0.001
0.01,-6.4,0.001
0,-7.3,0
-0.01,-8.3,-0.001
0,-9.4,0
-0.01,-10.4,-0.001
-0.03,-11.6,-0.002
-0.04,-13,-0.004
-0.05,-14.2,-0.004
-0.06,-15.1,-0.005
-0.07,-16,-0.006
-0.08,-17,-0.007
-0.09,-18.1,-0.008
-0.1,-19,-0.008
-0.1,-20,-0.009
-0.1,-21.1,-0.009
-0.12,-21.9,-0.01
-0.14,-22.6,-0.012
-0.15,-23.6,-0.013
-0.16,-24.6,-0.014
-0.16,-25.6,-0.014
-0.17,-26.7,-0.015
-0.17,-27.7,-0.015
-0.18,-28.6,-0.016
-0.2,-29.5,-0.017
-0.21,-30.4,-0.018
-0.21,-31.6,-0.019
-0.22,-32.6,-0.019
-0.23,-31.7,-0.02
-0.24,-32.8,-0.02
-0.25,-31.8,-0.022
-0.24,-32.8,-0.021
-0.25,-33.9,-0.021
-0.24,-32.7,-0.021
-0.25,-31.6,-0.022
-0.26,-30.4,-0.023
-0.26,-29.3,-0.022
-0.24,-28.2,-0.021
-0.24,-27.1,-0.02
-0.25,-28.2,-0.022
-0.25,-29.2,-0.022
-0.25,-28,-0.022
-0.25,-26.8,-0.022
-0.24,-25.6,-0.021
-0.24,-24.5,-0.021
-0.21,-25.1,-0.018
-0.21,-26.1,-0.018
-0.23,-25.3,-0.02
-0.23,-24.3,-0.02
-0.24,-23.1,-0.021
-0.23,-22,-0.02
-0.23,-20.9,-0.02
-0.22,-19.8,-0.019
-0.21,-18.9,-0.018
-0.2,-17.9,-0.018
-0.18,-17.1,-0.016
-0.18,-16,-0.015
-0.18,-15,-0.016
-0.18,-13.9,-0.016
-0.17,-12.8,-0.015
-0.17,-11.8,-0.015
-0.16,-10.8,-0.014
-0.15,-9.9,-0.013
-0.14,-8.9,-0.012
-0.12,-8,-0.01
-0.12,-7,-0.01
