Test unit,test 6
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.34,14.7,0.022
0.34,17.4,0.022
0.42,17.8,0.028
0.42,20.1,0.028
0.51,20.5,0.034
0.51,22.7,0.034
0.59,23.2,0.039
0.59,25,0.039
0.67,24.5,0.045
0.67,26.3,0.045
0.76,26.8,0.051
0.76,27.2,0.051
0.76,22.3,0.051
0.67,21.8,0.045
0.67,18.7,0.045
0.59,18.3,0.039
0.59,15.1,0.039
0.51,14.7,0.034
0.51,11.6,0.034
0.42,11.1,0.028
0.42,8,0.028
0.34,7.5,0.022
0.34,4.9,0.022
0.25,4.4,0.017
0.25,1.7,0.017
0.17,1.3,0.011
0.17,-1.4,0.011
0.09,-1.9,0.006
0.09,-4.5,0.006
-0,-5,-0
-0,-7.7,-0
-0.09,-8.1,-0.006
-0.09,-10.8,-0.006
-0.17,-11.3,-0.011
-0.17,-13.9,-0.011
-0.25,-14.4,-0.017
-0.25,-16.6,-0.017
-0.34,-17.1,-0.023
-0.34,-19.3,-0.023
-0.42,-19.8,-0.028
-0.42,-21.5,-0.028
-0.51,-22,-0.034
-0.51,-23.8,-0.034
-0.59,-24.2,-0.039
-0.59,-25.1,-0.039
-0.67,-25.6,-0.045
-0.67,-26.5,-0.045
-0.76,-26.9,-0.051
-0.76,-22.9,-0.051
-0.67,-22,-0.045
-0.67,-18.8,-0.045
-0.59,-18.4,-0.039
-0.59,-15.7,-0.039
-0.51,-15.3,-0.034
-0.51,-12.1,-0.034
-0.42,-11.7,-0.028
-0.42,-9.5,-0.028
-0.34,-9,-0.023
-0.34,-6.3,-0.023
-0.25,-5.9,-0.017
-0.25,-2.8,-0.017
-0.17,-2.3,-0.011
-0.17,-0.1,-0.011
NaN,NaN,NaN
-0.17,0.4,-0.011
-0.09,2.6,-0.006
-0,4.4,-0
0.01,6.7,0.001
0.09,8.9,0.006
0.17,10.7,0.011
0.2,12.6,0.013
0.25,14.7,0.017
0.34,16.5,0.022
0.42,18.3,0.028
0.45,20.2,0.03
0.51,22.3,0.034
0.59,24.1,0.039
0.67,25.9,0.045
0.76,27.7,0.051
0.76,26.6,0.051
0.74,24,0.05
0.67,21.9,0.045
0.64,19.9,0.043
0.59,17.9,0.039
