Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.12,-1.6,-0.005
-0.07,-1.5,-0.003
-0.13,-1.6,-0.005
-0.21,-3.6,-0.008
-0.25,-4.6,-0.01
-0.34,-5,-0.013
-0.4,-6.6,-0.015
-0.5,-7.5,-0.019
-0.55,-8.7,-0.021
-0.66,-10.1,-0.026
-0.66,-9.3,-0.026
-0.83,-10.6,-0.032
-0.93,-8.9,-0.036
-0.87,-6.6,-0.034
-0.86,-5.4,-0.033
-0.81,-4.1,-0.031
-0.73,-2.5,-0.028
-0.75,-1,-0.029
-0.66,-0.8,-0.025
-0.57,0.8,-0.022
-0.61,1,-0.023
-0.52,2.7,-0.02
-0.42,3.4,-0.016
-0.46,3.3,-0.018
-0.25,3,-0.01
-0.33,1.9,-0.013
-0.4,3.2,-0.015
-0.25,2.6,-0.01
-0.38,1.9,-0.015
-0.39,3.7,-0.015
-0.25,2.2,-0.01
-0.4,2.1,-0.015
-0.3,4,-0.011
-0.25,1.9,-0.01
-0.4,2.5,-0.015
-0.38,4.9,-0.015
-0.34,4.5,-0.013
-0.3,6.1,-0.011
-0.25,7.2,-0.01
-0.15,8.7,-0.006
-0.13,9.9,-0.005
-0.01,11.4,-0
0.07,12,0.003
0.16,14,0.006
0.28,15.9,0.011
0.34,16.4,0.013
0.44,17.7,0.017
0.53,19.3,0.02
0.78,21.5,0.03
0.82,22.3,0.031
1.03,24.3,0.04
1.22,25.2,0.047
1.25,25.6,0.048
1.33,26.5,0.051
1.37,25.7,0.053
1.51,27,0.058
1.5,26.4,0.058
1.63,25,0.063
1.55,25,0.06
1.55,22.3,0.06
1.49,22.2,0.057
1.42,20,0.055
1.43,19.7,0.055
1.34,18,0.052
1.37,17.2,0.053
1.28,16.2,0.049
1.23,15,0.047
1.14,13.3,0.044
1.02,11.7,0.039
0.96,10.4,0.037
0.9,9.7,0.035
0.81,8.7,0.031
0.75,6.6,0.029
0.62,5.4,0.024
0.55,4.2,0.021
0.49,4,0.019
0.41,2.1,0.016
0.29,0.8,0.011
0.27,0,0.01
0.22,-0.4,0.009
0.1,-1.2,0.004
0.12,-2,0.004
-0,-3,-0
