Test unit,CT01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.01,84.8,0.041
1.01,84.1,0.04
1,83.4,0.04
1,82.6,0.04
0.99,81.9,0.04
0.99,81.1,0.039
0.98,80.4,0.039
0.97,79.7,0.039
0.97,78.9,0.039
0.96,78.2,0.038
0.96,77.4,0.038
0.95,76.7,0.038
0.95,76,0.038
0.94,75.4,0.038
0.94,74.7,0.037
0.93,74,0.037
0.92,73.3,0.037
0.92,72.7,0.037
0.91,72,0.036
0.91,71.3,0.036
0.9,70.6,0.036
0.89,70,0.036
0.89,69.2,0.036
0.88,68.5,0.035
0.88,67.8,0.035
0.87,67,0.035
0.87,66.3,0.035
0.86,65.6,0.034
0.85,64.9,0.034
0.85,64.2,0.034
0.84,63.5,0.034
0.84,62.9,0.033
0.83,62.2,0.033
0.83,61.6,0.033
0.82,60.9,0.033
0.82,60.3,0.033
0.81,59.6,0.032
0.8,58.9,0.032
0.8,58.2,0.032
0.79,57.6,0.032
0.78,56.9,0.031
0.78,56.2,0.031
0.77,55.5,0.031
0.77,54.8,0.031
0.76,54.1,0.031
0.76,53.5,0.03
0.75,52.8,0.03
0.75,52.1,0.03
0.74,51.4,0.03
0.73,50.6,0.029
0.73,50,0.029
0.73,49.3,0.029
0.72,48.7,0.029
0.72,48,0.029
0.71,47.4,0.028
0.7,46.8,0.028
0.7,46.2,0.028
0.69,45.6,0.028
0.69,45.1,0.028
0.68,44.4,0.027
0.68,43.8,0.027
0.67,43.2,0.027
0.66,42.6,0.027
0.66,41.9,0.026
0.65,41.3,0.026
0.65,40.7,0.026
0.64,40.1,0.026
0.64,39.5,0.025
0.63,38.9,0.025
0.63,38.3,0.025
0.62,37.7,0.025
0.62,37.1,0.025
0.61,36.6,0.024
0.61,36.1,0.024
0.6,35.5,0.024
0.6,34.9,0.024
0.59,34.4,0.024
0.58,33.8,0.023
0.58,33.2,0.023
0.57,32.6,0.023
0.56,32.1,0.023
0.56,31.5,0.022
0.55,31,0.022
0.55,30.4,0.022
0.54,29.9,0.022
0.54,29.3,0.022
0.54,28.8,0.021
0.53,28.2,0.021
0.52,27.7,0.021
0.52,27.1,0.021
0.51,26.6,0.02
0.5,26.1,0.02
0.5,25.6,0.02
0.49,25.1,0.02
0.49,24.6,0.02
0.48,24,0.019
0.48,23.6,0.019
0.47,23.1,0.019
0.46,22.7,0.019
0.46,22.2,0.018
0.45,21.8,0.018
0.45,21.3,0.018
0.44,20.8,0.018
0.43,20.3,0.017
0.43,19.8,0.017
0.42,19.3,0.017
0.41,18.8,0.017
0.41,18.3,0.016
0.4,17.8,0.016
0.4,17.3,0.016
0.39,16.9,0.016
0.39,16.3,0.015
0.38,15.9,0.015
0.38,15.3,0.015
0.37,14.9,0.015
0.37,14.3,0.015
0.36,13.8,0.014
0.35,13.3,0.014
0.35,12.8,0.014
0.34,12.2,0.014
0.34,11.7,0.013
0.33,11.2,0.013
0.32,10.6,0.013
0.32,10.2,0.013
0.31,9.6,0.013
0.31,9.1,0.012
0.3,8.5,0.012
0.3,8,0.012
0.29,7.4,0.012
0.29,6.9,0.012
0.28,6.3,0.011
0.28,5.7,0.011
0.27,5.1,0.011
0.27,4.5,0.011
0.26,4,0.01
0.25,3.4,0.01
0.25,2.8,0.01
0.25,2.3,0.01
0.24,1.9,0.01
0.24,1.5,0.01
0.24,1.2,0.009
0.23,1.1,0.009
0.23,0.9,0.009
0.23,0.8,0.009
0.23,0.6,0.009
0.23,0.5,0.009
0.22,0.4,0.009
0.23,0.2,0.009
0.22,-0.1,0.009
0.22,-0.4,0.009
0.22,-0.9,0.009
0.21,-1.3,0.009
0.21,-1.8,0.008
0.21,-2.3,0.008
0.2,-2.7,0.008
0.19,-3.2,0.008
0.19,-3.7,0.008
0.18,-4.1,0.007
0.18,-4.5,0.007
0.17,-4.9,0.007
0.16,-5.2,0.007
0.16,-5.5,0.006
0.15,-5.7,0.006
0.15,-5.9,0.006
0.14,-6.2,0.006
0.14,-6.4,0.006
0.13,-6.7,0.005
0.13,-7,0.005
0.12,-7.3,0.005
0.12,-7.6,0.005
0.11,-7.9,0.004
0.11,-8.3,0.004
0.1,-8.6,0.004
0.09,-9,0.004
0.09,-9.4,0.003
0.08,-9.8,0.003
0.07,-10.3,0.003
0.07,-10.7,0.003
0.06,-11.1,0.003
0.06,-11.6,0.002
0.05,-12.1,0.002
0.05,-12.6,0.002
0.04,-13.1,0.002
0.04,-13.7,0.002
0.03,-14.2,0.001
0.03,-14.8,0.001
0.02,-15.4,0.001
0.01,-15.9,0.001
0.01,-16.5,0
0,-17.1,0
-0,-17.7,-0
-0.01,-18.3,-0
-0.01,-18.9,-0
-0.02,-19.5,-0.001
-0.02,-20.1,-0.001
-0.03,-20.8,-0.001
-0.03,-21.4,-0.001
-0.04,-22,-0.002
-0.05,-22.6,-0.002
-0.05,-23.2,-0.002
-0.06,-23.9,-0.002
-0.06,-24.6,-0.003
-0.07,-25.2,-0.003
-0.08,-25.9,-0.003
-0.08,-26.5,-0.003
-0.09,-27.1,-0.004
-0.09,-27.7,-0.004
-0.1,-28.3,-0.004
-0.1,-28.9,-0.004
-0.1,-29.5,-0.004
-0.11,-30.2,-0.004
-0.12,-30.8,-0.005
-0.12,-31.5,-0.005
-0.13,-32.1,-0.005
-0.14,-32.8,-0.005
-0.14,-33.4,-0.006
-0.15,-34.1,-0.006
-0.15,-34.7,-0.006
-0.16,-35.4,-0.006
-0.16,-36,-0.006
-0.17,-36.7,-0.007
-0.17,-37.4,-0.007
-0.18,-38.1,-0.007
-0.19,-38.8,-0.007
-0.19,-39.5,-0.008
-0.2,-40.2,-0.008
-0.2,-40.9,-0.008
-0.21,-41.6,-0.008
-0.22,-42.3,-0.009
-0.22,-43,-0.009
-0.23,-43.6,-0.009
-0.24,-44.3,-0.009
-0.24,-44.9,-0.01
-0.25,-45.6,-0.01
-0.25,-46.2,-0.01
-0.26,-47,-0.01
-0.26,-47.6,-0.01
-0.27,-48.3,-0.011
-0.27,-49,-0.011
-0.28,-49.7,-0.011
-0.29,-50.4,-0.011
-0.29,-51.1,-0.012
-0.3,-51.8,-0.012
-0.31,-52.5,-0.012
-0.31,-53.2,-0.013
-0.32,-53.9,-0.013
-0.33,-54.6,-0.013
-0.33,-55.3,-0.013
-0.34,-55.9,-0.014
-0.35,-56.6,-0.014
-0.35,-57.3,-0.014
-0.36,-58,-0.014
-0.36,-58.7,-0.015
