Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-2.36,-122.4,-0.188
-2.43,-125.2,-0.194
-2.47,-127.1,-0.198
-2.51,-125.8,-0.2
-2.52,-126.8,-0.201
-2.52,-119,-0.201
-2.44,-110.8,-0.195
-2.39,-106.1,-0.191
-2.3,-99.9,-0.184
-2.19,-93.6,-0.176
-2.08,-86.1,-0.166
-1.93,-78.3,-0.154
-1.77,-69.8,-0.141
-1.58,-61,-0.127
-1.39,-51.3,-0.111
-1.19,-41,-0.095
-0.96,-30.4,-0.077
-0.74,-18.8,-0.059
-0.51,-6.3,-0.041
-0.28,5.6,-0.022
-0.1,15.3,-0.008
0.1,23.5,0.008
0.06,16,0.005
0.05,15,0.004
0.05,14.4,0.004
0.04,14.4,0.003
0.04,16.6,0.003
0.11,25,0.009
0.45,46.3,0.036
0.73,62,0.058
1.01,76.7,0.081
1.27,90.8,0.102
1.54,102.4,0.123
1.76,112.4,0.14
2.01,123,0.161
2.22,132.4,0.177
2.42,140.3,0.194
2.58,147.1,0.206
2.73,152.5,0.218
2.86,156.2,0.229
2.97,157.8,0.237
3.03,159.7,0.242
3.08,160.3,0.247
3.1,160,0.248
3.1,157.5,0.248
3.06,149.6,0.245
3.01,145.6,0.241
2.92,139.9,0.234
2.82,132.7,0.225
2.68,124.9,0.214
2.53,116.5,0.202
2.34,106.1,0.188
2.13,93.9,0.17
1.92,81.7,0.153
1.7,67.9,0.136
1.42,52,0.114
1.17,36.9,0.093
0.91,21.9,0.073
0.91,21.9,0.073
0.72,9.7,0.057
0.33,-10.6,0.027
0.04,-26,0.003
-0.25,-40.7,-0.02
-0.54,-53.5,-0.043
-0.81,-65.4,-0.065
-1.09,-76.4,-0.087
-1.36,-85.2,-0.109
-1.61,-93.6,-0.128
-1.84,-102.1,-0.147
-2.06,-110.5,-0.164
-2.26,-117.4,-0.181
-2.44,-124.9,-0.195
-2.6,-130.2,-0.208
-2.73,-132.7,-0.218
-2.84,-135.6,-0.227
-2.92,-135.6,-0.234
-2.99,-135.9,-0.239
-3.01,-135.6,-0.241
-3.02,-134,-0.242
-3.02,-124.9,-0.242
-2.93,-114.6,-0.235
-2.87,-109.3,-0.23
-2.76,-102.7,-0.221
-2.63,-95.8,-0.211
-2.48,-88.3,-0.199
-2.31,-80.1,-0.185
-2.12,-71.4,-0.17
-1.9,-61.7,-0.152
-1.67,-51.7,-0.134
-1.42,-40.1,-0.114
-1.15,-28.5,-0.092
-0.89,-16,-0.071
-0.6,-2.2,-0.048
-0.33,11.3,-0.027
-0.09,23.5,-0.007
0.06,25,0.005
0.04,25.4,0.003
0.05,27.2,0.004
0.05,25.4,0.004
0.04,23.5,0.003
0.27,41.9,0.021
0.56,57,0.045
0.84,70.8,0.067
1.11,84.5,0.089
1.38,94.9,0.11
1.63,104.2,0.13
1.84,112.7,0.147
2.1,122.4,0.168
2.3,129.6,0.184
2.48,136.2,0.199
2.64,141.8,0.212
2.78,146.8,0.223
2.9,151.2,0.232
2.99,153.4,0.239
3.06,155.6,0.245
3.09,155.9,0.248
3.1,155.3,0.248
3.1,150.9,0.248
3.04,144,0.243
2.98,139.6,0.238
2.88,133.1,0.23
2.76,125.5,0.221
2.61,117.4,0.209
2.45,109.3,0.196
2.26,98.3,0.181
2.06,86.7,0.164
1.83,74.5,0.146
1.58,60.7,0.127
1.33,46,0.106
1.05,30.7,0.084
0.8,16.3,0.064
0.47,-1.9,0.038
0.21,-15,0.017
-0.07,-29.4,-0.006
-0.36,-42.6,-0.029
-0.64,-54.2,-0.051
-0.92,-65.4,-0.074
-1.19,-73.6,-0.095
-1.46,-80.8,-0.116
-1.7,-88.6,-0.136
-1.94,-95.8,-0.155
-2.14,-102.4,-0.171
-2.33,-108.6,-0.187
-2.51,-114.3,-0.2
-2.66,-119.6,-0.212
-2.78,-123,-0.223
-2.89,-126.5,-0.231
-2.96,-128.4,-0.236
-3,-129.3,-0.24
-3.02,-128.7,-0.242
-3.02,-126.8,-0.242
-2.98,-112.4,-0.238
-2.92,-108,-0.234
-2.83,-102.7,-0.226
-2.72,-96.1,-0.218
-2.58,-89.2,-0.206
-2.42,-82,-0.194
-2.24,-74.5,-0.179
-2.03,-65.4,-0.163
-1.82,-56,-0.146
-1.57,-45.7,-0.126
-1.33,-35.1,-0.106
-1.05,-23.5,-0.084
-0.78,-10.6,-0.063
-0.49,2.8,-0.039
-0.25,15,-0.02
0.1,32.6,0.008
0.04,23.5,0.003
0.04,25.7,0.003
0.05,25.4,0.004
0.34,45.1,0.027
0.62,59.2,0.05
0.92,73.3,0.074
1.19,85.8,0.095
1.45,95.2,0.116
1.69,103.9,0.135
1.91,112.4,0.152
2.15,121.8,0.172
2.36,128.4,0.188
2.53,134.6,0.202
2.68,140.6,0.214
2.83,145.6,0.226
2.93,149,0.235
3.02,151.8,0.242
3.07,153.4,0.246
3.09,154,0.248
3.1,152.5,0.248
3.08,144.3,0.247
3.03,140.6,0.242
2.96,135.6,0.236
2.85,129,0.228
2.73,121.5,0.218
2.59,114,0.207
2.4,103.9,0.192
2.21,93.3,0.176
1.99,82,0.159
1.76,69.8,0.14
1.51,56,0.121
1.26,41.6,0.101
1,26.6,0.08
0.8,16,0.064
0.42,-4.1,0.033
0.14,-18.2,0.011
-0.15,-31.3,-0.012
-0.44,-43.8,-0.035
-0.72,-55.1,-0.057
-1,-64.8,-0.08
-1.26,-72.3,-0.101
-1.53,-79.2,-0.122
-1.77,-86.4,-0.141
-1.99,-93,-0.159
-2.19,-99.2,-0.176
-2.38,-105.8,-0.19
-2.55,-110.8,-0.204
-2.69,-115.2,-0.215
-2.81,-119.6,-0.224
-2.9,-122.4,-0.232
-2.99,-123.7,-0.239
-2.99,-123,-0.239
-3.02,-122.4,-0.242
-3.02,-114.3,-0.242
-2.97,-108.9,-0.237
-2.9,-104.2,-0.232
-2.81,-98.9,-0.224
-2.68,-93,-0.214
-2.54,-86.1,-0.203
-2.37,-78.9,-0.189
-2.18,-70.8,-0.175
-1.97,-62.3,-0.158
-1.75,-52.6,-0.14
-1.5,-42.6,-0.12
-1.24,-31.9,-0.099
-0.97,-20.3,-0.078
-0.7,-7.5,-0.056
-0.43,5.6,-0.034
-0.21,15.3,-0.017
0.1,27.5,0.008
0.04,22.9,0.003
0.04,23.5,0.003
0.04,22.9,0.003
0.05,22.9,0.004
0.04,22.5,0.003
0.04,21.6,0.003
0.32,41.9,0.026
0.64,58.5,0.051
0.96,74.5,0.077
1.3,89.2,0.104
1.61,98.6,0.128
1.88,109.3,0.151
2.17,120.2,0.174
2.43,129.9,0.194
2.68,138.1,0.214
2.88,145.9,0.23
2.88,145.9,0.23
3.07,152.8,0.246
3.23,157.5,0.259
3.37,160.9,0.27
3.48,162.8,0.278
3.54,163.7,0.284
3.6,164,0.288
3.61,162.8,0.289
3.61,157.8,0.289
3.53,150.6,0.283
3.46,145.6,0.277
3.34,139,0.267
3.2,131.8,0.256
3.03,123,0.242
2.86,114.6,0.229
2.61,102.1,0.209
2.38,90.8,0.19
2.11,77.3,0.169
1.83,62.9,0.146
1.53,47,0.122
1.22,30.7,0.098
0.94,16.3,0.075
0.55,-4.1,0.044
0.24,-19.1,0.019
-0.1,-33.8,-0.008
-0.43,-47.3,-0.034
-0.76,-58.5,-0.061
-1.08,-67.3,-0.087
-1.4,-75.8,-0.112
-1.7,-84.2,-0.136
-1.99,-92.7,-0.159
-2.26,-100.8,-0.181
-2.51,-108.6,-0.2
-2.72,-116.1,-0.218
-2.92,-122.7,-0.234
-3.09,-127.7,-0.248
-3.24,-130.9,-0.26
-3.35,-133.1,-0.268
-3.45,-134,-0.276
-3.5,-134.3,-0.28
-3.52,-133.4,-0.282
-3.52,-129.9,-0.282
-3.46,-113.6,-0.277
-3.38,-110.2,-0.271
-3.3,-104.6,-0.264
-3.16,-98,-0.253
-3,-90.8,-0.24
-2.82,-83.6,-0.225
-2.6,-75.4,-0.208
-2.37,-66.7,-0.189
-2.11,-56.7,-0.169
-1.83,-46,-0.146
-1.53,-35.1,-0.122
-1.22,-22.5,-0.098
-0.91,-9.4,-0.073
-0.58,5.3,-0.046
-0.34,15.3,-0.027
0.09,35.4,0.007
0.04,26.3,0.003
0.04,28.5,0.003
0.05,29.7,0.004
0.05,28.2,0.004
0.04,26,0.003
0.04,29.4,0.003
0.05,28.5,0.004
0.37,48.5,0.03
0.71,64.2,0.057
1.03,78.3,0.082
1.35,89.5,0.108
1.65,98,0.132
1.94,108,0.155
2.23,117.4,0.178
2.48,125.5,0.199
2.72,133.7,0.218
2.91,139.6,0.233
3.1,146.2,0.248
3.27,150.9,0.261
3.39,154.7,0.272
3.49,157.2,0.279
3.57,158.7,0.285
3.6,159.3,0.288
3.61,157.8,0.289
3.59,150.9,0.287
3.52,146.2,0.282
3.44,140.9,0.275
3.33,133.7,0.266
3.18,126.2,0.254
3,118,0.24
2.81,108.9,0.224
2.58,97.7,0.206
2.32,85.8,0.186
2.07,72.3,0.165
1.79,57.9,0.143
1.48,42.9,0.118
1.17,26.6,0.093
0.95,15.7,0.076
0.49,-6.3,0.039
0.17,-20.3,0.014
-0.15,-34.7,-0.012
-0.49,-47,-0.039
-0.82,-57.9,-0.066
-1.15,-65.7,-0.092
-1.47,-73.6,-0.117
-1.77,-81.1,-0.141
-2.03,-88.6,-0.163
-2.3,-95.5,-0.184
-2.54,-102.4,-0.203
-2.77,-108.9,-0.222
-2.96,-114.6,-0.236
-3.12,-119.3,-0.249
-3.27,-123,-0.261
-3.37,-125.8,-0.27
-3.46,-128,-0.277
-3.5,-128.4,-0.28
-3.52,-128,-0.282
-3.52,-125.2,-0.282
-3.45,-107.4,-0.276
-3.37,-104.2,-0.27
-3.28,-98.9,-0.262
-3.14,-93,-0.251
-2.98,-87,-0.238
-2.77,-79.2,-0.222
-2.56,-71.4,-0.205
-2.32,-62.9,-0.186
-2.07,-53.2,-0.165
-1.79,-42.9,-0.143
-1.49,-32.2,-0.119
-1.17,-20,-0.093
-0.85,-6.9,-0.068
-0.52,7.2,-0.042
-0.32,16,-0.026
0.09,32.6,0.007
0.04,25.4,0.003
0.04,28.8,0.003
0.06,30.7,0.005
0.44,50.1,0.035
0.77,65.7,0.062
1.1,78.9,0.088
1.41,89.5,0.113
1.71,97.7,0.137
2,107.1,0.16
2.29,116.8,0.183
2.53,124.3,0.202
2.76,131.5,0.221
2.97,138.1,0.237
3.15,143.7,0.252
3.3,148.4,0.264
3.43,151.5,0.274
3.51,154.3,0.281
3.54,152.8,0.284
3.61,155.3,0.289
3.61,153.7,0.289
3.57,148.4,0.285
3.5,144,0.28
3.42,138.4,0.273
3.29,130.9,0.263
3.14,122.4,0.251
2.98,114.3,0.238
2.75,103.3,0.22
2.53,92.4,0.202
2.27,79.8,0.182
1.99,66.4,0.159
1.7,52,0.136
1.4,37.3,0.112
1.09,21.6,0.087
0.82,8.1,0.066
0.42,-9.7,0.033
0.1,-23.8,0.008
-0.24,-37.3,-0.019
-0.57,-48.5,-0.045
-0.91,-58.9,-0.073
-1.22,-65.7,-0.098
-1.54,-73.3,-0.123
-1.83,-80.5,-0.146
-2.11,-87.7,-0.169
-2.37,-94.9,-0.189
-2.6,-100.8,-0.208
-2.82,-106.4,-0.225
-3,-112.4,-0.24
-3.16,-116.5,-0.253
-3.3,-120.2,-0.264
-3.39,-123,-0.272
-3.47,-124.9,-0.278
-3.51,-125.5,-0.281
-3.52,-124.6,-0.282
-3.52,-117.7,-0.282
-3.44,-103.6,-0.275
-3.36,-99.9,-0.269
-3.24,-94.9,-0.26
-3.1,-88.9,-0.248
-2.92,-83,-0.234
-2.73,-75.8,-0.218
-2.51,-67.6,-0.2
-2.26,-58.9,-0.181
-2.01,-49.8,-0.161
-1.71,-39.1,-0.137
-1.42,-28.2,-0.114
-1.1,-15.7,-0.088
-0.78,-3.1,-0.063
-0.78,-3.1,-0.063
-0.44,11,-0.035
-0.16,22.5,-0.013
0.09,28.8,0.007
0.04,25.4,0.003
0.04,28.5,0.003
0.04,24.1,0.003
0.04,24.7,0.003
0.09,31.3,0.007
0.52,53.5,0.042
0.91,70.4,0.073
1.27,85.2,0.102
1.63,94.9,0.13
1.98,104.9,0.158
2.3,116.1,0.184
2.61,125.5,0.209
2.9,133.4,0.232
3.16,141.5,0.253
3.38,149,0.271
3.59,155.6,0.287
3.76,160.3,0.301
3.89,162.8,0.311
4,164.7,0.32
4.07,165.6,0.325
4.1,165.3,0.328
4.1,162.8,0.328
4.05,153.1,0.324
3.98,149,0.319
3.88,142.8,0.31
3.74,135.6,0.299
3.54,127.4,0.284
3.35,118.3,0.268
3.13,108.9,0.25
2.85,96.7,0.228
2.56,84.2,0.205
2.25,70.1,0.18
1.92,55.1,0.153
1.57,38.8,0.126
1.21,21.6,0.097
0.9,7.5,0.072
0.46,-11.9,0.037
0.09,-27.2,0.007
-0.3,-41,-0.024
-0.67,-52.6,-0.054
-1.05,-62,-0.084
-1.42,-69.5,-0.114
-1.78,-78.3,-0.142
-2.11,-86.4,-0.169
-2.42,-94.9,-0.194
-2.71,-102.4,-0.217
-2.98,-109.6,-0.238
-3.22,-116.1,-0.258
-3.44,-122.1,-0.275
-3.62,-127.4,-0.29
-3.77,-130.5,-0.301
-3.88,-132.1,-0.31
-3.96,-133.1,-0.317
-4,-133.1,-0.32
-4.01,-131.8,-0.321
-4.01,-123,-0.321
-3.92,-109.3,-0.313
-3.82,-104.9,-0.306
-3.68,-99.2,-0.295
-3.52,-93,-0.282
-3.33,-86.1,-0.266
-3.09,-78.6,-0.248
-2.84,-70.4,-0.227
-2.57,-61.4,-0.206
-2.26,-51.7,-0.181
-1.94,-41,-0.155
-1.6,-28.8,-0.128
-1.23,-16.3,-0.099
-0.87,-2.5,-0.069
-0.49,12.2,-0.039
-0.07,29.7,-0.006
0.09,30.7,0.007
0.04,26.3,0.003
0.04,30.7,0.003
0.05,31,0.004
0.04,29.4,0.003
0.04,25.7,0.003
0.33,46.3,0.027
0.71,62.3,0.057
1.07,76.4,0.086
1.43,88,0.115
1.79,96.4,0.143
2.12,106.4,0.17
2.44,115.2,0.195
2.74,124,0.219
3.03,131.5,0.242
3.27,138.7,0.261
3.48,144.6,0.278
3.66,150,0.293
3.82,154.3,0.306
3.94,157.8,0.315
4.04,159.3,0.323
4.08,160,0.326
4.1,159.3,0.328
4.1,155,0.328
4.03,147.1,0.322
3.94,142.1,0.315
3.81,135.2,0.305
3.65,127.7,0.292
3.46,119.3,0.277
3.24,110.2,0.26
2.99,99.9,0.239
2.72,88.3,0.218
2.42,75.4,0.194
2.1,61.4,0.168
1.76,46,0.14
1.4,30.4,0.112
1.09,16,0.087
0.65,-3.1,0.052
0.29,-17.5,0.023
-0.09,-31.6,-0.007
-0.47,-44.1,-0.038
-0.86,-55.1,-0.069
-1.23,-62.6,-0.099
-1.6,-69.8,-0.128
-1.93,-77.6,-0.154
-2.25,-85.5,-0.18
-2.56,-92.7,-0.205
-2.84,-99.2,-0.227
-3.08,-105.8,-0.247
-3.32,-111.4,-0.266
-3.52,-116.5,-0.282
-3.68,-120.8,-0.295
-3.82,-124.3,-0.306
-3.92,-126.8,-0.313
-3.98,-127.7,-0.319
-4.01,-127.7,-0.321
-4.01,-123,-0.321
-3.94,-107.4,-0.315
-3.88,-104.2,-0.31
-3.77,-99.2,-0.301
-3.62,-93.3,-0.29
-3.22,-79.8,-0.258
-2.98,-72.6,-0.238
-2.72,-64.5,-0.218
-2.43,-55.4,-0.194
-2.11,-45.4,-0.169
-1.79,-34.4,-0.143
-1.45,-22.5,-0.116
-1.06,-9.4,-0.085
-0.69,4.1,-0.055
-0.39,15.3,-0.031
0.07,34.4,0.006
0.05,24.4,0.004
0.04,26.6,0.003
0.04,29.7,0.003
0.05,31,0.004
0.47,50.7,0.038
0.87,65.7,0.069
1.23,79.5,0.099
1.6,89.8,0.128
1.94,97.7,0.155
2.28,107.1,0.182
2.57,116.5,0.206
2.86,124.3,0.229
3.13,130.9,0.25
3.36,137.7,0.269
3.57,142.8,0.285
3.74,148.1,0.299
3.88,151.5,0.31
3.98,154.3,0.319
4.06,155.9,0.325
4.1,155.9,0.328
4.11,155.6,0.329
4.06,145.9,0.325
4,142.1,0.32
3.9,136.2,0.312
3.76,129.3,0.301
3.58,121.5,0.286
3.39,113.6,0.272
3.14,103.6,0.251
2.88,93,0.23
2.59,81.1,0.207
2.29,67.9,0.183
1.96,53.5,0.157
1.62,38.2,0.129
1.25,22.9,0.1
1.03,11.9,0.082
0.5,-9.4,0.04
0.12,-23.2,0.009
-0.25,-36.3,-0.02
-0.63,-47.9,-0.051
-1.01,-58.9,-0.081
-1.37,-68.6,-0.11
-1.72,-77.3,-0.138
-2.07,-85.5,-0.165
-2.39,-93,-0.191
-2.68,-99.6,-0.214
-2.94,-106.1,-0.236
-2.94,-106.1,-0.236
-3.2,-112.1,-0.256
-3.4,-117.1,-0.272
-3.6,-121.8,-0.288
-3.75,-125.2,-0.3
-3.87,-128,-0.309
-3.95,-129.6,-0.316
-4,-129.9,-0.32
-4,-128.4,-0.32
-4.01,-123.7,-0.321
-3.91,-106.1,-0.313
-3.84,-102.7,-0.307
-3.72,-97.7,-0.297
-3.55,-92,-0.284
-3.36,-85.5,-0.269
-3.13,-78.6,-0.25
-2.88,-71.1,-0.23
-2.6,-63.2,-0.208
-2.3,-53.8,-0.184
-1.99,-44.5,-0.159
-1.65,-33.5,-0.132
-1.27,-21.9,-0.102
-0.91,-9.7,-0.073
-0.54,3.8,-0.043
-0.22,15.3,-0.018
0.11,20.7,0.009
0.05,16,0.004
0.04,16,0.003
0.04,15,0.003
0.04,16.3,0.003
0.15,28.8,0.012
0.65,49.8,0.052
1.08,66.4,0.087
1.5,79.5,0.12
1.9,93,0.152
2.28,101.1,0.182
2.66,115.8,0.212
3,125.5,0.24
3.31,133.7,0.265
3.59,141.2,0.287
3.84,148.4,0.307
4.06,154.3,0.325
4.25,158.7,0.34
4.4,160.9,0.352
4.51,162.8,0.361
4.58,163.4,0.367
4.6,161.5,0.368
4.61,159,0.369
4.54,151.2,0.363
4.46,145.9,0.357
4.33,139.3,0.346
4.16,131.8,0.333
3.95,123.7,0.316
3.73,115.2,0.298
3.44,103.9,0.275
3.15,93.3,0.252
2.83,80.5,0.226
2.47,66.4,0.198
2.1,51,0.168
1.7,35.1,0.136
1.31,18.5,0.104
0.84,0,0.067
0.44,-14.7,0.035
0.01,-29.4,0.001
-0.42,-40.4,-0.033
-0.84,-52,-0.067
-1.28,-62.6,-0.103
-1.67,-70.4,-0.134
-2.06,-79.8,-0.164
-2.43,-88.3,-0.194
-2.77,-95.8,-0.222
-3.1,-103.3,-0.248
-3.39,-110.2,-0.272
-3.66,-116.8,-0.293
-3.9,-122.4,-0.312
-4.1,-127.4,-0.328
-4.26,-129.9,-0.341
-4.38,-132.1,-0.35
-4.46,-132.7,-0.357
-4.52,-132.7,-0.361
-4.52,-131.2,-0.361
-4.51,-120.2,-0.361
-4.4,-113.6,-0.352
-4.28,-108,-0.343
-4.12,-101.7,-0.33
-3.94,-95.2,-0.315
-3.7,-88.6,-0.296
-3.45,-80.5,-0.276
-3.16,-72.3,-0.253
-2.84,-63.9,-0.227
-2.49,-54.5,-0.2
-2.12,-43.8,-0.17
-1.73,-32.6,-0.139
-1.34,-20.3,-0.107
-0.91,-7.2,-0.073
-0.48,7.5,-0.039
-0.22,16.3,-0.018
0.06,18.8,0.005
0.04,18.8,0.003
0.04,21.6,0.003
0.47,42.9,0.038
0.9,58.5,0.072
1.32,72,0.105
1.72,83.3,0.138
2.11,94.5,0.169
2.49,105.2,0.2
2.86,114.9,0.229
3.17,123.3,0.254
3.47,130.5,0.278
3.74,137.1,0.299
3.98,143.1,0.319
4.16,146.8,0.333
4.34,151.2,0.347
4.46,153.4,0.357
4.55,155.6,0.364
4.6,155.9,0.368
4.61,154.3,0.369
4.57,149.3,0.366
4.51,144.9,0.361
4.39,138.7,0.351
4.24,131.8,0.339
4.06,123.7,0.325
3.83,114.9,0.307
3.57,104.6,0.285
3.28,93.6,0.262
2.97,82.3,0.237
2.62,70.1,0.21
2.26,55.7,0.181
1.87,41.3,0.15
1.48,26.3,0.118
1.19,15,0.095
0.62,-5,0.05
0.19,-18.5,0.015
-0.22,-31.9,-0.018
-0.64,-42.3,-0.051
-1.07,-53.8,-0.086
-1.49,-63.6,-0.119
-1.9,-72.9,-0.152
-2.28,-81.4,-0.182
-2.62,-88.3,-0.21
-2.97,-95.8,-0.237
-3.28,-102.4,-0.262
-3.55,-108.6,-0.284
-3.8,-114.3,-0.304
-4.01,-119,-0.321
-4.2,-123,-0.336
-4.33,-126.2,-0.346
-4.44,-128.4,-0.355
-4.5,-128.7,-0.36
-4.52,-128,-0.361
-4.52,-123,-0.361
-4.43,-109.9,-0.355
-4.34,-105.8,-0.347
-4.2,-100.2,-0.336
-4.03,-94.2,-0.322
-3.81,-87.7,-0.305
-3.57,-80.5,-0.285
-3.28,-72.6,-0.262
-2.98,-64.8,-0.238
-2.64,-55.7,-0.212
-2.29,-46.6,-0.183
-1.91,-36,-0.152
-1.52,-24.4,-0.122
-1.09,-12.2,-0.087
-0.66,1.3,-0.053
-0.25,15,-0.02
0.12,25.4,0.009
0.04,17.5,0.003
0.05,17.5,0.004
0.05,19.1,0.004
0.54,42.9,0.043
0.97,57.9,0.078
1.38,71.4,0.11
1.8,83,0.144
2.17,93.6,0.174
2.54,103.3,0.203
2.9,112.7,0.232
3.22,121.2,0.258
3.51,128,0.281
3.77,134.3,0.301
4.01,140.6,0.321
4.21,145.3,0.337
4.36,148.7,0.349
4.48,151.5,0.358
4.56,153.1,0.365
4.6,152.8,0.368
4.6,152.8,0.368
4.61,151.8,0.369
4.56,143.1,0.365
4.49,138.4,0.359
4.37,132.7,0.349
4.21,126.5,0.337
4.01,119.3,0.321
3.79,111.1,0.303
3.53,101.1,0.283
3.23,90.8,0.259
2.91,79.5,0.233
2.57,66.1,0.206
2.19,52,0.176
1.81,36.9,0.145
1.4,22.5,0.112
1.11,9.7,0.089
0.56,-8.1,0.045
0.13,-21.3,0.01
-0.3,-33.8,-0.024
-0.72,-45.1,-0.057
-1.15,-55.1,-0.092
-1.55,-64.8,-0.124
-1.95,-74.2,-0.156
-2.33,-81.7,-0.187
-2.69,-88.6,-0.215
-3.03,-95.8,-0.242
-3.32,-101.7,-0.266
-3.6,-108,-0.288
-3.84,-113,-0.307
-4.05,-118,-0.324
-4.22,-121.8,-0.337
-4.36,-124.9,-0.349
-4.45,-126.8,-0.356
-4.51,-127.4,-0.361
-4.52,-126.2,-0.361
-4.52,-120.8,-0.361
-4.41,-103.6,-0.353
-4.31,-99.9,-0.345
-4.18,-95.2,-0.334
-3.99,-89.2,-0.319
-3.77,-83,-0.301
-3.52,-76.1,-0.282
-3.23,-68.6,-0.259
-2.92,-60.4,-0.234
-2.58,-51.3,-0.206
-2.23,-41.9,-0.178
-1.85,-31.6,-0.148
-1.45,-20.3,-0.116
-1.02,-8.5,-0.081
-0.59,4.7,-0.047
-0.25,15.3,-0.02
0.12,21.9,0.009
0.04,17.2,0.003
0.04,17.5,0.003
0.05,17.8,0.004
0.04,18.2,0.003
0.04,21.3,0.003
0.29,34.1,0.023
0.76,51.7,0.061
1.24,67.3,0.099
1.71,79.8,0.137
2.15,91.7,0.172
2.58,102.7,0.206
2.97,112.7,0.237
3.36,122.4,0.269
3.7,130.5,0.296
4.03,137.4,0.322
4.31,144.6,0.345
4.54,150.3,0.363
4.75,154.7,0.38
4.91,157.5,0.393
5.03,159.3,0.403
5.11,159.7,0.409
5.13,159.3,0.41
5.13,155.9,0.41
5.05,148.4,0.404
4.96,142.8,0.397
4.81,136.2,0.385
4.61,129,0.369
4.39,121.2,0.351
4.12,111.8,0.33
3.81,101.4,0.305
3.47,89.5,0.278
3.1,76.7,0.248
2.71,62.9,0.217
2.29,48.2,0.183
1.85,32.2,0.148
1.4,17.2,0.112
0.9,0.3,0.072
0.45,-13.8,0.036
-0.03,-27.5,-0.003
-0.5,-39.4,-0.04
-0.99,-51,-0.079
-1.45,-60.7,-0.116
-1.91,-70.8,-0.152
-2.33,-79.5,-0.187
-2.76,-87.3,-0.221
-3.14,-95.5,-0.251
-3.5,-103,-0.28
-3.83,-109.6,-0.307
-4.12,-116.5,-0.33
-4.38,-122.1,-0.35
-4.59,-126.8,-0.367
-4.76,-129.6,-0.381
-4.9,-131.2,-0.392
-4.99,-131.8,-0.399
-5.03,-131.5,-0.403
-5.04,-128,-0.403
-5.03,-111.1,-0.403
-4.9,-106.1,-0.392
-4.76,-100.8,-0.381
-4.58,-95.5,-0.367
-4.37,-88.9,-0.349
-4.12,-82.6,-0.33
-3.82,-74.8,-0.306
-3.5,-66.4,-0.28
-3.13,-57.6,-0.25
-2.74,-47.9,-0.219
-2.32,-37.9,-0.186
-1.9,-26.6,-0.152
-1.45,-15,-0.116
-0.96,-1.6,-0.077
-0.48,11.6,-0.039
-0.01,26.9,-0.001
0.05,20,0.004
0.04,19.7,0.003
0.04,24.1,0.003
0.17,31.9,0.014
0.67,49.2,0.054
1.16,63.6,0.093
1.63,76.4,0.13
2.07,87,0.165
2.49,97.7,0.2
2.9,106.1,0.232
3.29,114.9,0.263
3.64,122.4,0.291
3.97,129.9,0.318
4.25,136.5,0.34
4.51,142.1,0.361
4.72,146.8,0.378
4.88,150.3,0.391
5.01,152.8,0.401
5.1,154,0.408
5.13,154.3,0.41
5.13,151.8,0.41
5.07,146.8,0.406
4.98,141.2,0.398
4.83,134.3,0.386
4.66,126.8,0.373
4.43,118.6,0.355
4.18,109.6,0.334
3.87,99.2,0.309
3.54,88.6,0.284
3.17,76.7,0.254
2.77,65.1,0.222
2.37,51,0.189
1.94,36.6,0.155
1.49,22.2,0.119
1.08,8.1,0.087
0.54,-6.9,0.043
0.06,-20.3,0.005
-0.42,-33.2,-0.033
-0.89,-44.1,-0.071
-1.37,-53.8,-0.11
-1.83,-63.2,-0.146
-2.27,-71.4,-0.182
-2.68,-78.9,-0.214
-3.07,-86.4,-0.246
-3.43,-93,-0.274
-3.77,-99.9,-0.301
-4.08,-105.2,-0.326
-4.34,-110.2,-0.347
-4.55,-114.6,-0.364
-4.74,-118.3,-0.379
-4.88,-121.2,-0.391
-4.98,-122.7,-0.398
-5.03,-123,-0.403
-5.04,-121.8,-0.403
-5.03,-112.1,-0.403
-4.91,-106.1,-0.393
-4.8,-101.4,-0.384
-4.63,-95.2,-0.37
-4.41,-89.2,-0.353
-4.16,-82,-0.333
-3.88,-74.5,-0.31
-3.55,-66.7,-0.284
-3.2,-57.9,-0.256
-2.82,-48.5,-0.225
-2.41,-38.8,-0.193
-2.41,-38.8,-0.193
-1.98,-28.2,-0.158
-1.52,-16.3,-0.122
-1.05,-4.4,-0.084
-0.59,8.1,-0.047
-0.29,16.3,-0.023
0.06,20.3,0.005
0.05,19.7,0.004
0.04,19.4,0.003
0.04,19.4,0.003
0.36,35.1,0.029
0.81,49.2,0.065
1.3,62.6,0.104
1.75,74.5,0.14
2.18,85.5,0.175
2.62,96.4,0.21
3.02,105.2,0.242
3.39,114.3,0.272
3.74,121.8,0.299
4.06,128.7,0.325
4.33,134.9,0.346
4.57,140.3,0.366
4.78,144.9,0.382
4.91,148.1,0.393
5.04,150.6,0.403
5.11,151.5,0.409
5.14,151.2,0.411
5.12,146.5,0.409
5.05,142.1,0.404
4.95,136.5,0.396
4.79,129.6,0.383
4.6,122.4,0.368
4.38,114.6,0.35
4.08,104.6,0.326
3.78,95.2,0.302
3.44,84.5,0.275
3.06,73.3,0.245
2.67,60.4,0.213
2.24,46.6,0.179
1.81,32.6,0.145
1.35,18.8,0.108
0.84,3.8,0.067
