Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.89,73.9,0.071
0.84,68.6,0.067
0.78,62.3,0.063
0.72,55.7,0.057
0.65,48.2,0.052
0.57,40.1,0.045
0.49,32.2,0.039
0.41,23.2,0.033
0.34,16.3,0.027
0.26,7.2,0.021
0.14,-4.1,0.011
0.04,-12.8,0.003
-0.04,-22.2,-0.003
-0.14,-31.3,-0.011
-0.22,-40.7,-0.018
-0.31,-49.8,-0.025
-0.4,-58.2,-0.032
-0.47,-66.7,-0.038
-0.55,-74.8,-0.044
-0.62,-80.5,-0.05
-0.7,-84.8,-0.056
-0.74,-89.2,-0.059
-0.79,-92.7,-0.063
-0.84,-95.8,-0.067
-0.88,-97.7,-0.07
-0.91,-98.9,-0.073
-0.92,-99.2,-0.074
-0.93,-99.9,-0.075
-0.93,-95.2,-0.075
-0.91,-88,-0.073
-0.89,-85.5,-0.071
-0.85,-81.4,-0.068
-0.81,-76.4,-0.065
-0.76,-70.8,-0.061
-0.71,-64.2,-0.057
-0.64,-57.3,-0.051
-0.58,-50.1,-0.046
-0.5,-41.9,-0.04
-0.43,-33.8,-0.034
-0.34,-25.7,-0.027
-0.26,-17.8,-0.021
-0.17,-10,-0.014
-0.07,-0.6,-0.006
0.01,7.2,0.001
0.05,9.7,0.004
0.04,4.7,0.003
0.04,8.1,0.003
0.04,6.9,0.003
0.11,15.7,0.009
0.27,31.6,0.021
0.33,37.6,0.027
0.44,46.3,0.035
0.5,52.9,0.04
0.59,60.7,0.047
0.66,67.6,0.053
0.73,73.9,0.058
0.79,78.9,0.063
0.85,83.6,0.068
0.9,87.3,0.072
0.94,90.2,0.075
0.97,93,0.078
1,93.9,0.08
1.02,95.2,0.081
1.03,95.2,0.082
1.02,94.2,0.081
1.02,89.5,0.081
1,85.8,0.08
0.97,83,0.078
0.94,78.9,0.075
0.9,74.8,0.072
0.85,69.5,0.068
0.79,63.6,0.063
0.73,57.3,0.058
0.66,49.8,0.053
0.59,42.6,0.047
0.5,34.4,0.04
0.43,26.3,0.034
0.34,17.8,0.027
0.31,14.7,0.025
0.14,-0.6,0.011
0.05,-8.1,0.004
-0.03,-16.6,-0.003
-0.13,-25.7,-0.01
-0.21,-33.8,-0.017
-0.3,-42.3,-0.024
-0.39,-49.8,-0.031
-0.47,-57,-0.038
-0.55,-64.5,-0.044
-0.61,-71.1,-0.049
-0.69,-76.7,-0.055
-0.74,-80.8,-0.059
-0.78,-85.8,-0.063
-0.84,-89.8,-0.067
-0.87,-92.7,-0.069
-0.9,-94.9,-0.072
-0.92,-96.4,-0.074
-0.92,-96.4,-0.074
-0.93,-96.4,-0.075
-0.93,-93.6,-0.075
-0.91,-85.8,-0.073
-0.89,-83.6,-0.071
-0.86,-79.2,-0.069
-0.81,-74.8,-0.065
-0.77,-69.5,-0.062
-0.72,-63.6,-0.057
-0.65,-56.7,-0.052
-0.59,-49.5,-0.047
-0.51,-42.3,-0.041
-0.44,-34.1,-0.035
-0.35,-26,-0.028
-0.27,-18.5,-0.021
-0.18,-11,-0.015
-0.09,-2.2,-0.007
0,6.3,0
0.05,9.4,0.004
0.04,5,0.003
0.04,8.5,0.003
0.04,4.7,0.003
0.04,7.5,0.003
0.12,15.7,0.009
0.27,30.4,0.021
0.33,36.9,0.027
0.43,44.8,0.034
0.5,51.3,0.04
0.59,59.2,0.047
0.65,65.7,0.052
0.73,72,0.058
0.79,77.3,0.063
0.85,81.4,0.068
0.9,85.8,0.072
0.94,88.6,0.075
0.97,91.7,0.078
1,93,0.08
1.02,94.5,0.081
1.02,90.2,0.081
1,85.5,0.08
0.97,82.6,0.078
0.94,78.9,0.075
0.9,74.5,0.072
0.85,69.2,0.068
0.79,63.6,0.063
0.73,57,0.058
0.65,49.8,0.052
0.58,42.3,0.046
0.5,34.4,0.04
0.42,26.3,0.033
0.34,18.2,0.027
0.31,14.7,0.025
0.14,0,0.011
0.05,-7.5,0.004
-0.03,-15.3,-0.003
-0.13,-23.8,-0.01
-0.21,-32.2,-0.017
-0.3,-40.4,-0.024
-0.39,-47.9,-0.031
-0.46,-55.1,-0.037
-0.55,-62.3,-0.044
-0.62,-68.6,-0.05
-0.69,-74.2,-0.055
-0.74,-78.9,-0.059
-0.79,-83.6,-0.063
-0.84,-87.7,-0.067
-0.87,-90.8,-0.069
-0.91,-93.6,-0.073
-0.92,-94.9,-0.074
-0.93,-95.2,-0.075
-0.93,-92.4,-0.075
-0.91,-83.6,-0.073
-0.89,-81.4,-0.071
-0.86,-77.3,-0.069
-0.81,-72.9,-0.065
-0.77,-67.6,-0.062
-0.71,-61.4,-0.057
-0.65,-55.4,-0.052
-0.59,-48.2,-0.047
-0.51,-41,-0.041
-0.44,-33.5,-0.035
-0.35,-26,-0.028
-0.26,-17.8,-0.021
-0.18,-10.6,-0.015
-0.09,-2.5,-0.007
0,5.9,0
0.05,9.1,0.004
0.04,5.3,0.003
0.04,8.1,0.003
0.04,5.3,0.003
0.04,6.6,0.003
0.04,5.3,0.003
0.13,15.3,0.01
0.32,33.8,0.026
0.44,44.5,0.035
0.56,55.4,0.045
0.69,67.3,0.055
0.81,78,0.065
0.92,87,0.074
1.03,96.4,0.082
1.12,103.6,0.09
1.21,109.3,0.097
1.28,112.7,0.103
1.35,116.8,0.108
1.4,119,0.112
1.46,120.8,0.116
1.49,122.1,0.119
1.5,122.1,0.12
1.51,121.8,0.121
1.51,116.5,0.121
1.48,112.4,0.118
1.45,109.6,0.116
1.39,104.2,0.111
1.34,99.2,0.107
1.27,92.4,0.102
1.19,84.8,0.095
1.1,76.4,0.088
1,67.3,0.08
0.89,57.6,0.071
0.77,47,0.062
0.65,36.6,0.052
0.52,25.4,0.042
0.42,16.3,0.033
0.24,0.3,0.019
0.12,-9.4,0.009
-0.02,-20.7,-0.002
-0.15,-32.2,-0.012
-0.29,-44.1,-0.023
-0.43,-55.1,-0.034
-0.55,-66.4,-0.044
-0.69,-77.3,-0.055
-0.78,-86.4,-0.063
-0.9,-96.1,-0.072
-1.01,-103.6,-0.081
-1.09,-109.3,-0.087
-1.18,-113.6,-0.094
-1.24,-116.5,-0.099
-1.32,-119,-0.105
-1.36,-120.2,-0.109
-1.39,-120.8,-0.111
-1.41,-121.2,-0.113
-1.42,-120.2,-0.114
-1.42,-117.7,-0.114
-1.39,-108.9,-0.111
-1.38,-106.8,-0.11
-1.33,-101.7,-0.106
-1.26,-95.8,-0.101
-1.2,-89.2,-0.096
-1.12,-82,-0.09
-1.03,-73.6,-0.082
-0.93,-65.4,-0.075
-0.82,-56.4,-0.066
-0.72,-47.3,-0.057
-0.59,-36.9,-0.047
-0.47,-26.6,-0.038
-0.34,-16.3,-0.027
-0.2,-5.6,-0.016
-0.07,5.3,-0.006
0.04,15,0.003
0.05,12.8,0.004
0.04,6.9,0.003
0.04,11,0.003
0.06,15.3,0.005
0.28,33.2,0.022
0.39,41.9,0.031
0.52,52.6,0.042
0.64,62.6,0.051
0.77,72.6,0.062
0.89,80.8,0.071
1,89.5,0.08
1.1,96.4,0.088
1.19,102.7,0.095
1.26,107.7,0.101
1.33,111.8,0.106
1.39,114.9,0.111
1.45,118.6,0.116
1.48,120.2,0.118
1.5,121.2,0.12
1.51,120.8,0.121
1.51,119.3,0.121
1.49,112.4,0.119
1.47,109.6,0.117
1.4,104.6,0.112
1.36,99.9,0.109
1.3,93.9,0.104
1.22,87.3,0.098
1.13,79.2,0.091
1.13,79.2,0.091
1.03,70.8,0.082
0.92,60.7,0.074
0.81,51.3,0.065
0.7,41,0.056
0.57,30.4,0.045
0.44,19.4,0.035
0.37,14.4,0.03
0.15,-3.4,0.012
0.02,-13.5,0.002
-0.11,-24.1,-0.009
-0.25,-34.7,-0.02
-0.37,-45.1,-0.03
-0.5,-54.8,-0.04
-0.63,-64.8,-0.051
-0.75,-73.3,-0.06
-0.87,-81.7,-0.069
-0.96,-89.2,-0.077
-1.06,-96.1,-0.085
-1.13,-101.7,-0.091
-1.22,-106.8,-0.098
-1.28,-110.5,-0.103
-1.34,-113.3,-0.107
-1.38,-115.2,-0.11
-1.4,-116.5,-0.112
-1.42,-116.5,-0.114
-1.42,-108.9,-0.114
-1.38,-103.3,-0.11
-1.35,-98.9,-0.108
-1.28,-94.5,-0.103
-1.22,-87.7,-0.098
