Test unit,C2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.14,-2,-0.01
-0.12,-0.5,-0.009
-0.09,1,-0.007
-0.09,2.8,-0.007
-0.08,4.4,-0.006
-0.06,6.5,-0.005
-0.04,8.7,-0.003
-0.03,10.5,-0.002
-0.01,12.2,-0.001
0.01,13.8,0.001
0.03,15.4,0.002
0.05,16.9,0.004
0.08,18.7,0.006
0.1,20.3,0.008
0.1,22,0.008
0.12,23.7,0.009
0.14,25.3,0.01
0.16,26.9,0.012
0.18,28.5,0.013
0.2,30.1,0.015
0.23,31.4,0.017
0.23,33.1,0.017
0.24,34.8,0.018
0.27,36.3,0.02
0.29,37.9,0.021
0.31,39.5,0.023
0.34,40.8,0.025
0.34,42.5,0.025
0.37,44.1,0.027
0.4,45.5,0.029
0.42,47,0.031
0.44,48.5,0.033
0.49,49.5,0.036
0.52,48,0.038
0.51,46.3,0.038
0.5,44.7,0.037
0.5,42.8,0.037
0.51,41,0.038
0.48,39.6,0.036
0.47,37.8,0.035
0.45,36,0.034
0.45,34.3,0.033
0.43,32.7,0.032
0.41,31.2,0.03
0.4,29.4,0.03
0.39,27.8,0.029
0.38,26.2,0.028
0.37,24.5,0.027
0.35,23,0.026
0.33,21.4,0.024
0.31,19.6,0.023
0.3,18,0.022
0.29,16.3,0.021
0.27,14.6,0.02
0.26,12.9,0.02
0.24,11.5,0.018
0.22,9.8,0.017
0.21,8.2,0.016
0.19,6.5,0.014
0.18,4.9,0.013
0.17,3.2,0.012
0.15,1.7,0.011
0.13,0.2,0.009
0.11,-1.5,0.008
0.1,-3.3,0.008
0.09,-5.1,0.006
0.07,-6.7,0.005
0.06,-8.3,0.004
0.04,-10,0.003
0.02,-12.2,0.001
-0,-13.8,-0
-0.03,-12.2,-0.002
-0.03,-14,-0.002
-0.03,-16,-0.002
-0.05,-18,-0.004
-0.07,-19.7,-0.005
-0.09,-21.4,-0.006
-0.09,-23.2,-0.007
-0.11,-25.1,-0.008
-0.13,-26.6,-0.01
-0.16,-27.9,-0.012
-0.17,-29.7,-0.013
-0.19,-31.3,-0.014
-0.21,-33.1,-0.016
-0.23,-34.7,-0.017
-0.23,-36.4,-0.017
-0.26,-37.9,-0.019
-0.29,-39.4,-0.021
-0.31,-41.1,-0.023
-0.32,-42.7,-0.024
-0.34,-44.2,-0.025
-0.35,-45.9,-0.026
-0.38,-47.3,-0.028
-0.4,-48.9,-0.03
-0.42,-50.4,-0.031
-0.44,-51.9,-0.033
-0.47,-53.2,-0.035
-0.5,-51.8,-0.037
-0.5,-50,-0.037
-0.5,-48.3,-0.037
-0.5,-46.7,-0.037
-0.49,-44.9,-0.037
-0.48,-43.2,-0.036
-0.47,-41.4,-0.035
-0.46,-39.8,-0.034
-0.44,-38,-0.032
-0.41,-36.6,-0.03
-0.42,-35,-0.031
-0.4,-33.2,-0.03
-0.39,-31.6,-0.029
-0.38,-30,-0.028
-0.36,-28.4,-0.027
-0.35,-26.8,-0.026
-0.33,-25.1,-0.024
-0.32,-23.3,-0.024
-0.31,-21.6,-0.023
-0.29,-20.1,-0.021
-0.27,-18.4,-0.02
-0.26,-16.7,-0.019
-0.24,-15.2,-0.017
-0.21,-13.6,-0.016
-0.21,-12,-0.016
-0.2,-10.3,-0.015
-0.18,-8.5,-0.014
-0.16,-7,-0.012
-0.15,-5.3,-0.011
-0.13,-3.7,-0.01
-0.1,-2.3,-0.008
-0.11,-0.6,-0.008
-0.09,0.9,-0.007
-0.07,2.7,-0.005
-0.06,4.3,-0.004
-0.04,6.4,-0.003
-0.02,8.5,-0.001
-0,10.1,-0
0.01,11.8,0.001
0.04,13.5,0.003
0.07,15.7,0.005
0.09,17.3,0.007
0.11,19.2,0.008
0.12,20.8,0.009
0.13,22.6,0.01
0.15,24.3,0.011
0.17,26,0.013
0.19,27.8,0.014
0.21,29.6,0.015
0.23,31.3,0.017
0.25,33,0.018
0.26,34.7,0.019
0.28,36.5,0.021
0.31,38.3,0.023
0.34,39.7,0.025
0.35,41.4,0.026
0.36,43.1,0.027
0.38,44.8,0.028
0.4,46.4,0.029
0.42,48.1,0.031
0.44,49.6,0.033
0.46,51.2,0.034
0.5,52.8,0.037
0.52,54.4,0.039
0.55,56,0.041
0.59,57.3,0.043
0.61,58.8,0.045
0.64,60.3,0.047
0.68,61.2,0.05
0.72,62.4,0.053
0.76,63.5,0.056
0.8,64.7,0.059
0.83,63.3,0.061
0.88,63.8,0.065
0.9,62.2,0.066
0.93,63.5,0.069
0.95,62,0.07
0.95,60.2,0.07
0.95,61.9,0.071
0.97,63.6,0.072
0.99,61.8,0.074
1.01,60.2,0.075
1,58.4,0.074
0.99,60.3,0.073
0.99,61.9,0.073
1,60.2,0.074
1.01,58.5,0.074
1.01,56.6,0.075
1.01,54.9,0.074
0.99,53.1,0.073
0.98,51.5,0.072
0.96,49.7,0.071
0.95,48,0.07
0.93,46.3,0.069
0.92,44.7,0.068
0.9,42.9,0.067
0.88,41.3,0.065
0.87,39.7,0.064
0.85,38.1,0.063
0.84,36.4,0.062
0.83,34.8,0.061
0.82,33,0.061
0.8,31.4,0.059
0.78,29.8,0.058
0.75,28.3,0.056
0.74,26.6,0.055
0.72,24.8,0.053
0.7,23.2,0.052
0.69,21.6,0.051
0.67,20,0.05
0.65,18.3,0.048
0.64,16.8,0.047
0.64,15,0.047
0.61,13.3,0.045
0.58,11.9,0.043
0.57,10.3,0.042
0.54,8.8,0.04
0.53,7,0.039
0.51,5.4,0.038
0.49,3.9,0.036
0.47,2.2,0.035
0.46,0.6,0.034
0.44,-1.1,0.033
0.42,-2.9,0.031
0.4,-5,0.03
0.38,-7,0.028
0.35,-9.9,0.026
0.32,-12.7,0.023
0.29,-15.2,0.021
0.27,-17.2,0.02
0.24,-18.8,0.018
0.22,-20.4,0.016
0.21,-18.7,0.016
0.21,-20.6,0.016
0.19,-22.7,0.014
0.17,-24.5,0.013
0.16,-26.1,0.012
0.13,-27.9,0.01
0.13,-29.6,0.01
0.09,-31,0.007
0.07,-32.6,0.005
0.05,-34.3,0.003
0.03,-36,0.002
0.01,-37.7,0.001
-0.01,-39.3,-0.001
-0.03,-41,-0.002
-0.05,-42.8,-0.004
-0.07,-44.5,-0.005
-0.09,-46.1,-0.007
-0.11,-47.7,-0.008
-0.13,-49.3,-0.009
-0.14,-50.9,-0.01
-0.17,-52.4,-0.013
-0.2,-53.9,-0.015
-0.23,-55.3,-0.017
-0.25,-56.8,-0.018
-0.27,-58.4,-0.02
-0.29,-60.1,-0.022
-0.32,-61.6,-0.024
-0.35,-63.1,-0.026
-0.38,-64.5,-0.028
-0.39,-66.1,-0.029
-0.44,-67.3,-0.032
-0.47,-68.6,-0.035
-0.51,-69.9,-0.038
-0.54,-71.3,-0.04
-0.57,-72.7,-0.042
-0.6,-74,-0.044
-0.62,-75.6,-0.046
-0.66,-76.5,-0.049
-0.71,-77.4,-0.052
-0.74,-78.8,-0.055
-0.77,-80.1,-0.057
-0.81,-81.4,-0.06
-0.86,-81.7,-0.064
-0.89,-83.1,-0.066
-0.94,-84.1,-0.07
-0.98,-85,-0.073
-1,-83.3,-0.074
-0.99,-81.6,-0.074
-1,-79.7,-0.074
-0.99,-81.4,-0.073
-1,-83.1,-0.074
-1.01,-81.4,-0.075
-1.01,-79.5,-0.075
-1.01,-77.8,-0.075
-1.01,-76.1,-0.075
-1,-74.3,-0.074
-0.98,-72.6,-0.073
-0.98,-70.9,-0.073
-0.96,-69.3,-0.071
-0.95,-67.7,-0.07
-0.93,-65.9,-0.069
-0.91,-64.1,-0.068
-0.89,-62.6,-0.066
-0.88,-60.9,-0.065
-0.87,-59.1,-0.064
-0.85,-57.5,-0.063
-0.83,-55.8,-0.062
-0.82,-54.2,-0.061
-0.8,-52.6,-0.059
-0.78,-50.9,-0.058
-0.76,-49.3,-0.056
-0.74,-47.8,-0.055
-0.73,-46,-0.054
-0.72,-44.3,-0.053
-0.7,-42.7,-0.052
-0.68,-41.1,-0.051
-0.67,-39.4,-0.049
-0.65,-37.6,-0.048
-0.63,-35.9,-0.046
-0.61,-34.3,-0.045
-0.59,-32.7,-0.044
-0.57,-31,-0.042
-0.54,-29.6,-0.04
-0.53,-27.8,-0.039
-0.52,-26.1,-0.038
-0.5,-24.3,-0.037
-0.48,-22.7,-0.036
-0.46,-20.9,-0.034
-0.44,-19.3,-0.032
-0.42,-17.8,-0.031
-0.4,-16,-0.03
-0.38,-14.3,-0.028
-0.36,-12.7,-0.027
-0.34,-11,-0.025
-0.31,-9.5,-0.023
-0.29,-7.9,-0.021
-0.28,-6.1,-0.021
-0.26,-4.4,-0.019
-0.24,-2.8,-0.018
-0.22,-1.2,-0.016
-0.2,0.3,-0.015
-0.18,2,-0.013
-0.16,3.7,-0.012
-0.14,5.3,-0.01
-0.11,7.3,-0.008
-0.08,9.6,-0.006
-0.06,12.1,-0.004
-0.03,14.5,-0.002
-0.01,16.6,-0.001
0.02,18.7,0.001
0.04,20.4,0.003
0.05,18.4,0.004
0.04,16.8,0.003
0.05,19.2,0.004
0.06,21.6,0.004
0.09,23.9,0.006
0.11,25.8,0.008
0.14,27.4,0.01
0.17,28.9,0.012
0.2,30.5,0.015
0.22,32.2,0.017
0.24,33.9,0.018
0.26,35.7,0.019
0.27,37.4,0.02
0.3,39.2,0.022
0.32,41.1,0.024
0.36,42.3,0.027
0.38,43.9,0.028
0.41,45.6,0.03
0.43,47.2,0.032
0.46,48.6,0.034
0.49,49.9,0.036
0.5,51.6,0.037
0.53,53.1,0.039
0.56,54.5,0.041
0.6,55.9,0.044
0.62,57.5,0.046
0.64,59,0.048
0.69,59.6,0.051
0.71,61.2,0.053
0.74,62.7,0.055
0.77,64.1,0.057
0.82,65,0.06
0.87,65.4,0.064
0.89,67.1,0.066
0.94,67.8,0.069
0.96,66.4,0.071
0.96,68.1,0.071
0.98,69.7,0.072
0.99,67.8,0.073
0.99,65.9,0.073
0.99,64.1,0.073
0.99,62.2,0.073
1,63.9,0.074
0.99,65.5,0.073
0.99,67.2,0.073
0.99,65.5,0.074
0.99,63.7,0.074
1,61.7,0.074
1,60.1,0.074
0.99,58.2,0.073
0.97,56.6,0.072
0.98,58.3,0.072
0.95,56.6,0.071
0.95,54.9,0.071
0.94,53,0.07
0.92,51.3,0.068
0.9,49.7,0.067
0.89,47.8,0.066
0.87,46.1,0.065
0.87,44.3,0.064
0.84,42.9,0.062
0.82,41.2,0.06
0.8,39.4,0.059
0.78,37.8,0.058
0.76,36.2,0.057
0.75,34.5,0.056
0.73,32.9,0.054
0.71,31.2,0.053
0.71,29.4,0.053
0.68,28.1,0.051
0.66,26.6,0.049
0.65,25,0.048
0.62,23.5,0.046
0.61,21.7,0.045
0.58,20.2,0.043
0.56,18.6,0.042
0.54,16.9,0.04
0.53,15.2,0.039
0.5,13.5,0.037
0.5,11.7,0.037
0.48,9.9,0.035
0.45,8.4,0.033
0.42,6.9,0.031
0.4,5.3,0.029
0.38,3.7,0.028
0.36,1.9,0.027
0.34,0.4,0.025
0.34,-1.3,0.025
0.32,-3.4,0.024
0.3,-5.2,0.022
0.27,-7.6,0.02
0.23,-10.4,0.017
0.2,-13,0.015
0.17,-15.4,0.012
0.14,-17.2,0.01
0.12,-18.9,0.009
0.09,-16.9,0.007
0.09,-15.2,0.007
0.09,-16.9,0.007
0.1,-19.3,0.007
0.09,-21,0.006
0.07,-22.7,0.005
0.05,-24.2,0.004
0.03,-25.7,0.002
0,-27.6,0
-0.02,-29.3,-0.002
-0.04,-31,-0.003
-0.07,-32.8,-0.005
-0.09,-34.7,-0.007
-0.12,-36.4,-0.009
-0.14,-37.9,-0.01
-0.16,-39.7,-0.012
-0.18,-41.3,-0.013
-0.2,-43,-0.015
-0.22,-44.7,-0.016
-0.24,-46.5,-0.018
-0.27,-48.1,-0.02
-0.28,-49.8,-0.021
-0.3,-51.4,-0.022
-0.33,-53,-0.024
-0.36,-54.6,-0.026
-0.38,-56.4,-0.028
-0.41,-58,-0.03
-0.43,-59.6,-0.032
-0.45,-61.2,-0.033
-0.47,-62.8,-0.035
-0.5,-64.5,-0.037
-0.52,-66.1,-0.039
-0.52,-67.8,-0.039
-0.56,-69.1,-0.041
-0.59,-70.5,-0.044
-0.62,-72,-0.046
-0.64,-73.6,-0.047
-0.67,-75.1,-0.049
-0.7,-76.6,-0.052
-0.73,-78.2,-0.054
-0.74,-79.9,-0.055
-0.78,-81,-0.058
-0.82,-82.2,-0.061
-0.85,-83.6,-0.063
-0.88,-85.2,-0.065
-0.92,-86.3,-0.068
-0.95,-87.6,-0.07
-0.99,-86.3,-0.073
-1,-88,-0.074
-1.02,-86,-0.075
-1.02,-84.3,-0.075
-1.02,-82.4,-0.075
-1.01,-80.5,-0.075
-0.99,-78.9,-0.073
-1,-77.2,-0.074
-0.98,-75.4,-0.073
-0.97,-73.8,-0.072
-0.94,-72.4,-0.069
-0.94,-70.8,-0.07
-0.93,-69.1,-0.069
-0.91,-67.6,-0.067
-0.89,-66,-0.066
-0.87,-64.3,-0.065
-0.86,-62.6,-0.064
-0.84,-60.9,-0.062
-0.81,-59.4,-0.06
-0.81,-57.7,-0.06
-0.8,-55.9,-0.059
-0.78,-54.2,-0.058
-0.76,-52.6,-0.056
-0.74,-50.8,-0.055
-0.72,-49.3,-0.054
-0.7,-47.6,-0.052
-0.69,-45.9,-0.051
-0.66,-44.1,-0.049
-0.63,-42.7,-0.047
-0.62,-41,-0.046
-0.61,-39.3,-0.045
-0.6,-37.5,-0.044
-0.57,-35.9,-0.042
-0.56,-34.2,-0.041
-0.54,-32.6,-0.04
-0.52,-30.9,-0.038
-0.5,-29.3,-0.037
-0.48,-27.5,-0.035
-0.45,-25.9,-0.034
-0.44,-24.3,-0.032
-0.4,-22.9,-0.03
-0.39,-21.3,-0.029
-0.38,-19.6,-0.028
-0.37,-17.9,-0.027
-0.35,-16.1,-0.026
-0.33,-14.4,-0.024
-0.31,-12.9,-0.023
-0.28,-11.2,-0.021
-0.26,-9.6,-0.02
-0.24,-7.9,-0.018
-0.22,-6.2,-0.016
-0.2,-4.7,-0.015
-0.17,-3.4,-0.012
-0.16,-1.7,-0.012
-0.14,-0.1,-0.01
-0.12,1.6,-0.009
-0.1,3.5,-0.008
-0.09,5.1,-0.006
-0.06,7,-0.005
-0.04,9.3,-0.003
-0.01,11.7,-0.001
0.02,13.9,0.001
0.04,15.7,0.003
0.08,17.8,0.006
0.12,16.7,0.009
0.11,18.9,0.008
0.12,20.9,0.009
0.14,22.8,0.011
0.17,24.5,0.012
0.19,26.1,0.014
0.22,27.6,0.016
0.25,29.2,0.018
0.27,31,0.02
0.29,32.7,0.021
0.31,34.3,0.023
0.34,35.7,0.025
0.37,37.1,0.028
0.39,38.9,0.029
0.41,40.7,0.03
0.43,42.3,0.032
0.45,43.9,0.034
0.48,45.5,0.036
0.51,47.1,0.037
0.53,48.5,0.039
0.55,50.1,0.041
0.58,51.6,0.043
0.62,52.7,0.046
0.63,54.3,0.047
0.65,56,0.048
0.69,57.3,0.051
0.72,58.8,0.053
0.75,60.2,0.055
0.78,61.6,0.058
0.81,62.9,0.06
0.84,64.3,0.062
0.87,65.6,0.065
0.9,66.9,0.067
0.94,68.2,0.07
1,68.1,0.074
1,66.5,0.074
1,64.7,0.074
1.02,62.9,0.075
1.01,61,0.074
0.99,58.9,0.074
0.98,57.2,0.072
0.96,55.5,0.071
0.95,57.4,0.071
0.95,59.1,0.07
0.95,57.4,0.071
0.95,55.7,0.071
0.95,53.9,0.071
0.94,52,0.069
0.92,50.4,0.068
0.9,48.8,0.067
0.88,47.1,0.065
0.86,45.5,0.064
0.84,43.9,0.062
0.83,42.2,0.061
0.81,40.6,0.06
0.79,39,0.059
0.79,37.3,0.059
0.77,35.7,0.057
0.74,34.3,0.055
0.72,32.6,0.053
0.7,31.1,0.052
