Test unit,CT01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-11.69,-142.3,-0.615
-9.41,-176.9,-0.495
-7.01,-202.2,-0.369
-5.88,-214.9,-0.309
-4.71,-223.6,-0.248
-3.49,-213.5,-0.184
-2.24,-182.8,-0.118
-1.66,-155.2,-0.087
-1.05,-115.1,-0.055
0,0,0
0,0,0
1.16,110,0.061
1.77,152.7,0.093
2.36,181.4,0.124
3.55,210.2,0.187
4.72,227.3,0.248
5.98,233.5,0.315
7.3,226.8,0.384
9.92,209,0.522
12.55,176,0.661
