Test unit,WR3.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
5.15,32.8,0.389
4.56,26.5,0.344
3.9,21,0.294
2.64,9.2,0.199
2.22,4.7,0.167
1.63,-0.8,0.123
1.21,-5.2,0.092
0.82,-9.4,0.062
0.21,-15.6,0.016
-0.21,-20.7,-0.016
-0.68,-24.7,-0.051
-1.38,-30.5,-0.104
-2.63,-41.8,-0.198
-2.98,-46.2,-0.225
-3.7,-50.7,-0.279
-4.7,-56.3,-0.355
-5.4,-60.6,-0.408
-6.07,-64.8,-0.458
-6.89,-68.5,-0.52
-7.75,-71.3,-0.585
-8.58,-71,-0.648
-8.16,-70.8,-0.616
-8.5,-72.5,-0.641
-8.75,-71.9,-0.66
-9.04,-71.8,-0.682
-9.27,-71.6,-0.7
-9.44,-70.2,-0.712
-9.6,-69.3,-0.725
-9.69,-65.7,-0.732
-9.76,-59.8,-0.736
-10.17,-58.6,-0.768
-10.46,-58.7,-0.789
-10.65,-58.6,-0.804
-10.77,-59,-0.813
-10.95,-58.4,-0.827
-11.1,-58.3,-0.837
NaN,NaN,NaN
-11.18,-57,-0.844
-11.39,-54.2,-0.859
-10.34,-44.8,-0.781
-9.73,-40,-0.734
-9,-32.8,-0.679
-8.5,-28.9,-0.641
-8.03,-23.7,-0.606
-7.33,-15.9,-0.553
-6.81,-13.5,-0.514
-6.07,-6.9,-0.458
-5.62,-2.5,-0.424
-5.15,0.5,-0.389
-4.65,5,-0.351
-3.98,11,-0.3
-3.31,15.4,-0.25
-2.3,23.7,-0.174
-1.97,26,-0.149
-1.3,30.2,-0.098
-0.02,37.9,-0.002
0.85,43,0.064
1.47,46.3,0.111
2.25,50.3,0.17
2.75,51,0.208
3.06,53.9,0.231
3.87,57,0.292
4.73,60,0.357
5.82,60.5,0.439
6.49,61.5,0.49
7.21,63.2,0.544
7.91,62.3,0.597
8.94,61.8,0.675
9.76,63,0.736
10.5,62.6,0.792
11.15,61.4,0.841
11.24,59.8,0.848
10.34,50.7,0.781
9.59,44.8,0.724
8.77,38.6,0.662
8.23,34.1,0.621
7.16,25.4,0.54
6.68,21.6,0.504
5.82,15.7,0.439
4.9,8.7,0.37
4.31,4.8,0.325
3.87,1.5,0.292
3.22,-1.3,0.243
2.7,-5.3,0.204
1.61,-13,0.122
0.88,-17.9,0.066
0.29,-19.5,0.022
-0.4,-26.6,-0.03
-1.05,-31.1,-0.079
-1.82,-35.1,-0.137
-2.28,-34.7,-0.172
-2.49,-38.6,-0.188
-3.48,-44.3,-0.262
-4.15,-48,-0.313
-4.98,-50.7,-0.376
-5.84,-53.4,-0.441
-6.82,-55.3,-0.515
-7.83,-57,-0.591
-8.67,-57.5,-0.654
-9.34,-58.9,-0.705
-10.41,-59,-0.786
-11.51,-58.1,-0.869
NaN,NaN,NaN
-11.51,-54.1,-0.869
-12.18,-52.8,-0.92
-12.27,-53.1,-0.926
-12.36,-52.8,-0.933
-12.52,-52.7,-0.945
-12.52,-52.2,-0.945
-12.69,-53.8,-0.957
-12.85,-52.7,-0.97
-12.95,-52.6,-0.977
-13.02,-52.2,-0.983
-13.19,-52.7,-0.995
-13.19,-51.9,-0.995
-13.32,-52.5,-1.005
-13.36,-52.7,-1.008
-13.44,-52.2,-1.014
-13.52,-52.7,-1.021
-13.67,-52,-1.032
-13.73,-52,-1.036
-13.94,-52.8,-1.052
-14.19,-52.8,-1.071
-14.24,-52.7,-1.074
-14.3,-52.5,-1.08
-14.36,-52.2,-1.084
-14.45,-52.8,-1.09
-14.61,-51.7,-1.103
-14.95,-50.5,-1.128
-14.19,-44.5,-1.071
-13.57,-40.4,-1.024
-13.23,-37.5,-0.998
-12.77,-33.4,-0.964
-12.31,-30,-0.929
-11.6,-24.7,-0.875
-11.35,-21.6,-0.856
-10.81,-17.9,-0.816
-10.39,-15.2,-0.784
-10.14,-12.1,-0.765
-9.67,-9.2,-0.73
-9.11,-5.2,-0.688
-8.75,-2.4,-0.66
-8.42,-0.2,-0.635
-7.93,2.8,-0.599
-7.33,6.2,-0.553
-6.9,8.9,-0.521
-6.39,11.7,-0.482
-5.57,14,-0.42
-5.38,15.3,-0.406
-4.79,17.2,-0.362
-4.29,18.4,-0.324
-3.73,21.2,-0.281
-3.18,22,-0.24
-2.57,25,-0.194
-1.88,26,-0.142
-1.05,27.8,-0.079
-0.49,29.8,-0.037
0.04,32.5,0.003
0.88,34.1,0.066
