Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.21,1.1,-0.016
-0.02,19.4,-0.001
0.06,27.1,0.004
0.33,45.6,0.025
0.6,63.3,0.044
0.87,79.4,0.064
1.06,86.2,0.079
1.08,85.3,0.08
1.09,87.1,0.081
1.06,82.2,0.078
0.88,63.6,0.065
0.66,44.3,0.049
0.41,21.8,0.03
0.18,0.8,0.013
-0.04,-19.1,-0.003
-0.28,-40.9,-0.021
-0.51,-58.9,-0.038
-0.75,-77.6,-0.056
-1.01,-91.6,-0.075
-1.08,-92,-0.08
-1.06,-84.8,-0.078
-0.88,-66.7,-0.065
-0.66,-48.6,-0.049
-0.46,-27.7,-0.034
-0.28,-6.1,-0.02
-0.11,12.6,-0.008
0.02,18.4,0.002
0.26,39.5,0.02
0.53,59.4,0.039
0.78,76.3,0.058
1.13,89.5,0.084
1.48,93.8,0.11
1.44,84.7,0.107
1.13,65.9,0.084
0.85,45.7,0.063
0.58,25.1,0.043
0.35,5.1,0.026
0.1,-17,0.007
-0.13,-35.7,-0.01
-0.4,-52.5,-0.029
-0.58,-67.7,-0.043
-0.83,-84.4,-0.061
-1,-93.6,-0.074
-0.99,-92.7,-0.073
-1.38,-103.9,-0.102
-1.41,-104.4,-0.105
-1.51,-104.3,-0.111
-1.52,-100.1,-0.113
-1.46,-96,-0.108
-1.44,-91.5,-0.107
-1.35,-86.8,-0.1
-1.31,-81.3,-0.097
-1.24,-75.2,-0.092
-1.13,-68.4,-0.084
-1.05,-60.3,-0.078
-0.92,-53.1,-0.068
-0.88,-47.9,-0.065
-0.82,-41,-0.061
-0.76,-35.4,-0.056
-0.68,-28.3,-0.051
-0.55,-20.7,-0.041
-0.5,-15.5,-0.037
-0.46,-9.4,-0.034
-0.36,-2.5,-0.026
-0.26,1,-0.02
-0.24,4.4,-0.018
-0.05,19.8,-0.004
0.02,19.9,0.001
0.07,27.9,0.005
0.11,32.9,0.008
0.26,39.6,0.02
0.35,46.7,0.026
0.43,54,0.032
0.46,58.7,0.034
0.61,63.6,0.045
0.79,71.5,0.059
0.8,74.6,0.059
0.9,75.7,0.067
0.86,76.7,0.064
0.96,78,0.071
0.91,78.9,0.068
1.05,81,0.077
1.02,82.6,0.075
1.1,85.4,0.081
1.18,87.2,0.088
1.22,87.9,0.09
1.23,88.6,0.091
1.26,88.8,0.093
1.25,90.3,0.092
1.33,90.8,0.099
1.34,91,0.1
1.29,91.4,0.095
1.39,91.9,0.103
1.33,92,0.098
1.39,91.9,0.103
1.45,93.7,0.108
1.49,93.6,0.111
1.43,93.8,0.106
1.5,90.4,0.111
1.44,91,0.107
1.51,93.7,0.112
1.46,87.3,0.108
1.41,88.8,0.104
1.43,83.5,0.106
1.32,80,0.098
1.33,79.5,0.098
1.37,78.8,0.102
1.31,77.8,0.097
1.33,74.9,0.099
1.22,72.7,0.09
1.16,65,0.086
1.02,58.8,0.075
1.02,54.6,0.075
0.89,47.3,0.066
0.77,41.2,0.057
0.7,34.7,0.052
0.61,26.6,0.045
0.5,19.4,0.037
0.41,12.7,0.03
