Test unit,C8
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.29,84.9,0.022
0.29,82.9,0.021
0.29,80.8,0.021
0.28,78.9,0.021
0.29,77.9,0.022
0.28,77,0.021
0.27,75.2,0.02
0.26,73.5,0.02
0.26,71.5,0.019
0.26,69.6,0.019
0.25,67.5,0.019
0.24,65.4,0.018
0.24,63.3,0.018
0.24,61.1,0.018
0.23,59.5,0.017
0.22,58.2,0.017
0.22,56.4,0.016
0.22,54.1,0.016
0.22,52,0.016
0.21,50.3,0.016
0.21,48.5,0.015
0.2,46.7,0.015
0.21,44.4,0.015
0.21,42.4,0.015
0.19,41,0.014
0.18,39.1,0.013
0.17,37,0.013
0.16,35.5,0.012
0.17,33.3,0.012
0.16,31.4,0.012
0.16,29.3,0.012
0.14,27.7,0.011
0.14,25.8,0.01
0.14,23.8,0.01
0.15,21.8,0.011
0.14,20.5,0.01
0.13,19.2,0.01
0.12,18,0.009
0.11,16.5,0.008
0.11,14.4,0.008
0.11,12.9,0.008
0.1,10.8,0.008
0.1,8.9,0.007
0.09,6.9,0.007
0.09,5.2,0.006
0.08,3.3,0.006
0.09,1.2,0.007
0.08,0.3,0.006
0.07,-1,0.005
0.06,-3,0.004
0.06,-5,0.004
0.05,-6.9,0.004
0.04,-9.4,0.003
0.04,-11.9,0.003
0.02,-14.6,0.002
0.01,-17.2,0.001
-0,-19.8,-0
-0.01,-22.6,-0.001
-0.01,-25,-0.001
-0.02,-27.1,-0.002
-0.03,-29.3,-0.002
-0.01,-30.4,-0.001
-0.03,-30.5,-0.002
-0.04,-32.5,-0.003
-0.05,-34.3,-0.004
-0.06,-35.9,-0.004
-0.06,-38.2,-0.005
-0.07,-39.8,-0.005
-0.07,-41.8,-0.005
-0.08,-43.4,-0.006
-0.08,-45.5,-0.006
-0.08,-47.1,-0.006
-0.09,-48.9,-0.007
-0.09,-50.8,-0.007
-0.08,-53.1,-0.006
-0.09,-54.8,-0.007
-0.11,-55.8,-0.008
-0.11,-57.5,-0.008
-0.12,-58.8,-0.009
-0.12,-61,-0.009
-0.13,-62.7,-0.009
-0.13,-64.7,-0.01
-0.14,-66.4,-0.01
-0.14,-68.1,-0.011
-0.15,-69.7,-0.011
-0.14,-71.9,-0.01
-0.15,-73.1,-0.011
-0.16,-74.2,-0.012
-0.17,-75.7,-0.013
-0.18,-77,-0.014
-0.19,-78.9,-0.014
-0.19,-80.8,-0.014
-0.2,-82.2,-0.015
-0.21,-83.5,-0.015
-0.2,-85.6,-0.014
-0.21,-86.7,-0.015
-0.22,-87.3,-0.016
-0.23,-88.6,-0.017
-0.23,-90.2,-0.017
-0.23,-91.5,-0.017
-0.24,-92.8,-0.018
-0.22,-93.1,-0.016
-0.23,-93.6,-0.017
-0.25,-94.6,-0.018
-0.25,-95.5,-0.019
-0.26,-96.9,-0.019
-0.27,-96.9,-0.02
-0.27,-94.8,-0.02
-0.28,-92.6,-0.02
-0.28,-90.4,-0.021
-0.27,-89.4,-0.02
-0.28,-87.7,-0.021
-0.29,-85.6,-0.021
-0.3,-83.5,-0.022
-0.29,-81.3,-0.022
-0.29,-79.5,-0.021
-0.28,-77.8,-0.021
-0.28,-75.6,-0.021
-0.27,-74.9,-0.02
-0.27,-72.7,-0.02
-0.27,-70.5,-0.02
-0.26,-68.5,-0.019
-0.25,-66.3,-0.019
-0.25,-64.2,-0.019
-0.24,-62.3,-0.018
-0.24,-60.2,-0.018
-0.23,-59.4,-0.017
-0.22,-58.2,-0.016
-0.23,-56.1,-0.017
-0.22,-53.9,-0.017
-0.22,-51.9,-0.016
-0.21,-50.1,-0.016
-0.21,-48.2,-0.016
-0.2,-46.5,-0.015
-0.2,-44.5,-0.015
-0.19,-43,-0.014
-0.18,-41,-0.014
-0.17,-39.4,-0.013
-0.16,-38.7,-0.012
-0.15,-36.5,-0.011
-0.15,-34.4,-0.011
-0.15,-32,-0.011
-0.14,-30.3,-0.011
-0.14,-28.5,-0.01
-0.13,-26.7,-0.01
-0.12,-24.6,-0.009
-0.12,-22.7,-0.009
-0.11,-20.9,-0.008
-0.1,-19.3,-0.008
-0.1,-17.3,-0.007
-0.09,-16,-0.007
-0.07,-15.1,-0.005
-0.07,-13.2,-0.005
-0.08,-11,-0.006
-0.08,-8.9,-0.006
-0.07,-7.3,-0.005
-0.06,-5.7,-0.004
-0.06,-3.7,-0.004
-0.05,-2.2,-0.004
-0.04,-1.1,-0.003
-0.04,1.3,-0.003
-0.04,3.5,-0.003
-0.04,5.5,-0.003
-0.04,7.6,-0.003
-0.02,9.1,-0.002
-0.02,11.5,-0.002
-0.02,13.3,-0.001
-0.02,15.6,-0.002
-0.01,17.2,-0.001
-0.01,20.1,-0.001
-0.01,22.2,-0.001
-0,24.3,-0
0,26.3,0
0.01,28.1,0.001
0.01,30.3,0.001
0.01,32.1,0.001
0.02,33.2,0.002
0.04,34,0.003
0.04,35.8,0.003
0.04,38.1,0.003
0.04,40.2,0.003
