Test unit,E1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.08,6.8,0.007
0.1,7.1,0.009
0.11,7.5,0.01
0.13,7.9,0.012
0.15,8.2,0.013
0.18,8.5,0.015
0.18,8.8,0.016
0.22,9.1,0.019
0.25,9.3,0.022
0.27,9.6,0.023
0.3,9.4,0.026
0.3,9.7,0.026
0.31,10,0.027
0.35,10.3,0.031
0.37,10,0.032
0.37,9.6,0.032
0.37,9.3,0.033
0.38,9.8,0.033
0.39,10.1,0.034
0.4,10.4,0.035
0.41,10.1,0.036
0.42,10.5,0.036
0.44,10.3,0.038
0.45,10.6,0.039
0.49,10.9,0.042
0.51,10.6,0.044
0.5,10.3,0.043
0.5,10.6,0.044
0.51,10.9,0.044
0.52,11.2,0.045
0.52,10.9,0.045
0.53,10.4,0.046
0.53,10.1,0.046
0.53,9.8,0.046
0.53,10.2,0.046
0.53,10.5,0.046
0.54,10.9,0.047
0.54,11.2,0.047
0.55,10.9,0.048
0.57,10.6,0.049
0.56,11,0.049
0.57,10.6,0.05
0.59,11,0.051
0.59,10.7,0.052
0.6,10.4,0.052
0.6,10.1,0.052
0.61,9.8,0.053
0.61,9.5,0.053
0.6,9.8,0.052
0.59,10.1,0.051
0.59,10.4,0.052
0.6,10,0.053
0.6,9.7,0.053
0.61,9.3,0.053
0.61,9,0.053
0.61,8.6,0.053
0.61,8.3,0.053
0.61,8,0.053
0.61,7.7,0.053
0.62,8.1,0.054
0.62,8.4,0.054
0.62,8.8,0.054
0.61,9.1,0.053
0.6,9.5,0.053
0.6,9.9,0.052
0.61,10.2,0.053
0.6,9.7,0.053
0.61,9.2,0.053
0.61,8.9,0.053
0.61,8.4,0.053
0.61,8,0.053
0.61,7.6,0.053
0.61,7.3,0.053
0.6,7,0.053
0.6,7.3,0.052
0.6,7.6,0.052
0.6,7.9,0.052
0.6,7.6,0.052
0.6,7.3,0.052
0.6,6.9,0.052
0.6,6.5,0.052
0.6,6.2,0.052
0.6,5.9,0.052
0.59,6.2,0.051
0.59,6.6,0.051
0.59,6.9,0.051
0.58,7.2,0.05
0.58,6.9,0.05
0.58,6.5,0.05
0.58,6.2,0.05
0.58,5.7,0.05
0.58,5.3,0.05
0.57,5,0.049
0.56,4.6,0.049
0.55,5.1,0.048
0.55,5.4,0.048
0.56,5.1,0.048
0.56,4.8,0.049
0.57,4.4,0.05
0.57,4,0.049
0.56,3.7,0.048
0.54,3.3,0.047
0.52,3,0.045
0.51,2.7,0.045
0.51,2.4,0.044
0.5,2.1,0.044
0.49,1.8,0.043
0.48,1.6,0.042
0.48,1.2,0.041
0.48,0.9,0.042
0.46,0.7,0.04
0.45,0.4,0.039
0.44,0.1,0.038
0.44,-0.3,0.038
0.43,-0.6,0.037
0.42,-0.9,0.036
0.41,-1.2,0.036
0.41,-1.5,0.035
0.39,-1.8,0.034
0.39,-2.1,0.034
0.38,-2.5,0.033
0.37,-2.9,0.032
0.37,-3.3,0.032
0.34,-3.6,0.03
0.33,-3.9,0.028
0.32,-4.3,0.028
0.31,-4.6,0.027
0.3,-4.9,0.026
0.29,-5.3,0.025
0.28,-5.6,0.024
0.28,-5.9,0.024
0.26,-6.6,0.023
0.25,-6.9,0.022
0.24,-7.2,0.021
0.23,-7.5,0.02
0.21,-7.2,0.019
0.21,-7.7,0.018
0.2,-8.1,0.017
0.19,-8.4,0.016
0.18,-8.8,0.015
0.16,-9.1,0.014
0.15,-9.4,0.013
0.14,-9.7,0.012
0.13,-10,0.011
0.1,-10.2,0.009
0.08,-10.6,0.007
0.07,-10.9,0.006
0.05,-11.2,0.004
0.03,-11.5,0.003
0.01,-11.8,0.001
-0.02,-12.1,-0.002
-0.05,-12.4,-0.004
-0.06,-12.7,-0.005
-0.09,-12.9,-0.008
-0.11,-12.6,-0.009
-0.12,-13,-0.01
-0.14,-13.2,-0.012
-0.14,-12.9,-0.013
-0.15,-12.6,-0.013
-0.15,-12.9,-0.013
-0.16,-13.2,-0.014
-0.16,-13.6,-0.014
-0.17,-13.3,-0.015
-0.18,-12.5,-0.015
-0.18,-12.2,-0.016
-0.18,-11.9,-0.016
-0.19,-13.6,-0.017
-0.21,-13.2,-0.018
-0.21,-12.9,-0.018
-0.21,-12.5,-0.018
-0.21,-12,-0.019
-0.2,-9.6,-0.018
-0.2,-9.2,-0.017
-0.18,-9,-0.016
-0.17,-8.6,-0.015
-0.17,-7,-0.014
-0.16,-6.7,-0.014
-0.15,-6.4,-0.013
-0.15,-6,-0.013
-0.14,-5.7,-0.012
-0.13,-5.4,-0.012
-0.11,-5.7,-0.01
-0.12,-6,-0.01
-0.12,-6.3,-0.011
-0.11,-3.8,-0.01
-0.1,-3.5,-0.009
-0.1,-3.9,-0.009
-0.1,-4.2,-0.009
-0.09,-4.5,-0.008
-0.1,-4.2,-0.008
-0.09,-3.1,-0.008
-0.09,-2.8,-0.007
-0.08,-2.4,-0.007
-0.06,-2.1,-0.006
-0.05,-1.7,-0.004
-0.06,-1.5,-0.006
-0.05,-1,-0.004
-0.04,-0.5,-0.003
-0.02,-0.1,-0.002
-0.01,0.4,-0.001
