Test unit,SC1,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,-0.03651,0
0.001253867,-0.07638,0.000139319
0.0015447,0.4013,0.000171633
0.005043267,0.6463,0.000560363
0.006962467,1.044,0.000773607
0.005086367,1.284,0.000565152
0.0071687,1.461,0.000796522
0.015085833,3.274,0.001676204
0.0248878,5.05,0.002765311
0.036586267,7.151,0.004065141
0.048371753,9.302,0.005374639
0.059771133,11.05,0.006641237
0.07836128,13.17,0.008706809
0.086543837,14.9,0.009615982
0.1042366,17.14,0.011581844
0.118106067,18.88,0.013122896
0.1320027,20.77,0.014666967
0.1492853,22.84,0.016587256
0.162129833,24.62,0.018014426
0.1751742,26.67,0.0194638
0.189403167,27.4,0.021044796
0.189602167,26.75,0.021066907
0.197828833,26.77,0.021980981
0.1908085,25.62,0.021200944
0.183834,23.25,0.020426
0.1744003,20.69,0.019377811
0.155624333,18.59,0.017291593
0.150520567,16.6,0.016724507
0.132444267,14.6,0.01471603
0.1211041,12.65,0.013456011
0.1103216,10.4,0.012257956
0.096887967,8.505,0.01076533
0.08164984,6.435,0.009072204
0.076425068,4.771,0.008491674
0.06160653,2.982,0.00684517
0.056759283,1.372,0.006306587
0.047687183,0.4753,0.005298576
0.044905567,0.1354,0.004989507
0.038784467,-0.07805,0.004309385
0.0411039,-0.1665,0.0045671
0.041836733,-0.2807,0.004648526
0.033400733,-0.4615,0.003711193
0.034359633,-0.6323,0.003817737
0.034067033,-1.033,0.003785226
0.029708933,-1.637,0.003300993
0.019059333,-3.402,0.002117704
0.012729433,-4.103,0.001414381
0.015633733,-4.116,0.001737081
0.0054622,-4.517,0.000606911
0.0003076,-6.347,3.42E-05
-0.011659267,-8.23,-0.001295474
-0.0301458,-10.31,-0.003349533
-0.042287433,-12.28,-0.004698604
-0.056319167,-14.29,-0.006257685
-0.072345833,-16.25,-0.008038426
-0.092710167,-18.39,-0.01030113
-0.105216833,-20.8,-0.011690759
-0.124000833,-22.85,-0.01377787
-0.139556167,-24.83,-0.015506241
-0.152450833,-25.28,-0.016938981
-0.150808167,-23.46,-0.016756463
-0.149944167,-22.46,-0.016660463
-0.135738833,-19.15,-0.015082093
-0.114300833,-15.81,-0.012700093
-0.100615167,-12.8,-0.011179463
-0.0877485,-9.867,-0.009749833
-0.0663535,-7.02,-0.007372611
-0.0423069,-4.715,-0.004700767
-0.028496833,-1.826,-0.003166315
-0.023580967,-0.4595,-0.002620107
-0.0207422,-0.2064,-0.002304689
-0.0187015,-0.06987,-0.002077944
-0.017357333,0.09797,-0.001928593
-0.015816433,0.2688,-0.001757381
-0.015672267,0.559,-0.001741363
-0.0125888,0.8929,-0.001398756
-0.0117478,0.8704,-0.001305311
-0.0100054,0.9684,-0.001111711
-0.006517833,2.294,-0.000724204
0.008931233,4.55,0.000992359
0.026475033,7.213,0.00294167
0.04351402,9.3,0.004834891
0.059127894,11.4,0.006569766
0.07268329,13.85,0.008075921
0.0912315,15.92,0.010136833
0.107265,17.96,0.011918333
0.127554567,20.58,0.01417273
0.135270333,22.8,0.015030037
0.160214433,25.24,0.017801604
0.180820767,27.74,0.020091196
0.191080167,28.76,0.02123113
0.1912254,28.5,0.021247267
0.1951461,28.18,0.0216829
0.181064533,25.57,0.020118281
0.1694891,22.46,0.018832122
0.150143767,19.43,0.016682641
0.1328124,17.12,0.014756933
0.119225267,14.79,0.013247252
0.103714433,11.95,0.011523826
0.08915038,9.788,0.009905598
0.071428547,7.516,0.007936505
0.0604394,4.905,0.006715489
0.04414632,2.825,0.004905147
0.034950117,0.952,0.003883346
0.028771267,0.2176,0.003196807
0.032654567,-0.05307,0.003628285
0.0245248,-0.1504,0.002724978
0.0243221,-0.3335,0.002702456
0.018359567,-0.5189,0.002039952
0.021065867,-0.8662,0.002340652
0.012364767,-1.645,0.001373863
0.004204467,-3.601,0.000467163
0.000686033,-4.041,7.62E-05
-0.004647467,-4.185,-0.000516385
-0.005353267,-5.232,-0.000594807
-0.022705167,-7.215,-0.002522796
-0.035398533,-9.599,-0.00393317
-0.0499815,-11.56,-0.0055535
-0.072553167,-14.23,-0.008061463
-0.084907833,-16.73,-0.009434204
-0.1028605,-18.69,-0.011428944
-0.121683833,-21.15,-0.013520426
-0.134045833,-21.86,-0.014893981
-0.1296505,-21.75,-0.014405611
-0.1329325,-21.7,-0.014770278
-0.133134167,-21.62,-0.014792685
-0.132244833,-21.56,-0.01469387
-0.133935833,-21.5,-0.014881759
-0.1343745,-21.47,-0.0149305
-0.140445167,-22.9,-0.015605019
