Fh_pos,u_pos,Fh_neg,u_neg
,,-34.97,-5.220365976
,,-34.55,-5.376282443
,,-33.87,-5.394288596
,,-30.48,-5.395325889
,,-30.68,-5.41316327
,,-32.11,-5.496074899
,,-32.37,-5.659879325
,,-32.83,-5.869006225
,,-32.81,-6.067974172
,,-32.88,-6.275531508
,,-32.56,-6.491923705
,,-31.84,-6.530263267
,,-29.45,-6.651952547
,,-28.63,-6.65882682
,,-28.57,-6.778443358
,,-28.57,-7.049191905
,,-28.63,-7.303051253
,,-28.56,-7.552713416
,,-28.33,-7.822873161
,,-28.12,-7.906913687
,,-27.02,-7.907447401
,,-26.25,-8.166098249
,,-26.38,-8.467127724
,,-26.55,-8.759357599
,,-26.53,-9.070511123
,,-26.54,-9.360115292
,,-26.43,-9.641836047
,,-25.76,-9.808885616
,,-25.26,-9.891109527
,,-25.28,-10.21338903
,,-25.09,-10.56020211
,,-24.91,-10.89706014
,,-24.67,-11.14986413
,,-22.14,-11.44246288
,,-22.01,-11.8188346
,,-21.67,-12.18784639
,,-17.47,-12.23719489
,,-17.63,-12.66615236
,,-17.67,-13.09164773
,,-17.63,-13.52008371
,,-17.61,-13.95643262
,,-17.52,-14.39385042
,,-17.53,-14.81775489
,,-16.4,-15.05907463
,,-12.4,-15.24117168
,,-12.04,-15.78632299
,,-12.21,-16.33112306
,,-12.19,-16.86184308
,,-12.37,-17.40750212
,,-12.47,-17.93986953
,,-12.25,-18.47446994
,,-11.6,-18.80690618
,,-4.134,-20.32499122
,,-3.323,-21.43048256
,,-3.885,-21.49384797
