Test unit;CS02;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
0.298745757;4.12642683;0.016596987
0.295719411;4.034023265;0.016428856
0.292661598;3.941011248;0.016258978
0.289530036;3.84682289;0.016085002
0.2864201;3.751985517;0.015912228
0.283309202;3.657026453;0.0157394
0.280219456;3.564136126;0.015567748
0.277119357;3.469014809;0.01539552
0.273946931;3.372027572;0.015219274
0.270711564;3.274147939;0.015039531
0.267497337;3.174483514;0.014860963
0.264293904;3.075752048;0.014682995
0.261112099;2.978034669;0.014506228
0.258025182;2.879181512;0.014334732
0.25497021;2.77943596;0.014165012
0.251988993;2.681272382;0.013999388
0.249028905;2.583879511;0.013834939
0.246100763;2.486324385;0.013672265
0.243141158;2.387917427;0.013507842
0.240203177;2.288131311;0.013344621
0.237318293;2.18875083;0.01318435
0.234392084;2.088721333;0.013021782
0.231486529;1.988610709;0.012860363
0.228602124;1.889473608;0.012700118
0.225664148;1.790661015;0.012536897
0.222674032;1.691564477;0.01237078
0.219694248;1.591007655;0.012205236
0.216641695;1.489031111;0.01203565
0.213609318;1.386081044;0.011867184
0.210544994;1.283820556;0.011696944
0.207407425;1.181884576;0.011522635
0.204269846;1.077474224;0.011348325
0.20105755;0.97115739;0.011169864
0.197740541;0.863461397;0.010985586
0.194338972;0.754873009;0.01079661
0.190842022;0.647379833;0.010602335
0.187303786;0.540251729;0.010405766
0.183691304;0.432799117;0.010205072
0.180089658;0.325103123;0.010004981
0.176487517;0.218826851;0.009804862
0.172821968;0.112144945;0.00960122
0.169156432;0.005463038;0.00939758
0.165491392;-0.102598027;0.009193966
0.161836173;-0.212119377;0.008990899
0.158191766;-0.321437909;0.008788431
0.154589642;-0.429864045;0.008588313
0.150976694;-0.538046801;0.008387594
0.147394216;-0.644485329;0.008188568
0.143801413;-0.749544698;0.007988967
0.140282852;-0.854685195;0.007793492
0.136815899;-0.958000335;0.007600883
0.133359762;-1.059976882;0.007408876
0.129967543;-1.160817652;0.007220419
0.126617126;-1.259914192;0.007034285
0.123362097;-1.357509885;0.00685345
0.12014985;-1.455348959;0.006674992
0.116947436;-1.553106906;0.00649708
0.113861544;-1.650094147;0.006325641
0.110806606;-1.745905047;0.006155923
0.107763002;-1.839971719;0.005986833
0.104813762;-1.933186558;0.005822987
0.101885673;-2.025062803;0.005660315
0.098946766;-2.112558194;0.005497043
0.095955245;-2.197173579;0.005330847
0.092921965;-2.281099385;0.005162331
0.089857233;-2.366728857;0.004992069
0.086729069;-2.451709314;0.004818282
0.083569432;-2.535675683;0.004642746
0.080368039;-2.620250505;0.004464891
0.077049607;-2.706366739;0.004280534
0.073647639;-2.793294243;0.004091536
0.070182251;-2.880465127;0.003899014
0.066621487;-2.968244463;0.003701194
0.0630071;-3.055537038;0.003500394
0.059255053;-3.143843699;0.003291947
0.055376184;-3.233326701;0.003076455
0.051412759;-3.323539846;0.002856264
0.047259065;-3.41468595;0.002625504
0.042957919;-3.507008395;0.002386551
0.038518598;-3.601399577;0.002139922
0.033858078;-3.697372733;0.001881004
0.0290805;-3.795049556;0.001615583
0.02418639;-3.896174273;0.001343688
0.019176257;-4.000057306;0.001065348
0.014081061;-4.105278933;0.000782281
0.00884874;-4.208999712;0.000491597
0.003532384;-4.313977959;0.000196244
-0.001878852;-4.42053818;-0.000104381
-0.007385451;-4.527463474;-0.000410303
-0.012986399;-4.632360594;-0.000721467
-0.018662116;-4.737703912;-0.001036784
-0.024443535;-4.84479146;-0.001357974
-0.030299215;-4.952974221;-0.00168329
-0.036281769;-5.060994729;-0.002015654
-0.042327741;-5.168569038;-0.002351541
-0.048353107;-5.277644196;-0.002686284
-0.054452736;-5.38631372;-0.003025152
-0.060604939;-5.494212538;-0.003366941
-0.066778816;-5.601381213;-0.003709934
-0.073015574;-5.706683969;-0.004056421
-0.079252311;-5.811256583;-0.004402906
-0.085509114;-5.914490603;-0.004750506
-0.091765379;-6.01687279;-0.005098077
-0.097989092;-6.119254978;-0.005443838
-0.104213367;-6.220866459;-0.005789631
-0.110470152;-6.321910053;-0.006137231
-0.116748056;-6.421493361;-0.006486003
-0.123057388;-6.520427654;-0.006836522
-0.129388404;-6.618591242;-0.007188245
-0.135719398;-6.717971733;-0.007539967
-0.142102978;-6.817514479;-0.00789461
-0.14854998;-6.913447076;-0.008252777
-0.155038711;-7.007189246;-0.008613262
-0.161547483;-7.101783249;-0.00897486
-0.168088251;-7.196661196;-0.009338236
-0.17475588;-7.289713788;-0.00970866
-0.181476092;-7.382928633;-0.010082005
-0.18816486;-7.476711368;-0.010453603
-0.194927347;-7.570575229;-0.010829297
-0.201711532;-7.667765295;-0.011206196
-0.208528276;-7.765766631;-0.011584904
-0.215451839;-7.864335855;-0.011969547
-0.22252335;-7.963067333;-0.012362408
-0.229712522;-8.061839375;-0.012761807
-0.236985715;-8.161017052;-0.013165873
-0.244280072;-8.260519237;-0.013571115
-0.251574407;-8.360143112;-0.013976356
-0.258868719;-8.459117972;-0.014381596
-0.266120774;-8.556510857;-0.014784487
-0.273361944;-8.650699228;-0.015186775
-0.28050769;-8.741074633;-0.015583761
-0.287495178;-8.828448342;-0.015971954
-0.294387815;-8.9105488;-0.016354879
-0.301133025;-8.98530727;-0.016729612
-0.307719406;-9.052480372;-0.017095523
-0.314072675;-9.109796552;-0.017448482
-0.320172268;-9.158310459;-0.017787348
-0.326113014;-9.197575895;-0.01811739
-0.331758403;-9.227673988;-0.018431022
-0.337107263;-9.244913462;-0.018728181
-0.342159601;-9.250308403;-0.019008867
-0.346871949;-9.24722558;-0.019270664
-0.351130691;-9.234934849;-0.019507261
-0.355007758;-9.209177047;-0.019722653
-0.358535714;-9.172061474;-0.019918651
-0.361629426;-9.126103066;-0.020090524
-0.364343811;-9.070531115;-0.020241323
-0.36671995;-9.004858861;-0.020373331
-0.368831562;-8.930424899;-0.020490642
-0.370585579;-8.847594298;-0.020588088
-0.37204423;-8.758111289;-0.020669124
-0.37324861;-8.664287989;-0.020736034
-0.374157044;-8.567665809;-0.020786502
-0.374769525;-8.470354051;-0.020820529
-0.37511746;-8.372393278;-0.020839859
-0.37520202;-8.275406027;-0.020844557
-0.375085461;-8.177201874;-0.020838081
-0.374715226;-8.078835466;-0.020817513
-0.374165006;-7.980793566;-0.020786945
-0.373372559;-7.883522372;-0.02074292
-0.372389848;-7.788644423;-0.020688325
-0.37118722;-7.690602524;-0.020621512
-0.369920586;-7.589518365;-0.020551144
-0.368464867;-7.490908578;-0.02047027
-0.366819474;-7.392501609;-0.02037886
-0.365090116;-7.292553227;-0.020282784
-0.363296167;-7.192442592;-0.02018312
-0.361365686;-7.092453648;-0.020075871
-0.359255807;-6.992383577;-0.019958656
-0.35701733;-6.89434168;-0.019834296
-0.354630869;-6.79556964;-0.019701715
-0.35208615;-6.695418443;-0.019560342
-0.349414597;-6.593928652;-0.019411922
-0.346689909;-6.490775758;-0.01926055
-0.343912665;-6.385310747;-0.019106259
-0.341113121;-6.278507142;-0.018950729
-0.338261023;-6.170973394;-0.018792279
-0.335356372;-6.062344433;-0.01863091
-0.332408861;-5.952458004;-0.018467159
-0.329555033;-5.842612139;-0.018308613
-0.326711491;-5.731508807;-0.018150638
-0.323930202;-5.621946887;-0.017996122
-0.321085494;-5.514940465;-0.017838083
-0.318293333;-5.408542495;-0.017682963
-0.315511448;-5.303158612;-0.017528414
-0.31277184;-5.197044587;-0.017376213
-0.310043095;-5.091904085;-0.017224616
-0.307345187;-4.988304995;-0.017074733
-0.30464727;-4.885598302;-0.016924848
-0.301981931;-4.781553014;-0.016776774
-0.299389722;-4.678035052;-0.016632762
-0.296891229;-4.577518786;-0.016493957
-0.294424727;-4.479558018;-0.016356929
-0.291990224;-4.380948235;-0.016221679
-0.289534581;-4.282338453;-0.016085255
-0.287089243;-4.185959661;-0.015949402
-0.284612478;-4.092623129;-0.015811804
-0.282157416;-4.000422374;-0.015675412
-0.279744643;-3.908667818;-0.015541369
-0.27727989;-3.81748115;-0.015404438
-0.274804857;-3.727308569;-0.015266937
-0.272266414;-3.63774444;-0.015125912
-0.26972853;-3.548383128;-0.014984918
-0.267136946;-3.45906238;-0.014840941
-0.264555654;-3.37018783;-0.014697536
-0.261932083;-3.283138636;-0.014551782
-0.259234245;-3.195643244;-0.014401903
-0.256483847;-3.108269542;-0.014249103
-0.253743731;-3.02077415;-0.014096874
-0.250992757;-2.934171154;-0.013944042
-0.24820008;-2.847892666;-0.013788893
-0.245335966;-2.757557832;-0.013629776
-0.242471287;-2.663531723;-0.013470627
-0.239532899;-2.569789557;-0.013307383
-0.236604803;-2.476412464;-0.013144711
-0.233667553;-2.379100714;-0.012981531
-0.23076117;-2.277692055;-0.012820065
-0.22778969;-2.176242832;-0.012654983
-0.224690833;-2.076253894;-0.012482824
-0.221539407;-1.976751717;-0.012307745
-0.218334856;-1.874085591;-0.012129714
-0.215129767;-1.772352424;-0.011951654
-0.21192301;-1.671268273;-0.011773501
-0.208716822;-1.569413416;-0.011595379
-0.205458069;-1.466950107;-0.011414337
-0.202178725;-1.364000037;-0.011232151
-0.198910235;-1.260725459;-0.011050569
-0.195631448;-1.15684243;-0.010868414
-0.192341818;-1.0529594;-0.010685657
-0.189031048;-0.949157498;-0.010501725
-0.185699139;-0.845355595;-0.010316619
-0.182376939;-0.743541303;-0.010132052
-0.179012472;-0.645296595;-0.009945137
-0.175679432;-0.547214142;-0.009759968
-0.172314965;-0.449496759;-0.009573054
-0.168918498;-0.354172621;-0.009384361
-0.165417443;-0.260998347;-0.009189858
-0.161939735;-0.165268575;-0.008996652
-0.158537394;-0.066212599;-0.008807633
-0.155156182;0.033330139;-0.008619788
-0.151786358;0.130398505;-0.008432575
-0.148387279;0.230428004;-0.008243738
-0.145000157;0.332445112;-0.008055564
-0.141634175;0.434948982;-0.007868565
-0.1383094;0.53578975;-0.007683856
-0.134994367;0.634521217;-0.007499687
-0.131679869;0.733698883;-0.007315548
-0.128375128;0.83230866;-0.007131952
-0.125079629;0.929295898;-0.006948868
-0.121794432;1.026688771;-0.006766357
-0.118498932;1.123635446;-0.006583274
-0.115192585;1.220947192;-0.006399588
-0.111886249;1.320368238;-0.006215903
-0.108537635;1.419505339;-0.006029869
-0.105146743;1.518926385;-0.005841486
-0.101681055;1.617373907;-0.005648947
-0.09827823;1.716308192;-0.005459902
-0.094884609;1.81353881;-0.005271367
-0.091448159;1.909511961;-0.005080453
-0.087968891;2.006499199;-0.004887161
-0.084467933;2.103973198;-0.004692663
-0.080996776;2.200717055;-0.004499821
-0.077430219;2.29721753;-0.004301679
-0.073821382;2.393474625;-0.004101188
-0.070161581;2.493625812;-0.003897866
-0.066417235;2.596210807;-0.003689846
-0.062629543;2.698876929;-0.003479419
-0.058758358;2.80458531;-0.003264353
-0.054752716;2.912443554;-0.003041818
-0.0506945;3.022816733;-0.002816361
-0.046571817;3.133392729;-0.002587323
-0.042384678;3.242914075;-0.002354704
-0.038156311;3.353814579;-0.002119795
-0.033895976;3.467311144;-0.00188311
-0.029624302;3.57987475;-0.001645795
-0.025332546;3.694385401;-0.001407364
-0.020998512;3.809423378;-0.001166584
-0.01654848;3.924866988;-0.00091936
-0.012023697;4.038485243;-0.000667983
-0.007436533;4.151819554;-0.000413141
-0.002827716;4.264910484;-0.000157095
0.001875964;4.377230708;0.00010422
0.006589959;4.488658535;0.000366109
0.01137769;4.599275094;0.000632094
0.016207744;4.706971083;0.00090043
0.020994998;4.813287915;0.001166389
0.025749756;4.918103898;0.001430542
0.030389031;5.019674805;0.001688279
0.034892237;5.1197043;0.001938458
0.039374304;5.216123646;0.002187461
0.043780579;5.312948628;0.002432254
0.048111553;5.409489665;0.002672864
0.052401298;5.50331295;0.002911183
0.056669387;5.593769468;0.003148299
0.060872519;5.684023168;0.003381807
0.064991622;5.773668416;0.003610646
0.069111224;5.860920421;0.003839512
0.07310499;5.944765094;0.004061388
0.077001854;6.028974839;0.004277881
0.080794552;6.113468527;0.004488586
0.084566582;6.196055733;0.004698143
0.088275687;6.275803497;0.004904205
0.091889925;6.355389007;0.005104996
0.095409294;6.434609445;0.005300516
0.098855949;6.514073264;0.005491997
0.102292294;6.593821028;0.005682905
0.105792564;6.674096116;0.005877365
0.109398027;6.75514191;0.006077668
0.113067401;6.837485734;0.006281522
0.116831656;6.920924772;0.006490648
0.120692321;7.004526063;0.006705129
0.124690156;7.089547076;0.006927231
0.128761719;7.176028373;0.007153429
0.132917857;7.264172772;0.007384325
0.13719103;7.353858582;0.007621724
0.141517293;7.444477352;0.007862072
0.145895167;7.538746833;0.008105287
0.150419496;7.638289564;0.008356639
0.155039732;7.740022722;0.008613318
0.159785798;7.841715316;0.008876989
0.164604096;7.947991582;0.009144672
0.169485302;8.059054335;0.00941585
0.174536578;8.170401033;0.009696477
0.179704838;8.280977025;0.009983602
0.185020569;8.390701185;0.01027892
0.190463137;8.502291263;0.010581285
0.19595877;8.61233993;0.010886598
0.20148684;8.719427464;0.011193713
0.207067013;8.824730206;0.011503723
0.212584256;8.926260546;0.011810236
0.218080343;9.022963835;0.012115575
0.223482044;9.115570215;0.012415669
0.228841467;9.201848694;0.012713415
0.23406373;9.280541807;0.013003541
0.239169965;9.352947583;0.01328722
0.244233435;9.415334184;0.013568524
0.249149909;9.468026119;0.013841662
0.253823556;9.509684792;0.014101309
0.258307426;9.541243164;0.014350413
0.262569105;9.563147433;0.014587172
0.26659925;9.572193084;0.014811069
0.270375729;9.567406596;0.015020874
0.273822878;9.553574456;0.015212382
0.276920025;9.531467371;0.015384446
0.27960519;9.49921942;0.015533622
0.281836095;9.454112853;0.015657561
0.283654567;9.399392746;0.015758587
0.285070908;9.335626987;0.015837273
0.286127894;9.262044871;0.015895994
0.286845693;9.181850911;0.015935872
0.28716185;9.094193274;0.015953436
0.287118645;8.999964357;0.015951036
0.286758356;8.902977124;0.01593102
0.286112913;8.804164536;0.015895162
0.285171536;8.701660672;0.015842863
0.283913548;8.599603007;0.015772975
0.282391075;8.496328438;0.015688393
0.280710785;8.39236429;0.015595044
0.278829428;8.288440705;0.015490524
0.276737625;8.183949232;0.015374313
0.274497377;8.080106775;0.015249854
0.272151434;7.979306576;0.015119524
0.269700268;7.878303561;0.014983348
0.267197459;7.777665616;0.014844303
0.264683844;7.679461479;0.014704658
0.262233167;7.582677063;0.014568509
0.259739735;7.488934906;0.014429985
0.257299394;7.397748247;0.014294411
0.254859046;7.308386944;0.014158836
0.252409816;7.219999164;0.014022768
0.249992057;7.13485646;0.013888448
0.247647556;7.05080897;0.013758198
