Test unit,SC4,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.2397633,-48.208,-0.026640367
-0.216924633,-41.616,-0.024102737
-0.1863863,-32.928,-0.020709589
-0.153736967,-25.232,-0.017081885
-0.121638633,-16.96,-0.013515404
-0.087804967,-9.9552,-0.009756107
-0.0511123,-2.2976,-0.005679144
-0.022160933,4.7312,-0.002462326
0.015294067,10.736,0.001699341
0.043720333,17.6,0.004857815
0.076609533,23.808,0.00851217
0.109708587,29.808,0.012189843
0.1425483,36.48,0.0158387
0.177709067,42.576,0.019745452
0.210830367,49.024,0.023425596
0.242933367,54.864,0.026992596
0.2799557,61.024,0.031106189
0.313548033,64.992,0.03483867
0.316374367,62.352,0.035152707
0.3056897,58.064,0.033965522
0.280555367,50.512,0.031172819
0.2515277,42.272,0.027947522
0.2223577,35.264,0.024706411
0.180055267,27.792,0.020006141
0.1589531,21.296,0.017661456
0.129818733,14.6592,0.014424304
0.098098947,7.904,0.010899883
0.063104963,1.8176,0.007011663
0.031674367,-4.6464,0.003519374
0.0027594,-11.224,0.0003066
-0.028689367,-17.36,-0.003187707
-0.066865633,-24.32,-0.007429515
-0.1012253,-30.672,-0.011247256
-0.135317633,-37.744,-0.015035293
-0.173224967,-44.096,-0.019247219
-0.215790633,-50.32,-0.023976737
-0.233773967,-53.856,-0.025974885
-0.2528963,-51.808,-0.028099589
-0.2150363,-41.904,-0.023892922
-0.148545967,-24.864,-0.016505107
-0.085288633,-10.2944,-0.009476515
-0.015189633,4.632,-0.001687737
0.042489867,16.096,0.004721096
0.108959167,29.472,0.012106574
0.1750129,41.408,0.019445878
0.243501033,54.176,0.02705567
0.304974367,65.296,0.033886041
0.381129033,77.168,0.04234767
0.4764847,85.904,0.052942744
0.5709877,94.208,0.063443078
0.662357367,98.128,0.073595263
0.651406367,86.656,0.072378485
0.631177367,79.12,0.070130819
0.564251367,63.824,0.062694596
0.489662033,49.952,0.054406893
0.423033367,37.088,0.047003707
0.352537033,23.68,0.039170781
0.281081367,12.1616,0.031231263
0.209349033,-0.11288,0.023261004
