Test unit,SC2,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0,0
0,0.01529,0
0.000255333,0.01552,2.83704E-05
0.005040667,0.4147,0.000560074
0.007362667,0.4707,0.000818074
0.005509333,0.5248,0.000612148
0.005960667,0.5864,0.000662296
0.008040333,0.6421,0.00089337
0.006493,0.7188,0.000721444
0.007554667,0.7965,0.000839407
0.005839,0.8951,0.000648778
0.008099667,1.021,0.000899963
0.009547333,1.226,0.001060815
0.008991333,1.382,0.000999037
0.013434667,1.649,0.001492741
0.010973667,2.002,0.001219296
0.011111333,2.256,0.001234593
0.011158667,2.595,0.001239852
0.013291667,2.95,0.001476852
0.016443667,3.346,0.001827074
0.017324333,4.015,0.001924926
0.017447667,4.353,0.00193863
0.019847333,4.673,0.002205259
0.022079333,4.988,0.002453259
0.025475,5.349,0.002830556
0.026761667,5.693,0.002973519
0.027224333,5.972,0.003024926
0.030813,6.316,0.003423667
0.032313,6.781,0.003590333
0.032213667,7.199,0.003579296
0.034490333,7.612,0.003832259
0.037323333,7.999,0.004147037
0.037371333,8.388,0.00415237
0.045006667,8.712,0.005000741
0.043578333,9.062,0.004842037
0.046743,9.432,0.005193667
0.044586,9.76,0.004954
0.047114667,10.12,0.005234963
0.050724667,10.51,0.005636074
0.050497333,10.83,0.005610815
0.055173667,11.16,0.006130407
0.055294333,11.46,0.006143815
0.058311667,11.82,0.006479074
0.059542,12.13,0.006615778
0.059677333,12.39,0.006630815
0.063342,12.65,0.007038
0.065406,13.3,0.007267333
0.065655,13.63,0.007295
0.067797333,13.97,0.007533037
0.072271667,14.31,0.008030185
0.072849,14.64,0.008094333
0.072396,15,0.008044
0.075697667,15.33,0.008410852
0.078917333,15.72,0.008768593
0.081939667,16.1,0.009104407
0.083659667,16.45,0.009295519
0.087520333,16.81,0.009724481
0.086318333,17.09,0.009590926
0.088081333,17.46,0.009786815
0.092398333,17.83,0.010266481
0.095099,18.17,0.010566556
0.100560667,18.55,0.011173407
0.104320667,18.91,0.011591185
0.103766667,19.29,0.01152963
0.103246,19.69,0.011471778
0.105417,20.05,0.011713
0.109819333,20.39,0.012202148
0.109665,20.77,0.012185
0.112212333,21.12,0.012468037
0.115302,21.46,0.012811333
0.118984,21.8,0.013220444
0.119771667,22.07,0.013307963
0.121607667,22.4,0.013511963
0.128045667,22.76,0.014227296
0.128742,23.13,0.014304667
0.131071667,23.34,0.014563519
0.132072333,23.34,0.014674704
0.130914667,23.42,0.014546074
0.135077333,23.42,0.015008593
0.136891333,23.36,0.015210148
0.131837667,23.3,0.01464863
0.134891667,23.25,0.014987963
0.133855,23.12,0.014872778
0.135938,23.06,0.015104222
0.134065667,23.05,0.014896185
0.137095333,23.03,0.015232815
0.135864667,23,0.015096074
0.138439,22.98,0.015382111
0.135613667,22.94,0.015068185
0.140016333,22.91,0.01555737
0.135500333,22.89,0.015055593
0.139350333,22.84,0.01548337
0.140276333,22.83,0.015586259
0.137519,22.82,0.015279889
0.14083,22.82,0.015647778
0.157818,21.14,0.017535333
0.158361667,21.09,0.017595741
0.155806333,20.36,0.017311815
0.151816,19.55,0.016868444
0.151939,18.55,0.016882111
0.143555667,17.55,0.01595063
0.14062,16.35,0.015624444
0.141053,15.98,0.015672556
0.136977333,14.55,0.015219704
0.133815667,13.82,0.014868407
0.129736,12.98,0.014415111
0.125599667,12.13,0.013955519
0.12485,11.24,0.013872222
0.119074667,10.42,0.013230519
0.115092667,9.503,0.012788074
0.111579,8.62,0.012397667
0.110374,7.768,0.012263778
0.103726667,6.975,0.011525185
0.10208,6.184,0.011342222
0.098685,5.427,0.010965
0.093878,4.672,0.010430889
0.092068667,3.87,0.010229852
0.087951333,3.151,0.00977237
0.085551667,2.388,0.009505741
0.081709333,1.348,0.009078815
0.078253,0.8595,0.008694778
0.076071,0.5686,0.008452333
0.077691,0.3862,0.008632333
0.071815667,0.2355,0.007979519
0.073040333,0.08927,0.008115593
0.077756667,0.0007,0.00863963
0.070497,-0.08492,0.007833
0.072505333,-0.1538,0.008056148
0.072938,-0.1952,0.008104222
0.069676,-0.2166,0.007741778
0.072852,-0.2553,0.008094667
0.073112333,-0.2941,0.008123593
0.070692667,-0.3525,0.007854741
0.070180333,-0.4177,0.007797815
0.071454,-0.4901,0.007939333
0.068241,-0.5458,0.007582333
0.06806,-0.6264,0.007562222
0.066662667,-0.7296,0.007406963
0.067328667,-0.8849,0.007480963
0.067674667,-1.084,0.007519407
0.066097667,-1.251,0.007344185
0.066792,-1.724,0.007421333
