Test unit,test 1
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
4.5,34.6,0.237
4.89,35.1,0.257
4.89,36.6,0.257
5.28,37.1,0.278
5.28,38.1,0.278
5.67,38.6,0.299
5.67,39.6,0.299
6.45,40.6,0.34
6.45,41.6,0.34
6.85,42.1,0.36
6.85,43.1,0.36
7.24,43.5,0.381
7.24,44.1,0.381
7.24,38.6,0.381
6.85,38.1,0.36
6.85,34.6,0.36
6.45,34.1,0.34
6.45,31.6,0.34
6.06,31.1,0.319
6.06,29.6,0.319
5.67,29.1,0.299
5.67,27.1,0.299
5.28,26.6,0.278
5.28,24.6,0.278
4.89,24.1,0.257
4.89,21.6,0.257
4.5,21.1,0.237
4.5,18.6,0.237
4.11,18.2,0.216
4.11,15.7,0.216
3.72,15.2,0.196
3.72,12.2,0.196
3.33,11.7,0.175
3.33,9.2,0.175
2.94,8.7,0.155
2.94,6.2,0.155
2.55,5.7,0.134
2.55,2.7,0.134
2.15,2.2,0.113
2.15,-0.3,0.113
1.76,-0.8,0.093
1.76,-3.3,0.093
1.37,-3.8,0.072
1.37,-6.3,0.072
0.98,-6.8,0.051
0.98,-9.3,0.051
0.59,-9.8,0.031
0.59,-12.2,0.031
0.2,-12.7,0.01
0.2,-15.2,0.01
-0.2,-15.7,-0.01
-0.2,-18.2,-0.01
-0.59,-18.7,-0.031
-0.59,-21.2,-0.031
-0.98,-21.7,-0.051
-0.98,-23.7,-0.051
-1.37,-24.2,-0.072
-1.37,-26.2,-0.072
-1.76,-26.7,-0.093
-1.76,-28.7,-0.093
-2.15,-29.2,-0.113
-2.15,-31.2,-0.113
-2.54,-31.7,-0.134
-2.54,-33.2,-0.134
-2.93,-33.7,-0.154
-2.93,-34.7,-0.154
-3.33,-35.2,-0.175
-3.33,-36.2,-0.175
-3.72,-36.7,-0.196
-3.72,-37.7,-0.196
-4.11,-38.2,-0.216
-4.11,-39.7,-0.216
-4.5,-40.1,-0.237
-4.5,-41.1,-0.237
-4.89,-41.6,-0.257
-4.89,-43.1,-0.257
-5.28,-43.6,-0.278
-6.06,-44.6,-0.319
-6.06,-45.1,-0.319
-6.45,-45.6,-0.34
-6.85,-46.1,-0.36
-7.24,-46.6,-0.381
-7.63,-47.1,-0.401
-7.63,-45.6,-0.401
-7.24,-45.1,-0.381
-7.24,-42.1,-0.381
-6.85,-41.6,-0.36
-6.85,-40.1,-0.36
-6.45,-39.7,-0.34
-6.45,-38.2,-0.34
-6.06,-37.7,-0.319
-6.06,-36.2,-0.319
-5.67,-35.7,-0.299
-5.67,-34.7,-0.299
-5.28,-34.2,-0.278
-5.28,-33.2,-0.278
-4.89,-32.7,-0.257
-4.89,-31.7,-0.257
-4.5,-31.2,-0.237
-4.5,-29.7,-0.237
-4.11,-29.2,-0.216
-4.11,-27.7,-0.216
-3.72,-27.2,-0.196
-3.72,-25.7,-0.196
-3.33,-25.2,-0.175
-3.33,-23.7,-0.175
-2.93,-23.2,-0.154
-2.93,-21.2,-0.154
-2.54,-20.7,-0.134
-2.54,-18.7,-0.134
-2.15,-18.2,-0.113
-2.15,-15.7,-0.113
-1.76,-15.2,-0.093
-1.76,-12.7,-0.093
-1.37,-12.2,-0.072
-1.37,-9.8,-0.072
-0.98,-9.3,-0.051
-0.98,-6.8,-0.051
-0.59,-6.3,-0.031
-0.59,-3.8,-0.031
-0.2,-3.3,-0.01
-0.2,-0.8,-0.01
0.2,-0.3,0.01
NaN,NaN,NaN
0.2,0.2,0.01
0.2,2.2,0.01
0.59,2.7,0.031
0.59,5.2,0.031
0.98,5.7,0.051
0.98,8.2,0.051
1.37,8.7,0.072
1.37,11.2,0.072
1.76,11.7,0.093
1.76,14.2,0.093
2.15,14.7,0.113
2.15,17.1,0.113
2.55,17.6,0.134
2.55,20.1,0.134
2.94,20.6,0.155
2.94,22.6,0.155
3.33,23.1,0.175
3.33,25.6,0.175
3.72,26.1,0.196
3.72,28.1,0.196
4.11,28.6,0.216
4.11,31.1,0.216
4.5,31.6,0.237
4.5,33.6,0.237
4.89,34.1,0.257
4.89,35.6,0.257
5.28,36.1,0.278
5.28,37.6,0.278
5.67,38.1,0.299
5.67,39.6,0.299
6.06,40.1,0.319
6.06,41.1,0.319
6.45,41.6,0.34
6.45,42.6,0.34
6.85,43.1,0.36
6.85,44.6,0.36
7.24,45,0.381
7.24,46,0.381
7.62,46.5,0.401
8.42,47.5,0.443
8.42,48,0.443
9.2,49,0.484
9.2,49.5,0.484
9.59,50,0.505
9.98,49.5,0.525
9.98,48.5,0.525
9.59,48,0.505
9.59,45,0.505
9.2,44.6,0.484
9.2,42.1,0.484
8.81,41.6,0.464
8.81,40.1,0.464
8.42,39.6,0.443
8.42,38.6,0.443
8.03,38.1,0.422
8.03,37.1,0.422
7.62,36.6,0.401
7.62,35.6,0.401
7.24,35.1,0.381
7.24,33.6,0.381
6.85,33.1,0.36
6.85,31.6,0.36
6.45,31.1,0.34
6.45,29.6,0.34
6.06,29.1,0.319
6.06,27.6,0.319
5.67,27.1,0.299
5.67,25.1,0.299
5.28,24.6,0.278
5.28,22.6,0.278
4.89,22.1,0.257
4.89,19.6,0.257
4.5,19.1,0.237
4.5,16.6,0.237
4.11,16.1,0.216
4.11,13.7,0.216
3.72,13.2,0.196
3.72,10.2,0.196
3.33,9.7,0.175
3.33,7.2,0.175
2.94,6.7,0.155
2.94,4.2,0.155
2.55,3.7,0.134
2.55,1.2,0.134
2.15,0.7,0.113
2.15,-1.8,0.113
1.76,-2.3,0.093
1.76,-4.8,0.093
1.37,-5.3,0.072
1.37,-7.8,0.072
0.98,-8.3,0.051
0.98,-10.8,0.051
0.59,-11.2,0.031
0.59,-13.2,0.031
0.2,-13.7,0.01
0.2,-16.2,0.01
-0.2,-16.7,-0.01
-0.2,-19.2,-0.01
-0.59,-19.7,-0.031
-0.59,-21.7,-0.031
-0.98,-22.2,-0.051
-0.98,-24.7,-0.051
-1.37,-25.2,-0.072
-1.37,-26.7,-0.072
-1.76,-27.2,-0.093
-1.76,-29.2,-0.093
-2.15,-29.7,-0.113
-2.15,-31.2,-0.113
-2.54,-31.7,-0.134
-2.54,-33.2,-0.134
-2.93,-33.7,-0.154
-2.93,-34.7,-0.154
-3.33,-35.2,-0.175
-3.33,-36.2,-0.175
-3.72,-36.7,-0.196
-3.72,-37.7,-0.196
-4.11,-38.2,-0.216
-4.11,-39.1,-0.216
-4.5,-39.7,-0.237
-4.5,-40.6,-0.237
-5.28,-41.6,-0.278
-5.28,-42.6,-0.278
-6.06,-43.6,-0.319
-6.06,-44.6,-0.319
-6.85,-45.6,-0.36
-6.85,-47.1,-0.36
-7.63,-48.1,-0.401
-7.63,-48.6,-0.401
-8.02,-48.6,-0.422
-8.41,-49.1,-0.443
-8.81,-49.6,-0.464
-9.2,-49.6,-0.484
-9.59,-50.1,-0.505
-9.98,-49.6,-0.525
-9.98,-48.1,-0.525
-9.59,-47.6,-0.505
-9.59,-45.6,-0.505
-9.2,-45.1,-0.484
-9.2,-44.1,-0.484
-8.81,-43.6,-0.464
-8.81,-42.6,-0.464
-8.02,-41.6,-0.422
-8.02,-40.6,-0.422
-7.63,-40.1,-0.401
-7.24,-39.7,-0.381
-7.24,-39.1,-0.381
-6.85,-38.6,-0.36
-6.85,-37.7,-0.36
-6.45,-37.2,-0.34
-6.45,-36.7,-0.34
-6.06,-36.2,-0.319
-6.06,-35.2,-0.319
-5.67,-34.7,-0.299
-5.67,-33.7,-0.299
-5.28,-33.2,-0.278
-5.28,-32.2,-0.278
-4.89,-31.7,-0.257
-4.89,-30.2,-0.257
-4.5,-29.7,-0.237
-4.5,-28.7,-0.237
-4.11,-28.2,-0.216
-4.11,-26.7,-0.216
-3.72,-26.2,-0.196
-3.72,-24.7,-0.196
-3.33,-24.2,-0.175
-3.33,-22.2,-0.175
-2.93,-21.7,-0.154
-2.93,-19.7,-0.154
-2.54,-19.2,-0.134
-2.54,-17.2,-0.134
-2.15,-16.7,-0.113
-2.15,-14.2,-0.113
-1.76,-13.7,-0.093
-1.76,-11.2,-0.093
-1.37,-10.8,-0.072
-1.37,-8.8,-0.072
-0.98,-8.3,-0.051
-0.98,-5.8,-0.051
-0.59,-5.3,-0.031
-0.59,-2.8,-0.031
-0.2,-2.3,-0.01
-0.2,-0.3,-0.01
NaN,NaN,NaN
-0.2,0.2,-0.01
0.2,0.7,0.01
