Test unit,M17
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.46,6.2,-0.036
-0.46,4.9,-0.036
-0.56,2.3,-0.044
-0.46,1.9,-0.036
-0.56,0.5,-0.044
-0.46,1.4,-0.036
-0.51,1.4,-0.04
-0.51,0.9,-0.04
-0.51,1.9,-0.04
-0.56,0.9,-0.044
-0.51,1.4,-0.04
-0.56,0.9,-0.044
-0.46,0.9,-0.036
-0.56,0.9,-0.044
-0.46,1.4,-0.036
-0.51,0.9,-0.04
-0.51,0.9,-0.04
-0.46,1.4,-0.036
-0.56,0.9,-0.044
-0.46,0.5,-0.036
-0.56,0.5,-0.044
-0.51,-0.3,-0.04
-0.56,-1.7,-0.044
-0.56,-3.8,-0.044
-0.61,-5.6,-0.048
-0.56,-6,-0.044
-0.67,-8.2,-0.052
-0.61,-9.1,-0.048
-0.72,-11.3,-0.056
-0.67,-12.6,-0.052
-0.72,-13.5,-0.056
-0.72,-15.7,-0.056
-0.77,-17.4,-0.06
-0.82,-19.2,-0.064
-0.82,-20.1,-0.064
-0.87,-22.3,-0.068
-0.92,-23.6,-0.072
-0.92,-25.3,-0.072
-1.03,-25.8,-0.081
-1.03,-27.5,-0.081
-1.13,-27.9,-0.088
-1.08,-29.3,-0.084
-1.13,-30.6,-0.088
-1.23,-31.5,-0.096
-1.23,-31,-0.096
-1.28,-31.9,-0.101
-1.28,-30.6,-0.101
-1.33,-28.8,-0.105
-1.33,-24.9,-0.105
-1.38,-22.3,-0.108
-1.28,-21.8,-0.101
-1.28,-19.2,-0.101
-1.23,-17.9,-0.096
-1.23,-14.8,-0.096
-1.13,-12.2,-0.088
-1.23,-10.4,-0.096
-1.08,-9.5,-0.084
-1.13,-6.5,-0.088
-1.03,-6,-0.081
-1.08,-3.4,-0.084
-1.03,-3,-0.081
-1.03,-0.8,-0.081
-0.92,0.9,-0.072
-1.03,0.1,-0.081
NaN,NaN,NaN
-0.97,0.5,-0.076
-0.97,0.9,-0.076
-0.92,0.9,-0.072
-0.92,0.5,-0.072
-0.92,1.4,-0.072
-0.97,0.9,-0.076
-0.92,1.9,-0.072
-0.92,0.9,-0.072
-0.97,2.7,-0.076
-0.92,0.9,-0.072
-0.97,1.4,-0.076
-0.97,0.9,-0.076
-0.87,1.9,-0.068
-0.97,0.5,-0.076
-0.87,2.3,-0.068
-0.92,1.4,-0.072
-0.87,1.9,-0.068
-0.92,2.3,-0.072
-0.92,2.3,-0.072
-0.87,3.6,-0.068
-0.87,7.5,-0.068
-0.82,8.4,-0.064
-0.77,10.2,-0.06
-0.77,14.5,-0.06
-0.61,16.3,-0.048
-0.67,18,-0.052
-0.56,18.9,-0.044
-0.56,20.2,-0.044
-0.51,21.5,-0.04
-0.46,23.3,-0.036
-0.36,24.2,-0.028
-0.31,24.6,-0.024
-0.31,25.5,-0.024
-0.15,26.4,-0.012
-0.2,27.2,-0.016
-0.1,28.1,-0.008
-0.05,29,-0.004
0,29,0
0.05,30.3,0.004
0.1,29.9,0.008
0.31,31.2,0.024
0.21,31.2,0.016
0.26,31.6,0.02
0.31,29.4,0.024
0.36,27.2,0.028
0.31,25.5,0.024
0.36,22.4,0.028
0.31,21.5,0.024
0.26,18.5,0.02
0.31,17.2,0.024
0.21,15,0.016
0.26,12.8,0.02
0.21,11.9,0.016
0.16,9.7,0.012
0.16,8.8,0.012
0.1,6.6,0.008
0.1,5.8,0.008
0.05,3.6,0.004
0.1,2.3,0.008
0.05,1.9,0.004
0,0.9,0
0.05,1.9,0.004
0,0.9,0
0.1,1.9,0.008
-0.05,0.9,-0.004
0.05,1.4,0.004
0.05,0.5,0.004
0.05,1.9,0.004
0,0.9,0
0,1.4,0
0.05,0.9,0.004
0,1.4,0
0,0.1,0
0.05,0.5,0.004
0,0.1,0
0,-0.3,0
-0.05,-1.2,-0.004
0,-2.1,0
-0.1,-3,-0.008
0,-4.7,0
-0.1,-4.7,-0.008
-0.1,-6.9,-0.008
-0.15,-7.8,-0.012
-0.2,-9.5,-0.016
-0.2,-10.4,-0.016
-0.31,-12.2,-0.024
-0.26,-13.5,-0.02
-0.36,-14.8,-0.028
-0.36,-15.2,-0.028
-0.41,-17.4,-0.032
-0.51,-19.2,-0.04
-0.51,-20.1,-0.04
-0.61,-21.4,-0.048
-0.56,-22.3,-0.044
