Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.11,-3.1,-0.009
-0.03,1.3,-0.003
0.05,5.9,0.004
0.15,11,0.012
0.24,15.3,0.019
0.32,20,0.026
0.41,24.4,0.033
0.48,28.8,0.039
0.56,32.9,0.045
0.63,36.3,0.051
0.7,39.1,0.056
0.76,41.3,0.061
0.81,42.6,0.065
0.85,43.5,0.068
0.9,45.1,0.072
0.93,46,0.075
0.95,46.6,0.076
0.95,45.7,0.076
0.97,45.4,0.078
0.97,42.3,0.078
0.99,36.6,0.079
0.94,31.6,0.075
0.88,28.2,0.07
0.85,25,0.068
0.79,22.9,0.063
0.74,20,0.059
0.67,16.9,0.054
0.61,13.8,0.049
0.54,10.3,0.043
0.46,6.9,0.037
0.39,3.4,0.031
0.3,-0.3,0.024
0.21,-3.8,0.017
0.12,-8.1,0.009
0.05,-10.6,0.004
0,-13.1,0
0,-10.6,0
-0.11,-18.8,-0.009
-0.19,-22.9,-0.015
-0.28,-27.5,-0.022
-0.36,-30.7,-0.029
-0.44,-34.7,-0.035
-0.51,-38.2,-0.041
-0.59,-41.3,-0.047
-0.65,-44.8,-0.052
-0.73,-47.6,-0.058
-0.77,-49.8,-0.062
-0.82,-52,-0.066
-0.88,-53.2,-0.07
-0.9,-53.2,-0.072
-0.92,-55.1,-0.074
-0.94,-55.1,-0.075
-0.95,-56,-0.076
-0.95,-52.6,-0.076
-0.93,-45.7,-0.075
-0.91,-44.1,-0.073
-0.88,-42.6,-0.07
-0.84,-41,-0.067
-0.8,-38.8,-0.064
-0.75,-36,-0.06
-0.69,-32.9,-0.055
-0.62,-29.7,-0.05
-0.55,-26,-0.044
-0.47,-22.5,-0.038
-0.4,-18.8,-0.032
-0.32,-14.7,-0.026
-0.25,-11.3,-0.02
-0.13,-5.3,-0.01
-0.04,-1.6,-0.003
0.04,2.8,0.003
0.13,7.2,0.01
0.21,11.6,0.017
0.3,15.7,0.024
0.39,19.7,0.031
0.46,23.2,0.037
0.55,27.2,0.044
0.62,30.7,0.05
0.69,33.5,0.055
0.74,36.6,0.059
0.79,39.1,0.063
0.85,40.7,0.068
0.89,42.3,0.071
0.91,43.5,0.073
0.94,44.8,0.075
0.95,45.1,0.076
0.96,42.6,0.077
0.96,41,0.077
0.97,37.9,0.078
0.93,31.3,0.075
0.92,30.1,0.074
0.89,28.2,0.071
0.85,25.7,0.068
0.8,23.2,0.064
0.75,20.7,0.06
0.69,17.8,0.055
0.62,14.4,0.05
0.55,11,0.044
0.47,7.8,0.038
0.4,4.1,0.032
0.31,0.6,0.025
0.22,-2.5,0.018
0.14,-6.6,0.011
0.05,-10.3,0.004
0,-12.8,0
0,-9.4,0
-0.04,-15.3,-0.003
-0.16,-22.2,-0.013
-0.25,-25.4,-0.02
-0.34,-29.7,-0.027
-0.42,-32.9,-0.033
-0.5,-36.9,-0.04
