Test unit,SC5,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,-0.1136,0
0.0501533,13.59,0.005572589
0.11888195,25.97,0.013209106
0.1379208,27.46,0.015324533
0.1444623,26.19,0.016051367
0.1330564,24.87,0.014784044
0.12830895,20.41,0.01425655
0.11334915,16.64,0.01259435
0.09797795,12.06,0.010886439
0.08264435,8.573,0.009182706
0.069544269,4.164,0.007727141
0.05667982,0.8902,0.006297758
0.04467465,-2.67,0.00496385
0.02959815,-5.857,0.003288683
0.01375645,-9.378,0.001528494
0.00222255,-13.15,0.00024695
-0.0256269,-16.31,-0.002847433
-0.0399055,-19.76,-0.004433944
-0.060796,-22.44,-0.006755111
-0.081215,-25.57,-0.009023889
-0.101916,-28.43,-0.011324
-0.1241825,-30.71,-0.013798056
-0.132969,-30.66,-0.014774333
-0.137387,-30.24,-0.015265222
-0.1388865,-26.16,-0.015431833
-0.1363935,-23.01,-0.015154833
-0.1199825,-18.76,-0.013331389
-0.105466,-15.01,-0.011718444
-0.0909505,-10.43,-0.010105611
-0.071706,-6.907,-0.007967333
-0.05834,-3.497,-0.006482222
-0.0370605,0.7386,-0.004117833
-0.02176435,3.947,-0.002418261
-0.0093607,7.518,-0.001040078
0.00071915,11.32,7.99056E-05
0.0259076,14.55,0.002878622
0.044487,18.31,0.004943
0.05474851,21.34,0.006083168
0.07278285,24.66,0.008086983
0.085244065,28.32,0.009471563
0.11114015,31.34,0.012348906
0.1276704,33.84,0.0141856
0.13009775,33.59,0.014455306
0.15502155,35.79,0.017224617
0.14933185,33.75,0.016592428
0.1344611,29.36,0.014940122
0.1213778,25.25,0.013486422
0.09915325,21.69,0.011017028
0.0919595,17.5,0.010217722
0.078539955,14.04,0.008726662
0.0587014,10.61,0.006522378
0.04627915,6.444,0.005142128
0.0299276,3.17,0.003325289
0.0163731,-0.667,0.001819233
-0.00297285,-3.835,-0.000330317
-0.01980625,-6.84,-0.002200694
-0.0311535,-10.51,-0.0034615
-0.047353,-13.45,-0.005261444
-0.060434,-16.51,-0.006714889
-0.0816655,-20.39,-0.009073944
-0.103967,-23.3,-0.011551889
-0.119435,-27.03,-0.013270556
-0.1325585,-29.96,-0.014728722
-0.1467435,-31.08,-0.016304833
-0.1441785,-30.49,-0.016019833
-0.145426,-27.46,-0.016158444
-0.1268455,-21.31,-0.014093944
-0.09712,-13.53,-0.010791111
-0.0617505,-5.472,-0.006861167
-0.0282094,1.847,-0.003134378
-0.00301325,8.814,-0.000334806
0.03957315,15.98,0.004397017
0.074842385,23.42,0.008315821
0.11074685,29.8,0.012305206
0.14234525,36.46,0.015816139
0.17820355,42.82,0.019800394
0.227407,48.65,0.025267444
0.2645355,52.52,0.029392833
0.303946,53.19,0.033771778
0.289497,47.72,0.032166333
0.258404,39.76,0.028711556
0.2313235,32.39,0.025702611
0.19056125,25.24,0.021173472
0.1680185,19.1,0.018668722
0.13904845,12.13,0.015449828
0.10249255,5.97,0.011388061
0.06977805,-0.4993,0.007753117
0.04667695,-6.198,0.005186328
0.0058561,-12.15,0.000650678
-0.0311586,-17.9,-0.003462067
-0.063438,-24.24,-0.007048667
-0.105045,-30.43,-0.011671667
-0.143128,-36.44,-0.015903111
-0.1956135,-42.22,-0.021734833
-0.2393455,-47.55,-0.026593944
-0.2676655,-42.94,-0.029740611
-0.2431705,-36,-0.027018944
-0.208713,-27.53,-0.023190333
-0.173791,-20.25,-0.019310111
-0.137519,-12.57,-0.015279889
-0.0991645,-5.103,-0.011018278
-0.060974,1.77,-0.006774889
-0.02092885,8.326,-0.002325428
0.01034465,14.96,0.001149406
0.05304603,21.36,0.005894003
0.092536315,27.35,0.010281813
0.12868015,34.45,0.014297794
0.17467535,40.62,0.019408372
0.209921,46.52,0.023324556
0.254593,52.28,0.028288111
0.2948795,53.99,0.032764389
0.2725675,48.08,0.030285278
0.237807,39.81,0.026423
0.205136,32.51,0.022792889
0.1775315,25.41,0.019725722
0.13341695,18.28,0.014824106
0.1059187,11.75,0.011768744
0.0692281,5.18,0.007692011
0.04296412,-1.157,0.004773791
0.0007335,-7.304,8.15E-05
-0.0438295,-13.01,-0.004869944
-0.069383,-19.23,-0.007709222
-0.1130895,-25.45,-0.0125655
-0.14851,-31.66,-0.016501111
-0.1854925,-37.76,-0.020610278
-0.230078,-44.02,-0.025564222
-0.258695,-46.24,-0.028743889
-0.265641,-43.31,-0.029515667
-0.2532395,-36.88,-0.028137722
-0.216389,-28.59,-0.024043222
-0.1830365,-21.53,-0.020337389
