Test unit,WI1.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-3.42,-30.7,-0.258
-4.14,-31.8,-0.313
-5.24,-33.1,-0.395
-6.15,-33.9,-0.464
-7.13,-33.4,-0.538
-7.72,-34.6,-0.583
NaN,NaN,NaN
-10.28,-35.5,-0.776
-9.56,-33.5,-0.722
-8.71,-32.5,-0.658
-8.05,-31.2,-0.608
-7.17,-30.2,-0.541
-6.48,-29.3,-0.489
-5.89,-28,-0.444
-5,-26.5,-0.377
-4.58,-24.2,-0.346
-4.07,-24.4,-0.307
-3.47,-22.7,-0.262
-2.93,-20.4,-0.221
-2.39,-17.9,-0.181
-1.86,-14.6,-0.14
-1.57,-11.5,-0.118
-1.2,-8.9,-0.09
-0.92,-5.7,-0.07
-0.6,-3.1,-0.046
-0.37,-0.2,-0.028
-0.14,1.1,-0.01
0.15,3.6,0.012
0.7,8.6,0.053
0.97,11.9,0.073
1.45,15.7,0.109
1.69,17,0.128
2.07,19.8,0.156
2.6,22.4,0.196
3.01,25,0.228
3.67,27.1,0.277
4.09,28,0.309
4.85,30.3,0.366
5.57,31.7,0.421
6.32,32.5,0.477
7.06,33.4,0.533
7.47,34.6,0.564
8.55,35.5,0.645
9.5,35.8,0.717
10.65,36.3,0.804
11.52,36,0.87
10.73,34.1,0.81
10.03,33.1,0.757
9.37,32.5,0.707
8.47,31.2,0.639
7.8,30,0.589
7.14,27.7,0.539
6.48,25.8,0.489
5.85,23.7,0.442
5.45,21.2,0.411
4.67,16.9,0.352
4.28,14.1,0.323
3.92,11.4,0.296
3.59,8.6,0.271
3.26,6.3,0.246
2.83,2.8,0.213
2.48,0.1,0.187
2.29,-1.4,0.173
1.94,-4.8,0.146
1.62,-7.3,0.122
1.07,-11.5,0.081
0.7,-14.9,0.053
0.37,-17.6,0.028
0.01,-20.3,0.001
-0.4,-22.7,-0.03
-0.95,-24.5,-0.072
-1.61,-26.7,-0.122
-2.27,-28.6,-0.171
-3.1,-30.4,-0.234
-3.72,-30.6,-0.28
-4.55,-32.1,-0.343
-5.43,-32.8,-0.409
-6.1,-34.1,-0.46
