Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.04,-88.3,0.003
0.03,-89.6,0.002
0.01,-91,0.001
0,-91.8,0
-0,-92.1,-0
-0.01,-91.9,-0
-0.01,-92.6,-0.001
-0.02,-93.8,-0.001
-0.02,-95,-0.002
-0.03,-96.2,-0.002
-0.03,-97.2,-0.002
-0.04,-98.1,-0.003
-0.05,-98.9,-0.003
-0.06,-99.8,-0.004
-0.06,-100.5,-0.004
-0.07,-101.2,-0.005
-0.06,-102,-0.004
-0.07,-102.9,-0.005
-0.08,-103.5,-0.006
-0.09,-103.7,-0.007
-0.1,-103.6,-0.007
-0.11,-103.8,-0.008
-0.11,-104.3,-0.008
-0.12,-104.9,-0.008
-0.13,-105.4,-0.009
-0.13,-105.9,-0.009
-0.14,-106.3,-0.01
-0.14,-106.3,-0.01
-0.14,-106.7,-0.01
-0.15,-107.4,-0.011
-0.16,-108.3,-0.011
-0.16,-109.4,-0.012
-0.17,-110.4,-0.012
-0.16,-111.5,-0.011
-0.17,-112.5,-0.012
-0.19,-112.9,-0.013
-0.19,-112.7,-0.014
-0.2,-112.6,-0.014
-0.21,-112.6,-0.015
-0.21,-112.6,-0.015
-0.21,-113.1,-0.015
-0.22,-113.9,-0.015
-0.22,-114.3,-0.016
-0.23,-115.1,-0.016
-0.23,-116.1,-0.016
-0.24,-117.3,-0.017
-0.25,-118,-0.018
-0.26,-118.1,-0.018
-0.26,-117.7,-0.018
-0.25,-117.3,-0.018
-0.24,-117.4,-0.017
-0.25,-118.1,-0.018
-0.27,-119.3,-0.019
-0.28,-119.8,-0.02
-0.29,-119.5,-0.02
-0.29,-118.7,-0.02
-0.29,-117.5,-0.02
-0.29,-117.2,-0.02
-0.29,-117.4,-0.02
-0.29,-118.2,-0.02
-0.3,-119.1,-0.021
-0.3,-119.6,-0.021
-0.3,-119.7,-0.021
-0.3,-119.5,-0.021
-0.3,-119.3,-0.021
-0.31,-119.5,-0.022
-0.3,-120,-0.021
-0.3,-120.7,-0.021
-0.32,-121.1,-0.022
-0.33,-120.4,-0.023
-0.33,-118.5,-0.023
-0.34,-116.1,-0.024
-0.34,-114.1,-0.024
-0.34,-112.5,-0.024
-0.34,-111.7,-0.024
-0.34,-111.7,-0.024
-0.34,-111.6,-0.024
-0.34,-111.8,-0.024
-0.34,-112.9,-0.024
-0.34,-113.9,-0.024
-0.34,-114.8,-0.024
-0.34,-116.3,-0.024
-0.34,-118.2,-0.024
-0.33,-119.5,-0.023
-0.33,-119.7,-0.023
-0.34,-119.3,-0.024
-0.35,-117.8,-0.024
-0.35,-116.5,-0.025
-0.36,-115.2,-0.025
-0.35,-114.4,-0.025
-0.35,-113.9,-0.025
-0.35,-113.7,-0.025
-0.35,-113.7,-0.025
-0.35,-113.7,-0.025
-0.35,-113.4,-0.025
-0.35,-112.4,-0.025
-0.35,-111.3,-0.025
-0.36,-109.8,-0.025
-0.36,-108.2,-0.025
-0.35,-106.7,-0.025
-0.34,-105.6,-0.024
-0.35,-105.3,-0.024
-0.35,-104.6,-0.025
-0.36,-103.5,-0.025
-0.36,-101.9,-0.025
-0.36,-100.3,-0.025
-0.36,-98.8,-0.025
-0.36,-96.8,-0.025
-0.36,-94,-0.025
-0.36,-91,-0.025
-0.36,-88.1,-0.026
-0.36,-85.2,-0.026
-0.37,-81.5,-0.026
-0.37,-77.6,-0.026
-0.37,-74,-0.026
-0.36,-70.5,-0.026
-0.35,-67.1,-0.025
-0.35,-63,-0.025
-0.36,-58.4,-0.025
-0.36,-53.8,-0.025
-0.35,-49.3,-0.025
-0.35,-45.8,-0.025
-0.34,-43.5,-0.024
-0.33,-41.9,-0.024
-0.33,-41,-0.023
-0.33,-40,-0.023
-0.32,-38.6,-0.023
-0.32,-37.1,-0.022
-0.31,-35.8,-0.022
-0.31,-34.5,-0.022
-0.3,-32.7,-0.021
-0.3,-31.5,-0.021
-0.3,-30.5,-0.021
-0.28,-29.3,-0.02
-0.27,-28.3,-0.019
-0.28,-27.3,-0.02
-0.28,-26.2,-0.02
