Test unit,E2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.26,-33.1,-0.022
-0.27,-33.9,-0.024
-0.3,-33.3,-0.026
-0.29,-34.3,-0.025
-0.31,-33.5,-0.027
-0.31,-32.5,-0.027
-0.29,-31.6,-0.026
-0.31,-30.7,-0.027
-0.3,-29.6,-0.026
-0.29,-28.6,-0.025
-0.3,-27.7,-0.026
-0.29,-26.8,-0.026
-0.29,-25.8,-0.025
-0.28,-24.8,-0.024
-0.27,-23.8,-0.024
-0.26,-22.8,-0.023
-0.26,-21.9,-0.022
-0.25,-20.9,-0.022
-0.24,-19.9,-0.021
-0.22,-19,-0.019
-0.2,-18,-0.017
-0.2,-17,-0.018
-0.21,-16,-0.018
-0.19,-15.1,-0.017
-0.18,-14.1,-0.016
-0.17,-13.2,-0.015
-0.16,-12.3,-0.014
-0.15,-11.3,-0.013
-0.15,-10.3,-0.013
-0.12,-9.5,-0.011
-0.12,-8.5,-0.011
-0.12,-7.6,-0.011
-0.11,-6.6,-0.01
-0.1,-5.7,-0.009
-0.09,-4.7,-0.008
-0.08,-3.7,-0.007
-0.06,-2.7,-0.005
-0.05,-1.8,-0.005
-0.02,-1,-0.002
-0.02,-0.1,-0.002
-0.01,0.8,-0.001
-0,1.8,-0
0.01,2.8,0.001
0.02,4.1,0.002
0.03,5.1,0.002
0.04,6.3,0.004
0.06,7.2,0.005
0.1,7.9,0.008
0.1,9,0.009
0.1,9.9,0.009
0.11,10.8,0.009
0.12,11.7,0.011
0.14,12.7,0.012
0.15,13.7,0.013
0.17,14.6,0.014
0.18,15.5,0.015
0.2,16.4,0.017
0.22,17.3,0.019
0.22,18.3,0.019
0.23,19.2,0.02
0.24,20.3,0.021
0.25,21.1,0.022
0.27,22.1,0.023
0.28,23.1,0.024
0.3,24,0.026
0.33,24.8,0.029
0.33,25.7,0.029
0.35,26.5,0.03
0.36,27.4,0.031
0.39,28.3,0.034
0.42,29.1,0.036
0.42,30,0.037
0.44,30.9,0.039
