Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.09,35.1,0.087
0.87,26.9,0.069
0.64,17.5,0.051
0.49,11.6,0.039
0.16,-0.9,0.013
-0.06,-8.5,-0.005
-0.31,-16.6,-0.025
-0.55,-25,-0.044
-0.78,-33.2,-0.063
-1.01,-41,-0.081
-1.22,-48.8,-0.098
-1.43,-55.7,-0.115
-1.63,-62.6,-0.13
-1.81,-68.9,-0.145
-1.97,-75.1,-0.158
-2.11,-80.1,-0.169
-2.24,-84.8,-0.179
-2.34,-88.6,-0.188
-2.43,-91.7,-0.194
-2.51,-93.3,-0.2
-2.54,-94.2,-0.203
-2.56,-93.9,-0.205
-2.56,-93.3,-0.205
-2.53,-87.3,-0.202
-2.48,-83.9,-0.199
-2.42,-79.5,-0.194
-2.32,-74.2,-0.186
-2.22,-67.6,-0.177
-2.09,-61,-0.167
-1.94,-54.2,-0.155
-1.77,-47.6,-0.141
-1.6,-40.4,-0.128
-1.39,-33.2,-0.111
-1.18,-25.4,-0.094
-0.96,-17.2,-0.077
-0.73,-9.1,-0.058
-0.49,-0.3,-0.039
-0.26,8.1,-0.021
-0.11,12.8,-0.009
0.03,14.1,0.003
0.01,12.5,0.001
0,11.6,0
0,11.3,0
0,12.8,0
0.35,30.4,0.028
0.59,38.8,0.047
0.82,47.6,0.066
1.04,55.4,0.083
1.25,63.6,0.1
1.46,71.1,0.116
1.65,78.6,0.132
1.82,85.2,0.146
1.98,91.1,0.158
2.12,96.1,0.17
2.25,100.5,0.18
2.34,104.6,0.188
2.43,107.7,0.194
2.49,109.3,0.2
2.53,110.5,0.202
2.55,110.5,0.204
2.55,108.9,0.204
2.49,103.9,0.2
2.49,103.9,0.2
2.45,100.5,0.196
2.39,96.1,0.191
2.29,90.5,0.183
2.17,83.9,0.174
2.04,76.1,0.164
1.88,68.6,0.151
1.71,61,0.137
1.53,52.9,0.122
1.33,45.1,0.106
1.12,36.6,0.09
0.91,28.2,0.073
0.69,19.1,0.055
0.51,13.1,0.041
0.2,1.6,0.016
-0.03,-5.9,-0.003
-0.28,-14.4,-0.022
-0.51,-22.2,-0.041
-0.97,-37.6,-0.078
-1.19,-44.8,-0.095
-1.4,-51.3,-0.112
-1.6,-57.9,-0.128
-1.78,-64.2,-0.142
-1.94,-70.1,-0.155
-2.09,-75.4,-0.167
-2.23,-80.5,-0.178
-2.32,-84.2,-0.186
-2.42,-87.3,-0.194
-2.49,-89.5,-0.2
-2.53,-90.5,-0.202
-2.56,-91.1,-0.205
-2.56,-90.2,-0.205
-2.53,-83.9,-0.202
-2.51,-81.1,-0.2
-2.43,-77,-0.194
-2.34,-71.7,-0.188
-2.23,-65.7,-0.178
-2.11,-59.8,-0.169
-1.96,-53.2,-0.157
-1.8,-47,-0.144
-1.62,-39.4,-0.129
-1.43,-32.6,-0.115
-1.21,-24.7,-0.097
-0.99,-17.2,-0.079
-0.77,-9.4,-0.062
-0.54,-1.3,-0.043
-0.3,6.6,-0.024
-0.12,12.5,-0.009
0.04,15.7,0.003
0.02,12.2,0.002
0,11.3,0
-0.01,11,-0.001
-0.01,12.5,-0.001
0,12.8,0
0,12.2,0
0.16,23.5,0.013
0.47,34.1,0.038
0.75,44.1,0.06
1.02,53.8,0.081
1.28,63.6,0.103
1.55,73.3,0.124
1.79,82,0.143
2,90.5,0.16
2.21,97.7,0.176
2.4,105.2,0.192
2.56,110.8,0.205
2.71,115.5,0.217
2.84,118.6,0.227
2.91,120.2,0.233
2.99,117.4,0.239
3.03,119.9,0.242
3.04,119.3,0.243
3.03,116.8,0.242
3,114,0.24
2.93,109.6,0.235
2.83,103,0.226
2.72,96.7,0.218
2.58,88.9,0.206
2.41,81.4,0.193
2.23,73.3,0.178
2.02,64.5,0.162
1.8,56,0.144
1.56,46.6,0.125
1.31,37.3,0.104
1.04,27.9,0.083
0.77,18.5,0.062
0.59,11.6,0.047
0.19,-1.6,0.015
-0.09,-10,-0.007
-0.36,-19.1,-0.029
-0.65,-28.2,-0.052
-0.93,-36.9,-0.075
-1.2,-45.4,-0.096
-1.47,-54.2,-0.117
-1.71,-61.7,-0.137
-1.94,-69.8,-0.155
-2.15,-77.3,-0.172
-2.34,-84.2,-0.188
-2.53,-90.2,-0.202
-2.68,-94.5,-0.214
-2.81,-97.7,-0.224
-2.9,-99.6,-0.232
-2.98,-100.8,-0.238
-3.03,-101.4,-0.242
-3.06,-100.8,-0.245
-3.06,-98.9,-0.245
-3.01,-89.8,-0.241
-2.97,-86.7,-0.237
-2.89,-81.7,-0.231
-2.78,-75.8,-0.223
-2.64,-69.5,-0.212
-2.48,-63.2,-0.199
-2.31,-56.4,-0.185
-2.11,-49.2,-0.169
-1.9,-41,-0.152
-1.66,-33.2,-0.133
-1.41,-25.4,-0.113
-1.15,-16.6,-0.092
-0.88,-8.1,-0.07
-0.59,0.3,-0.047
-0.32,8.8,-0.026
-0.15,14.1,-0.012
0.02,13.1,0.002
0,12.2,0
0,11.6,0
0,11.9,0
0.32,28.8,0.026
0.6,38.2,0.048
0.87,47,0.069
1.13,56,0.091
1.39,63.9,0.111
1.65,72,0.132
1.87,80.5,0.15
2.1,88,0.168
2.29,94.5,0.183
2.47,100.5,0.198
2.62,105.8,0.21
2.75,109.9,0.22
2.87,113.3,0.23
2.97,115.2,0.237
3.01,116.1,0.241
3.04,116.5,0.243
3.05,115.8,0.244
3.03,110.2,0.242
2.98,106.4,0.238
2.89,101.4,0.231
2.78,96.1,0.223
2.67,89.8,0.213
2.51,83,0.2
2.33,75.8,0.187
2.14,67.6,0.171
1.93,59.5,0.154
1.7,51,0.136
1.46,41.9,0.116
1.2,32.9,0.096
0.93,23.5,0.075
0.66,14.1,0.053
0.32,3.4,0.026
0.07,-4.4,0.006
-0.2,-12.8,-0.016
-1.04,-37.6,-0.083
-1.33,-45.1,-0.106
-1.57,-52.6,-0.126
-1.82,-59.2,-0.146
-2.02,-65.4,-0.162
-2.24,-72,-0.179
-2.42,-78,-0.194
-2.59,-83,-0.207
-2.73,-87.7,-0.218
-2.85,-91.1,-0.228
-2.94,-93.6,-0.236
-3,-95.5,-0.24
-3.05,-96.1,-0.244
-3.06,-95.8,-0.245
-3.06,-91.7,-0.245
-3,-83.9,-0.24
-2.93,-80.1,-0.235
-2.84,-75.1,-0.227
-2.73,-69.5,-0.218
-2.58,-63.6,-0.206
-2.42,-57.6,-0.194
-2.23,-50.4,-0.178
-2.02,-43.2,-0.162
-1.8,-36.3,-0.144
-1.56,-28.5,-0.125
-1.31,-20.7,-0.104
-1.03,-12.5,-0.082
-0.76,-4.4,-0.061
-0.2,11.9,-0.016
0.05,18.8,0.004
0.02,12.5,0.002
0.02,12.5,0.002
0.01,11.6,0.001
-0.01,11,-0.001
-0.01,13.1,-0.001
0.44,32.2,0.035
0.71,40.4,0.057
0.99,48.8,0.079
1.25,57.3,0.1
1.51,65.4,0.121
1.75,72.9,0.14
1.97,80.1,0.158
2.18,87,0.175
2.38,93.6,0.19
2.55,99.6,0.204
2.68,103.3,0.214
2.81,107.4,0.224
2.89,110.5,0.231
2.97,111.1,0.237
3.02,112.7,0.242
3.04,113,0.243
3.04,111.4,0.243
3,106.4,0.24
2.93,102.4,0.235
2.85,97.4,0.228
2.74,91.4,0.219
2.6,84.5,0.208
2.44,77.3,0.195
2.26,70.1,0.181
2.06,62.3,0.164
1.83,54.5,0.146
1.6,46,0.128
1.35,37.3,0.108
1.08,28.2,0.087
0.82,19.4,0.066
0.62,12.8,0.05
0.24,0.9,0.019
-0.04,-7.2,-0.003
-0.32,-15,-0.026
-0.89,-31,-0.071
-1.16,-37.9,-0.093
-1.43,-45.7,-0.115
-1.67,-52.3,-0.134
-1.92,-59.2,-0.153
-2.12,-65.1,-0.17
-2.32,-71.4,-0.186
-2.51,-76.7,-0.2
-2.66,-81.4,-0.212
-2.78,-85.5,-0.223
-2.89,-88.6,-0.231
-2.98,-91.4,-0.238
-3.02,-92.7,-0.242
-3.06,-93,-0.245
-3.06,-92,-0.245
-3.03,-84.8,-0.242
-2.98,-81.1,-0.238
-2.9,-77,-0.232
-2.79,-71.7,-0.224
-2.67,-65.7,-0.213
-2.52,-59.5,-0.201
-2.34,-53.2,-0.188
-2.14,-46.3,-0.171
-1.93,-39.4,-0.154
-1.7,-32.2,-0.136
-1.45,-24.4,-0.116
-1.19,-17.2,-0.095
-0.92,-9.1,-0.074
-0.64,-1.3,-0.051
-0.35,7.2,-0.028
-0.16,12.8,-0.013
0.04,13.8,0.003
0.01,11.6,0.001
0,10.6,0
-0.01,11,-0.001
-0.01,12.2,-0.001
0,12.8,0
-0.01,12.8,-0.001
0,12.8,0
0,13.8,0
0.21,24.4,0.017
0.55,34.4,0.044
0.87,44.5,0.069
1.19,54.2,0.095
1.5,63.6,0.12
1.79,72.6,0.143
2.08,81.7,0.166
2.32,89.8,0.186
2.58,98,0.206
2.78,105.5,0.223
2.98,111.8,0.238
3.16,116.1,0.253
3.29,119.3,0.263
3.39,121.2,0.272
3.47,122.1,0.278
3.52,122.7,0.282
3.54,122.1,0.284
3.54,118.6,0.284
3.48,114,0.278
3.42,109.9,0.273
3.3,103.3,0.264
3.17,96.7,0.254
3,89.5,0.24
2.82,82,0.225
2.59,73.6,0.207
2.36,65.4,0.188
2.1,57,0.168
1.83,47.9,0.146
1.53,38.5,0.122
1.22,28.8,0.098
0.91,18.8,0.073
0.69,11.9,0.055
0.24,-0.9,0.019
-0.09,-9.7,-0.007
-0.42,-18.5,-0.033
-0.75,-27.5,-0.06
-1.07,-36,-0.086
-1.39,-44.1,-0.111
-1.69,-52.3,-0.135
-1.98,-60.1,-0.158
-2.25,-67.6,-0.18
-2.51,-75.1,-0.2
-2.72,-82,-0.218
-2.92,-88.6,-0.234
-3.1,-93.6,-0.248
-3.25,-97.4,-0.26
-3.37,-100.2,-0.27
-3.47,-101.7,-0.278
-3.52,-102.1,-0.282
-3.55,-101.1,-0.284
-3.55,-100.8,-0.284
-3.52,-90.8,-0.282
-3.46,-86.4,-0.277
-3.36,-81.4,-0.269
-3.23,-75.8,-0.259
-3.08,-69.5,-0.247
-2.9,-62.9,-0.232
-2.69,-55.7,-0.215
-2.45,-48.5,-0.196
-2.21,-41,-0.176
-1.94,-32.9,-0.155
-1.65,-25,-0.132
-1.35,-16.6,-0.108
-1.02,-8.1,-0.081
-0.71,0.3,-0.057
-0.37,8.8,-0.03
-0.13,17.5,-0.01
0.03,12.8,0.003
0.01,11.6,0.001
0,11.3,0
0,11.3,0
-0.01,11.9,-0.001
-0.01,12.2,-0.001
0.37,29.4,0.03
0.69,38.5,0.055
1.01,47.3,0.081
1.32,56.4,0.105
1.62,64.2,0.129
1.92,72.6,0.153
2.18,80.1,0.175
2.43,88,0.194
2.68,94.5,0.214
2.87,100.5,0.23
3.05,105.5,0.244
3.19,109.9,0.255
3.34,114,0.267
3.44,116.5,0.275
3.5,117.7,0.28
3.53,118,0.283
3.54,117.4,0.284
3.52,111.1,0.282
3.46,107.1,0.277
3.36,102.1,0.269
3.24,96.1,0.26
3.09,89.8,0.248
2.91,83.3,0.233
2.72,75.8,0.218
2.49,67.9,0.2
2.25,60.1,0.18
1.98,51.7,0.158
1.7,42.9,0.136
1.39,33.5,0.111
1.08,24.4,0.087
0.77,15,0.062
0.39,3.8,0.031
0.1,-3.4,0.008
-0.25,-11.9,-0.02
-0.57,-20.3,-0.045
-0.89,-28.5,-0.071
-1.21,-36.3,-0.097
-1.53,-43.8,-0.122
-1.82,-51,-0.146
-2.11,-58.5,-0.169
-2.37,-65.1,-0.189
-2.6,-71.4,-0.208
-2.82,-77.6,-0.225
-3.01,-83.3,-0.241
-3.17,-88.3,-0.254
-3.17,-88.3,-0.254
-3.31,-92,-0.265
-3.42,-95.2,-0.273
-3.49,-96.7,-0.279
-3.54,-97.4,-0.284
-3.55,-96.7,-0.284
-3.55,-93.3,-0.284
-3.48,-87,-0.278
-3.42,-82.6,-0.273
-3.31,-77.3,-0.265
-3.17,-71.4,-0.254
-3,-64.8,-0.24
-2.81,-58.2,-0.224
-2.59,-51,-0.207
-2.36,-44.1,-0.188
-2.1,-36.6,-0.168
-1.82,-28.8,-0.146
-1.52,-20.7,-0.122
-1.2,-12.2,-0.096
-0.88,-4.1,-0.07
-0.56,4.4,-0.045
-0.26,11.9,-0.021
0.04,17.2,0.003
0,14.1,0
0,16,0
0,15.3,0
0.32,27.5,0.026
0.65,36.9,0.052
0.99,45.4,0.079
1.3,54.2,0.104
1.6,62.3,0.128
1.9,70.1,0.152
2.17,77.6,0.174
2.42,85.2,0.194
2.64,91.1,0.212
2.86,97.4,0.229
3.03,101.7,0.242
3.19,106.8,0.255
3.31,110.2,0.265
3.43,113.6,0.274
3.49,114.9,0.279
3.53,115.5,0.283
3.54,114.9,0.284
3.52,109.6,0.282
3.46,105.2,0.277
3.37,100.5,0.27
3.25,94.9,0.26
3.12,88.9,0.249
2.93,82,0.235
2.74,74.8,0.219
2.51,67.3,0.2
2.27,59.8,0.182
1.99,51.7,0.159
1.71,43.2,0.137
1.42,34.1,0.114
1.1,25,0.088
0.79,16.3,0.063
0.51,7.2,0.041
0.12,-1.3,0.009
-0.2,-9.4,-0.016
-0.55,-17.8,-0.044
-0.87,-25.4,-0.069
-1.18,-33.2,-0.094
-1.51,-40.7,-0.121
-1.8,-47.6,-0.144
-2.08,-54.8,-0.166
-2.33,-61,-0.187
-2.58,-67.3,-0.206
-2.79,-73.6,-0.224
-3.16,-83.9,-0.253
-3.3,-88,-0.264
-3.4,-90.8,-0.272
-3.48,-93,-0.278
-3.54,-93.9,-0.284
-3.55,-93.3,-0.284
-3.55,-90.2,-0.284
-3.49,-83,-0.279
-3.42,-78.9,-0.273
-3.31,-73.9,-0.265
-3.18,-68.2,-0.254
-3.01,-62,-0.241
-2.82,-55.7,-0.225
-2.61,-49.2,-0.209
-2.37,-41.9,-0.189
-2.11,-34.7,-0.169
-1.83,-27.5,-0.146
-1.53,-20,-0.122
-1.22,-11.9,-0.098
-0.9,-4.4,-0.072
-0.59,3.8,-0.047
-0.25,11.9,-0.02
0.06,18.8,0.005
0.02,12.8,0.002
0,11.9,0
0,11.6,0
0,14.4,0
0,13.1,0
0.4,28.8,0.032
0.77,39.1,0.062
1.15,48.8,0.092
1.5,58.2,0.12
1.86,67.6,0.149
2.18,76.1,0.175
2.49,85.2,0.2
2.78,93,0.223
3.06,100.5,0.245
3.28,106.8,0.262
3.5,114,0.28
3.67,118.3,0.294
3.82,121.5,0.306
3.93,123.3,0.314
4,124.3,0.32
4.04,124,0.323
4.06,122.7,0.325
4.01,115.5,0.321
3.96,112.1,0.317
3.87,107.1,0.309
3.73,100.5,0.298
3.54,93.9,0.284
3.35,86.7,0.268
3.13,78.9,0.25
2.87,70.8,0.23
2.58,62.6,0.206
2.28,53.8,0.182
1.95,44.8,0.156
1.6,35.4,0.128
1.25,25.7,0.1
0.89,15.7,0.071
0.46,7.2,0.037
0.13,-3.1,0.01
-0.26,-12.2,-0.021
-0.64,-21,-0.051
-1.02,-29.7,-0.081
-1.39,-37.9,-0.111
-1.73,-46,-0.139
-2.08,-54.2,-0.166
-2.41,-62,-0.193
-2.69,-69.5,-0.215
-2.98,-77.3,-0.238
-3.21,-84.5,-0.257
-3.44,-90.8,-0.275
-3.62,-95.5,-0.29
-3.78,-99.2,-0.302
-3.91,-101.4,-0.313
-3.99,-102.4,-0.319
-4.05,-103,-0.324
-4.07,-102.1,-0.325
-4.07,-98,-0.325
-3.99,-89.8,-0.319
-3.91,-85.2,-0.313
-3.78,-79.5,-0.302
-3.63,-73.6,-0.29
-3.45,-66.7,-0.276
-3.22,-59.8,-0.258
-2.98,-52.6,-0.238
-2.7,-44.8,-0.216
-2.41,-36.9,-0.193
-2.08,-28.8,-0.166
-1.73,-20.3,-0.139
-1.39,-12.5,-0.111
-1.02,-4.1,-0.081
-0.64,4.4,-0.051
-0.31,11.9,-0.025
0.06,17.2,0.005
0.01,12.8,0.001
0,11.6,0
0,12.5,0
0.42,30.1,0.033
0.81,38.8,0.065
1.17,47.9,0.093
1.53,56.7,0.122
1.9,65.1,0.152
2.21,72.9,0.176
2.52,80.8,0.201
2.82,88.6,0.225
3.07,95.2,0.246
3.07,95.2,0.246
3.3,101.1,0.264
3.5,106.8,0.28
3.69,111.8,0.296
3.83,114.9,0.307
3.94,117.4,0.315
4.01,119,0.321
4.06,119.3,0.325
4.06,118.3,0.325
4.03,111.1,0.322
3.96,107.4,0.317
3.84,102.1,0.307
3.72,96.1,0.297
3.54,89.5,0.284
3.33,83,0.266
3.1,75.4,0.248
2.85,67.6,0.228
2.57,59.8,0.206
2.26,51.3,0.181
1.93,42.3,0.154
1.58,33.2,0.127
1.22,24.1,0.098
0.86,14.7,0.069
0.43,3.8,0.034
0.09,-3.1,0.007
-0.29,-11.3,-0.023
-0.66,-19.4,-0.053
-1.04,-27.5,-0.083
-1.41,-35.4,-0.113
-1.77,-42.9,-0.141
-2.11,-50.4,-0.169
-2.42,-57.6,-0.194
-2.71,-64.2,-0.217
-2.99,-71.4,-0.239
-3.23,-77.6,-0.259
-3.46,-83.6,-0.277
-3.63,-88.3,-0.29
-3.8,-92.7,-0.304
-3.91,-95.2,-0.313
-4,-97.4,-0.32
-4.06,-98,-0.325
-4.07,-97.7,-0.325
-4.07,-93,-0.325
-3.99,-87,-0.319
-3.91,-82.3,-0.313
-3.77,-76.7,-0.301
-3.62,-70.8,-0.29
-3.43,-64.2,-0.274
-3.2,-57.3,-0.256
-2.96,-49.8,-0.236
-2.68,-42.6,-0.214
-2.38,-34.7,-0.19
-2.06,-27.2,-0.164
-1.72,-19.1,-0.138
-1.36,-11.3,-0.109
-0.99,-2.8,-0.079
-0.62,5.6,-0.05
-0.29,12.5,-0.023
0.06,15.7,0.005
0.01,13.1,0.001
0,12.5,0
0,12.2,0
0,13.8,0
0.5,30.7,0.04
0.87,39.1,0.069
1.24,47.6,0.099
1.61,56.4,0.128
1.95,64.5,0.156
2.27,72,0.182
2.58,79.8,0.206
2.86,87,0.229
3.12,93.3,0.249
3.35,99.2,0.268
3.54,104.9,0.284
3.72,109.3,0.297
3.87,113,0.309
3.96,114.6,0.317
4.03,116.5,0.322
4.06,116.8,0.325
4.06,114.9,0.325
4.01,108.3,0.321
3.94,103.9,0.315
3.82,98.9,0.306
3.68,92.7,0.295
3.51,86.7,0.281
3.3,79.8,0.264
3.06,72.3,0.245
2.79,65.1,0.224
2.51,57,0.2
2.19,48.5,0.176
1.86,39.8,0.149
1.52,31,0.122
1.16,22.2,0.093
0.8,13.8,0.064
0.39,3.8,0.031
0.02,-3.4,0.002
-0.35,-11.6,-0.028
-0.74,-19.4,-0.059
-1.1,-27.2,-0.088
-1.48,-34.7,-0.118
-1.83,-42.3,-0.146
-2.17,-49.5,-0.174
-2.48,-56.4,-0.199
-2.76,-62.9,-0.221
-3.03,-69.5,-0.242
-3.28,-75.8,-0.262
-3.48,-81.4,-0.278
-3.67,-85.8,-0.294
-3.82,-89.8,-0.306
-3.94,-92.7,-0.315
-4.01,-94.5,-0.321
-4.06,-95.5,-0.325
-4.07,-94.2,-0.325
-4.06,-87.3,-0.325
-3.97,-83.3,-0.318
-3.88,-78.6,-0.31
-3.75,-72.6,-0.3
-3.58,-67,-0.286
-3.38,-60.7,-0.271
-3.16,-53.8,-0.253
-2.9,-47,-0.232
-2.62,-39.4,-0.21
-2.32,-32.2,-0.186
-1.99,-24.4,-0.159
-1.65,-16.9,-0.132
-1.31,-9.1,-0.104
-0.92,-1.3,-0.074
-0.55,6.9,-0.044
-0.27,12.8,-0.021
0.02,13.1,0.002
0.01,12.2,0.001
0,11.6,0
0,13.1,0
0,12.8,0
0,13.1,0
0,12.8,0
0,13.8,0
0.56,30.7,0.045
0.96,40.4,0.077
1.38,49.5,0.11
1.79,59.2,0.143
2.17,67.9,0.174
2.54,77,0.203
2.88,85.5,0.23
3.19,93,0.255
3.49,101.1,0.279
3.75,107.7,0.3
3.97,114,0.318
4.18,118.6,0.334
4.33,121.5,0.346
4.44,123.3,0.355
4.52,124,0.361
4.55,123.7,0.364
4.56,121.2,0.365
4.51,114.3,0.361
4.43,110.5,0.355
4.3,104.2,0.344
4.13,97.7,0.331
3.94,91.4,0.315
3.72,84.2,0.297
3.45,76.4,0.276
3.16,68.6,0.253
2.83,60.1,0.226
2.48,51,0.199
2.11,41.9,0.169
1.71,32.6,0.137
1.32,23.2,0.105
0.91,13.8,0.073
0.44,3.8,0.035
0.04,-4.4,0.003
-0.39,-13.1,-0.031
-0.81,-21.6,-0.065
-1.23,-29.7,-0.099
-1.65,-38.2,-0.132
-2.03,-46,-0.163
-2.42,-54.2,-0.194
-2.77,-62,-0.222
-3.09,-70.1,-0.248
-3.4,-77.6,-0.272
-3.66,-84.5,-0.293
-3.91,-90.8,-0.313
-4.11,-95.8,-0.329
-4.28,-99.6,-0.343
-4.41,-101.7,-0.353
-4.51,-103.3,-0.361
-4.56,-103.6,-0.365
-4.57,-102.4,-0.366
-4.56,-95.5,-0.365
-4.46,-89.8,-0.357
-4.36,-84.5,-0.349
-4.22,-78.6,-0.337
-4.03,-72,-0.322
-4.03,-72,-0.322
-3.81,-64.8,-0.305
-3.55,-57.6,-0.284
-3.27,-50.1,-0.261
-2.96,-42.3,-0.236
-2.62,-34.4,-0.21
-2.26,-26.3,-0.181
-1.86,-18.2,-0.149
-1.47,-10,-0.117
-1.06,-1.6,-0.085
-0.63,6.6,-0.051
-0.32,12.8,-0.026
0.04,13.8,0.003
0.01,12.8,0.001
0,11.9,0
0,13.8,0
0.58,31.6,0.046
1.01,40.4,0.081
1.41,48.8,0.113
1.81,57.9,0.145
2.19,66.4,0.176
2.56,74.2,0.205
2.9,82.3,0.232
3.22,89.5,0.258
3.52,96.1,0.282
3.77,102.1,0.301
3.98,107.4,0.319
4.19,112.1,0.335
4.33,115.5,0.346
4.44,117.7,0.355
4.52,119.3,0.361
4.56,119.3,0.365
4.56,117.1,0.365
4.51,110.5,0.361
4.42,106.1,0.354
4.29,100.5,0.343
4.12,94.5,0.33
3.93,88,0.314
3.69,81.4,0.296
3.43,73.6,0.274
3.14,65.7,0.251
2.79,57.6,0.224
2.45,48.8,0.196
2.08,40.1,0.166
1.69,31,0.135
1.28,21.9,0.103
0.89,13.1,0.071
0.42,4.1,0.033
0.01,-4.4,0.001
-0.42,-12.5,-0.033
-1.26,-28.8,-0.101
-1.68,-36.3,-0.134
-2.08,-43.5,-0.166
-2.44,-51,-0.195
-2.79,-57.9,-0.224
-3.13,-65.4,-0.25
-3.42,-72.3,-0.273
-3.69,-78.6,-0.296
-3.93,-84.5,-0.314
-4.13,-89.2,-0.331
-4.29,-93.3,-0.343
-4.41,-96.1,-0.353
-4.51,-98,-0.361
-4.56,-98.6,-0.365
-4.56,-98,-0.365
-4.53,-90.5,-0.362
-4.46,-86.4,-0.357
-4.36,-81.4,-0.349
-4.2,-75.1,-0.336
-4.01,-68.9,-0.321
-3.79,-62,-0.303
-3.53,-54.8,-0.283
-3.25,-47.6,-0.26
-2.92,-39.8,-0.234
-2.58,-32.2,-0.206
-2.22,-24.4,-0.177
-1.83,-16.6,-0.146
-1.43,-8.8,-0.115
-1.01,-0.3,-0.081
-0.59,7.8,-0.047
-0.3,13.1,-0.024
0.01,15.7,0.001
0,15,0
0,14.4,0
0.22,23.5,0.018
0.64,31.9,0.051
1.07,40.7,0.086
1.48,49.2,0.118
1.87,57.6,0.15
2.27,66.4,0.182
2.61,74.2,0.209
2.97,82,0.237
3.27,88.6,0.261
3.55,95.5,0.284
3.81,100.5,0.305
4.03,105.8,0.322
4.2,109.6,0.336
4.36,113.3,0.349
4.46,115.5,0.357
4.53,116.5,0.362
4.56,116.8,0.365
4.56,114,0.365
4.5,108.3,0.36
4.4,103.3,0.352
4.26,98,0.341
4.09,91.7,0.327
3.89,85.5,0.311
3.64,78.3,0.291
3.38,70.8,0.271
3.07,62.9,0.246
2.74,54.8,0.219
2.39,46.3,0.191
2.01,37.6,0.161
1.62,29.1,0.129
1.22,20.7,0.098
0.86,13.1,0.069
0.35,2.8,0.028
-0.06,-5,-0.005
-0.48,-12.8,-0.039
-0.91,-20.7,-0.073
-1.34,-28.2,-0.107
-1.75,-35.4,-0.14
-2.13,-42.6,-0.17
-2.51,-49.8,-0.2
-2.85,-56.7,-0.228
-3.18,-63.9,-0.254
-3.47,-70.8,-0.278
-3.73,-76.7,-0.298
-3.96,-82,-0.317
-4.15,-87,-0.332
-4.31,-90.8,-0.345
-4.44,-93.6,-0.355
-4.52,-95.5,-0.361
-4.56,-95.8,-0.365
-4.57,-95.2,-0.366
-4.53,-87,-0.362
-4.45,-83.3,-0.356
-4.33,-78,-0.346
-4.18,-72.3,-0.334
-3.98,-65.7,-0.319
-3.76,-59.2,-0.301
-3.48,-52,-0.278
-3.2,-44.8,-0.256
-2.88,-37.3,-0.23
-2.53,-29.7,-0.202
-2.16,-21.9,-0.173
-1.78,-14.7,-0.142
-1.37,-6.6,-0.11
-0.94,0.9,-0.075
-0.52,8.8,-0.042
-0.26,14.1,-0.021
0.01,13.1,0.001
0.01,13.1,0.001
0,12.2,0
0,13.5,0
-0.01,13.5,-0.001
0,14.1,0
0,16,0
0,11.3,0
0,11.6,0
0,11.3,0
0,11.6,0
0.04,18.8,0.003
0.73,33.5,0.058
1.2,43.2,0.096
1.65,52.3,0.132
2.09,61.7,0.167
2.53,70.8,0.202
2.92,79.8,0.234
3.3,87.7,0.264
3.64,95.5,0.291
3.96,103,0.317
4.21,108.6,0.337
4.49,114.9,0.359
4.68,119.3,0.374
4.84,121.8,0.387
4.96,123,0.397
5.02,122.7,0.402
5.06,123,0.405
5.06,119.9,0.405
4.98,113.3,0.398
4.88,108.3,0.391
4.73,102.4,0.379
4.73,102.4,0.379
4.55,95.5,0.364
4.33,89.2,0.346
4.05,81.7,0.324
3.74,73.6,0.299
3.4,65.4,0.272
3.04,57,0.243
2.64,47.9,0.212
2.23,38.8,0.178
1.79,29.1,0.143
1.34,20.3,0.107
0.96,13.1,0.077
0.4,1.6,0.032
-0.09,-7.2,-0.007
-0.56,-15.3,-0.045
-1.03,-23.8,-0.082
-1.5,-31.6,-0.12
-1.95,-39.8,-0.156
-2.38,-47.6,-0.19
-2.79,-55.7,-0.224
-3.17,-63.9,-0.254
-3.54,-71.7,-0.284
-3.87,-79.2,-0.309
-4.15,-86.1,-0.332
-4.41,-92.4,-0.353
-4.64,-97.4,-0.371
-4.8,-100.8,-0.384
-4.94,-102.4,-0.395
-5.02,-103.3,-0.402
-5.06,-103.3,-0.405
-5.07,-101.7,-0.406
-5.02,-93,-0.402
-4.94,-88.9,-0.395
-4.81,-83,-0.385
-4.64,-76.4,-0.371
-4.41,-69.2,-0.353
-4.15,-62,-0.332
-3.87,-54.2,-0.309
-3.54,-46.6,-0.284
-3.18,-38.8,-0.254
-2.79,-30.4,-0.224
-2.39,-21.9,-0.191
-1.95,-13.8,-0.156
-1.5,-5.9,-0.12
-0.57,10.3,-0.045
-0.02,20.3,-0.002
0,14.4,0
0,17.5,0
0,16.9,0
0.27,25,0.021
0.73,34.1,0.058
1.2,43.2,0.096
1.67,52,0.134
2.1,60.4,0.168
2.53,69.2,0.202
2.93,77.3,0.235
3.3,84.8,0.264
3.64,92,0.291
3.96,98.3,0.317
4.23,104.2,0.338
4.46,109.3,0.357
4.69,113.3,0.375
4.84,116.5,0.387
4.97,118,0.397
5.03,119,0.403
5.06,119,0.405
5.06,115.5,0.405
4.99,109.9,0.399
4.88,104.9,0.391
4.73,99.2,0.379
4.55,92.7,0.364
4.31,86.4,0.345
4.05,78.9,0.324
3.74,71.4,0.299
3.4,63.2,0.272
