Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.87,69.2,0.069
0.91,70.8,0.073
0.94,72.3,0.075
0.96,72.9,0.077
0.99,73.6,0.079
1,73.3,0.08
1,72,0.08
0.97,67.9,0.078
0.96,66.7,0.077
0.93,63.9,0.075
0.9,60.7,0.072
0.86,57,0.069
0.8,52.3,0.064
0.75,47.6,0.06
0.67,41.6,0.054
0.61,35.7,0.049
0.54,29.4,0.043
0.45,23.2,0.036
0.37,16.6,0.03
0.32,13.1,0.026
0.16,1.3,0.013
0.1,-3.4,0.008
0,-9.7,0
-0.1,-16.3,-0.008
-0.18,-22.9,-0.015
-0.28,-29.4,-0.022
-0.36,-35.4,-0.029
-0.45,-41,-0.036
-0.54,-46.6,-0.043
-0.61,-51,-0.049
-0.69,-54.8,-0.055
-0.75,-58.2,-0.06
-0.81,-60.7,-0.065
-0.86,-62.6,-0.069
-0.91,-64.2,-0.073
-0.94,-65.7,-0.075
-0.97,-66.4,-0.078
-0.99,-66.7,-0.079
-1,-66.7,-0.08
-1.01,-66.1,-0.081
-1.01,-62.3,-0.081
-0.97,-57.6,-0.078
-0.95,-55.1,-0.076
-0.92,-52.6,-0.074
-0.88,-49.2,-0.07
-0.84,-44.8,-0.067
-0.78,-40.4,-0.063
-0.72,-35.4,-0.057
-0.64,-30.4,-0.051
-0.58,-25.4,-0.046
-0.49,-19.4,-0.039
-0.4,-13.5,-0.032
-0.32,-7.8,-0.026
-0.24,-2.2,-0.019
-0.14,4.1,-0.011
-0.04,10,-0.003
0,12.2,0
0,10.6,0
-0.01,7.8,-0.001
-0.01,9.4,-0.001
0,11.3,0
0,8.8,0
-0.01,8.1,-0.001
-0.01,10,-0.001
0.01,12.5,0.001
0.17,24.4,0.014
0.25,29.7,0.02
0.33,34.7,0.027
0.43,41,0.034
0.5,45.7,0.04
0.59,50.4,0.047
0.66,54.8,0.053
0.72,58.9,0.057
0.79,62.6,0.063
0.85,65.4,0.068
0.89,67.9,0.071
0.92,69.8,0.074
0.95,71.4,0.076
0.97,72,0.078
0.99,72.6,0.079
1,72,0.08
1,70.1,0.08
0.97,67.6,0.078
0.95,65.7,0.076
0.92,62.9,0.074
0.88,59.2,0.07
0.84,55.4,0.067
0.78,51,0.063
0.72,45.7,0.057
0.65,40.1,0.052
0.58,35.7,0.046
0.5,28.5,0.04
0.42,22.2,0.033
0.33,16.6,0.027
0.29,12.8,0.023
0.12,2.5,0.009
0.05,-1.9,0.004
-0.04,-7.5,-0.003
-0.13,-13.5,-0.01
-0.22,-19.1,-0.018
-0.32,-24.7,-0.026
-0.4,-30.4,-0.032
-0.48,-35.1,-0.039
-0.57,-40.1,-0.045
-0.64,-44.8,-0.051
-0.71,-49.2,-0.057
-0.77,-52.9,-0.062
-0.82,-56,-0.066
-0.88,-59.2,-0.07
-0.92,-61.4,-0.074
-0.95,-62.9,-0.076
-0.97,-63.9,-0.078
-1,-64.5,-0.08
-1,-64.5,-0.08
-1.01,-63.9,-0.081
-0.99,-58.2,-0.079
-0.96,-56.4,-0.077
