Test unit,test 5
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.26,30,0.084
1.42,30.8,0.095
1.42,21.5,0.095
1.26,20.8,0.084
1.26,16.9,0.084
1.09,16.1,0.073
1.09,11.5,0.073
0.92,10.8,0.061
0.92,7.7,0.061
0.75,6.9,0.05
0.75,3.1,0.05
0.58,2.3,0.039
0.58,-0.8,0.039
0.42,-1.5,0.028
0.42,-3.8,0.028
0.25,-4.6,0.017
0.25,-7.7,0.017
0.08,-8.5,0.006
0.08,-10.8,0.006
-0.08,-11.5,-0.006
-0.08,-14.6,-0.006
-0.25,-15.4,-0.017
-0.25,-17.7,-0.017
-0.42,-18.5,-0.028
-0.42,-20.8,-0.028
-0.58,-21.6,-0.039
-0.58,-23.9,-0.039
-0.75,-24.6,-0.05
-0.75,-26.9,-0.05
-0.92,-27.7,-0.061
-0.92,-29.2,-0.061
-1.25,-30.8,-0.083
-1.25,-32.3,-0.083
-1.42,-33.1,-0.095
-1.59,-32.3,-0.106
-1.59,-30,-0.106
-1.42,-29.2,-0.095
-1.42,-24.6,-0.095
-1.25,-23.9,-0.083
-1.25,-20.8,-0.083
-1.08,-20,-0.072
-1.08,-17.7,-0.072
-0.92,-16.9,-0.061
-0.92,-13.9,-0.061
-0.75,-13.1,-0.05
-0.75,-10.8,-0.05
-0.58,-10,-0.039
-0.58,-6.9,-0.039
-0.42,-6.2,-0.028
-0.42,-3.8,-0.028
-0.25,-3.1,-0.017
-0.25,-0,-0.017
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,3.1,-0.006
0.08,3.8,0.006
0.08,6.9,0.006
0.25,7.7,0.017
0.25,10,0.017
0.42,10.8,0.028
0.42,13.8,0.028
0.58,14.6,0.039
0.58,16.9,0.039
0.75,17.7,0.05
0.75,20,0.05
0.92,20.8,0.061
0.92,23.1,0.061
1.09,23.8,0.073
1.09,26.9,0.073
1.26,27.7,0.084
1.26,30,0.084
1.42,30.8,0.095
1.42,31.5,0.095
1.42,22.3,0.095
1.26,21.5,0.084
1.26,17.7,0.084
1.09,16.9,0.073
