Test unit,S5
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.11,-30,-0.008
-0.11,-30.8,-0.008
-0.11,-31.8,-0.008
-0.13,-32.4,-0.009
-0.15,-32.5,-0.01
-0.15,-32.2,-0.011
-0.16,-31.8,-0.011
-0.16,-31.9,-0.011
-0.17,-33.1,-0.012
-0.18,-34.1,-0.013
-0.19,-34.3,-0.013
-0.2,-33.8,-0.014
-0.2,-33.6,-0.014
-0.2,-33.8,-0.014
-0.21,-34.4,-0.015
-0.22,-34.9,-0.015
-0.23,-35.5,-0.016
-0.23,-35.6,-0.016
-0.23,-35.4,-0.016
-0.22,-35.3,-0.016
-0.24,-36.1,-0.017
-0.26,-36.7,-0.018
-0.27,-36.7,-0.019
-0.27,-36.7,-0.019
-0.28,-36.8,-0.019
-0.28,-37.2,-0.02
-0.29,-37.5,-0.02
-0.3,-37.8,-0.021
-0.3,-38,-0.021
-0.31,-38.1,-0.021
-0.31,-38,-0.022
-0.31,-38,-0.022
-0.32,-37.8,-0.022
-0.32,-38.1,-0.022
-0.33,-38.9,-0.023
-0.33,-39.2,-0.023
-0.33,-39.4,-0.023
-0.34,-39.1,-0.024
-0.35,-38.8,-0.024
-0.35,-38.7,-0.025
-0.36,-38.9,-0.025
-0.37,-39.4,-0.026
-0.37,-39.6,-0.026
-0.37,-39.8,-0.026
-0.38,-39.8,-0.026
-0.38,-40.1,-0.027
-0.39,-40.4,-0.027
-0.39,-40.4,-0.027
-0.39,-40.1,-0.027
-0.4,-40,-0.028
-0.4,-40.2,-0.028
-0.4,-40.3,-0.028
-0.4,-40.3,-0.028
-0.39,-40.4,-0.028
-0.41,-40.6,-0.028
-0.42,-40.6,-0.029
-0.42,-40.3,-0.029
-0.42,-39.8,-0.03
-0.43,-39.4,-0.03
-0.43,-39.6,-0.03
-0.43,-41,-0.03
-0.44,-41.8,-0.031
-0.45,-41.7,-0.031
-0.45,-40.7,-0.031
-0.45,-39,-0.031
-0.44,-38,-0.031
-0.45,-37.7,-0.031
-0.45,-37.8,-0.031
-0.45,-38.4,-0.031
-0.44,-39.2,-0.031
-0.43,-39.9,-0.03
-0.44,-40.4,-0.031
-0.45,-40.7,-0.031
-0.46,-41.1,-0.032
-0.46,-41.3,-0.032
-0.47,-41.1,-0.033
-0.47,-40.7,-0.033
-0.47,-39.7,-0.033
-0.46,-38.6,-0.032
-0.46,-38,-0.032
-0.46,-37.5,-0.032
-0.46,-36.8,-0.032
-0.46,-36.4,-0.032
-0.46,-36.5,-0.032
-0.46,-36.6,-0.032
-0.46,-36.5,-0.032
-0.46,-36.4,-0.032
-0.45,-36.3,-0.031
-0.45,-36,-0.032
-0.46,-35.7,-0.032
-0.46,-35.2,-0.032
-0.46,-34.8,-0.032
-0.47,-34.6,-0.033
-0.47,-34.1,-0.033
-0.47,-33.4,-0.033
-0.47,-32.4,-0.033
-0.46,-31.6,-0.032
-0.46,-30.9,-0.032
-0.46,-30.2,-0.032
-0.46,-29.5,-0.032
-0.46,-28.8,-0.032
-0.45,-28.3,-0.032
-0.45,-28,-0.032
-0.45,-27.6,-0.031
-0.43,-27,-0.03
-0.44,-26.4,-0.03
-0.44,-25.7,-0.031
-0.44,-25.1,-0.031
-0.45,-24.3,-0.031
-0.44,-23.2,-0.031
-0.44,-22,-0.031
-0.44,-21.1,-0.03
-0.43,-20.4,-0.03
-0.43,-19.7,-0.03
-0.42,-19.1,-0.03
-0.42,-18.7,-0.029
-0.42,-18.1,-0.029
-0.41,-17.2,-0.029
-0.41,-16.7,-0.029
-0.41,-16.2,-0.028
-0.4,-15.7,-0.028
-0.39,-15.1,-0.027
-0.38,-14.3,-0.027
-0.39,-13.6,-0.027
-0.39,-12.9,-0.027
-0.38,-12.3,-0.027
-0.38,-11.7,-0.026
-0.38,-11.2,-0.026
-0.37,-10.8,-0.026
-0.36,-10.4,-0.025
-0.36,-9.8,-0.025
-0.35,-9.3,-0.025
-0.35,-8.8,-0.024
-0.34,-8.3,-0.024
-0.34,-8,-0.024
-0.33,-7.5,-0.023
-0.33,-7.2,-0.023
-0.32,-6.7,-0.022
-0.31,-6.1,-0.021
-0.3,-5.7,-0.021
-0.3,-5.1,-0.021
-0.3,-4.3,-0.021
-0.3,-3.7,-0.021
-0.29,-3.3,-0.021
-0.29,-3.1,-0.02
-0.29,-2.8,-0.02
-0.28,-2.4,-0.02
-0.28,-2.1,-0.02
-0.27,-1.8,-0.019
-0.27,-1.6,-0.019
-0.27,-1.3,-0.019
-0.27,-0.9,-0.019
-0.26,-0.5,-0.018
-0.26,-0.2,-0.018
-0.25,0.1,-0.018
-0.24,0.6,-0.017
-0.23,0.9,-0.016
-0.23,1.4,-0.016
-0.23,2.7,-0.016
-0.21,4.4,-0.015
-0.2,6.2,-0.014
-0.18,7.8,-0.013
-0.16,8.9,-0.011
-0.15,9.5,-0.011
-0.15,10,-0.01
-0.14,10.5,-0.01
-0.13,10.8,-0.009
-0.13,11.3,-0.009
-0.12,12,-0.008
-0.11,12.9,-0.008
-0.1,13.8,-0.007
-0.1,14.3,-0.007
-0.08,14.5,-0.006
-0.07,14.8,-0.005
-0.08,15.3,-0.005
-0.08,15.8,-0.005
-0.07,16.5,-0.005
-0.06,17.3,-0.005
-0.06,18,-0.004
-0.05,18.6,-0.004
-0.04,19.3,-0.003
-0.03,20.2,-0.002
-0.02,20.8,-0.001
-0.02,21,-0.001
-0.01,21.4,-0.001
-0.01,22.1,-0
0,22.9,0
0.01,23.6,0.001
0.02,24.2,0.002
0.04,24.8,0.003
0.05,25.5,0.004
0.05,25.9,0.004
0.05,26.2,0.004
0.05,26.7,0.004
0.06,27.3,0.004
0.07,28.1,0.005
0.08,28.5,0.005
0.08,28.9,0.006
0.09,29.2,0.006
0.09,29.8,0.007
0.1,30.3,0.007
0.11,31.1,0.008
0.12,31.8,0.008
0.13,32.3,0.009
0.14,33,0.01
0.14,33.6,0.01
0.16,34.1,0.011
0.17,34.4,0.012
0.17,34.9,0.012
0.17,35.3,0.012
0.18,35.9,0.012
0.18,36.2,0.013
0.19,36.5,0.013
0.19,36.8,0.013
0.2,37.1,0.014
0.2,37.3,0.014
0.21,38,0.015
0.22,38.7,0.015
0.23,39.3,0.016
0.23,39.4,0.016
0.24,39.5,0.017
0.24,39.9,0.017
0.25,40.3,0.017
0.26,40.8,0.018
0.28,41.2,0.019
0.28,41.4,0.019
0.28,41.6,0.019
0.28,41.8,0.019
0.28,42.1,0.02
0.29,42.2,0.02
0.29,42.5,0.02
0.3,42.8,0.021
0.3,43.1,0.021
0.31,43.5,0.022
0.31,43.4,0.022
0.32,43.6,0.022
0.32,43.9,0.023
0.33,44.1,0.023
0.34,44.6,0.023
0.34,45.1,0.024
0.36,45.2,0.025
0.37,45,0.026
0.37,45.3,0.026
0.37,45.4,0.026
0.36,45.2,0.025
0.36,45.5,0.025
0.37,46.2,0.026
0.38,46.6,0.027
0.38,46.4,0.027
0.38,46.1,0.027
0.39,46,0.027
0.39,46.3,0.027
0.4,46.6,0.028
0.4,46.7,0.028
0.4,46.7,0.028
0.41,47,0.028
0.41,47.3,0.029
0.42,47.4,0.03
0.43,46.9,0.03
0.43,45.7,0.03
0.42,44.9,0.03
0.42,44.4,0.029
0.42,44.6,0.029
0.42,45.7,0.029
0.42,46.9,0.03
0.43,47.4,0.03
0.44,47.6,0.03
0.44,47.7,0.031
0.44,47.6,0.031
0.44,47.6,0.031
0.44,47.8,0.031
0.45,47.9,0.031
0.45,47.8,0.032
0.45,47.4,0.032
0.46,46.5,0.032
0.47,45.7,0.033
0.46,45.4,0.032
0.46,45.5,0.032
0.45,45.7,0.032
0.45,46,0.032
0.45,46.2,0.031
0.45,46.2,0.031
0.45,46.1,0.032
0.45,46.2,0.032
0.45,46.5,0.032
0.45,46.7,0.032
0.46,46.9,0.032
0.46,46.8,0.032
0.46,46.3,0.032
0.46,45.2,0.032
0.46,44.3,0.032
0.46,43.8,0.032
0.47,43.6,0.033
0.47,43.3,0.033
0.46,42.9,0.032
0.46,42.4,0.032
0.46,41.7,0.032
0.46,40.8,0.032
0.45,39.7,0.032
0.46,39,0.032
0.46,38.3,0.032
0.46,37.4,0.032
0.46,36.1,0.032
0.46,34.6,0.032
0.46,33,0.032
0.46,31.3,0.032
0.45,29.9,0.032
0.45,28.8,0.031
0.45,28.2,0.031
0.45,27.9,0.032
0.45,28,0.032
0.44,27.8,0.031
0.44,27.2,0.03
0.43,26.8,0.03
0.42,26.6,0.03
0.42,26.5,0.03
0.42,26.2,0.03
0.42,25.7,0.029
0.42,25.2,0.029
0.41,24.6,0.029
0.41,24.1,0.029
0.41,23.7,0.028
0.4,23.3,0.028
0.4,22.9,0.028
0.4,22.8,0.028
0.4,22.4,0.028
0.4,21.4,0.028
0.39,20.7,0.027
0.38,20.3,0.027
0.37,20.1,0.026
0.37,19.8,0.026
0.36,19.2,0.025
0.35,18.6,0.025
0.35,18,0.024
0.34,17.6,0.024
0.34,17,0.024
0.33,16.6,0.023
0.33,16.3,0.023
0.33,16.2,0.023
0.33,15.9,0.023
0.32,15.2,0.022
0.31,14.6,0.022
0.31,14.1,0.022
0.31,13.5,0.022
0.31,12.9,0.022
0.29,12.1,0.021
0.29,11.7,0.02
0.28,11.4,0.019
0.27,10.8,0.019
0.26,9.9,0.018
0.25,9.1,0.018
0.25,8.8,0.018
0.25,8.3,0.017
0.24,7.7,0.017
0.23,7.1,0.016
0.23,6.5,0.016
0.22,5.9,0.015
0.22,5.4,0.015
0.21,4.9,0.015
0.21,4.4,0.014
0.21,3.6,0.014
0.2,2.9,0.014
0.19,2.3,0.013
0.18,1.8,0.013
0.17,1.4,0.012
0.17,1,0.012
0.16,0.7,0.011
0.16,0.2,0.011
0.15,-0,0.011
0.15,-0.3,0.011
0.15,-0.4,0.01
0.14,-0.5,0.01
0.14,-0.7,0.01
0.14,-1,0.01
0.14,-1.4,0.009
0.13,-1.8,0.009
0.13,-2.5,0.009
0.13,-3.5,0.009
0.12,-4.7,0.008
0.1,-6.7,0.007
0.07,-8.2,0.005
0.07,-8.6,0.005
0.05,-9.8,0.004
0.03,-11.5,0.002
0.02,-12.5,0.001
0.01,-13,0.001
0.01,-13.3,0
0,-13.7,0
-0,-14.3,-0
-0.01,-15.1,-0.001
-0.02,-15.9,-0.002
-0.03,-16.6,-0.002
-0.03,-16.9,-0.002
-0.04,-17.4,-0.003
-0.04,-18.1,-0.003
-0.04,-18.9,-0.003
-0.06,-19.5,-0.004
-0.07,-19.8,-0.005
-0.08,-20.3,-0.005
-0.09,-21,-0.006
-0.09,-21.4,-0.006
-0.1,-21.7,-0.007
-0.1,-22.1,-0.007
-0.11,-23,-0.008
-0.12,-23.7,-0.008
-0.13,-24.4,-0.009
-0.13,-25.1,-0.009
-0.14,-25.6,-0.01
-0.15,-26.3,-0.01
-0.15,-26.9,-0.011
-0.16,-27.5,-0.011
-0.16,-28.1,-0.011
-0.16,-28.7,-0.011
-0.18,-29.5,-0.013
-0.19,-30.1,-0.013
-0.2,-30.1,-0.014
-0.2,-30.3,-0.014
-0.21,-30.6,-0.015
-0.22,-31.3,-0.015
-0.22,-31.9,-0.016
-0.23,-32.6,-0.016
-0.24,-33.1,-0.017
-0.24,-33.4,-0.017
-0.25,-34.1,-0.018
-0.26,-34.6,-0.018
-0.26,-34.9,-0.019
-0.27,-34.9,-0.019
-0.27,-34.8,-0.019
-0.27,-35.2,-0.019
-0.27,-36.1,-0.019
-0.28,-37.1,-0.02
-0.3,-37.5,-0.021
-0.31,-37.3,-0.021
-0.31,-37.1,-0.021
-0.31,-37.3,-0.022
-0.32,-37.9,-0.022
-0.32,-38.3,-0.022
-0.33,-38.3,-0.023
-0.33,-38.6,-0.023
-0.34,-39,-0.023
-0.34,-39.2,-0.024
-0.34,-39.5,-0.024
-0.35,-39.9,-0.024
-0.36,-40.3,-0.025
-0.36,-40.5,-0.025
-0.36,-40.7,-0.025
