ID;Reference;Test unit name;Cyclic / Monotonic;Lab / In-situ;Stone masonry typology;Joints;Stone;H [mm];L [mm];t [mm];H0/H;?0,tot /fc
46;Mazzon (2010);S5;Cyclic;Laboratory;B;Hydraulic lime mortar;Limestone;1381;929;328;1.072411296;0.262645078
47;Magenes et al. (2010);CS00;Cyclic;Laboratory;C;Hydraulic lime mortar;Calcareous sandstone;2500;1250;320;0.5;0.076219512
48;Magenes et al. (2010);CS01;Cyclic;Laboratory;C;Hydraulic lime mortar;Calcareous sandstone;2500;1250;320;0.5;0.167682927
49;Magenes et al. (2010);CS02;Cyclic;Laboratory;C;Hydraulic lime mortar;Calcareous sandstone;2500;1250;320;0.5;0.076219512
50;Magenes et al. (2010);CT01;Cyclic;Laboratory;C;Hydraulic lime mortar;Calcareous sandstone;2500;2500;320;0.5;0.167682927
51;Magenes et al. (2010);CT02;Cyclic;Laboratory;C;Hydraulic lime mortar;Calcareous sandstone;2500;2500;320;0.5;0.076219512
52;Almeida et al. (2012);PG1;Cyclic;Laboratory (existing walls);E;Air lime mortar;Granite;2500;1600;400;1.04;0.263975155
53;Almeida et al. (2012);PG2;Cyclic;Laboratory (existing walls);E;Air lime mortar;Granite;2500;1600;400;1.04;0.139751553
54;Borri et al. (2001);B-T-04-OR;Monotonic;In-situ;A;Air lime mortar;Calcareous;900;900;480;0.5;#VALUE!
55;Borri et al. (2001);V-T-07-IN;Monotonic;In-situ;A;Air lime mortar;Calcareous;900;900;480;0.5;#VALUE!
56;Borri et al. (2001);P-T-15-OR;Monotonic;In-situ;A;Air lime mortar;Calcareous + 30% sponge travertine;900;900;480;0.5;#VALUE!
57;Borri et al. (2012);TC-01-F-OR;Monotonic;In-situ;A;Air lime mortar;Calcareous;910;860;480;0.5;#VALUE!
58;Borri et al. (2012);TC-02-F-OR;Monotonic;In-situ;A;Air lime mortar;Calcareous;900;863;480;0.5;#VALUE!
59;Borri et al. (2012);TC-05-F-OR;Monotonic;In-situ;A;Air lime mortar;Calcareous;900;900;480;0.5;#VALUE!
60;Borri et al. (2012);TC-04-B-OR;Monotonic;In-situ;A;Air lime mortar;Calcareous, brick courses 120 cm;915;880;480;0.5;#VALUE!
61;Borri et al. (2012);TC-07-V-IN;Monotonic;In-situ;A;Air lime mortar;Calcareous, brick courses 120 cm;915;930;480;0.5;#VALUE!
62;Borri et al. (2012);TC-15-P-OR;Monotonic;In-situ;A;Air lime mortar;Limestone, sponge travertine;910;880;480;0.5;#VALUE!
63;Corradi et al. (2014);TC-16-U-OR;Monotonic;In-situ;A;Air lime mortar;Limestone, sponge travertine;910;890;480;0.5;#VALUE!
64;Corradi et al. (2014);TC-17-U-OR;Monotonic;In-situ;A;Air lime mortar;Limestone, sponge travertine;905;900;600;0.5;#VALUE!
65;Borri et al. (2012);TC-35-L-OR;Monotonic;Laboratory;A;Hydraulic lime mortar;Calcareous;902;900;510;0.5;#VALUE!
66;Borri et al. (2012);TC-36-L-OR;Monotonic;Laboratory;A;Hydraulic lime mortar;Calcareous;905;900;490;0.5;#VALUE!
67;Borri et al. (2012);TC-37-L-OR;Monotonic;Laboratory;A;Hydraulic lime mortar;Calcareous;902;900;510;0.5;#VALUE!
68;Borri et al. (2012);TC-39-L-OR;Monotonic;Laboratory;A;Hydraulic lime mortar;Calcareous;950;900;486;0.5;#VALUE!
69;Marcari et al. (2007);P#1;Monotonic;Laboratory;D;Hydraulic lime mortar;Tuff;1570;1480;530;0.5;0.320120482
70;Marcari et al. (2007);P#2;Monotonic;Laboratory;D;Hydraulic lime mortar;Tuff;1570;1480;530;0.5;0.320120482
71;Marcari et al. (2007);P#3;Monotonic;Laboratory;D;Hydraulic lime mortar;Tuff;1570;1480;530;0.5;0.320120482
72;Marcari et al. (2007);P#4;Monotonic;Laboratory;D;Hydraulic lime mortar;Tuff;1570;1480;530;0.5;0.320120482
