Test unit;I2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0315493750000000;-50.6877;-2.52395
-0.0315368750000000;-50.6876;-2.52295
-0.0315243750000000;-50.6876;-2.52195
-0.0315118750000000;-50.6876;-2.52095
-0.0314993750000000;-50.6875;-2.51995
-0.0314868750000000;-50.6875;-2.51895
-0.0314743750000000;-50.6875;-2.51795
-0.0314618750000000;-50.6874;-2.51695
-0.0314493750000000;-50.6874;-2.51595
-0.0314368750000000;-50.6874;-2.51495
-0.0314243750000000;-50.6874;-2.51395
-0.0314118750000000;-50.6873;-2.51295
-0.0313993750000000;-50.6873;-2.51195
-0.0313868750000000;-50.6873;-2.51095
-0.0313743750000000;-50.6872;-2.50995
-0.0313618750000000;-50.6872;-2.50895
-0.0313493750000000;-50.6872;-2.50795
-0.0313368750000000;-50.6871;-2.50695
-0.0313243750000000;-50.6871;-2.50595
-0.0313118750000000;-50.6871;-2.50495
-0.0312993750000000;-50.687;-2.50395
-0.0312868750000000;-50.687;-2.50295
-0.0312743750000000;-50.687;-2.50195
-0.0312618750000000;-50.6869;-2.50095
-0.0312493750000000;-50.6869;-2.49995
-0.0312368750000000;-50.6869;-2.49895
-0.0312243750000000;-50.6868;-2.49795
-0.0312118750000000;-50.6868;-2.49695
-0.0311993750000000;-50.6868;-2.49595
-0.0311868750000000;-50.6867;-2.49495
-0.0311743750000000;-50.6867;-2.49395
-0.0311618750000000;-50.6867;-2.49295
-0.0311493750000000;-50.6866;-2.49195
-0.0311368750000000;-50.6866;-2.49095
-0.0311243750000000;-50.6866;-2.48995
-0.0311118750000000;-50.6866;-2.48895
-0.0310993750000000;-50.6865;-2.48795
-0.0310868750000000;-50.6865;-2.48695
-0.0310743750000000;-50.6865;-2.48595
-0.0310618750000000;-50.6864;-2.48495
-0.0310493750000000;-50.6864;-2.48395
-0.0310368750000000;-50.6864;-2.48295
-0.0310243750000000;-50.6863;-2.48195
-0.0310118750000000;-50.6863;-2.48095
-0.0309993750000000;-50.6863;-2.47995
-0.0309868750000000;-50.6862;-2.47895
-0.0309743750000000;-50.6862;-2.47795
-0.0309618750000000;-50.6862;-2.47695
-0.0309493750000000;-50.6861;-2.47595
-0.0309368750000000;-50.6861;-2.47495
-0.0309243750000000;-50.6861;-2.47395
-0.0309118750000000;-50.686;-2.47295
-0.0308993750000000;-50.686;-2.47195
-0.0308868750000000;-50.686;-2.47095
-0.0308743750000000;-50.6859;-2.46995
-0.0308618750000000;-50.6859;-2.46895
-0.0308493750000000;-50.6859;-2.46795
-0.0308368750000000;-50.6859;-2.46695
-0.0308243750000000;-50.6858;-2.46595
-0.0308118750000000;-50.6858;-2.46495
-0.0307993750000000;-50.6858;-2.46395
-0.0307868750000000;-50.6857;-2.46295
-0.0307743750000000;-50.6857;-2.46195
-0.0307618750000000;-50.6857;-2.46095
-0.0307493750000000;-50.6856;-2.45995
-0.0307368750000000;-50.6856;-2.45895
-0.0307243750000000;-50.6856;-2.45795
-0.0307118750000000;-50.6855;-2.45695
-0.0306993750000000;-50.6855;-2.45595
-0.0306868750000000;-50.6855;-2.45495
-0.0306743750000000;-50.6854;-2.45395
-0.0306618750000000;-50.6854;-2.45295
-0.0306493750000000;-50.6854;-2.45195
-0.0306368750000000;-50.6853;-2.45095
-0.0306243750000000;-50.6775;-2.44995
-0.0306118750000000;-50.6622;-2.44895
-0.0305993750000000;-50.6468;-2.44795
-0.0305868750000000;-50.6314;-2.44695
-0.0305743750000000;-50.616;-2.44595
-0.0305618750000000;-50.6006;-2.44495
-0.0305493750000000;-50.5853;-2.44395
-0.0305368750000000;-50.5699;-2.44295
-0.0305243750000000;-50.5545;-2.44195
-0.0305118750000000;-50.5391;-2.44095
-0.0304993750000000;-50.5237;-2.43995
-0.0304868750000000;-50.5083;-2.43895
-0.0304743750000000;-50.493;-2.43795
-0.0304618750000000;-50.4776;-2.43695
-0.0304493750000000;-50.4622;-2.43595
-0.0304368750000000;-50.4468;-2.43495
-0.0304243750000000;-50.4314;-2.43395
-0.0304118750000000;-50.416;-2.43295
-0.0303993750000000;-50.4007;-2.43195
-0.0303868750000000;-50.3853;-2.43095
-0.0303743750000000;-50.3699;-2.42995
-0.0303618750000000;-50.3545;-2.42895
-0.0303493750000000;-50.3391;-2.42795
-0.0303368750000000;-50.3238;-2.42695
-0.0303243750000000;-50.3084;-2.42595
-0.0303118750000000;-50.293;-2.42495
-0.0302993750000000;-50.2776;-2.42395
-0.0302868750000000;-50.2622;-2.42295
-0.0302743750000000;-50.2468;-2.42195
-0.0302618750000000;-50.2315;-2.42095
-0.0302493750000000;-50.2161;-2.41995
-0.0302368750000000;-50.2007;-2.41895
-0.0302243750000000;-50.1853;-2.41795
-0.0302118750000000;-50.1731;-2.41695
-0.0301993750000000;-50.173;-2.41595
-0.0301868750000000;-50.173;-2.41495
-0.0301743750000000;-50.173;-2.41395
-0.0301618750000000;-50.1729;-2.41295
-0.0301493750000000;-50.1729;-2.41195
-0.0301368750000000;-50.1729;-2.41095
-0.0301243750000000;-50.1728;-2.40995
-0.0301118750000000;-50.1728;-2.40895
-0.0300993750000000;-50.1728;-2.40795
-0.0300868750000000;-50.1728;-2.40695
-0.0300743750000000;-50.1727;-2.40595
-0.0300618750000000;-50.1727;-2.40495
-0.0300493750000000;-50.1727;-2.40395
-0.0300368750000000;-50.1726;-2.40295
-0.0300243750000000;-50.1726;-2.40195
-0.0300118750000000;-50.1726;-2.40095
-0.0299993750000000;-50.1725;-2.39995
-0.0299868750000000;-50.1725;-2.39895
-0.0299743750000000;-50.1725;-2.39795
-0.0299618750000000;-50.1724;-2.39695
-0.0299493750000000;-50.1724;-2.39595
-0.0299368750000000;-50.1724;-2.39495
-0.0299243750000000;-50.1723;-2.39395
-0.0299118750000000;-50.1723;-2.39295
-0.0298993750000000;-50.1723;-2.39195
-0.0298868750000000;-50.1722;-2.39095
-0.0298743750000000;-50.1722;-2.38995
-0.0298618750000000;-50.1722;-2.38895
-0.0298493750000000;-50.1721;-2.38795
-0.0298368750000000;-50.1721;-2.38695
-0.0298243750000000;-50.1721;-2.38595
-0.0298118750000000;-50.172;-2.38495
-0.0297993750000000;-50.172;-2.38395
-0.0297868750000000;-50.172;-2.38295
-0.0297743750000000;-50.172;-2.38195
-0.0297618750000000;-50.1719;-2.38095
-0.0297493750000000;-50.1719;-2.37995
-0.0297368750000000;-50.1719;-2.37895
-0.0297243750000000;-50.1718;-2.37795
-0.0297118750000000;-50.1718;-2.37695
-0.0296993750000000;-50.1718;-2.37595
-0.0296868750000000;-50.1717;-2.37495
-0.0296743750000000;-50.1717;-2.37395
-0.0296618750000000;-50.1717;-2.37295
-0.0296493750000000;-50.1716;-2.37195
-0.0296368750000000;-50.1716;-2.37095
-0.0296243750000000;-50.1716;-2.36995
-0.0296118750000000;-50.1715;-2.36895
-0.0295993750000000;-50.1715;-2.36795
