Test unit;IG2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0687895000000000;-43.7044;-5.50316
-0.0687770000000000;-43.7044;-5.50216
-0.0687645000000000;-43.7044;-5.50116
-0.0687520000000000;-43.7044;-5.50016
-0.0687395000000000;-43.7044;-5.49916
-0.0687270000000000;-43.7044;-5.49816
-0.0687145000000000;-43.7044;-5.49716
-0.0687020000000000;-43.7044;-5.49616
-0.0686895000000000;-43.7044;-5.49516
-0.0686770000000000;-43.7044;-5.49416
-0.0686645000000000;-43.7044;-5.49316
-0.0686520000000000;-43.7044;-5.49216
-0.0686395000000000;-43.7044;-5.49116
-0.0686270000000000;-43.7044;-5.49016
-0.0686145000000000;-43.7044;-5.48916
-0.0686020000000000;-43.7044;-5.48816
-0.0685895000000000;-43.7044;-5.48716
-0.0685770000000000;-43.7044;-5.48616
-0.0685645000000000;-43.7044;-5.48516
-0.0685520000000000;-43.7044;-5.48416
-0.0685395000000000;-43.7044;-5.48316
-0.0685270000000000;-43.7044;-5.48216
-0.0685145000000000;-43.7044;-5.48116
-0.0685020000000000;-43.7044;-5.48016
-0.0684895000000000;-43.7044;-5.47916
-0.0684770000000000;-43.7044;-5.47816
-0.0684645000000000;-43.7044;-5.47716
-0.0684520000000000;-43.7044;-5.47616
-0.0684395000000000;-43.7044;-5.47516
-0.0684270000000000;-43.7044;-5.47416
-0.0684145000000000;-43.7044;-5.47316
-0.0684020000000000;-43.7044;-5.47216
-0.0683895000000000;-43.7044;-5.47116
-0.0683770000000000;-43.7044;-5.47016
-0.0683645000000000;-43.7136;-5.46916
-0.0683520000000000;-43.7291;-5.46816
-0.0683395000000000;-43.7445;-5.46716
-0.0683270000000000;-43.76;-5.46616
-0.0683145000000000;-43.7754;-5.46516
-0.0683020000000000;-43.7909;-5.46416
-0.0682895000000000;-43.8063;-5.46316
-0.0682770000000000;-43.8218;-5.46216
-0.0682645000000000;-43.8372;-5.46116
-0.0682520000000000;-43.8527;-5.46016
-0.0682395000000000;-43.8681;-5.45916
-0.0682270000000000;-43.8836;-5.45816
-0.0682145000000000;-43.899;-5.45716
-0.0682020000000000;-43.9145;-5.45616
-0.0681895000000000;-43.9299;-5.45516
-0.0681770000000000;-43.9454;-5.45416
-0.0681645000000000;-43.9608;-5.45316
-0.0681520000000000;-43.9763;-5.45216
-0.0681395000000000;-43.9917;-5.45116
-0.0681270000000000;-44.0072;-5.45016
-0.0681145000000000;-44.0226;-5.44916
-0.0681020000000000;-44.0381;-5.44816
-0.0680895000000000;-44.0535;-5.44716
-0.0680770000000000;-44.0689;-5.44616
-0.0680645000000000;-44.0844;-5.44516
-0.0680520000000000;-44.0998;-5.44416
-0.0680395000000000;-44.1153;-5.44316
-0.0680270000000000;-44.1307;-5.44216
-0.0680145000000000;-44.1462;-5.44116
-0.0680020000000000;-44.1616;-5.44016
-0.0679895000000000;-44.1771;-5.43916
-0.0679770000000000;-44.1925;-5.43816
-0.0679645000000000;-44.208;-5.43716
-0.0679520000000000;-44.2156;-5.43616
-0.0679395000000000;-44.2156;-5.43516
-0.0679270000000000;-44.2156;-5.43416
-0.0679145000000000;-44.2156;-5.43316
-0.0679020000000000;-44.2156;-5.43216
-0.0678895000000000;-44.2156;-5.43116
-0.0678770000000000;-44.2156;-5.43016
-0.0678645000000000;-44.2156;-5.42916
-0.0678520000000000;-44.2156;-5.42816
-0.0678395000000000;-44.2156;-5.42716
-0.0678270000000000;-44.2156;-5.42616
-0.0678145000000000;-44.2156;-5.42516
-0.0678020000000000;-44.2156;-5.42416
-0.0677895000000000;-44.2156;-5.42316
-0.0677770000000000;-44.2156;-5.42216
-0.0677645000000000;-44.2156;-5.42116
-0.0677520000000000;-44.2156;-5.42016
-0.0677395000000000;-44.2156;-5.41916
-0.0677270000000000;-44.2156;-5.41816
