Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-5.37,-183.1,-0.423
-5.32,-182.9,-0.419
-5.27,-182.4,-0.415
-5.22,-181.6,-0.411
-5.18,-180.9,-0.408
-5.17,-179.4,-0.407
-5.16,-179.8,-0.406
-5.14,-181.1,-0.405
-5.13,-181.5,-0.404
-5.12,-184,-0.403
-5.1,-183.9,-0.401
-5.08,-183.7,-0.4
-5.08,-184.5,-0.399
-5.05,-184.8,-0.397
-5.01,-184.3,-0.394
-4.98,-184.2,-0.392
-4.96,-184,-0.39
-4.93,-183.7,-0.388
-4.91,-183.3,-0.386
-4.88,-183.2,-0.384
-4.86,-183.2,-0.382
-4.83,-183.1,-0.38
-4.81,-182.8,-0.378
-4.77,-182.4,-0.376
-4.74,-181.9,-0.373
-4.71,-181.6,-0.371
-4.68,-181.3,-0.368
-4.66,-181,-0.366
-4.61,-180.6,-0.363
-4.56,-180,-0.359
-4.53,-179.4,-0.356
-4.51,-178.7,-0.355
-4.48,-178,-0.353
-4.45,-177.5,-0.35
-4.4,-177,-0.347
-4.39,-175.8,-0.346
-4.38,-176.1,-0.345
-4.37,-176.2,-0.344
-4.35,-176.1,-0.343
-4.34,-177.6,-0.342
-4.33,-179.4,-0.341
-4.32,-179.7,-0.34
-4.31,-180.1,-0.339
-4.29,-180.3,-0.338
-4.28,-180.3,-0.336
-4.25,-179.9,-0.335
-4.25,-180.3,-0.334
-4.22,-180.5,-0.332
-4.19,-180.2,-0.33
-4.15,-179.9,-0.327
-4.13,-179.8,-0.325
-4.11,-179.7,-0.324
-4.09,-179.4,-0.322
-4.07,-179.2,-0.32
-4.03,-178.9,-0.317
-4,-178.8,-0.315
-3.98,-178.5,-0.313
-3.94,-178.1,-0.31
-3.91,-177.7,-0.308
-3.89,-177.4,-0.306
-3.85,-176.9,-0.303
-3.82,-176.3,-0.301
-3.79,-175.9,-0.298
-3.75,-175.6,-0.295
-3.72,-175,-0.293
-3.69,-174.2,-0.291
-3.67,-173.6,-0.289
-3.64,-173.7,-0.287
-3.63,-174.1,-0.286
-3.62,-173.5,-0.285
-3.61,-175.8,-0.284
-3.59,-176.4,-0.283
-3.59,-176.7,-0.282
-3.57,-176.7,-0.281
-3.56,-176.2,-0.28
