Test unit;G2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0564370000000000;-43.0769;-4.51496
-0.0564245000000000;-43.0769;-4.51396
-0.0564120000000000;-43.0769;-4.51296
-0.0563995000000000;-43.0769;-4.51196
-0.0563870000000000;-43.0769;-4.51096
-0.0563745000000000;-43.0769;-4.50996
-0.0563620000000000;-43.0769;-4.50896
-0.0563495000000000;-43.0769;-4.50796
-0.0563370000000000;-43.0769;-4.50696
-0.0563245000000000;-43.0769;-4.50596
-0.0563120000000000;-43.0769;-4.50496
-0.0562995000000000;-43.0769;-4.50396
-0.0562870000000000;-43.0769;-4.50296
-0.0562745000000000;-43.0769;-4.50196
-0.0562620000000000;-43.0769;-4.50096
-0.0562495000000000;-43.0769;-4.49996
-0.0562370000000000;-43.0769;-4.49896
-0.0562245000000000;-43.0769;-4.49796
-0.0562120000000000;-43.0769;-4.49696
-0.0561995000000000;-43.0769;-4.49596
-0.0561870000000000;-43.0769;-4.49496
-0.0561745000000000;-43.0769;-4.49396
-0.0561620000000000;-43.0769;-4.49296
-0.0561495000000000;-43.0769;-4.49196
-0.0561370000000000;-43.0769;-4.49096
-0.0561245000000000;-43.0769;-4.48996
-0.0561120000000000;-43.0769;-4.48896
-0.0560995000000000;-43.0769;-4.48796
-0.0560870000000000;-43.0769;-4.48696
-0.0560745000000000;-43.0769;-4.48596
-0.0560620000000000;-43.0769;-4.48496
-0.0560495000000000;-43.0769;-4.48396
-0.0560370000000000;-43.0769;-4.48296
-0.0560245000000000;-43.0769;-4.48196
-0.0560120000000000;-43.0769;-4.48096
-0.0559995000000000;-43.0769;-4.47996
-0.0559870000000000;-43.0769;-4.47896
-0.0559745000000000;-43.0769;-4.47796
-0.0559620000000000;-43.0769;-4.47696
-0.0559495000000000;-43.0769;-4.47596
-0.0559370000000000;-43.0769;-4.47496
-0.0559245000000000;-43.0769;-4.47396
-0.0559120000000000;-43.0677;-4.47296
