Test unit,SC6,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
Displacement,Force,Drift
-10.442227,-78.440000,-1.160247
-10.281994,-77.900000,-1.142444
-10.087467,-75.330000,-1.120830
-9.979641,-74.990000,-1.108849
-9.794974,-73.880000,-1.088330
-9.563944,-70.770000,-1.062660
-9.229341,-68.730000,-1.025482
-9.146961,-68.120000,-1.016329
-9.076421,-66.890000,-1.008491
-9.015304,-66.870000,-1.001700
-8.893954,-67.370000,-0.988217
-8.812734,-66.490000,-0.979193
-8.619981,-68.930000,-0.957776
-8.586127,-69.220000,-0.954014
-8.539154,-69.240000,-0.948795
-8.465057,-69.950000,-0.940562
-8.412037,-70.190000,-0.934671
-8.410381,-69.510000,-0.934487
-8.316751,-69.530000,-0.924083
-8.322791,-69.370000,-0.924755
-8.199124,-70.050000,-0.911014
-8.170077,-69.730000,-0.907786
-8.096907,-69.650000,-0.899656
-8.053204,-67.310000,-0.894800
-7.985344,-69.220000,-0.887260
-7.966601,-69.520000,-0.885178
-7.884711,-69.160000,-0.876079
-7.783247,-67.630000,-0.864805
-7.786631,-64.640000,-0.865181
-7.694047,-65.490000,-0.854894
-7.640337,-63.340000,-0.848926
-7.549141,-63.290000,-0.838793
-7.530334,-61.320000,-0.836704
-7.456474,-60.960000,-0.828497
-7.423591,-58.900000,-0.824843
-7.337247,-57.680000,-0.815250
-7.302327,-56.560000,-0.811370
-7.218944,-55.020000,-0.802105
-7.192934,-54.280000,-0.799215
-7.168101,-53.820000,-0.796456
-7.140814,-53.090000,-0.793424
-7.108961,-52.810000,-0.789885
-7.101244,-52.490000,-0.789027
-7.065654,-52.310000,-0.785073
-7.045641,-52.460000,-0.782849
-7.030914,-50.010000,-0.781213
-7.016417,-52.090000,-0.779602
-6.979317,-53.140000,-0.775480
-6.977861,-50.930000,-0.775318
-6.955831,-52.400000,-0.772870
-6.951374,-53.500000,-0.772375
-6.936824,-54.420000,-0.770758
-6.925897,-54.880000,-0.769544
-6.854841,-56.350000,-0.761649
-6.831737,-55.950000,-0.759082
-6.769787,-58.200000,-0.752199
-6.750824,-59.730000,-0.750092
-6.733317,-61.280000,-0.748146
-6.725827,-57.820000,-0.747314
-6.687321,-59.770000,-0.743036
-6.670327,-61.580000,-0.741147
-6.661311,-63.770000,-0.740146
-6.649851,-61.600000,-0.738872
-6.613671,-66.890000,-0.734852
-6.593454,-68.020000,-0.732606
-6.572701,-68.420000,-0.730300
-6.558517,-68.240000,-0.728724
-6.551097,-67.580000,-0.727900
-6.536671,-71.800000,-0.726297
-6.491497,-71.240000,-0.721277
-6.473637,-73.950000,-0.719293
-6.431517,-74.800000,-0.714613
-6.412234,-76.800000,-0.712470
-6.411757,-84.430000,-0.712417
-6.282817,-94.090000,-0.698091
-5.440794,-93.400000,-0.604533
-5.422094,-89.310000,-0.602455
-5.385634,-89.500000,-0.598404
-5.364954,-91.070000,-0.596106
-5.327451,-92.660000,-0.591939
-5.308191,-92.950000,-0.589799
-5.290217,-92.250000,-0.587802
-5.249104,-94.540000,-0.583234
-5.236357,-91.780000,-0.581817
-5.225584,-94.170000,-0.580620
-5.212921,-94.780000,-0.579213
-5.194427,-94.580000,-0.577159
-5.190247,-94.100000,-0.576694
-5.157051,-95.530000,-0.573006
-5.132354,-94.590000,-0.570262
-5.123651,-95.820000,-0.569295
-5.112741,-95.690000,-0.568082
-5.101041,-93.640000,-0.566782
-5.107517,-96.490000,-0.567502
-5.091674,-96.110000,-0.565742
-5.061841,-96.740000,-0.562427
-5.044677,-95.380000,-0.560520
-5.025931,-96.760000,-0.558437
-5.010334,-96.770000,-0.556704
-4.996707,-97.280000,-0.555190
-4.985187,-94.170000,-0.553910
-4.877614,-97.760000,-0.541957
-4.843537,-95.920000,-0.538171
-4.831381,-96.740000,-0.536820
-4.823677,-98.220000,-0.535964
-4.803024,-96.000000,-0.533669
-4.802921,-99.020000,-0.533658
-4.760797,-97.850000,-0.528977
-4.764361,-95.550000,-0.529373
-4.735207,-99.030000,-0.526134
-4.724914,-97.750000,-0.524990
-4.696364,-96.320000,-0.521818
-4.692767,-96.310000,-0.521419
-4.647971,-99.450000,-0.516441
-4.649784,-99.040000,-0.516643
-4.624021,-97.670000,-0.513780
-4.608334,-98.020000,-0.512037
-4.597507,-98.630000,-0.510834
-4.587847,-99.180000,-0.509761
-4.570701,-100.160000,-0.507856
-4.580861,-98.910000,-0.508985
-4.539354,-100.560000,-0.504373
-4.515547,-98.840000,-0.501727
-4.506307,-100.640000,-0.500701
