Test unit,E3
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.65,40.6,0.143
1.68,40.3,0.146
1.69,39.5,0.147
1.7,39.6,0.148
1.72,40.1,0.15
1.74,38.6,0.151
1.75,37.9,0.152
1.76,40.2,0.153
1.79,40.6,0.156
1.82,40.9,0.158
1.85,41,0.161
1.87,41.4,0.163
1.9,41.6,0.166
1.93,41.8,0.168
1.95,42.1,0.17
1.98,42.6,0.172
2,42.6,0.174
2.03,42.8,0.176
2.03,42.2,0.177
2.05,42.8,0.178
2.08,43.2,0.18
2.1,42.8,0.183
2.12,43.2,0.184
2.14,42.8,0.186
2.17,43.3,0.189
2.18,42.6,0.19
2.2,42,0.191
2.2,42,0.192
2.22,42.6,0.193
2.23,41.9,0.194
2.26,41.6,0.197
2.28,43.1,0.199
2.34,43.6,0.203
2.4,44.1,0.209
2.46,44.5,0.214
2.52,44.9,0.219
2.59,44.9,0.225
2.64,45.4,0.23
2.7,45,0.235
2.75,44.4,0.239
2.76,44.1,0.24
2.79,43.2,0.242
2.79,43.7,0.243
2.85,44.2,0.248
2.92,44.5,0.254
2.97,45.2,0.258
3.03,45.4,0.264
3.09,45.8,0.269
3.15,46.2,0.274
3.22,46.2,0.28
3.26,45.4,0.284
3.27,43.7,0.285
3.29,44.3,0.286
3.3,42.6,0.287
3.31,42.5,0.288
3.33,44.3,0.29
3.37,45,0.293
3.43,45.4,0.298
3.49,45.9,0.303
3.56,46.2,0.309
3.62,46.7,0.314
3.68,47,0.32
3.75,47.3,0.326
3.82,47.5,0.332
3.89,47.6,0.338
3.95,48.1,0.343
4.02,48.1,0.349
4.08,48.4,0.355
4.15,48.4,0.361
4.23,48.5,0.367
4.28,48,0.372
4.28,46.2,0.373
4.3,45.7,0.374
4.34,44.8,0.377
4.39,44.3,0.381
4.4,45.8,0.383
4.46,46.2,0.388
4.53,46.5,0.394
4.61,46.7,0.401
4.66,47.2,0.405
4.73,47.3,0.411
4.8,47.6,0.417
4.86,48,0.423
4.94,48,0.429
5,48.3,0.435
5.07,48.4,0.441
5.14,48.6,0.447
5.21,48.5,0.453
5.28,47.8,0.46
5.34,47.3,0.464
5.37,46.5,0.467
5.39,45.7,0.469
5.44,45.8,0.473
5.45,44.6,0.474
5.47,45.3,0.476
5.57,45.8,0.485
5.7,46.2,0.495
5.81,46.7,0.505
5.93,47,0.516
6.06,47.1,0.527
6.15,47.7,0.535
6.28,47.7,0.546
6.4,47.4,0.557
6.45,46.6,0.561
6.46,43.3,0.562
6.51,39.4,0.566
6.63,39.8,0.576
