Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-5.46,-133.9,-0.218
-5.43,-133.8,-0.217
-5.4,-133.6,-0.216
-5.38,-133.5,-0.215
-5.35,-133.3,-0.214
-5.33,-133.2,-0.213
-5.3,-133,-0.212
-5.28,-132.9,-0.211
-5.25,-132.7,-0.21
-5.23,-132.5,-0.209
-5.2,-132.3,-0.208
-5.18,-132.1,-0.207
-5.16,-131.9,-0.206
-5.13,-131.7,-0.205
-5.1,-131.5,-0.204
-5.08,-131.3,-0.203
-5.05,-131.1,-0.202
-5.03,-130.9,-0.201
-5,-130.6,-0.2
-4.98,-130.4,-0.199
-4.95,-130.1,-0.198
-4.92,-129.9,-0.197
-4.9,-129.6,-0.196
-4.87,-129.3,-0.195
-4.85,-129.1,-0.194
-4.82,-137.9,-0.193
-4.79,-139.3,-0.192
-4.77,-139.2,-0.191
-4.75,-139.1,-0.19
-4.71,-139,-0.189
-4.69,-138.9,-0.188
-4.67,-138.9,-0.187
-4.65,-138.8,-0.186
-4.63,-138.7,-0.185
-4.61,-138.7,-0.184
-4.58,-138.6,-0.183
-4.54,-138.5,-0.182
-4.52,-138.4,-0.181
-4.5,-138.3,-0.18
-4.46,-138.2,-0.179
-4.45,-138,-0.178
-4.43,-138,-0.177
-4.39,-137.8,-0.176
-4.37,-137.8,-0.175
-4.35,-137.7,-0.174
-4.31,-137.5,-0.173
-4.29,-137.4,-0.172
-4.27,-137.3,-0.171
-4.25,-137.2,-0.17
-4.23,-137.1,-0.169
-4.21,-137,-0.168
-4.18,-136.9,-0.167
-4.14,-136.7,-0.166
-4.12,-136.6,-0.165
-4.1,-136.5,-0.164
-4.08,-136.4,-0.163
-4.04,-136.2,-0.162
-4.02,-136.1,-0.161
-4,-136,-0.16
-3.98,-135.8,-0.159
-3.96,-135.7,-0.158
-3.91,-135.5,-0.157
-3.89,-135.3,-0.156
-3.87,-135.2,-0.155
-3.85,-135,-0.154
-3.83,-134.9,-0.153
-3.79,-134.6,-0.152
-3.77,-134.4,-0.151
-3.75,-134.2,-0.15
-3.73,-134.1,-0.149
-3.69,-133.7,-0.148
-3.67,-133.5,-0.147
-3.65,-133.3,-0.146
-3.63,-133.1,-0.145
-3.6,-151.8,-0.144
-3.57,-153.1,-0.143
-3.55,-153.4,-0.142
-3.52,-153.6,-0.141
-3.49,-153.7,-0.14
-3.47,-153.7,-0.139
-3.44,-153.6,-0.138
-3.42,-153.5,-0.137
-3.4,-153.5,-0.136
-3.36,-153.4,-0.135
-3.35,-153.3,-0.134
-3.33,-153.2,-0.133
-3.3,-153,-0.132
-3.26,-152.9,-0.131
-3.25,-152.8,-0.13
-3.23,-152.7,-0.129
-3.19,-152.5,-0.128
-3.17,-152.4,-0.127
-3.14,-152.1,-0.126
-3.13,-151.9,-0.125
-3.09,-151.7,-0.124
-3.08,-151.6,-0.123
-3.04,-151.3,-0.122
-3.02,-151.1,-0.121
-2.99,-150.8,-0.12
