Test unit;IC1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0701281250000000;-56.9952000000000;-5.61025000000000
-0.0701156250000000;-56.9814000000000;-5.60925000000000
-0.0701031250000000;-56.9660000000000;-5.60825000000000
-0.0700906250000000;-56.9507000000000;-5.60725000000000
-0.0700781250000000;-56.9353000000000;-5.60625000000000
-0.0700656250000000;-56.9199000000000;-5.60525000000000
-0.0700531250000000;-56.9045000000000;-5.60425000000000
-0.0700406250000000;-56.8891000000000;-5.60325000000000
-0.0700281250000000;-56.8737000000000;-5.60225000000000
-0.0700156250000000;-56.8584000000000;-5.60125000000000
-0.0700031250000000;-56.8430000000000;-5.60025000000000
-0.0699906250000000;-56.8276000000000;-5.59925000000000
-0.0699781250000000;-56.8122000000000;-5.59825000000000
-0.0699656250000000;-56.7968000000000;-5.59725000000000
-0.0699531250000000;-56.7814000000000;-5.59625000000000
-0.0699406250000000;-56.7661000000000;-5.59525000000000
-0.0699281250000000;-56.7507000000000;-5.59425000000000
-0.0699156250000000;-56.7353000000000;-5.59325000000000
-0.0699031250000000;-56.7199000000000;-5.59225000000000
-0.0698906250000000;-56.7045000000000;-5.59125000000000
-0.0698781250000000;-56.6892000000000;-5.59025000000000
-0.0698656250000000;-56.6738000000000;-5.58925000000000
-0.0698531250000000;-56.6584000000000;-5.58825000000000
-0.0698406250000000;-56.6430000000000;-5.58725000000000
-0.0698281250000000;-56.6276000000000;-5.58625000000000
-0.0698156250000000;-56.6122000000000;-5.58525000000000
-0.0698031250000000;-56.5969000000000;-5.58425000000000
-0.0697906250000000;-56.5815000000000;-5.58325000000000
-0.0697781250000000;-56.5661000000000;-5.58225000000000
-0.0697656250000000;-56.5507000000000;-5.58125000000000
-0.0697531250000000;-56.5353000000000;-5.58025000000000
-0.0697406250000000;-56.5200000000000;-5.57925000000000
-0.0697281250000000;-56.5046000000000;-5.57825000000000
-0.0697156250000000;-56.4892000000000;-5.57725000000000
-0.0697031250000000;-56.4840000000000;-5.57625000000000
-0.0696906250000000;-56.4840000000000;-5.57525000000000
-0.0696781250000000;-56.4840000000000;-5.57425000000000
-0.0696656250000000;-56.4840000000000;-5.57325000000000
-0.0696531250000000;-56.4840000000000;-5.57225000000000
-0.0696406250000000;-56.4840000000000;-5.57125000000000
-0.0696281250000000;-56.4840000000000;-5.57025000000000
-0.0696156250000000;-56.4840000000000;-5.56925000000000
-0.0696031250000000;-56.4840000000000;-5.56825000000000
-0.0695906250000000;-56.4840000000000;-5.56725000000000
-0.0695781250000000;-56.4840000000000;-5.56625000000000
-0.0695656250000000;-56.4840000000000;-5.56525000000000
-0.0695531250000000;-56.4840000000000;-5.56425000000000
-0.0695406250000000;-56.4840000000000;-5.56325000000000
-0.0695281250000000;-56.4840000000000;-5.56225000000000
-0.0695156250000000;-56.4840000000000;-5.56125000000000
-0.0695031250000000;-56.4840000000000;-5.56025000000000
-0.0694906250000000;-56.4840000000000;-5.55925000000000
-0.0694781250000000;-56.4840000000000;-5.55825000000000
-0.0694656250000000;-56.4840000000000;-5.55725000000000
-0.0694531250000000;-56.4840000000000;-5.55625000000000
-0.0694406250000000;-56.4840000000000;-5.55525000000000
-0.0694281250000000;-56.4840000000000;-5.55425000000000
-0.0694156250000000;-56.4840000000000;-5.55325000000000
-0.0694031250000000;-56.4840000000000;-5.55225000000000
-0.0693906250000000;-56.4840000000000;-5.55125000000000
-0.0693781250000000;-56.4840000000000;-5.55025000000000
-0.0693656250000000;-56.4840000000000;-5.54925000000000
-0.0693531250000000;-56.4840000000000;-5.54825000000000
-0.0693406250000000;-56.4840000000000;-5.54725000000000
-0.0693281250000000;-56.4840000000000;-5.54625000000000
-0.0693156250000000;-56.4840000000000;-5.54525000000000
-0.0693031250000000;-56.4840000000000;-5.54425000000000
