Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0415810000000000;-46.3047;-3.32648
-0.0415685000000000;-46.3047;-3.32548
-0.0415560000000000;-46.3048;-3.32448
-0.0415435000000000;-46.3048;-3.32348
-0.0415310000000000;-46.3048;-3.32248
-0.0415185000000000;-46.3049;-3.32148
-0.0415060000000000;-46.3049;-3.32048
-0.0414935000000000;-46.3049;-3.31948
-0.0414810000000000;-46.305;-3.31848
-0.0414685000000000;-46.305;-3.31748
-0.0414560000000000;-46.305;-3.31648
-0.0414435000000000;-46.3051;-3.31548
-0.0414310000000000;-46.3051;-3.31448
-0.0414185000000000;-46.3051;-3.31348
-0.0414060000000000;-46.3052;-3.31248
-0.0413935000000000;-46.3052;-3.31148
-0.0413810000000000;-46.3052;-3.31048
-0.0413685000000000;-46.3052;-3.30948
-0.0413560000000000;-46.3053;-3.30848
-0.0413435000000000;-46.3053;-3.30748
-0.0413310000000000;-46.3053;-3.30648
-0.0413185000000000;-46.3054;-3.30548
-0.0413060000000000;-46.3054;-3.30448
-0.0412935000000000;-46.3054;-3.30348
-0.0412810000000000;-46.3055;-3.30248
-0.0412685000000000;-46.3055;-3.30148
-0.0412560000000000;-46.3055;-3.30048
-0.0412435000000000;-46.3056;-3.29948
-0.0412310000000000;-46.3056;-3.29848
-0.0412185000000000;-46.3056;-3.29748
-0.0412060000000000;-46.3057;-3.29648
-0.0411935000000000;-46.3057;-3.29548
-0.0411810000000000;-46.3057;-3.29448
-0.0411685000000000;-46.3058;-3.29348
-0.0411560000000000;-46.3058;-3.29248
-0.0411435000000000;-46.3058;-3.29148
-0.0411310000000000;-46.3059;-3.29048
-0.0411185000000000;-46.3059;-3.28948
-0.0411060000000000;-46.3059;-3.28848
-0.0410935000000000;-46.306;-3.28748
-0.0410810000000000;-46.306;-3.28648
-0.0410685000000000;-46.306;-3.28548
-0.0410560000000000;-46.306;-3.28448
-0.0410435000000000;-46.3061;-3.28348
-0.0410310000000000;-46.3061;-3.28248
-0.0410185000000000;-46.3061;-3.28148
-0.0410060000000000;-46.3062;-3.28048
-0.0409935000000000;-46.3062;-3.27948
-0.0409810000000000;-46.3062;-3.27848
-0.0409685000000000;-46.3063;-3.27748
-0.0409560000000000;-46.3063;-3.27648
-0.0409435000000000;-46.3063;-3.27548
