Test unit;G1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0300207500000000;-51.3739;-2.40166
-0.0300082500000000;-51.3738;-2.40066
-0.0299957500000000;-51.3738;-2.39966
-0.0299832500000000;-51.3738;-2.39866
-0.0299707500000000;-51.3738;-2.39766
-0.0299582500000000;-51.3738;-2.39666
-0.0299457500000000;-51.3738;-2.39566
-0.0299332500000000;-51.3738;-2.39466
-0.0299207500000000;-51.3738;-2.39366
-0.0299082500000000;-51.3738;-2.39266
-0.0298957500000000;-51.3738;-2.39166
-0.0298832500000000;-51.3738;-2.39066
-0.0298707500000000;-51.3738;-2.38966
-0.0298582500000000;-51.3738;-2.38866
-0.0298457500000000;-51.3738;-2.38766
-0.0298332500000000;-51.3738;-2.38666
-0.0298207500000000;-51.3738;-2.38566
-0.0298082500000000;-51.3738;-2.38466
-0.0297957500000000;-51.3738;-2.38366
-0.0297832500000000;-51.3738;-2.38266
-0.0297707500000000;-51.3738;-2.38166
-0.0297582500000000;-51.3738;-2.38066
-0.0297457500000000;-51.3738;-2.37966
-0.0297332500000000;-51.3738;-2.37866
-0.0297207500000000;-51.3738;-2.37766
-0.0297082500000000;-51.3738;-2.37666
-0.0296957500000000;-51.3738;-2.37566
-0.0296832500000000;-51.3738;-2.37466
-0.0296707500000000;-51.3738;-2.37366
-0.0296582500000000;-51.3738;-2.37266
-0.0296457500000000;-51.3738;-2.37166
-0.0296332500000000;-51.3738;-2.37066
-0.0296207500000000;-51.3738;-2.36966
-0.0296082500000000;-51.3738;-2.36866
-0.0295957500000000;-51.3872;-2.36766
-0.0295832500000000;-51.4027;-2.36666
-0.0295707500000000;-51.4181;-2.36566
-0.0295582500000000;-51.4335;-2.36466
-0.0295457500000000;-51.449;-2.36366
-0.0295332500000000;-51.4644;-2.36266
-0.0295207500000000;-51.4798;-2.36166
-0.0295082500000000;-51.4952;-2.36066
-0.0294957500000000;-51.5107;-2.35966
-0.0294832500000000;-51.5261;-2.35866
-0.0294707500000000;-51.5415;-2.35766
-0.0294582500000000;-51.557;-2.35666
-0.0294457500000000;-51.5724;-2.35566
-0.0294332500000000;-51.5878;-2.35466
-0.0294207500000000;-51.6033;-2.35366
-0.0294082500000000;-51.6187;-2.35266
-0.0293957500000000;-51.6341;-2.35166
-0.0293832500000000;-51.6496;-2.35066
-0.0293707500000000;-51.665;-2.34966
-0.0293582500000000;-51.6804;-2.34866
-0.0293457500000000;-51.6959;-2.34766
-0.0293332500000000;-51.7113;-2.34666
-0.0293207500000000;-51.7267;-2.34566
-0.0293082500000000;-51.7421;-2.34466
-0.0292957500000000;-51.7576;-2.34366
-0.0292832500000000;-51.773;-2.34266
-0.0292707500000000;-51.7884;-2.34166
-0.0292582500000000;-51.8039;-2.34066
-0.0292457500000000;-51.8193;-2.33966
-0.0292332500000000;-51.8347;-2.33866
-0.0292207500000000;-51.8502;-2.33766
-0.0292082500000000;-51.8656;-2.33666
-0.0291957500000000;-51.881;-2.33566
-0.0291832500000000;-51.9194;-2.33466
-0.0291707500000000;-51.9657;-2.33366
-0.0291582500000000;-52.012;-2.33266
-0.0291457500000000;-52.0583;-2.33166
-0.0291332500000000;-52.1046;-2.33066
-0.0291207500000000;-52.1509;-2.32966
-0.0291082500000000;-52.1972;-2.32866
-0.0290957500000000;-52.2435;-2.32766
-0.0290832500000000;-52.2898;-2.32666
-0.0290707500000000;-52.3361;-2.32566
-0.0290582500000000;-52.3824;-2.32466
-0.0290457500000000;-52.4286;-2.32366
-0.0290332500000000;-52.4749;-2.32266
-0.0290207500000000;-52.5212;-2.32166
-0.0290082500000000;-52.5675;-2.32066
-0.0289957500000000;-52.6138;-2.31966
-0.0289832500000000;-52.6601;-2.31866
-0.0289707500000000;-52.7064;-2.31766
-0.0289582500000000;-52.7527;-2.31666
