Test unit;IG1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0599281250000000;-41.9352;-4.79425
-0.0599156250000000;-41.9506;-4.79325
-0.0599031250000000;-41.9661;-4.79225
-0.0598906250000000;-41.9816;-4.79125
-0.0598781250000000;-41.9971;-4.79025
-0.0598656250000000;-42.0126;-4.78925
-0.0598531250000000;-42.0281;-4.78825
-0.0598406250000000;-42.0435;-4.78725
-0.0598281250000000;-42.0513;-4.78625
-0.0598156250000000;-42.0513;-4.78525
-0.0598031250000000;-42.0513;-4.78425
-0.0597906250000000;-42.0513;-4.78325
-0.0597781250000000;-42.0513;-4.78225
-0.0597656250000000;-42.0513;-4.78125
-0.0597531250000000;-42.0513;-4.78025
-0.0597406250000000;-42.0513;-4.77925
-0.0597281250000000;-42.0513;-4.77825
-0.0597156250000000;-42.0513;-4.77725
-0.0597031250000000;-42.0513;-4.77625
-0.0596906250000000;-42.0513;-4.77525
-0.0596781250000000;-42.0513;-4.77425
-0.0596656250000000;-42.0513;-4.77325
-0.0596531250000000;-42.0513;-4.77225
-0.0596406250000000;-42.0513;-4.77125
-0.0596281250000000;-42.0513;-4.77025
-0.0596156250000000;-42.0513;-4.76925
-0.0596031250000000;-42.0513;-4.76825
-0.0595906250000000;-42.0513;-4.76725
-0.0595781250000000;-42.0513;-4.76625
-0.0595656250000000;-42.0513;-4.76525
-0.0595531250000000;-42.0513;-4.76425
-0.0595406250000000;-42.0513;-4.76325
-0.0595281250000000;-42.0513;-4.76225
-0.0595156250000000;-42.0513;-4.76125
-0.0595031250000000;-42.0513;-4.76025
-0.0594906250000000;-42.0513;-4.75925
-0.0594781250000000;-42.0513;-4.75825
-0.0594656250000000;-42.0513;-4.75725
-0.0594531250000000;-42.0513;-4.75625
-0.0594406250000000;-42.0513;-4.75525
-0.0594281250000000;-42.0513;-4.75425
-0.0594156250000000;-42.0513;-4.75325
-0.0594031250000000;-42.0513;-4.75225
-0.0593906250000000;-42.0513;-4.75125
-0.0593781250000000;-42.0513;-4.75025
-0.0593656250000000;-42.0513;-4.74925
-0.0593531250000000;-42.0513;-4.74825
-0.0593406250000000;-42.0513;-4.74725
-0.0593281250000000;-42.0513;-4.74625
-0.0593156250000000;-42.0513;-4.74525
-0.0593031250000000;-42.0513;-4.74425
-0.0592906250000000;-42.0513;-4.74325
-0.0592781250000000;-42.0513;-4.74225
-0.0592656250000000;-42.0513;-4.74125
-0.0592531250000000;-42.0513;-4.74025
-0.0592406250000000;-42.0513;-4.73925
-0.0592281250000000;-42.0513;-4.73825
-0.0592156250000000;-42.0513;-4.73725
-0.0592031250000000;-42.0513;-4.73625
-0.0591906250000000;-42.0513;-4.73525
-0.0591781250000000;-42.0513;-4.73425
-0.0591656250000000;-42.0513;-4.73325
-0.0591531250000000;-42.0513;-4.73225
-0.0591406250000000;-42.0513;-4.73125
-0.0591281250000000;-42.0513;-4.73025
-0.0591156250000000;-42.0513;-4.72925
-0.0591031250000000;-42.0513;-4.72825
-0.0590906250000000;-42.0513;-4.72725
-0.0590781250000000;-42.0513;-4.72625
-0.0590656250000000;-42.0513;-4.72525
-0.0590531250000000;-42.0513;-4.72425
-0.0590406250000000;-42.0513;-4.72325
-0.0590281250000000;-42.0513;-4.72225
-0.0590156250000000;-42.0513;-4.72125
-0.0590031250000000;-42.0513;-4.72025
-0.0589906250000000;-42.0513;-4.71925
-0.0589781250000000;-42.0513;-4.71825
-0.0589656250000000;-42.0513;-4.71725
-0.0589531250000000;-42.0513;-4.71625
-0.0589406250000000;-42.0513;-4.71525
-0.0589281250000000;-42.0513;-4.71425
-0.0589156250000000;-42.0513;-4.71325
-0.0589031250000000;-42.0513;-4.71225
-0.0588906250000000;-42.0513;-4.71125
