Test unit,SC7,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,0.07167,0
0.0013305,1.743,0.000147833
0.0138435,5.289,0.001538167
0.0316165,8.486,0.003512944
0.04633,11.44,0.005147778
0.0652055,14.46,0.007245056
0.08415,17.46,0.00935
0.098757,20.34,0.010973
0.124109,23.17,0.013789889
0.142562,25.84,0.015840222
0.1624765,28.49,0.018052944
0.1818555,30.88,0.020206167
0.20379,33.86,0.022643333
0.227649,36.22,0.025294333
0.25389,38.62,0.02821
0.2775855,41.02,0.030842833
0.302917,43.34,0.033657444
0.3259445,45.43,0.036216056
0.3519875,47.62,0.039109722
0.3779035,50.17,0.041989278
0.407054,52.1,0.045228222
0.42896,54.07,0.047662222
0.451413,55.91,0.050157
0.48113,57.85,0.053458889
0.5169145,59.71,0.057434944
0.5476015,61.89,0.060844611
0.5777965,63.54,0.064199611
0.614119,65.17,0.068235444
0.6430875,66.73,0.071454167
0.6837585,68.18,0.075973167
0.7141535,69.62,0.079350389
0.7460535,71.04,0.082894833
0.7831585,72.45,0.087017611
0.8111285,73.78,0.090125389
0.8525435,75.09,0.094727056
0.8892735,76.16,0.098808167
0.9333535,77.13,0.103705944
0.9784685,77.79,0.108718722
1.0229285,78.23,0.113658722
1.0597285,78.96,0.117747611
1.1068985,79.74,0.122988722
1.1518885,80.49,0.127987611
1.1819035,81.14,0.131322611
1.2293685,81.97,0.1365965
1.2685835,82.71,0.140953722
1.3136835,83.45,0.145964833
1.3530785,84.12,0.150342056
1.3939635,84.79,0.154884833
1.4367435,85.36,0.159638167
1.4842685,86,0.164918722
1.5345135,86.34,0.1705015
1.5792235,86.7,0.175469278
1.6225985,87.1,0.180288722
1.6744785,87.61,0.186053167
1.7225735,87.99,0.191397056
1.7566485,88.2,0.195183167
1.8068535,88.72,0.2007615
1.8525335,89.25,0.205837056
1.8965285,89.68,0.210725389
1.9453885,90,0.216154278
1.9955385,90.45,0.2217265
2.0380735,90.83,0.226452611
2.0891185,91.19,0.232124278
2.1362635,91.58,0.237362611
2.1818585,91.95,0.242428722
2.2357585,92.3,0.248417611
2.2872835,92.58,0.254142611
2.3345185,92.95,0.259390944
2.3778385,93.26,0.264204278
2.4367235,93.64,0.270747056
2.4927035,93.92,0.276967056
2.5382835,94.26,0.2820315
2.5918885,94.51,0.287987611
2.6391985,94.77,0.293244278
2.6891185,95.11,0.298790944
2.7362035,95.19,0.304022611
2.7816135,95.47,0.309068167
2.8394335,95.75,0.315492611
2.8880735,96,0.320897056
2.9393285,96.29,0.326592056
2.9908835,96.44,0.332320389
3.0426485,96.7,0.338072056
3.0946835,96.98,0.343853722
3.1471385,97.17,0.349682056
3.1938285,97.29,0.354869833
3.2452835,97.51,0.360587056
3.2955535,97.75,0.366172611
3.3520135,97.99,0.372445944
3.4099135,98.17,0.378879278
3.4623285,98.32,0.384703167
3.5166935,98.65,0.390743722
3.5711735,98.79,0.396797056
3.6220085,98.88,0.402445389
3.6685085,99.05,0.407612056
3.7166985,99.26,0.4129665
3.7718735,99.42,0.419097056
3.8252385,99.63,0.4250265
3.8735435,99.81,0.430393722
3.9262235,99.89,0.436247056
3.9774635,100.1,0.441940389
4.0419935,100.27,0.449110389
4.0913135,100.38,0.454590389
4.1400785,100.52,0.460008722
4.1919935,100.63,0.465777056
4.2467385,100.79,0.471859833
4.2990935,100.85,0.477677056
4.3581685,100.97,0.484240944
4.4123685,101.1,0.490263167
4.4644385,101.2,0.496048722
4.5211335,101.31,0.502348167
4.5800635,101.32,0.508895944
4.6315335,101.45,0.514614833
4.6766135,101.51,0.519623722
4.7343185,101.57,0.526035389
4.7910585,101.81,0.532339833
4.8456085,101.86,0.538400944
4.9014135,102,0.5446015
4.9545785,102.02,0.550508722
5.0097585,102.14,0.556639833
5.0531035,102.22,0.561455944
5.1128535,102.26,0.568094833
5.1657435,102.42,0.5739715
5.2273185,102.51,0.580813167
5.2835685,102.6,0.587063167
5.3330135,102.6,0.592557056
5.3901685,102.69,0.598907611
5.4510985,102.81,0.605677611
5.4995985,102.81,0.6110665
5.5512985,102.88,0.616810944
5.6049185,102.89,0.622768722
5.6643835,102.93,0.629375944
5.7175335,103.02,0.6352815
5.7723285,102.94,0.641369833
5.8333435,103,0.648149278
5.8896085,102.84,0.654400944
5.9496785,102.91,0.661075389
6.0028885,102.81,0.666987611
6.0578435,102.74,0.673093722
6.1135685,102.76,0.679285389
6.1728235,102.76,0.685869278
6.2235885,102.73,0.691509833
6.2906235,102.64,0.698958167
6.3469085,102.59,0.705212056
