Test unit,CS01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-3.18,-78.6,-0.127
-3.14,-78.4,-0.126
-3.13,-78.2,-0.125
-3.09,-78,-0.124
-3.07,-77.9,-0.123
-3.04,-77.6,-0.122
-3.03,-77.4,-0.121
-2.99,-77.2,-0.12
-2.98,-77,-0.119
-2.95,-76.8,-0.118
-2.92,-76.4,-0.117
-2.9,-76.3,-0.116
-2.87,-76,-0.115
-2.85,-75.8,-0.114
-2.83,-75.6,-0.113
-2.79,-75.2,-0.112
-2.76,-74.9,-0.111
-2.75,-74.7,-0.11
-2.72,-74.4,-0.109
-2.69,-74.1,-0.108
-2.68,-73.9,-0.107
-2.64,-73.5,-0.106
-2.63,-73.3,-0.105
-2.59,-72.9,-0.104
-2.58,-72.7,-0.103
-2.55,-72.3,-0.102
-2.53,-72.1,-0.101
-2.5,-71.6,-0.1
-2.47,-71.2,-0.099
-2.45,-71,-0.098
-2.42,-70.5,-0.097
-2.39,-70.1,-0.096
-2.37,-69.8,-0.095
-2.34,-69.3,-0.094
-2.32,-69,-0.093
-2.29,-68.5,-0.092
-2.27,-68.1,-0.091
-2.24,-67.1,-0.09
-2.22,-67.3,-0.089
-2.19,-66.9,-0.088
-2.17,-66.6,-0.087
-2.15,-66.2,-0.086
-2.12,-65.9,-0.085
-2.1,-65.5,-0.084
-2.07,-65.1,-0.083
-2.04,-64.6,-0.082
-2.02,-64.2,-0.081
-1.99,-63.8,-0.08
-1.97,-63.4,-0.079
-1.94,-63,-0.078
-1.92,-62.5,-0.077
-1.9,-62.1,-0.076
-1.87,-61.6,-0.075
-1.84,-61.2,-0.074
-1.82,-60.9,-0.073
-1.8,-60.5,-0.072
-1.77,-60,-0.071
-1.75,-59.5,-0.07
-1.71,-58.7,-0.069
-1.69,-58.1,-0.068
-1.67,-57.5,-0.067
-1.65,-57,-0.066
-1.62,-56.2,-0.065
-1.59,-55.7,-0.064
-1.57,-55.3,-0.063
-1.54,-54.8,-0.062
-1.52,-54.4,-0.061
-1.49,-54,-0.06
-1.47,-53.5,-0.059
-1.44,-52.9,-0.058
-1.41,-52.3,-0.057
-1.4,-51.8,-0.056
-1.37,-51.3,-0.055
-1.34,-50.7,-0.054
-1.32,-50.3,-0.053
-1.29,-49.7,-0.052
-1.27,-49.3,-0.051
-1.25,-48.9,-0.05
-1.22,-48.3,-0.049
-1.2,-47.8,-0.048
-1.17,-47,-0.047
-1.14,-46.3,-0.046
-1.11,-41.4,-0.045
-1.09,-40.8,-0.044
-1.06,-40.2,-0.043
-1.04,-39.7,-0.042
-1.02,-38.9,-0.041
-0.99,-38.4,-0.04
-0.97,-37.8,-0.039
-0.94,-37.1,-0.038
-0.92,-36.4,-0.037
-0.89,-35.6,-0.036
-0.87,-34.9,-0.035
-0.84,-34.3,-0.034
-0.81,-33.7,-0.033
-0.79,-32.9,-0.032
-0.76,-31.8,-0.031
-0.74,-31,-0.03
-0.72,-30.4,-0.029
-0.69,-29.8,-0.028
-0.67,-28.8,-0.027
-0.64,-27.9,-0.026
-0.62,-26.9,-0.025
-0.59,-25.8,-0.024
-0.56,-25,-0.023
-0.54,-23.9,-0.022
-0.51,-23.2,-0.021
-0.49,-22.4,-0.02
-0.46,-21.7,-0.019
-0.44,-20.8,-0.018
-0.42,-20.1,-0.017
-0.39,-19.5,-0.016
-0.36,-18.5,-0.015
-0.34,-17.6,-0.014
-0.31,-16.4,-0.013
-0.29,-15.6,-0.012
-0.26,-14.6,-0.011
-0.24,-13.7,-0.01
-0.22,-13,-0.009
-0.19,-11.9,-0.008
-0.17,-11.1,-0.007
-0.14,-10.3,-0.006
-0.11,-9.3,-0.005
-0.09,-8.5,-0.004
-0.07,-7.8,-0.003
-0.04,-7,-0.002
-0.02,-6.1,-0.001
-0,-2.5,-0
0.02,30.1,0.001
0.04,30.9,0.002
0.06,30.9,0.003
0.09,7.4,0.004
0.12,7.9,0.005
0.14,8.5,0.006
0.16,9.1,0.007
0.19,10,0.008
0.21,11,0.009
0.24,11.8,0.01
0.27,12.6,0.011
0.29,13.4,0.012
0.32,14.5,0.013
0.34,15.3,0.014
0.36,16.2,0.015
0.39,17.4,0.016
0.42,18.2,0.017
0.44,18.9,0.018
0.46,20,0.019
0.49,21.1,0.02
0.52,21.9,0.021
0.54,22.8,0.022
0.57,23.7,0.023
0.59,24.6,0.024
