Test unit,C7
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.1,-143.7,-0.081
-1.07,-145.1,-0.08
-1.07,-151.1,-0.079
-1.04,-152.3,-0.077
-1.02,-152.1,-0.076
-1,-151.4,-0.074
-0.98,-149.9,-0.073
-0.96,-150.2,-0.071
-0.93,-149.7,-0.069
-0.92,-148.4,-0.068
-0.89,-147.4,-0.066
-0.86,-145.5,-0.064
-0.85,-144.1,-0.063
-0.84,-142.9,-0.062
-0.81,-142.3,-0.06
-0.79,-141.6,-0.058
-0.77,-140,-0.057
-0.76,-138.7,-0.056
-0.74,-137.2,-0.055
-0.72,-136,-0.054
-0.71,-134.8,-0.052
-0.69,-128.4,-0.051
-0.67,-120.1,-0.05
-0.66,-124,-0.049
-0.64,-130,-0.048
-0.61,-126.6,-0.045
-0.59,-125.8,-0.044
-0.56,-123.3,-0.042
-0.54,-122.3,-0.04
-0.52,-120.8,-0.039
-0.51,-119.4,-0.037
-0.49,-118.3,-0.036
-0.47,-116.9,-0.035
-0.44,-113.9,-0.033
-0.43,-112.3,-0.032
-0.41,-110.8,-0.031
-0.4,-109.2,-0.03
-0.39,-107.6,-0.029
-0.38,-105.9,-0.028
-0.37,-104.3,-0.027
-0.35,-102.8,-0.026
-0.34,-101.2,-0.025
-0.32,-99.9,-0.024
-0.31,-79.2,-0.023
-0.29,-81.2,-0.022
-0.29,-83,-0.021
-0.27,-80.3,-0.02
-0.25,-79,-0.019
-0.24,-76.7,-0.018
-0.23,-75.3,-0.017
-0.22,-73.7,-0.016
-0.21,-71.9,-0.015
-0.19,-70.9,-0.014
-0.18,-69.1,-0.013
-0.16,-65.4,-0.012
-0.14,-62.3,-0.011
-0.13,-60.7,-0.01
-0.12,-57.1,-0.009
-0.11,-55,-0.008
-0.1,-53.2,-0.007
-0.08,-49.8,-0.006
-0.07,-48,-0.005
-0.05,-44.2,-0.004
-0.04,-40.7,-0.003
-0.02,-37,-0.002
-0.01,-33.3,-0.001
0,-0,0
0.03,19.4,0.002
0.04,22.6,0.003
0.05,23.5,0.004
0.06,25.9,0.005
0.08,27.3,0.006
0.09,27.9,0.007
0.1,34.1,0.008
0.12,37.8,0.009
0.13,38.5,0.01
0.14,41.8,0.011
0.16,44.2,0.012
0.18,44.7,0.013
0.19,48.9,0.014
0.2,51.8,0.015
0.21,53.5,0.016
0.22,56.4,0.017
0.24,57.1,0.018
0.25,57.2,0.019
0.27,62.3,0.02
0.28,64.1,0.021
0.29,65,0.022
0.3,66.8,0.023
0.32,68.1,0.024
0.33,68.3,0.025
0.35,73.8,0.026
0.36,82,0.027
0.38,85.7,0.028
0.39,87.4,0.029
0.4,89.1,0.03
0.43,89.6,0.032
0.44,88.5,0.033
0.46,89.7,0.034
0.47,81.3,0.035
0.49,79.3,0.036
0.5,97.9,0.037
0.51,99.9,0.038
0.52,101.4,0.039
0.54,103,0.04
0.55,104.7,0.041
0.58,106.5,0.043
0.59,108.3,0.044
0.6,110.1,0.045
0.62,111.8,0.046
0.64,112.3,0.048
0.66,116,0.049
0.67,118.9,0.05
0.69,122,0.051
0.71,123.3,0.053
0.73,124.5,0.054
0.74,126.3,0.055
0.75,127.7,0.056
0.77,129.2,0.057
0.79,127.6,0.058
0.81,129.3,0.06
0.82,131.3,0.061
0.84,129.4,0.062
0.86,127.4,0.064
0.88,125.4,0.065
0.89,136.1,0.066
0.91,137.7,0.067
0.92,139.2,0.068
0.94,140.7,0.069
0.96,141.7,0.071
0.97,143,0.072
0.98,144.6,0.073
1.01,146,0.075
1.02,147.1,0.076
1.05,147.8,0.077
1.07,149.1,0.079
1.08,150.4,0.08
1.11,149.7,0.082
1.12,151.2,0.083
1.13,153,0.084
1.16,152.4,0.086
1.18,153.5,0.087
1.2,154.5,0.089
1.22,155,0.091
1.24,153.4,0.092
1.25,147,0.093
1.28,149.3,0.095
1.3,155.4,0.097
1.33,156,0.098
1.34,157.4,0.099
1.36,158.6,0.101
1.39,159,0.103
1.42,160,0.105
1.45,159.9,0.108
1.48,161.1,0.109
1.5,162.4,0.111
1.54,161.9,0.114
1.55,163.4,0.115
1.58,163.1,0.117
1.61,164.2,0.119
1.64,163.6,0.121
1.66,160.9,0.123
1.68,164.7,0.124
1.68,163.9,0.125
1.7,163.4,0.126
1.73,164,0.128
1.75,164.3,0.13
1.78,165.3,0.132
1.81,166.3,0.134
1.84,166.7,0.136
1.87,166.9,0.139
1.9,167,0.141
1.93,167.7,0.143
1.96,168,0.145
1.99,168,0.148
2.02,168.5,0.15
2.06,168.8,0.152
2.09,168.6,0.155
2.11,169.1,0.156
2.14,167.5,0.158
2.15,165.5,0.159
2.2,168.8,0.163
2.26,170,0.167
2.32,170.6,0.172
2.37,171.9,0.176
2.43,172.9,0.18
2.51,173.5,0.186
2.53,171.3,0.188
2.55,173.5,0.189
2.56,171.2,0.19
2.57,173,0.191
2.63,174.4,0.195
2.7,175.2,0.2
2.76,173.5,0.204
2.83,177.3,0.21
2.9,178.2,0.215
2.94,176.5,0.218
2.95,174.3,0.219
3.01,179.2,0.223
3.07,179.9,0.228
3.15,180,0.233
3.17,177.4,0.235
3.24,181.1,0.24
3.31,181.5,0.245
3.32,179,0.246
3.38,182.5,0.251
3.42,180.7,0.253
3.42,177.8,0.254
3.48,182.6,0.258
3.51,180.1,0.26
3.52,177.2,0.261
3.55,180.1,0.263
3.57,178.9,0.265
3.62,180.6,0.268
3.69,181.2,0.273
3.76,181.5,0.279
3.85,182.2,0.285
3.92,182.9,0.29
3.99,183,0.296
4.06,183.8,0.301
4.14,184.3,0.307
4.22,184.4,0.312
4.29,184.6,0.318
4.37,184.9,0.324
4.44,185,0.329
4.48,182,0.332
4.5,184.2,0.334
4.57,184.4,0.339
4.64,185.1,0.344
4.71,185.4,0.349
4.78,185.9,0.354
4.85,186.3,0.359
4.92,186.5,0.365
4.99,187.1,0.37
5.07,187.5,0.375
5.14,187.8,0.381
5.21,188.2,0.386
5.28,188.1,0.391
5.35,188.2,0.396
5.41,188.4,0.401
5.43,186.2,0.402
5.47,188,0.405
5.59,188.5,0.414
5.73,188.8,0.424
5.84,189.4,0.433
5.95,189.6,0.441
6.06,190.5,0.449
6.18,190.8,0.458
6.3,190.5,0.466
6.38,188.8,0.473
6.41,191.2,0.475
6.43,190.2,0.476
6.56,190.5,0.486
6.66,191.3,0.493
6.8,191.6,0.504
6.92,192.2,0.512
7.04,192.5,0.522
7.16,192.7,0.53
7.28,192.5,0.539
7.35,190.3,0.545
7.4,191.9,0.548
7.52,192.2,0.557
7.64,192.9,0.566
7.77,193.1,0.576
7.89,193.9,0.585
8.03,194.1,0.595
8.16,194,0.604
8.29,193.8,0.614
8.33,192.6,0.617
8.45,193.2,0.626
8.57,193.6,0.635
8.73,193.9,0.647
8.84,194.5,0.655
8.96,194.4,0.664
9.08,194.8,0.672
9.19,194.2,0.681
9.35,194.5,0.693
9.6,195.3,0.711
9.85,196.1,0.73
10.11,196.9,0.749
10.37,197.3,0.768
10.61,198,0.786
10.87,198.4,0.806
11.13,198.5,0.824
11.38,198.7,0.843
11.63,198.2,0.862
11.75,197.2,0.87
12.02,197.7,0.891
12.28,198.3,0.91
12.53,198.9,0.928
12.79,199,0.947
13.04,199.6,0.966
13.32,199.7,0.986
13.58,199.6,1.006
13.83,199.5,1.025
14.06,198.2,1.041
14.34,196.1,1.063
14.6,196.5,1.082
14.87,196.7,1.101
15.13,196.9,1.121
15.4,197.1,1.14
15.66,197.2,1.16
15.93,197.2,1.18
16.21,196.8,1.201
16.37,194.9,1.213
16.56,188.1,1.226
16.82,188.2,1.246
17.09,188.5,1.266
17.34,188.5,1.285
17.6,188.9,1.304
17.86,188.6,1.323
18.12,188.3,1.342
18.37,187.9,1.361
18.58,186.4,1.377
18.76,89.5,1.39
19.01,88.7,1.408
19.27,88.4,1.427
19.53,88.1,1.447
19.73,86.3,1.461
19.97,85.4,1.479
20.2,84.4,1.496
20.46,83.4,1.515
20.61,81.4,1.527
20.76,79.4,1.538
20.79,76.4,1.54
