Test unit;URM 1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0138027500000000;-35.8974;-1.10422
-0.0137902500000000;-35.8974;-1.10322
-0.0137777500000000;-35.8974;-1.10222
-0.0137652500000000;-35.8974;-1.10122
-0.0137527500000000;-35.8974;-1.10022
-0.0137402500000000;-35.8974;-1.09922
-0.0137277500000000;-35.8974;-1.09822
-0.0137152500000000;-35.8974;-1.09722
-0.0137027500000000;-35.8974;-1.09622
-0.0136902500000000;-35.8974;-1.09522
-0.0136777500000000;-35.8974;-1.09422
-0.0136652500000000;-35.8974;-1.09322
-0.0136527500000000;-35.8974;-1.09222
-0.0136402500000000;-35.8974;-1.09122
-0.0136277500000000;-35.8974;-1.09022
-0.0136152500000000;-35.8974;-1.08922
-0.0136027500000000;-35.8974;-1.08822
-0.0135902500000000;-35.8974;-1.08722
-0.0135777500000000;-35.8974;-1.08622
-0.0135652500000000;-35.8974;-1.08522
-0.0135527500000000;-35.8974;-1.08422
-0.0135402500000000;-35.8974;-1.08322
-0.0135277500000000;-35.8974;-1.08222
-0.0135152500000000;-35.8974;-1.08122
-0.0135027500000000;-35.8974;-1.08022
-0.0134902500000000;-35.8974;-1.07922
-0.0134777500000000;-35.8974;-1.07822
-0.0134652500000000;-35.8974;-1.07722
-0.0134527500000000;-35.8974;-1.07622
-0.0134402500000000;-35.8974;-1.07522
-0.0134277500000000;-35.8974;-1.07422
-0.0134152500000000;-35.8974;-1.07322
-0.0134027500000000;-35.8974;-1.07222
-0.0133902500000000;-35.8974;-1.07122
-0.0133777500000000;-35.8974;-1.07022
-0.0133652500000000;-35.8974;-1.06922
-0.0133527500000000;-35.8974;-1.06822
-0.0133402500000000;-35.8974;-1.06722
-0.0133277500000000;-35.8974;-1.06622
-0.0133152500000000;-35.8974;-1.06522
-0.0133027500000000;-35.8974;-1.06422
-0.0132902500000000;-35.8974;-1.06322
-0.0132777500000000;-35.8974;-1.06222
-0.0132652500000000;-35.8974;-1.06122
-0.0132527500000000;-35.8974;-1.06022
-0.0132402500000000;-35.8974;-1.05922
-0.0132277500000000;-35.8974;-1.05822
-0.0132152500000000;-35.8974;-1.05722
-0.0132027500000000;-35.8974;-1.05622
-0.0131902500000000;-35.8974;-1.05522
-0.0131777500000000;-35.8974;-1.05422
-0.0131652500000000;-35.8974;-1.05322
-0.0131527500000000;-35.8974;-1.05222
-0.0131402500000000;-35.8974;-1.05122
-0.0131277500000000;-35.8974;-1.05022
-0.0131152500000000;-35.8974;-1.04922
-0.0131027500000000;-35.8974;-1.04822
-0.0130902500000000;-35.8974;-1.04722
-0.0130777500000000;-35.8974;-1.04622
-0.0130652500000000;-35.8974;-1.04522
-0.0130527500000000;-35.8974;-1.04422
-0.0130402500000000;-35.8974;-1.04322
-0.0130277500000000;-35.8974;-1.04222
-0.0130152500000000;-35.8974;-1.04122
-0.0130027500000000;-35.8974;-1.04022
-0.0129902500000000;-35.8974;-1.03922
-0.0129777500000000;-35.8974;-1.03822
-0.0129652500000000;-35.8974;-1.03722
-0.0129527500000000;-35.8974;-1.03622
-0.0129402500000000;-35.8974;-1.03522
-0.0129277500000000;-35.8974;-1.03422
-0.0129152500000000;-35.8974;-1.03322
-0.0129027500000000;-35.8974;-1.03222
-0.0128902500000000;-35.8974;-1.03122
-0.0128777500000000;-35.8974;-1.03022
-0.0128652500000000;-35.8974;-1.02922
-0.0128527500000000;-35.8974;-1.02822
-0.0128402500000000;-35.8974;-1.02722
-0.0128277500000000;-35.8974;-1.02622
-0.0128152500000000;-35.8974;-1.02522
-0.0128027500000000;-35.8974;-1.02422
-0.0127902500000000;-35.8974;-1.02322
-0.0127777500000000;-35.8974;-1.02222
-0.0127652500000000;-35.8974;-1.02122
-0.0127527500000000;-35.8974;-1.02022
-0.0127402500000000;-35.8974;-1.01922
-0.0127277500000000;-35.8974;-1.01822
-0.0127152500000000;-35.8974;-1.01722
-0.0127027500000000;-35.8974;-1.01622
-0.0126902500000000;-35.8974;-1.01522
-0.0126777500000000;-35.8974;-1.01422
-0.0126652500000000;-35.8974;-1.01322
-0.0126527500000000;-35.8974;-1.01222
-0.0126402500000000;-35.8974;-1.01122
-0.0126277500000000;-35.8974;-1.01022
-0.0126152500000000;-35.8974;-1.00922
-0.0126027500000000;-35.8974;-1.00822
-0.0125902500000000;-35.8974;-1.00722
-0.0125777500000000;-35.8974;-1.00622
-0.0125652500000000;-35.8974;-1.00522
-0.0125527500000000;-35.8974;-1.00422
-0.0125402500000000;-35.8974;-1.00322
-0.0125277500000000;-35.8974;-1.00222
-0.0125152500000000;-35.8974;-1.00122
-0.0125027500000000;-35.8974;-1.00022
-0.0124902500000000;-35.8974;-0.99922
-0.0124777500000000;-35.8974;-0.99822
-0.0124652500000000;-35.8974;-0.99722
-0.0124527500000000;-35.8974;-0.99622
-0.0124402500000000;-35.9072;-0.99522
-0.0124277500000000;-35.9226;-0.99422
-0.0124152500000000;-35.9381;-0.99322
-0.0124027500000000;-35.9535;-0.99222
-0.0123902500000000;-35.969;-0.99122
-0.0123777500000000;-35.9844;-0.99022
-0.0123652500000000;-35.9999;-0.98922
-0.0123527500000000;-36.0153;-0.98822
-0.0123402500000000;-36.0308;-0.98722
-0.0123277500000000;-36.0462;-0.98622
-0.0123152500000000;-36.0617;-0.98522
-0.0123027500000000;-36.0771;-0.98422
-0.0122902500000000;-36.0926;-0.98322
-0.0122777500000000;-36.108;-0.98222
-0.0122652500000000;-36.1235;-0.98122
-0.0122527500000000;-36.1389;-0.98022
-0.0122402500000000;-36.1544;-0.97922
-0.0122277500000000;-36.1698;-0.97822
-0.0122152500000000;-36.1853;-0.97722
-0.0122027500000000;-36.2007;-0.97622
-0.0121902500000000;-36.2162;-0.97522
-0.0121777500000000;-36.2316;-0.97422
-0.0121652500000000;-36.247;-0.97322
-0.0121527500000000;-36.2625;-0.97222
-0.0121402500000000;-36.2779;-0.97122
-0.0121277500000000;-36.2934;-0.97022
-0.0121152500000000;-36.3088;-0.96922
-0.0121027500000000;-36.3243;-0.96822
-0.0120902500000000;-36.3397;-0.96722
-0.0120777500000000;-36.3552;-0.96622
-0.0120652500000000;-36.3706;-0.96522
-0.0120527500000000;-36.3861;-0.96422
-0.0120402500000000;-36.4015;-0.96322
-0.0120277500000000;-36.417;-0.96222
-0.0120152500000000;-36.4324;-0.96122
-0.0120027500000000;-36.4479;-0.96022
-0.0119902500000000;-36.4633;-0.95922
-0.0119777500000000;-36.4788;-0.95822
-0.0119652500000000;-36.4942;-0.95722
-0.0119527500000000;-36.5097;-0.95622
-0.0119402500000000;-36.5251;-0.95522
-0.0119277500000000;-36.5406;-0.95422
-0.0119152500000000;-36.556;-0.95322
-0.0119027500000000;-36.5715;-0.95222
-0.0118902500000000;-36.5869;-0.95122
-0.0118777500000000;-36.6024;-0.95022
-0.0118652500000000;-36.6178;-0.94922
-0.0118527500000000;-36.6333;-0.94822
-0.0118402500000000;-36.6487;-0.94722
-0.0118277500000000;-36.6642;-0.94622
-0.0118152500000000;-36.6796;-0.94522
-0.0118027500000000;-36.6951;-0.94422
-0.0117902500000000;-36.7105;-0.94322
-0.0117777500000000;-36.726;-0.94222
-0.0117652500000000;-36.7414;-0.94122
-0.0117527500000000;-36.7569;-0.94022
-0.0117402500000000;-36.7723;-0.93922
-0.0117277500000000;-36.7878;-0.93822
-0.0117152500000000;-36.8032;-0.93722
-0.0117027500000000;-36.8187;-0.93622
-0.0116902500000000;-36.8341;-0.93522
-0.0116777500000000;-36.8495;-0.93422
-0.0116652500000000;-36.865;-0.93322
-0.0116527500000000;-36.8804;-0.93222
-0.0116402500000000;-36.8959;-0.93122
-0.0116277500000000;-36.9113;-0.93022
-0.0116152500000000;-36.9231;-0.92922
-0.0116027500000000;-36.9231;-0.92822
-0.0115902500000000;-36.9231;-0.92722
-0.0115777500000000;-36.9231;-0.92622
-0.0115652500000000;-36.9231;-0.92522
-0.0115527500000000;-36.9231;-0.92422
-0.0115402500000000;-36.9231;-0.92322
-0.0115277500000000;-36.9231;-0.92222
-0.0115152500000000;-36.9231;-0.92122
-0.0115027500000000;-36.9231;-0.92022
-0.0114902500000000;-36.9231;-0.91922
-0.0114777500000000;-36.9231;-0.91822
-0.0114652500000000;-36.9231;-0.91722
-0.0114527500000000;-36.9231;-0.91622
-0.0114402500000000;-36.9231;-0.91522
-0.0114277500000000;-36.9231;-0.91422
-0.0114152500000000;-36.9231;-0.91322
-0.0114027500000000;-36.9231;-0.91222
-0.0113902500000000;-36.9231;-0.91122
-0.0113777500000000;-36.9231;-0.91022
-0.0113652500000000;-36.9231;-0.90922
-0.0113527500000000;-36.9231;-0.90822
-0.0113402500000000;-36.9231;-0.90722
-0.0113277500000000;-36.9231;-0.90622
-0.0113152500000000;-36.9231;-0.90522
-0.0113027500000000;-36.9231;-0.90422
-0.0112902500000000;-36.9231;-0.90322
-0.0112777500000000;-36.9231;-0.90222
-0.0112652500000000;-36.9231;-0.90122
-0.0112527500000000;-36.9231;-0.90022
-0.0112402500000000;-36.9231;-0.89922
-0.0112277500000000;-36.9231;-0.89822
-0.0112152500000000;-36.9231;-0.89722
-0.0112027500000000;-36.9238;-0.89622
-0.0111902500000000;-36.9392;-0.89522
-0.0111777500000000;-36.9547;-0.89422
-0.0111652500000000;-36.9701;-0.89322
-0.0111527500000000;-36.9856;-0.89222
-0.0111402500000000;-37.001;-0.89122
